id,sample,entities_predicted,entity_types_predicted
19871027060859A,"ELECTRIC POWER LOST ON IFR DUAL FLIGHT. STRUCK POWER POLE ON FORCED LANDING, FOUND CIRCUIT BREAKER OFF. PILOT ERROR","['ELECTRIC POWER', 'IFR DUAL FLIGHT', 'POWER POLE', 'CIRCUIT BREAKER']",[]
19980616023109I,LOUD BANG AND SHUDDER ENROUTE. SAW SPARKS AT ROTOR. RETURNED. ENGINE COWLING SEPERATED. COWL NOT FASTENED.         ,"['LOUD BANG', 'SHUDDER', 'SPARKS', 'ROTOR', 'ENGINE', 'COWL']",[]
19910710026989A,REPORTED PROBLEM ON CLIMBOUT. STALLED AND CRASHED. NO LOCKING PINS IN SEAT TRACK. SEAT PIN BENT. BELT NOT FASTENED ,"['CLIMBOUT', 'STALLED', 'CRASHED', 'LOCKING PINS', 'SEAT PIN', 'BELT']",[]
19780509032859I,FORCED LANDING AFTER POWER LOSS. FOUND WATER IN FUEL.                                                              ,"['FORCED LANDING', 'POWER LOSS', 'WATER', 'FUEL']",[]
19800506012169A,LOST CONTROL OF AIRPLANE ON TAKEOFF ROLL. FAILED TO REMOVE AILERON-ELEVATOR LOCK PIN.                              ,"['AIRPLANE', 'TAKEOFF ROLL', 'AILERON-ELEVATOR LOCK PIN']","['VEHICLE', 'PHASE', 'SYSTEM']"
19791128035159A,"PILOT LANDED TO WAIT OUT RAIN SHOWER. ON CLIMBOUT, ENGINE RAN ROUGH. PILOT LANDED IN FIELD. CLAIMS WATER IN FUEL.  ","['PILOT', 'RAIN SHOWER', 'ENGINE', 'FIELD', 'WATER']",[]
20060621012279A,"(-23) THE PILOT ^PRIVACY DA^ STATED THAT DURING TAKEOFF (AT ROTATION) HIS SEAT SLID BACK, CAUSING HIM TO OVERROTATE","['PILOT', 'ROTATION']",[]
19950314029269I,"NARRATIVE: ON MARCH 14, 1995, N7016M, AN AMATEUR BUILT AIRCRAFT, MADE AN EMERGENCY OFF AIRPORT LANDING NEAR THE BLO","['N7016M', 'MARCH 14, 1995', 'AIRCRAFT', 'BLO']",[]
19800804037399A,EARLY FUEL EXHAUSTION FROM FUEL SIPHONING FROM IMPROPERLY SECURED VENT CAP. OVERSHOT EMERGENCY LANDING AREA.       ,"['FUEL', 'VENT', 'EMERGENCY LANDING AREA']",[]
19780402008409I,TAXIING AIRCRAFT STRUCK PARKED AIRCRAFT. FOUND WORN OUT & INEFFECTIVE BRAKES AS CAUSE.                             ,"['AIRCRAFT', 'BRAKES']","['VEHICLE', 'SYSTEM']"
19890725041869I,ON ENGINE START PILOTS SEAT WENT TO FULL AFT POSITION. PUSH THROTTLE IN FULL. AIRCRAFT COLLIDED WITH PARKED PLANE. ,"['ENGINE', 'PILOTS SEAT', 'AIRCRAFT', 'PLANE']",[]
19911222062669I,AFTER LIFTOFF PILOT NOTICED RIGHT FUEL CAP MISSING. ABORTED. LANDED ON SAME RUNWAY. RAN OFF SIDE OF RUNWAY.        ,"['LIFTOFF', 'PILOT', 'FUEL CAP']","['PHASE', 'PERSON', 'OBJECT']"
20030607012509A,"(-23) THE AIRCRAFT DEPARTED BARTLESVILLE MUNICIPAL AIRPORT (BVO) BARTLESVILLE, OK AT 1147 AM LOCAL TIME FOR A LOCAL",[],[]
19801005072789I,PILOT RAN OFF END OF RUNWAY WHEN REMAINING BRAKE FAILED.                                                           ,"['PILOT', 'RUNWAY', 'BRAKE']","['PERSON', 'LOCATION', 'SYSTEM']"
19781210024199I,WHEELS LOCKED UP AFTER SEVERAL TOUCH AND GO LANDINGS DUE TO SNOW PACKED IN THE WHEEL PANTS.                        ,"['SEVERAL', 'TOUCH AND GO', 'SNOW']",[]
19950804028629A,LOST POWER LANDED HARD IN ROUGH WATER. DAMAGED FLOATS AND LONGERON. WATER IN FUEL. MISREAD WATER IN SUMP TO BE FUEL,"['POWER', 'WATER', 'FLOATS', 'LONGERON', 'FUEL', 'SUMP']",[]
20040304003309I,"(-23) AFTER NORMAL TOUCHDOWN THE AIRCRAFT STARTED SLIDING OR HYDROPLANING TOWARD LEFT SIDE OF RUNWAY, AIRCRAFT STRU",[],[]
19780427013859I,ENGINE COWLING SEPARATED FROM ENGINE IN FLIGHT.                                                                    ,"['ENGINE', 'COWLING']","['SYSTEM', 'COMPONENT']"
20070202001609A,"(-23) ON A FLIGHT FROM NOTH PLATTE, NE, TO IOWA CITY, IA, (487 STATUTE MILES) THE AIRCRAFT LOST POWER NEAR GRINNELL",[],[]
19780916024019A,TIE DOWN STRAP ACROSS LEFT SKID CAUGHT ON TRAILER AND TETHERED HEPER.                                              ,"['TIE DOWN STRAP', 'LEFT SKID', 'TRAILER', 'HEPER']",[]
20060718018299I,(-23) THE PILOT IN COMMAND (PIC) FAILED TO ENSURE ALL FUEL TANK CAPS WERE SECURELY FASTENED PRIOR TO DEPARTURE. SUB,"['(-23)', 'PILOT IN COMMAND (PIC)']",[]
20040925025079A,(-23) FUEL CONTAMINATION IN AIRFRAME FUEL FILTER AS WELL AS IN FUEL FILTER AND ENGINE DRIVEN FUEL PUMP FILTER. THE ,"['FUEL CONTAMINATION', 'AIRFRAME', 'FUEL FILTER', 'ENGINE DRIVEN FUEL PUMP FILTER']",[]
19961027033759A,PRIOR DEMO FLIGHT. CONNECTING ROD BENT BY HYDRO LOCK IN NR5 CYL ON STARTUP. BROKE. HIT COUNTER WT. BROKE PORP SHAFT,[],[]
19870309039779I,"WHILE TAXIING, THE AIRCRAFT STRUCK N106DA WHICH WAS PARKED.  PILOT WAS UNAWARE OF BRAKE PROBLEMS ON THE AIRCRAFT.  ","['N106DA', 'AIRCRAFT', 'PILOT']","['AIRCRAFT ID/REGISTRATION NUMBER', 'VEHICLE', 'PERSON']"
20020619014309A,"(-23) N759TY, CE-182 WAS EN ROUTE FROM HOT SPRINGS, ARKANSAS TO FAYETTEVILLE, TENNESSEE, WHEN THE AIRCRAFT ENGINE Q","['N759TY', 'CE-182', 'HOT SPRINGS', 'FAYETTEVILLE', 'TENNESSEE', 'AIRCRAFT', 'ENGINE']","['AIRLINE CODE', 'AIRCRAFT TYPE', 'LOCATION', 'LOCATION', 'LOCATION', 'SYSTEM', 'SYSTEM']"
19951031041599A,ON CLIMBOUT NOSE BAGGAGE DOOR OPENED. REDUCED POWER. STALLED. ROLLED. DIVED INTO OCEAN. TEST FLIGHT FROM STORAGE.  ,"['CLIMBOUT', 'NOSE', 'BAGGAGE', 'DOOR', 'POWER', 'OCEAN']",[]
19850729066139I,ELEVATOR CONTROL JAMMED SHEN HARNESS CAUGHT ON ELEVATOR CABLE. STICK BOOT NOT FASTENED TO FLOOR. LANDED IN A FIELD.,"['ELEVATOR', 'SHEN', 'HARNESS', 'CABLE', 'STICK', 'BOOT', 'FLOOR', 'FIELD']",[]
19940226003029A,LOST POWER EN ROUTE. LANDED ON PRIVATE STRIP. NOSED OVER. LEFT FUEL CAP LEAKED. PREVENTED GRAVITY FUEL FLOW.       ,"['POWER', 'LANDED', 'FUEL', 'GRAVITY']","['SYSTEM', 'OBJECT', 'ACTION', 'CONCEPT']"
19780111000459A,ACFT DISPATCHER HARRASSMENT OF PILOT. PILOT FORGOT TO REMOVE TIEDROPE.                                             ,"['ACFT', 'DISPATCHER', 'PILOT', 'TIEDROPE']","['VEHICLE', 'PERSON', 'PERSON', 'CONCEALED CARGO']"
20010411006739I,"(-23) THE HELICOPTER WAS IDLING ON THE HELIPAD, AND THE RPM CONTROL WAS BROUGHT UP TO FLY POSITION FOR THE TAKEOFF.","['HELICOPTER', 'HELIPAD', 'RPM', 'TAKEOFF']",[]
19870816062719I,"A COPPER TUBE, USED TO HOLD AERIAL BANNERS, FELL THROUGH THE ROOF OF A HOUSE. LOCAL OPERATOR IS BEING MONITORED.   ","['COPPER TUBE', 'HOUSE']","['OBJECT', 'LOCATION']"
19980620030289I,"MR. KADERA THEN ATTEMPTED TO LAND IN A FIELD BUT WAS FORCED TO LAND ON HIGHWAY 93. THREE MILES EAST OF SUNMER, IOWA","['KADERA', 'FIELD', 'HIGHWAY 93', 'SUNMER', 'IOWA']","['PERSON', 'LOCATION', 'ROAD', 'LOCATION', 'LOCATION']"
19990923027739A,"(.19) ON SEPTEMBER 23, 1999, AT 1900 HOURS PACIFIC DAYLIGHT TIME, A HOMEBUILT CIERNIA GLASAIR III, N153JC, EXPERIEN","['SEPTEMBER', 'PACIFIC DAYLIGHT TIME', 'CIERNIA GLASAIR III', 'N153JC']","['DATE', 'TIME ZONE', 'AIRCRAFT', 'IDENTIFIER']"
19980415037339I,(-5)NOSE BAGGAGE CARGO CONSISTING OF A WOODEN WHEEL CHOCK SHIFTED DURING FLIGHT AND JAMMED THE NOSE LANDING GEAR ME,"['WHEEL', 'NOSE', 'GEAR', 'FLIGHT']","['PART', 'LOCATION', 'SYSTEM', 'PHASE']"
19950826026019A,"EXPLOSION LIFTING LOGS. PITCHED UP, ROLLED. COMPRESSOR STALL NR1 ENGINE. FAILED RELEASE LOGS AND USE SE PROCEDURES.","['EXPLOSION', 'LOGS', 'COMPRESSOR', 'NR1', 'ENGINE']","['INCIDENT', 'ENTITY', 'COMPONENT', 'LOCATION', 'SYSTEM']"
20000215041409A,"(.19) ON FEBRUARY 19, 2000, AT 1825 EASTERN STANDARD TIME, A BEECH 1900D, N81SK, OPERATED AS SKYWAY AIRLINE FLIGHT ","['BEECH 1900D', 'SKYWAY AIRLINE', 'FEBRUARY', 'EASTERN STANDARD TIME']","['Aircraft Model', 'Airline', 'Date', 'Time Zone']"
19860514036219I,GROUND LOOPED ON LANDING. TAILWHEEL WAS FOUND JAMMED FAR RIGHT.                                                    ,"['GROUND', 'TAILWHEEL']","['LOCATION', 'VEHICLE']"
19880527016939A,ENGINE QUIT ON INITIAL CLIMBOUT. CRASH LANDED AVOIDING TREES. FOUND SELECTED FUEL TANK EMPTY. TRIP WAS TO GET FUEL.,"['ENGINE', 'CLIMBOUT', 'CRASH', 'FUEL TANK', 'TRIP']",[]
19960418007829A,CRASHED AND BURNED. (.4)WITNESSES REPORTED THAT AFTER DEPARTURE FROM A GRASS RUNWAY. THE AIRPLANE REACHED AN ALTITU,[],[]
19970828026989A,LOUD POP ON TAKEOFF ROLL. LOST RUDDER CONTROL. EXITED RWY INTO CORNFIELD. HAD FAILED TO LOCK THE TAILWHEEL. (-23) M,"['TAKEOFF ROLL', 'RUDDER', 'RWY', 'TAILWHEEL']","['PHASE', 'PART', 'LOCATION', 'PART']"
19870523018729A,"CANOPY CAME OPEN ON CLIMBOUT CAUSING AN UNCONTROLLED GROUND COLLISION, NO DEFECTS REPORTED. APPEARS PILOT ERROR.   ","['CANOPY', 'CLIMBOUT', 'PILOT']",[]
20030620012809I,(-23) PILOT FAILED TO ASSURE THE OIL FILLER CAP WAS SECURE AND TOOK OFF. OIL WAS OBSERVED COMING OUT OF THE ENGINE ,[],['PERSON']
