c5,c119,gemma3_4b_it_triplets,gemma3_4b_it_triplets_clean
19991230042089A,"(.4)THE PILOT SAID THAT SHORTLY AFTER TAKEOFF, THE ENGINE 'STARTED CUTTING OUT AND WAS NOT DEVELOPING ENOUGH POWER ","<TAKEOFF, FOLLOWED BY, ENGINE QUIT>
<ENGINE QUIT, HAS CAUSE, CUTTING OUT>","<TAKEOFF, FOLLOWED BY, ENGINE QUIT>
<ENGINE QUIT, HAS CAUSE, CUTTING OUT>"
19820725041999I,"LOOSE COWLING ON TAKEOFF. COWLING CAME OFF ON RETURNING TO LAND. CRACKED WINDSHIELD, DENTED STABILIZER.            ","<TAKEOFF, HAS EFFECT, LOOSE COWLING>
<RETURNING TO LAND, HAS EFFECT, COWLING CAME OFF>
<CRACKED WINDSHIELD, INSTANCE OF, OBJECTS>
<DENTED STABILIZER, INSTANCE OF, OBJECTS>","<TAKEOFF, HAS EFFECT, LOOSE COWLING>
<RETURNING TO LAND, HAS EFFECT, COWLING CAME OFF>
<CRACKED WINDSHIELD, INSTANCE OF, OBJECTS>
<DENTED STABILIZER, INSTANCE OF, OBJECTS>"
19940412011509I,AIRCRAFT POPPED OPEN ON DESCENT. FLIGHT MANUAL FLEW OUT AND STRUCK TRUCK WINDSHIELD ON GROUND. LANDED SAFELY.      ,"<AIRCRAFT, POPPED OPEN, DESCENT>
<FLIGHT MANUAL, FLEW OUT, GROUND>
<AIRCRAFT, LOCATION, GROUND>
<AIRCRAFT, EVENT DISTANCE, LANDED SAFELY>","<AIRCRAFT, POPPED OPEN, DESCENT>
<FLIGHT MANUAL, FLEW OUT, GROUND>
<AIRCRAFT, LOCATION, GROUND>
<AIRCRAFT, EVENT DISTANCE, LANDED SAFELY>"
19971226042729I,NR2 ENGINE FIRE WHILE LOADING PASSENGERS AT GATE. EVACUATED. FUEL LEVER WAS IN FLIGHT IDLE. CUT OFF. SMOKE CLEARED.,"<NR2 ENGINE FIRE, HAS CAUSE, LOADING PASSENGERS>
<NR2 ENGINE FIRE, EVENT DISTANCE, GATE>
<NR2 ENGINE FIRE, FOLLOWED BY, EVACUATED>
<FUEL LEVER, USED BY, PILOT IN COMMAND>
<FUEL LEVER, TIME PERIOD, FLIGHT IDLE>
<CUT OFF, HAS CAUSE, NR2 ENGINE FIRE>
<SMOKE, HAS EFFECT, NR2 ENGINE FIRE>","<NR2 ENGINE FIRE, HAS CAUSE, LOADING PASSENGERS>
<NR2 ENGINE FIRE, EVENT DISTANCE, GATE>
<NR2 ENGINE FIRE, FOLLOWED BY, EVACUATED>
<FUEL LEVER, USED BY, PILOT IN COMMAND>
<FUEL LEVER, TIME PERIOD, FLIGHT IDLE>
<CUT OFF, HAS CAUSE, NR2 ENGINE FIRE>
<SMOKE, HAS EFFECT, NR2 ENGINE FIRE>"
19950619021589I,AFTER DEPARTING HIGH OIL TEMP. LANDED OFF AIRPOR. SHEARED MAIN GEAR. FOUND LOW ON OIL.                             ,"<HIGH OIL TEMP., HAS EFFECT, LANDED OFF AIRPOR>
<LANDED OFF AIRPOR, FOLLOWED BY, FOUND LOW ON OIL>","<HIGH OIL TEMP., HAS EFFECT, LANDED OFF AIRPOR>
<LANDED OFF AIRPOR, FOLLOWED BY, FOUND LOW ON OIL>"
19940815046149I,BATTERY COMPARTMENT DOOR CAME OPEN. ANTENNA CRACKED WINDSHIELD.                                                    ,"<BATTERY COMPARTMENT DOOR, OPEN, >
<ANTENNA, HAS EFFECT, CRACKED WINDSHIELD>","<BATTERY COMPARTMENT DOOR, OPEN, >
<ANTENNA, HAS EFFECT, CRACKED WINDSHIELD>"
19860228038269I,RETURNED WHEN NOSE GEAR FAILED TO RETRACT. FOUND THAT PIN HAD NOT BEEN REMOVED AFTER PREVIOUS MAINTENANCE.         ,"<NOSE GEAR, FAILED TO RETRACT, RETURNED>
<PIN, NOT REMOVED, FOUND>","<NOSE GEAR, FAILED TO RETRACT, RETURNED>
<PIN, NOT REMOVED, FOUND>"
19790718019229I,GROUND STAND BAGGAGE CART WITH INOPERATIVE BRAKES ROLLED INTO SIDE OF PARKED AIRCRAFT. 9 INCH TEAR IN FUSELAGE.    ,"<BAGGAGE CART, PART OF, AIRCRAFT>
<BAGGAGE CART, INSTANCE OF, GROUND STAND>
<BRAKES, INSTANCE OF, BAGGAGE CART>
<FUSELAGE, HAS EFFECT, 9 INCH TEAR>","<BAGGAGE CART, PART OF, AIRCRAFT>
<BAGGAGE CART, INSTANCE OF, GROUND STAND>
<BRAKES, INSTANCE OF, BAGGAGE CART>
<FUSELAGE, HAS EFFECT, 9 INCH TEAR>"
20000625032189I,(-23)NORTHWEST AIRLINES DC-10 BOEING PUSHED BACK FOR REPOSITIONING OFF OF GATE B-52 STRUCK A CONTINENTAL AIRLINES D,"<DC-10, INSTANCE OF, BOEING>
<DC-10, FOLLOWED BY, PUSHED BACK>
<DC-10, LOCATION, GATE B-52>
<DC-10, STRUCK, CONTINENTAL AIRLINES D>","<DC-10, INSTANCE OF, BOEING>
<DC-10, FOLLOWED BY, PUSHED BACK>
<DC-10, LOCATION, GATE B-52>
<DC-10, STRUCK, CONTINENTAL AIRLINES D>"
19860530030499A,ENGINE OVERHEAT. HOT OIL SMELL.KNEW HE HAD FAILED TO REMOVE AIR INTAKE PLUGS. NOSED OVER IN FURROWS PLOWED FAILED  ,"<ENGINE, HAS CAUSE, ENGINE OVERHEAT>
<ENGINE, HAS EFFECT, HOT OIL SMELL>
<ENGINE, HAS CAUSE, FAILED TO REMOVE AIR INTAKE PLUGS>
<NOSED OVER, HAS EFFECT, PLOWED FAILED>","<ENGINE, HAS CAUSE, ENGINE OVERHEAT>
<ENGINE, HAS EFFECT, HOT OIL SMELL>
<ENGINE, HAS CAUSE, FAILED TO REMOVE AIR INTAKE PLUGS>
<NOSED OVER, HAS EFFECT, PLOWED FAILED>"
19821117066379I,PILOT UNABLE TO PRESSURIZE. FOUND ACCESS DOOR SLIGHTLY OPEN. DEPRESSURIZED. DOOR OPENED FULLY. STOPPED BY FUSELAGE.,"<PILOT, HAS EFFECT, UNABLE TO PRESSURIZE>
<ACCESS DOOR, INSTANCE OF, DOOR>
<ACCESS DOOR, LOCATION, FUSELAGE>
<DEPRESSURIZED, HAS EFFECT, STOPPED>","<PILOT, HAS EFFECT, UNABLE TO PRESSURIZE>
<ACCESS DOOR, INSTANCE OF, DOOR>
<ACCESS DOOR, LOCATION, FUSELAGE>
<DEPRESSURIZED, HAS EFFECT, STOPPED>"
19810303007119A,VEERED OFF RUNWAY ON LANDING.  HIT PARKED AIRPLANE.  NEWLY INSTALLED CARPETING RESTRICTED RUDDER PEDAL MOVEMENT.   ,"<VEERED OFF RUNWAY ON LANDING, HAS EFFECT, PARKED AIRPLANE>
<VEERED OFF RUNWAY ON LANDING, HAS CAUSE, NEWLY INSTALLED CARPETING>
<NEWLY INSTALLED CARPETING, RESTRICTED, RUDDER PEDAL MOVEMENT>","<VEERED OFF RUNWAY ON LANDING, HAS EFFECT, PARKED AIRPLANE>
<VEERED OFF RUNWAY ON LANDING, HAS CAUSE, NEWLY INSTALLED CARPETING>
<NEWLY INSTALLED CARPETING, RESTRICTED, RUDDER PEDAL MOVEMENT>"
19950602032329I,VEERED OFF TAXIWAY. STRUCK TAXIWAY LIGHT. WAS ADVISED DAMAGED PROP. CONTINUED TO LIT.                              ,"<VEERED OFF TAXIWAY, LOCATION, TAXIWAY>
<VEERED OFF TAXIWAY, HAS EFFECT, STRUCK TAXIWAY LIGHT>
<STRUCK TAXIWAY LIGHT, HAS CAUSE, VEERED OFF TAXIWAY>
<STRUCK TAXIWAY LIGHT, HAS EFFECT, WAS ADVISED DAMAGED PROP>
<WAS ADVISED DAMAGED PROP, FOLLOWED BY, CONTINUED TO LIT>","<VEERED OFF TAXIWAY, LOCATION, TAXIWAY>
<VEERED OFF TAXIWAY, HAS EFFECT, STRUCK TAXIWAY LIGHT>
<STRUCK TAXIWAY LIGHT, HAS CAUSE, VEERED OFF TAXIWAY>
<STRUCK TAXIWAY LIGHT, HAS EFFECT, WAS ADVISED DAMAGED PROP>
<WAS ADVISED DAMAGED PROP, FOLLOWED BY, CONTINUED TO LIT>"
19901101064289I,FUEL CAP MISSING FROM RIGHT TANK AND GAS ESCAPING WHILE TAXIING. REPLACED CAP. RESUMED FLIGHT WITHOUT CLEANING WING,"<FUEL CAP, MISSING FROM, RIGHT TANK>
<FUEL, ESCAPING, GAS>
<FUEL CAP, REPLACED BY, ?>
<FLIGHT, RESUMED AFTER, FUEL CAP REPLACEMENT>","<FUEL CAP, MISSING FROM, RIGHT TANK>
<FUEL, ESCAPING, GAS>
<FUEL CAP, REPLACED BY, ?>
<FLIGHT, RESUMED AFTER, FUEL CAP REPLACEMENT>"
20050713014239I,"(-23) ON JULY 13, 2005, AT 1535 MST, AN RAYTHEON AIRCRAFT CO. B36TC (BONANZA), N3042V REGISTERED TO HAVENS LEASING ","<RAYTHEON AIRCRAFT CO. B36TC, INSTANCE OF, AIRCRAFT>
<RAYTHEON AIRCRAFT CO. B36TC, REGISTERED TO, HAVENS LEASING>
<RAYTHEON AIRCRAFT CO. B36TC, TIME PERIOD, JULY 13, 2005>
<RAYTHEON AIRCRAFT CO. B36TC, TIME PERIOD, 1535 MST>","<RAYTHEON AIRCRAFT CO. B36TC, INSTANCE OF, AIRCRAFT>
<RAYTHEON AIRCRAFT CO. B36TC, REGISTERED TO, HAVENS LEASING>
<RAYTHEON AIRCRAFT CO. B36TC, TIME PERIOD, JULY 13, 2005>
<RAYTHEON AIRCRAFT CO. B36TC, TIME PERIOD, 1535 MST>"
19860706034879A,THE ENGINE LOST POWER ON TAKEOFF AND THE AIRCRAFT FLIPPED ON LANDING.PILOT HAD JUST FILLED TANKS. WATER IN FUEL.   ,"<ENGINE, HAS CAUSE, TAKEOFF>
<AIRCRAFT, HAS EFFECT, FLIPPED>
<PILOT, USED BY, TANKS>
<FUEL, HAS EFFECT, WATER>","<ENGINE, HAS CAUSE, TAKEOFF>
<AIRCRAFT, HAS EFFECT, FLIPPED>
<PILOT, USED BY, TANKS>
<FUEL, HAS EFFECT, WATER>"
19840121015319I,ENGINE FAILED AFTER TAKEOFF. TRIED TO MAKE A ROAD BUT DRIFTED OFF THE EDGE. FOUND SOLID ICE IN CARBURETOR BOWL.    ,"<ENGINE, HAS CAUSE, TAKEOFF>
<ENGINE, HAS EFFECT, FAILED>
<CARBURETOR BOWL, PART OF, ENGINE>
<CARBURETOR BOWL, CONTAINS, SOLID ICE>","<ENGINE, HAS CAUSE, TAKEOFF>
<ENGINE, HAS EFFECT, FAILED>
<CARBURETOR BOWL, PART OF, ENGINE>
<CARBURETOR BOWL, CONTAINS, SOLID ICE>"
19950527014439A,LOST CONTROL ON CLIMBOUT AFTER TOW RELEASE. ROLLED BOTH WAYS. SPIRAL TO IMPACT. NEGLECTED TO CONNECT RIGHT AILERON.,"<CLIMBOUT, FOLLOWED BY, LOST CONTROL>
<LOST CONTROL, HAS EFFECT, SPIRAL TO IMPACT>
<RIGHT AILERON, FAILED TO CONNECT, NEGLECTED>","<CLIMBOUT, FOLLOWED BY, LOST CONTROL>
<LOST CONTROL, HAS EFFECT, SPIRAL TO IMPACT>
<RIGHT AILERON, FAILED TO CONNECT, NEGLECTED>"
19960322013629I,NARRATIVE: THE AIRCRAFT WAS BEING FERRIED FOR MAINTENANCE. THE GEAR BLOCKED DOWN AND THE NOSE BLOCK FELL OUT DURING,"<AIRCRAFT, FOLLOWED BY, MAINTENANCE>
<GEAR, LOCATION, DOWN>
<NOSE BLOCK, LOCATION, OUT>","<AIRCRAFT, FOLLOWED BY, MAINTENANCE>
<GEAR, LOCATION, DOWN>
<NOSE BLOCK, LOCATION, OUT>"
19960504009509A,FAILED TO DETACH TRAILER TIE DOWN FROM SKID. LOST CONTROL AND ROLLED ON LIFT OFF. (-23) PILOT FAILED TO FULLY DETAC,"<TRAILER TIE DOWN, FAILED TO DETACH FROM, SKID>
<PILOT, FAILED TO FULLY DETACH, TRAILER TIE DOWN>
<PILOT, LOST CONTROL, TRAILER TIE DOWN>
<PILOT, PERFORMED, ROLL>
<ROLL, EVENT DISTANCE, -23>
<PILOT, INFLUENCED BY, FAILED TO FULLY DETACH>","<TRAILER TIE DOWN, FAILED TO DETACH FROM, SKID>
<PILOT, FAILED TO FULLY DETACH, TRAILER TIE DOWN>
<PILOT, LOST CONTROL, TRAILER TIE DOWN>
<PILOT, PERFORMED, ROLL>
<ROLL, EVENT DISTANCE, -23>
<PILOT, INFLUENCED BY, FAILED TO FULLY DETACH>"
19790211002709A,AIRCRAFT FAILED TO LIFTOFF RUNWAY. RAN OFF END INTO SNOW BANK. FROST ON AIRFRAME.                                  ,"<AIRCRAFT, HAS CAUSE, FAILED TO LIFTOFF RUNWAY>
<AIRCRAFT, HAS EFFECT, RAN OFF END>
<AIRCRAFT, HAS EFFECT, INTO SNOW BANK>
<AIRCRAFT, HAS EFFECT, FROST ON AIRFRAME>","<AIRCRAFT, HAS CAUSE, FAILED TO LIFTOFF RUNWAY>
<AIRCRAFT, HAS EFFECT, RAN OFF END>
<AIRCRAFT, HAS EFFECT, INTO SNOW BANK>
<AIRCRAFT, HAS EFFECT, FROST ON AIRFRAME>"
19850418016709I,ENGINE POWER FAILURE WHILE DOING AEROBATICS. LANDED IN FIELD. PILOT DID NOT VISUALLY INSPECT FUEL TANKS.           ,"<ENGINE, HAS CAUSE, POWER FAILURE>
<POWER FAILURE, TIME PERIOD, DOING AEROBATICS>
<FLIGHT, LOCATION, FIELD>
<PILOT, USED BY, FUEL TANKS>","<ENGINE, HAS CAUSE, POWER FAILURE>
<POWER FAILURE, TIME PERIOD, DOING AEROBATICS>
<FLIGHT, LOCATION, FIELD>
<PILOT, USED BY, FUEL TANKS>"
19780913017419I,ABORTED TAKEOFF WHEN FRONT BAGGAGE DOOR POPPED OPEN.                                                               ,"<ABORTED TAKEOFF, HAS CAUSE, FRONT BAGGAGE DOOR POPPED OPEN>","<ABORTED TAKEOFF, HAS CAUSE, FRONT BAGGAGE DOOR POPPED OPEN>"
19781113027039I,PILOT TAXIED INTO UNMARKED DITCH AT END OF TAXIWAY.                                                                ,"<PILOT, TAXIING, TAXIWAY>
<PILOT, LOCATION, DITCH>
<PILOT, TIME PERIOD, END>","<PILOT, TAXIING, TAXIWAY>
<PILOT, LOCATION, DITCH>
<PILOT, TIME PERIOD, END>"
19870606018859A,UNABLE TO STAY AIRBORNE ON TAKEOFF. ABORTED AND GROUND LOOPED INTO A TREE TO AVOID OVERRUN. MAG SWITCH ON ONE MAG. ,"<TAKEOFF, HAS EFFECT, UNABLE TO STAY AIRBORNE>
<ABORTED TAKEOFF, FOLLOWED BY, GROUND LOOPED>
<GROUND LOOPED, STRUCK, TREE>
<MAG SWITCH, PART OF, MAG>","<TAKEOFF, HAS EFFECT, UNABLE TO STAY AIRBORNE>
<ABORTED TAKEOFF, FOLLOWED BY, GROUND LOOPED>
<GROUND LOOPED, STRUCK, TREE>
<MAG SWITCH, PART OF, MAG>"
19990714022959I,(-23) ACCORDING TO THE PILOT HE DEPARTED FRONT RANGE AIRPORT DURING THE HOURS OF DARKNESS. DURING THE START AND RUN,"<PILOT, DEPARTED FROM, FRONT RANGE AIRPORT>
<DEPARTURE, TIME PERIOD, HOURS OF DARKNESS>
<START, PART OF, RUN>","<PILOT, DEPARTED FROM, FRONT RANGE AIRPORT>
<DEPARTURE, TIME PERIOD, HOURS OF DARKNESS>
<START, PART OF, RUN>"
19870319012959I,NOSE GEAR WOULD NOT RETRACT AFTER TAKEOFF. RETURNED AND FOUND PIN WAS INSTALLED.                                   ,"<NOSE GEAR, FAILED TO RETRACT, AFTER TAKEOFF>
<NOSE GEAR, PART OF, GEAR>
<PIN, INSTALLED, NOSE GEAR>","<NOSE GEAR, FAILED TO RETRACT, AFTER TAKEOFF>
<NOSE GEAR, PART OF, GEAR>
<PIN, INSTALLED, NOSE GEAR>"
20050504010229A,"(-23) A SIKORSKY S-70A, N160LA, ENCOUNTERED A VIBRATION AFTER THE APU DOOR STRUCK A MAIN ROTOR BLADE INFLIGHT NEAR ","<N160LA, INSTANCE OF, SIKORSKY S-70A>
<N160LA, EVENT DISTANCE, INFLIGHT>
<N160LA, HAS CAUSE, APU DOOR STRUCK A MAIN ROTOR BLADE>","<N160LA, INSTANCE OF, SIKORSKY S-70A>
<N160LA, EVENT DISTANCE, INFLIGHT>
<N160LA, HAS CAUSE, APU DOOR STRUCK A MAIN ROTOR BLADE>"
20050429009279I,(-23) THE PILOT WAS TAXIING THE AIRCRAFT TO PARKING FOLLOWING A CARGO TRIP. UPON REACHING A POINT WHERE THE TAXIWAY,"<PILOT, USED BY, AIRCRAFT>
<AIRCRAFT, ACTION, TAXIING>
<TAXIING, FOLLOWED BY, PARKING>
<AIRCRAFT, PART OF, CARGO TRIP>","<PILOT, USED BY, AIRCRAFT>
<AIRCRAFT, ACTION, TAXIING>
<TAXIING, FOLLOWED BY, PARKING>
<AIRCRAFT, PART OF, CARGO TRIP>"
19890723054159I,AFTER LANDING IT WAS DETERMINED THERE WAS INSUFFICIENT NUMBER OF SEATS AND OXYGEN MASKS FOR PASSENGERS ONBOARD.    ,"<LANDING, FOLLOWED BY, DETERMINED>
<PASSENGERS, LACKED, OXYGEN MASKS>
<PASSENGERS, LACKED, SEATS>","<LANDING, FOLLOWED BY, DETERMINED>
<PASSENGERS, LACKED, OXYGEN MASKS>
<PASSENGERS, LACKED, SEATS>"
19970523014439I,NARRATIVE: THE CARGO DOOR WAS LATCHED BEFORE TAKEOFF BY MR. BOWEN. RUNWAY CONDITIONS AT STEVEN'S VILLAGE WAS EXTREM,"<CARGO DOOR, LATCHED BY, MR. BOWEN>
<CARGO DOOR, EVENT DISTANCE, TAKEOFF>
<RUNWAY CONDITIONS AT STEVEN’S VILLAGE, LOCATION, STEVEN’S VILLAGE>","<CARGO DOOR, LATCHED BY, MR. BOWEN>
<CARGO DOOR, EVENT DISTANCE, TAKEOFF>
<RUNWAY CONDITIONS AT STEVEN’S VILLAGE, LOCATION, STEVEN’S VILLAGE>"
19970908038069A,TIRED TAXI WITH TIEDOWN CHAINS ATTACHE. ROLLED OVER. PILOT FAILED NOTE RAMP PERSON TIED SKIDS DUE HIGH WIND.       ,"<Tired Taxi, PART OF, Tiedown Chains>
<Tired Taxi, INSTANCE OF, Rolled Over>
<Pilot, FAILED, Note Ramp Person>
<Pilot, INSTANCE OF, Skids>
<Skids, HAS CAUSE, High Wind>","<Tired Taxi, PART OF, Tiedown Chains>
<Tired Taxi, INSTANCE OF, Rolled Over>
<Pilot, FAILED, Note Ramp Person>
<Pilot, INSTANCE OF, Skids>
<Skids, HAS CAUSE, High Wind>"
19781108022239I,BAGGAGE CART WAS BLOWN INTO PARKED AIRCRAFT BY JET BLAST. BRAKES WERE INOPERATIVE ON CART.                         ,"<BAGGAGE CART, INSTANCE OF, AIRCRAFT>
<JET BLAST, HAS CAUSE, BAGGAGE CART WAS BLOWN INTO PARKED AIRCRAFT>
<BRAKES, FAILED, BAGGAGE CART>","<BAGGAGE CART, INSTANCE OF, AIRCRAFT>
<JET BLAST, HAS CAUSE, BAGGAGE CART WAS BLOWN INTO PARKED AIRCRAFT>
<BRAKES, FAILED, BAGGAGE CART>"
19760606015529A,SUFFICIENT OPPORTUNITY EXISTED TO RELEASE WHEN GLIDER ASSUMED NOSE HIGH ATTITUDE.                                  ,"<RELEASE, TIME PERIOD, SUFFICIENT OPPORTUNITY>
<GLIDER, INSTANCE OF, NOSE HIGH ATTITUDE>","<RELEASE, TIME PERIOD, SUFFICIENT OPPORTUNITY>
<GLIDER, INSTANCE OF, NOSE HIGH ATTITUDE>"
20051009024969I,(-23) ^PRIVACY DATA OMITTED^ HELICOPTER ENGINE POWER CHECKS WERE BEING CONDUCTED BY PILOT AND ONE CREWMEMBER. DURIN,,
19930530020029I,PILOT LOST CONTROL OF AIRCRAFT ON TAKEOFF ROLL. PILOTS SEAT WAS NOT LOCKED IN POSITION AND SLID AFT ON ACCELARATION,"<PILOT, USED BY, AIRCRAFT>
<AIRCRAFT, FOLLOWED BY, TAKEOFF ROLL>
<PILOT, HAS EFFECT, SEATS>
<SEATS, LOCATION, AFT>
<AIRCRAFT, FOLLOWED BY, ACCELERATION>","<PILOT, USED BY, AIRCRAFT>
<AIRCRAFT, FOLLOWED BY, TAKEOFF ROLL>
<PILOT, HAS EFFECT, SEATS>
<SEATS, LOCATION, AFT>
<AIRCRAFT, FOLLOWED BY, ACCELERATION>"
19801230089799I,"FLAT NOSE STRUT FAILED TO EXTEND BEFORE RETRACTION. IT CAUGHT ON AIRPLANE STRUCTURE, BROKE THE BELLCRANK. COLLAPSED","<FLAT NOSE STRUT, FAILED TO EXTEND, BEFORE RETRACTION>
<FLAT NOSE STRUT, HAS EFFECT, COLLAPSED>
<BELLCRANK, BROKE BY, FLAT NOSE STRUT>
<AIRPLANE STRUCTURE, STRUCK BY, FLAT NOSE STRUT>","<FLAT NOSE STRUT, FAILED TO EXTEND, BEFORE RETRACTION>
<FLAT NOSE STRUT, HAS EFFECT, COLLAPSED>
<BELLCRANK, BROKE BY, FLAT NOSE STRUT>
<AIRPLANE STRUCTURE, STRUCK BY, FLAT NOSE STRUT>"
