c5_sources,entity1,entity2,weight,relations,rows
19821117066379I,PILOT,DOOR SLIGHTLY OPEN,1,HAS CAUSE,20
19821117066379I,PILOT,DEPRESSURIZED,1,HAS CAUSE,20
19821117066379I,PILOT,DOOR OPENED FULLY,1,HAS CAUSE,20
19821117066379I,PILOT,STOPPED BY FUSELAGE,1,HAS CAUSE,20
19850418016709I,PILOT,FUEL TANKS,1,USED BY,31
19781113027039I,PILOT,TAXIWAY,1,EVENT DISTANCE,33
19781113027039I,PILOT,UNMARKED DITCH,1,LOCATION,33
20051009024969I,PILOT,HELICOPTER ENGINE POWER CHECKS,1,USED BY,44
19930530020029I,PILOT,ON TAKEOFF ROLL,1,EVENT DISTANCE,45
19930530020029I,PILOT,PILOTS SEAT,1,LOCATION,45
19791128035159A,PILOT,LANDED TO WAIT OUT RAIN SHOWER,1,EVENT DISTANCE,63
19791128035159A,PILOT,CLIMBOUT,1,EVENT DISTANCE,63
19791128035159A,PILOT,LANDED IN FIELD,1,EVENT DISTANCE,63
19791128035159A,PILOT,WATER IN FUEL,1,HAS CAUSE,63
19801005072789I,PILOT,REMAINING BRAKE FAILED,1,EVENT DISTANCE,71
19801005072789I,PILOT,RUNWAY,1,USED BY,71
20030620012809I,PILOT,FAILED TO SECURE OIL FILLER CAP,1,HAS CAUSE,99
20030620012809I,PILOT,OIL,1,USED BY,99
19780221000179I,PILOT,AFTER TAKEOFF,1,EVENT DISTANCE,159
20070630826079I,(-23) AIRCRAFT,RAY AIRPORT,1,LOCATION,8
20070630826079I,(-23) AIRCRAFT,AFTER TAKEOFF,1,EVENT DISTANCE,8
20070630826079I,(-23) AIRCRAFT,ENGINE PROBLEMS,1,HAS CAUSE,8
20050429009279I,(-23) AIRCRAFT,TAXIWAY,1,LOCATION,38
20030607012509A,(-23) AIRCRAFT,BARTLESVILLE MUNICIPAL AIRPORT (BVO),1,LOCATION,70
20030607012509A,(-23) AIRCRAFT,1147 AM LOCAL TIME,1,EVENT DISTANCE,70
19900425011659A,FERRY FLIGHT,POND,1,EVENT DISTANCE,9
19900425011659A,FERRY FLIGHT,LEFT PONTOON SEPARATED LANDING IN A POND,1,HAS EFFECT,9
19900425011659A,FERRY FLIGHT,FUEL CAP NOT SECURED,1,HAS EFFECT,9
19900425011659A,FERRY FLIGHT,FUEL SIPHONED,1,HAS EFFECT,9
19991230042089A,ENGINE,CUTTING OUT,1,HAS CAUSE,10
19991230042089A,ENGINE,NOT DEVELOPING ENOUGH POWER,1,HAS CAUSE,10
19860530030499A,ENGINE,HOT OIL SMELL,1,HAS CAUSE,19
19860530030499A,ENGINE,FAILED TO REMOVE AIR INTAKE PLUGS,1,HAS CAUSE,19
19860530030499A,ENGINE,NOSED OVER IN FURROWS PLOWED,1,HAS CAUSE,19
19860706034879A,ENGINE,LOST POWER,1,HAS EFFECT,25
19860706034879A,ENGINE,AFTER TAKEOFF,1,EVENT DISTANCE,25
19860706034879A,ENGINE,AIRCRAFT FLIPPED,1,HAS EFFECT,25
19840121015319I,ENGINE,DRIFTED OFF THE EDGE,1,HAS CAUSE,26
19840121015319I,ENGINE,FOUND SOLID ICE IN CARBURETOR BOWL,1,HAS CAUSE,26
19940412011509I,FLIGHT MANUAL,STRUCK TRUCK WINDSHIELD ON GROUND,1,EVENT DISTANCE,12
19940412011509I,FLIGHT MANUAL,GROUND,1,LOCATION,12
19940412011509I,FLIGHT MANUAL,LANDED SAFELY,1,EVENT DISTANCE,12
19971226042729I,NR2,ENGINE FIRE,1,HAS CAUSE,13
19971226042729I,NR2,CUT OFF,1,HAS CAUSE,13
19971226042729I,NR2,SMOKE CLEARED,1,HAS CAUSE,13
19950619021589I,MAIN GEAR,AIRPORT,1,LOCATION,14
19810303007119A,VEERED OFF RUNWAY,HITTED PARKED AIRPLANE,1,EVENT DISTANCE,21
19810303007119A,NEWLY INSTALLED CARPETING,RUDDER PEDAL,1,USED BY,21
19980508008619A,LOST POWER,ENROUTE,1,EVENT DISTANCE,47
19860706034879A,TANKS,PILOT,1,USED BY,25
19860706034879A,FUEL,WATER IN FUEL,1,LOCATION,25
19770528021299A,FUEL,R BRAKE,1,LOCATION,121
19950527014439A,LAST CONTROL,TOW RELEASE,1,EVENT DISTANCE,27
19950527014439A,LAST CONTROL,IMPACT,1,EVENT DISTANCE,27
19950527014439A,LAST CONTROL,CONNECT RIGHT AILERON,1,EVENT DISTANCE,27
19940818022409A,LAST CONTROL,H71,1,LOCATION,48
19800506012169A,LAST CONTROL,LOST CONTROL OF AIRPLANE ON TAKEOFF ROLL,1,FOLLOWED BY,62
19800506012169A,LAST CONTROL,FAILED TO REMOVE AILERON-ELEVATOR LOCK PIN,1,FOLLOWED BY,62
19940226003029A,LAST CONTROL,LOST POWER EN ROUTE,1,EVENT DISTANCE,85
19940226003029A,LAST CONTROL,PRIVATE STRIP,1,LOCATION,85
19940226003029A,LAST CONTROL,NOSED OVER,1,EVENT DISTANCE,85
19960322013629I,NOSE,AIRCRAFT,1,PART OF,28
19960322013629I,NOSE,GEAR BLOCKED DOWN,1,INFLUENCED BY,28
19951031041599A,NOSE,OPENED DOOR,1,EVENT DISTANCE,83
19790211002709A,FAIL TO LIFTOFF,RAN OFF END INTO SNOW BANK,1,EVENT DISTANCE,30
19790211002709A,FAIL TO LIFTOFF,FROST ON AIRFRAME,1,HAS CAUSE,30
19850418016709I,ENGINE POWER FAILURE,AEROBATICS,1,FOLLOWED BY,31
19850418016709I,ENGINE POWER FAILURE,LANDED IN FIELD,1,HAS EFFECT,31
19870606018859A,ABORTED TAKEOFF,GROUND LOOPED INTO A TREE,1,EVENT DISTANCE,34
19870606018859A,ABORTED TAKEOFF,UNABLE TO STAY AIRBORNE,1,HAS CAUSE,34
19911222062669I,ABORTED TAKEOFF,AFTER LIFTOFF,1,FOLLOWED BY,69
19911222062669I,ABORTED TAKEOFF,LANDED ON SAME RUNWAY,1,FOLLOWED BY,69
19911222062669I,ABORTED TAKEOFF,RAN OFF SIDE OF RUNWAY,1,FOLLOWED BY,69
19870606018859A,MAG SWITCH,ABORTED TAKEOFF,1,USED BY,34
19870319012959I,RETURNED,FOUND PIN WAS INSTALLED,1,EVENT DISTANCE,36
20050429009279I,(-23) PILOT,(-23) AIRCRAFT,1,USED BY,38
19890723054159I,AFTER LANDING,INSUFFICIENT NUMBER OF SEATS AND OXYGEN MASKS FOR PASSENGERS ONBOARD,1,EVENT DISTANCE,39
19970523014439I,CARGO DOOR,MR. BOWEN,1,USED BY,40
19970523014439I,RUNWAY CONDITIONS,STEVEN'S VILLAGE,1,LOCATION,40
19970908038069A,TIEDOWN CHAINS,TAXI,1,USED BY,41
19970908038069A,TIEDOWN CHAINS,PILOT,1,USED BY,41
19970908038069A,TIEDOWN CHAINS,SKIDS,1,USED BY,41
19970908038069A,TIEDOWN CHAINS,RAMP,1,USED BY,41
19970908038069A,TIEDOWN CHAINS,PERSON,1,USED BY,41
19970908038069A,TIEDOWN CHAINS,WIND,1,USED BY,41
19750818025579A,TAXI,HARD SFC DUE TFC R MAIN GR,1,EVENT DISTANCE,104
19750818025579A,TAXI,ROOF OF A WASHED OUT UNDERGROUND TUNNEL,1,EVENT DISTANCE,104
19771016042599A,WIND,25,1,EVENT DISTANCE,147
19760606015529A,GLIDER,RELEASE,1,HAS EFFECT,43
20051009024969I,CREWMEMBER,HELICOPTER ENGINE POWER CHECKS,1,USED BY,44
19980508008619A,NOSED OVER LANDING,SLOPE,1,LOCATION,47
19980508008619A,NO EVIDENCE OF FUEL,SCENE,1,LOCATION,47
19920405008919A,ATTEMPTED TAKEOFF,2500 FT SOD STRIP,1,LOCATION,49
19920405008919A,ATTEMPTED TAKEOFF,HITTED TREES OFF END OF STRIP,1,EVENT DISTANCE,49
19920405008919A,ATTEMPTED TAKEOFF,GUSTY NORTH WIND,1,HAS CAUSE,49
19920405008919A,ATTEMPTED TAKEOFF,CRASHED,1,EVENT DISTANCE,49
19780403009389I,FORCED LANDING,HIGHWAY,1,LOCATION,173
19950216008379I,N1549U,BETHEL AIRPORT,1,LOCATION,51
19950216008379I,N1549U,AFTER TAKEOFF,1,EVENT DISTANCE,51
19850525020799A,ATTEMPTED DOWNWIND GO AROUND,3 MILES FROM AIRPORT,1,LOCATION,52
19861114075329I,ENTERED TCA,MALFUNCTIONING ENCODING ALTIMETER,1,FOLLOWED BY,53
19960524045629A,BAGGAGE DOOR,AFTER TAKEOFF,1,EVENT DISTANCE,55
19960524045629A,BAGGAGE,HIT LEFT PROP,1,HAS CAUSE,55
19960524045629A,BELWO UMC,LANDED ON SEA ICE,1,FOLLOWED BY,55
19960524045629A,LANDED ON SEA ICE,SEA ICE,1,LOCATION,55
19960524045629A,DOOR,WILL FLY,1,HAS EFFECT,55
19871211075169A,ROUTINE ENGINE,CITY STREET,1,LOCATION,56
19871027060859A,PICTOR,PILOT ERROR,1,HAS CAUSE,58
19871027060859A,PICTOR,FORCED LANDING,1,EVENT DISTANCE,58
19871027060859A,PICTOR,ELECTRIC POWER LOST,1,HAS CAUSE,58
19871027060859A,PICTOR,STRUCK POWER POLE,1,HAS CAUSE,58
19871027060859A,PICTOR,CIRCUIT BREAKER OFF,1,HAS CAUSE,58
19980616023109I,ENGINE COWLING SEPERATED,LOUD BANG AND SHUDDER ENROUTE,1,HAS CAUSE,59
19980616023109I,ENGINE COWLING SEPERATED,SPARKS AT ROTOR,1,HAS CAUSE,59
19980616023109I,ENGINE COWLING SEPERATED,COWL NOT FASTENED,1,HAS CAUSE,59
19910710026989A,CLIMBOUT,NO LOCKING PINS IN SEAT TRACK,1,HAS CAUSE,60
19910710026989A,CLIMBOUT,SEAT PIN BENT,1,HAS CAUSE,60
19910710026989A,CLIMBOUT,BELT NOT FASTENED,1,HAS CAUSE,60
20060621012279A,AT ROTATION,SEAT SLID BACK,1,FOLLOWED BY,64
20060621012279A,AT ROTATION,AFTER TAKEOFF,1,EVENT DISTANCE,64
20060621012279A,SEAT SLID BACK,OVERROTATE,1,HAS CAUSE,64
19780402008409I,TAXIING AIRCRAFT,WORN OUT & INEFFECTIVE BRAKES,1,HAS CAUSE,67
19890725041869I,ENGINE START,PILOTS SEAT WENT TO FULL AFT POSITION,1,FOLLOWED BY,68
19890725041869I,ENGINE START,PUSH THROTTLE IN FULL,1,FOLLOWED BY,68
19890725041869I,ENGINE START,AIRCRAFT COLLIDED WITH PARKED PLANE,1,FOLLOWED BY,68
19781210024199I,WHEELS,SNOW PACKED IN THE WHEEL PANTS,1,HAS EFFECT,72
19780427013859I,ENGINE COWLING,ENGINE,1,PART OF,75
20070202001609A,FLIGHT,NOTH PLATTE, NE,1,LOCATION
20070202001609A,FLIGHT,IOWA CITY, IA,1,LOCATION
20070202001609A,FLIGHT,NEAR GRINNELL,1,EVENT DISTANCE,76
20070202001609A,FLIGHT,LOST POWER,1,HAS CAUSE,76
19951031041599A,FLIGHT,TEST FLIGHT,1,TIME PERIOD,83
19951031041599A,FLIGHT,STORAGE,1,LOCATION,83
19780916024019A,TIE DOWN STRAP,LEFT SKID,1,USED BY,77
19780916024019A,TIE DOWN STRAP,TRAILER,1,USED BY,77
19780916024019A,TIE DOWN STRAP,HEPER,1,USED BY,77
20060718018299I,THE PILOT IN COMMAND (PIC),FAILED TO ENSURE ALL FUEL TANK CAPS WERE SECURELY FASTENED PRIOR TO DEPARTURE,1,HAS CAUSE,78
19961027033759A,PRIOR DEMO FLIGHT,CONNECTING ROD BENT BY HYDRO LOCK IN NR5 CYL ON STARTUP,1,EVENT DISTANCE,80
19961027033759A,CONNECTING ROD,BROKE,1,HAS CAUSE,80
19961027033759A,BROKE,HIT COUNTER WT.,1,HAS CAUSE,80
19961027033759A,BROKE,BROKE PORP SHAFT,1,HAS CAUSE,80
20010411006739I,(-23) THE HELICOPTER,HELIPAD,1,LOCATION,87
20010411006739I,(-23) THE HELICOPTER,FLY POSITION,1,EVENT DISTANCE,87
19870816062719I,COPPER TUBE,AERIAL BANNERS,1,USED BY,88
19870816062719I,COPPER TUBE,THROUGH THE ROOF OF A HOUSE,1,EVENT DISTANCE,88
19980620030289I,MR. KADERA,3 MILES,1,EVENT DISTANCE,89
19980620030289I,MR. KADERA,HIGHWAY 93,1,LOCATION,89
19980620030289I,MR. KADERA,SUNMER, IOWA,1,LOCATION
19980415037339I,NOSE BAGGAGE CARGO,WOODEN WHEEL CHOCK,1,HAS CAUSE,91
20000215041409A,BEECH 1900D,1825 EASTERN STANDARD TIME,1,TIME PERIOD,93
20000215041409A,BEECH 1900D,N81SK,1,LOCATION,93
19880527016939A,FUEL TANK,SELECTED FUEL TANK EMPTY,1,HAS EFFECT,95
19960418007829A,CRASHED AND BURNED,AFTER DEPARTURE FROM A GRASS RUNWAY,1,EVENT DISTANCE,96
19960418007829A,CRASHED AND BURNED,GRASS RUNWAY,1,LOCATION,96
19970828026989A,(-23) M,LOUD POP ON TAKEOFF ROLL,1,EVENT DISTANCE,97
19970828026989A,(-23) M,LOST RUDDER CONTROL,1,EVENT DISTANCE,97
19970828026989A,(-23) M,EXITED RWY INTO CORNFIELD,1,EVENT DISTANCE,97
19970828026989A,(-23) M,HAD FAILED TO LOCK THE TAILWHEEL,1,EVENT DISTANCE,97
19751029037799A,2ND ILS APCH,ACFT'S G/S INOP.LOM TUNED TO WRONG FREQ,1,HAS CAUSE,102
19751209037899A,PLT,SOFT R BRAKE PEDAL DRG TAXI,1,USED BY,103
19751209037899A,PLT,TKOF.FLT RTND SPRINGFIELD,1,LOCATION,103
19751209037899A,PLT,BOS,1,LOCATION,103
19761022033409A,PLT,T/O,1,EVENT DISTANCE,110
19761022033409A,PLT,IFR,1,EVENT DISTANCE,110
19761022033409A,PLT,VFR DEPARTURE,1,EVENT DISTANCE,110
19761022033409A,PLT,WNDSHD,1,EVENT DISTANCE,110
19761022033409A,PLT,WINDOWS FOGGED UP,1,EVENT DISTANCE,110
19761021035989A,PLT,PREV NOSE WHEEL VIBRATION,1,EVENT DISTANCE,111
19761021035989A,PLT,GR SAFE LGT,1,EVENT DISTANCE,111
19761021035989A,PLT,WIND GUSTING 23KTS,1,EVENT DISTANCE,111
19770622018359A,PLT,EMERG LNDNG GR EXTNSN,1,EVENT DISTANCE,125
19770622018359A,PLT,ELECTRICAL PWR FAILURE,1,HAS CAUSE,125
19750923031109A,KNOWN ELECTRICAL PROBABILITY,EMERG GR DOWN SYS,1,USED BY,106
19760215007629A,MTNS OBSCURED,FLT,1,MAINTAINED BY,107
19760215007629A,MTNS OBSCURED,PRIOR DAY,1,EVENT DISTANCE,107
19760507010379A,LEFT ENG OIL SUPPLY,GEAR-UP LDG IN MESQUITE BRUSH,1,HAS CAUSE,109
19760507010379A,LEFT ENG OIL SUPPLY,DENSITY ALT,7200FT,1,HAS CAUSE
19760507010379A,LEFT ENG OIL SUPPLY,HIGH OIL USAGE ENG,1,HAS CAUSE,109
19761119035559A,BANNER PICK UP,LOOP ON TOW ROPE CAUGHT ON L LNDG GR.PLT UN MAINTAIN FLT,1,EVENT DISTANCE,114
19770814024089A,L MAG INOP.#5 CYL COMPRESSION,25/80,1,HAS CAUSE,119
19770622022049A,OIL FILLER CAP,MISSING,1,HAS CAUSE,123
19770617020389A,INSUFFICIENT ALTITUDE FOR SUCCESSFUL AUTOROTATION,AUTOROTATION,1,EVENT DISTANCE,126
19770703018529A,FIRST FLT AFTR ANNUAL,N/A,3,EVENT DISTANCE;MAINTAINED BY;TIME PERIOD,128
19770706020519A,AN175-16,PULLED THROUGH TORQUE LINK CENTER SCISSORS,1,HAS CAUSE,129
19770706020519A,AN175-16,WASHER CRACKED,1,HAS CAUSE,129
19770706020519A,AN175-16,SEPARATED FRM BOLT,1,HAS CAUSE,129
19770912040629A,100 OCTANE FUEL,AIRCRAFT,2,MAINTAINED BY;USED BY,130
19770912040629A,100 OCTANE FUEL,NOT FEATHERED AUTOFEATHER,1,HAS CAUSE,130
19780102000459I,TAXIED OFF RUNWAY,STRUCK DITCH AT NIGHT,1,EVENT DISTANCE,141
19780102000459I,TAXIED OFF RUNWAY,LANDING LIGHT WAS INOPERATIVE,1,EVENT DISTANCE,141
19771104034549A,FRT BRAKE PUCK 70,LAST WK,1,TIME PERIOD,143
19780319009079I,BOLT IN NOSE GEAR SCISSORS,AFTER TAKEOFF,1,EVENT DISTANCE,166
19780319009079I,BOLT IN NOSE GEAR SCISSORS,AFTER LIFTOFF,1,EVENT DISTANCE,166
19780319009079I,NOSE WHEEL,AFTER LIFTOFF,1,EVENT DISTANCE,166
19780610045289I,FUEL TANK DRAIN VALVE,SPRING LOADED TANK,1,LOCATION,198
