c5_sources,node,count
19790313008789I;19790316009739I;19970908038069A,RAMP,3
19970908038069A,PERSON,1
19771016042599A;19791219034489A;19970908038069A,WIND,3
19760606015529A;19790609016529A,GLIDER,2
19760606015529A,RELEASE,1
20051009024969I,HELICOPTER ENGINE POWER CHECKS,2
20051009024969I,CREWMEMBER,1
19930530020029I,ON TAKEOFF ROLL,1
19930530020029I,PILOTS SEAT,1
19980508008619A,ENROUTE,1
19980508008619A,NOSED OVER LANDING,1
19980508008619A,SLOPE,1
19980508008619A,NO EVIDENCE OF FUEL,1
19980508008619A,SCENE,1
19940818022409A,H71,1
19940818022409A,BAD OIL LEAK,1
19940818022409A,CRACKED ENGINE CASE,1
19790515018139A;19920405008919A,ATTEMPTED TAKEOFF,6
19920405008919A,2500 FT SOD STRIP,1
19920405008919A,HITTED TREES OFF END OF STRIP,1
19920405008919A,GUSTY NORTH WIND,1
19790807024709A;19800322006789A;19920405008919A,CRASHED,3
19780403009389I;19840821046409A;19871027060859A,FORCED LANDING,3
19790319004969A;19790801021959A;19791102034159A;19840821046409A,ENGINE FAILURE,5
19950216008379I,N1549U,2
19950216008379I,BETHEL AIRPORT,1
19850525020799A,ATTEMPTED DOWNWIND GO AROUND,1
19850525020799A,3 MILES FROM AIRPORT,1
19861114075329I,ENTERED TCA,1
19861114075329I,MALFUNCTIONING ENCODING ALTIMETER,1
19800624056259I;19960524045629A,BAGGAGE DOOR,2
19960524045629A,BAGGAGE,1
19960524045629A,HIT LEFT PROP,1
19960524045629A,BELWO UMC,1
19960524045629A,LANDED ON SEA ICE,2
19960524045629A,SEA ICE,1
19960524045629A,DOOR,1
19960524045629A,WILL FLY,1
19871211075169A,ROUTINE ENGINE,1
19871211075169A,CITY STREET,1
19871027060859A,PICTOR,5
19871027060859A,PILOT ERROR,1
19871027060859A,ELECTRIC POWER LOST,1
19871027060859A,STRUCK POWER POLE,1
19871027060859A,CIRCUIT BREAKER OFF,1
19980616023109I,ENGINE COWLING SEPERATED,3
19980616023109I,LOUD BANG AND SHUDDER ENROUTE,1
19980616023109I,SPARKS AT ROTOR,1
19980616023109I,COWL NOT FASTENED,1
19791128035159A;19910710026989A,CLIMBOUT,4
19910710026989A,NO LOCKING PINS IN SEAT TRACK,1
19910710026989A,SEAT PIN BENT,1
19910710026989A,BELT NOT FASTENED,1
19800506012169A,LOST CONTROL OF AIRPLANE ON TAKEOFF ROLL,1
19800506012169A,FAILED TO REMOVE AILERON-ELEVATOR LOCK PIN,1
19791128035159A,LANDED TO WAIT OUT RAIN SHOWER,1
20060621012279A,AT ROTATION,2
19790214002969A;19791029027649A;20060621012279A,SEAT SLID BACK,4
20060621012279A,OVERROTATE,1
19780402008409I;19780921019829I;19790306009619I,TAXIING AIRCRAFT,5
19780402008409I,WORN OUT & INEFFECTIVE BRAKES,1
19890725041869I,ENGINE START,3
19890725041869I,PILOTS SEAT WENT TO FULL AFT POSITION,1
19890725041869I,PUSH THROTTLE IN FULL,1
19890725041869I,AIRCRAFT COLLIDED WITH PARKED PLANE,1
19780319009079I;19911222062669I,AFTER LIFTOFF,3
19911222062669I,LANDED ON SAME RUNWAY,1
19911222062669I,RAN OFF SIDE OF RUNWAY,1
20030607012509A,BARTLESVILLE MUNICIPAL AIRPORT (BVO),1
20030607012509A,1147 AM LOCAL TIME,1
19801005072789I,REMAINING BRAKE FAILED,1
19790421024889I;19800106011019I;19800429039119A;19801005072789I,BEYOND THE RUNWAY,4
19781210024199I,WHEELS,1
19781210024199I,SNOW PACKED IN THE WHEEL PANTS,1
19780427013859I,ENGINE COWLING,1
19780808049579I;19780831038519I;19790605014519I;19791116043249A;19800331045949I;19951031041599A;20070202001609A,BEFORE FLIGHT,15
20070202001609A,NOTH PLATTE, NE,1
20070202001609A,IOWA CITY, IA,1
20070202001609A,NEAR GRINNELL,1
19780916024019A,TIE DOWN STRAP,3
19780916024019A,LEFT SKID,1
19780916024019A,TRAILER,1
19780916024019A,HEPER,1
20060718018299I,THE PILOT IN COMMAND (PIC),1
20060718018299I,FAILED TO ENSURE ALL FUEL TANK CAPS WERE SECURELY FASTENED PRIOR TO DEPARTURE,1
19961027033759A,PRIOR DEMO FLIGHT,1
19961027033759A,CONNECTING ROD BENT BY HYDRO LOCK IN NR5 CYL ON STARTUP,1
19961027033759A,CONNECTING ROD,1
19961027033759A,BROKE,3
19961027033759A,HIT COUNTER WT.,1
19961027033759A,BROKE PORP SHAFT,1
19870309039779I,TAXIING,1
19951031041599A,OPENED DOOR,1
19951031041599A,TEST FLIGHT,1
19951031041599A,STORAGE,1
19940226003029A,LOST POWER EN ROUTE,1
19940226003029A,PRIVATE STRIP,1
19940226003029A,NOSED OVER,1
20010411006739I,(-23) THE HELICOPTER,2
20010411006739I,HELIPAD,1
20010411006739I,FLY POSITION,1
19870816062719I,COPPER TUBE,2
19870816062719I,AERIAL BANNERS,1
19870816062719I,THROUGH THE ROOF OF A HOUSE,1
19980620030289I,MR. KADERA,3
19980620030289I,3 MILES,1
19980620030289I,HIGHWAY 93,1
19980620030289I,SUNMER, IOWA,1
19980415037339I,NOSE BAGGAGE CARGO,1
19980415037339I,WOODEN WHEEL CHOCK,1
20000215041409A,BEECH 1900D,2
20000215041409A,1825 EASTERN STANDARD TIME,1
20000215041409A,N81SK,1
19800608019219A;19880527016939A,AVOIDING TREES,4
19790507025919I;19800712077549I;19880527016939A,FUEL TANK,3
19880527016939A,SELECTED FUEL TANK EMPTY,1
19960418007829A,CRASHED AND BURNED,2
19960418007829A,AFTER DEPARTURE FROM A GRASS RUNWAY,1
19960418007829A,GRASS RUNWAY,1
19970828026989A,(-23) M,4
19970828026989A,LOUD POP ON TAKEOFF ROLL,1
19970828026989A,LOST RUDDER CONTROL,1
19970828026989A,EXITED RWY INTO CORNFIELD,1
19970828026989A,HAD FAILED TO LOCK THE TAILWHEEL,1
20030620012809I,FAILED TO SECURE OIL FILLER CAP,1
20030620012809I,OIL,1
19751029037799A,2ND ILS APCH,1
19751029037799A,ACFT'S G/S INOP.LOM TUNED TO WRONG FREQ,1
19751209037899A;19761021035989A;19761022033409A;19770622018359A;19780805024609A;19790603012119A,PLT,16
19751209037899A,SOFT R BRAKE PEDAL DRG TAXI,1
19751209037899A,TKOF.FLT RTND SPRINGFIELD,1
19751209037899A,BOS,1
19750818025579A,HARD SFC DUE TFC R MAIN GR,1
19750818025579A,ROOF OF A WASHED OUT UNDERGROUND TUNNEL,1
19750905025029A,6 IN RUT,1
19750905025029A,GRASS TAXIWAY NOSE WHEEL,1
19750923031109A,KNOWN ELECTRICAL PROBABILITY,1
19750923031109A,EMERG GR DOWN SYS,1
19760215007629A,MTNS OBSCURED,2
19760215007629A,FLT,1
19760215007629A,PRIOR DAY,1
19760507010379A,LEFT ENG OIL SUPPLY,3
19760507010379A,GEAR-UP LDG IN MESQUITE BRUSH,1
19760507010379A,DENSITY ALT,7200FT,1
19760507010379A,HIGH OIL USAGE ENG,1
19761022033409A,T/O,1
19761022033409A,IFR,1
19761022033409A,VFR DEPARTURE,1
19761022033409A,WNDSHD,1
19761022033409A,WINDOWS FOGGED UP,1
19761021035989A,PREV NOSE WHEEL VIBRATION,1
19761021035989A,GR SAFE LGT,1
19761021035989A,WIND GUSTING 23KTS,1
19761119035559A,BANNER PICK UP,1
19761119035559A,LOOP ON TOW ROPE CAUGHT ON L LNDG GR.PLT UN MAINTAIN FLT,1
19770814024089A,L MAG INOP.#5 CYL COMPRESSION,1
19770814024089A,25/80,1
19770530012939A,WRONG PROP INSTALLED,1
19770528021299A,R BRAKE,1
19770622022049A,OIL FILLER CAP,1
19770622022049A,MISSING,1
19770622018359A,EMERG LNDNG GR EXTNSN,1
19770622018359A,ELECTRICAL PWR FAILURE,1
19770617020389A,INSUFFICIENT ALTITUDE FOR SUCCESSFUL AUTOROTATION,1
19770617020389A,AUTOROTATION,1
19770703018529A,FIRST FLT AFTR ANNUAL,3
19770703018529A;19781129037719A,N/A,4
19770706020519A,AN175-16,3
19770706020519A,PULLED THROUGH TORQUE LINK CENTER SCISSORS,1
19770706020519A,WASHER CRACKED,1
19770706020519A,SEPARATED FRM BOLT,1
19770912040629A,100 OCTANE FUEL,3
19770912040629A,NOT FEATHERED AUTOFEATHER,1
19780112002729I;19780904017739I;19781102023549I;19790312008529I;19790627017429I,FORCED LANDING AFTER POWER LOSS,7
19780112002729I;19800224029629I,WATER FOUND IN FUEL,2
19780102000459I,TAXIED OFF RUNWAY,2
19780102000459I,STRUCK DITCH AT NIGHT,1
19780102000459I,LANDING LIGHT WAS INOPERATIVE,1
19771104034549A,FRT BRAKE PUCK 70,1
19771104034549A,LAST WK,1
19771016042599A,25,1
19780225001789I,REFUELING,1
19780319009079I,BOLT IN NOSE GEAR SCISSORS,2
19780319009079I,NOSE WHEEL,1
19780403009389I;19790820032669I,HIGHWAY,2
19780610045289I,FUEL TANK DRAIN VALVE,1
19780610045289I,SPRING LOADED TANK,1
19780623036259I,LANDED ON BEACH,1
19780623036419I,LANDED AFTER NOTING OIL ON WINDSHIELD,1
19780623036419I,OIL CAP WAS LOOSE,1
19780624034629I,STRUCK WIRES,1
19780625035919I,WATER AND OTHER FOREIGN MATERIAL IN GASCOLATOR BOWL,1
19780625035779I,FUEL SELECTOR MOVED BY A PASSENGER DURING LOADING,1
19780625035779I,SOON AFTER TAKEOFF,1
19780626034739I,WATER IN THE FUEL SYSTEM,1
19780626034739I,NEWLY PURCHASED AIRPLANE,1
19780626034739I,STORED OUTSIDE,1
19780820049069I,LANDING STRAIGHT AHEAD IN OAT FIELD,1
19780805024609A,MOVED MIXTURE CONTROL TO CUT OFF POSITION,1
19780725039589I,55 GAL DRUM,1
19780725039589I,QUIT ON TAKEOFF,1
19780723038809I;19790622017199I;19791014005659A,STUDENT PILOT,4
19780723038809I;19800508011869A,RAN OUT OF FUEL,2
19780808049579I,PILOT FAILED TO SECURE OIL STICK,1
19780809049919I,LEFT GEAR,2
19780809049919I,COLLAPSED ON ROLL OUT,1
19780809049919I,HYDRAULIC SYSTEM,2
19780809049919I,LOW ON FLUID,1
19780811037539I,DRAINED WATER FROM FUEL TANK,1
19780825038179I,15 MINUTES AFTER TAKEOFF,1
19780825038179I,LANDED ON GOLF COURSE DUE TO FUEL EXHAUSTION,1
19780831038519I,AFTER LANDING, COWLING STRUCK PROP,1
19780831038519I,COWLING,1
19780831038519I,BROKE INTO PIECES,1
19780901016759I;19790427100619I;19790429025299I;19800418044679I;19800619055649I,NOSE GEAR,6
19780901016759I,JAMMED,1
19780901016759I,NOSE GEAR STRUT,1
19780901016759I,DEFLATED,1
19780904017739I,JET FUEL,1
19780907018599I,WING FLOATS,1
19780907018599I,NOSE GAR DOOR LINKAGE BROKEN,1
19780907018599I,NOSE GAR DOOR,1
19780907018599I,SHARP TURN,1
19780920018899I,EXPLOSION,1
19780920018899I,PILOT MISTOOK FOR BACKFIRE,1
19780920018899I,BEGAN FLIGHT,3
19780920018899I,EXPLOSION HEARD DURING ENGINE START,1
19780920018899I,LATER, EXPLOSION HEARD DURING ENGINE START,1
19780920018899I,EXHAUST TUNNELS,1
19781018032569I,UNABLE TO GET THE NOSE WHEEL DOWN,1
19781018032569I,WHEEL WELL,2
19781018032569I,TOW BAR,1
19781102023549I;19790111000619I;19790210006409I;19790312008529I;19790425024979I;19790528028209I;19790627017429I;19790916031359A;19791022029739A;19791218033279A;19800119000759A,FOUND WATER IN FUEL,14
19780921019829I,LOST NOSE WHEEL STEERING,1
19780921019829I,MAINTENANCE HANGAR,1
19780921019829I,WINGTIP,2
19780921019829I,HIT HANGAR,1
19780921019829I,CAUGHT ON FIRE,1
19780925018069I,GEAR RETRACTED ON LANDING ROLLOUT,1
19780903028619A,EXCESSIVE WATER IN FUEL,1
19780923027059I,GEAR PARTIALLY EXTENDED,1
19780923027059I,COLLAPSED ON TOUCHDOWN,1
19780908034669A,GENERATOR SHORTING,1
19780908034669A,GENERATOR CIRCUIT BREAKER SWITCH,1
19781020041019A,STRUCK COM POLES & CONCRETE WALL & BURNED,1
19781020041019A,NO 4 ROD ASY (PN 41A2) FAILED,1
19781021036569A,DMGD WING,1
19781021036569A,AILERON DRG PREVIOUS LDG,1
19781009029939I,LOST POWER AFTER LIFTOFF,1
19781009029939I,LANDED GEAR UP ON THE TAKEOFF RUNWAY,1
19781009029939I,TOPPED OFF WITH JET FUEL,1
19780829037939I,LANDED ON REMAINING RUNWAY GEAR UP,1
19790119001139A,AIRFRAME ICE,1
19790119001139A,FAILED TO CLIMB AFTER LIFTOFF,1
19790119001139A,FAIL TO CLIMB AFTER LIFTOFF DUE TO AIRFRAME ICE,2
19790119001139A,STRUCK A FENCE,1
19790119001139A,WENT INVERTED,1
19781114026859I;19800712077549I,QUIT,3
19781114026859I;19800504044909I,FORCED LANDING IN FIELD,2
19781114026859I,FUEL LINES,2
19781114026859I,ICE IN FUEL LINES,1
19781230019999I,ONE ENGINE QUIT ON TAKEOFF DUE TO FUEL STARVATION,1
19781230020029I,ENGINE FALURE,3
19781230020029I,TOTAL ELECTRICAL FAILURE,1
19781230020029I,BATTERY KNOWN TO BE BAD,1
19781230020029I,FUEL CONTROL UNIT POOR CONDITION,1
19790107000829I,FLAMED OUT,1
19790107000829I,DRAINED 6 QTS OF WATER FROM LEFT NACELLE AND BOOST PUMP,1
19790111000619I,QUIT AFTER LIFTOFF,1
19790111000619I,LANDED GEAR UP,1
19790111000619I,3 FOULED SPARK PLUGS,1
19790113001939I,STOPPED DUE TO WATER IN ALL OF THE FUEL SYSTEM,1
19790113001939I,Landed Aircraft,1
19781207022839I,SNOW BLOWN IN THE ENGINE COMPARTMENT,1
19781207022839I,SNOW MELTED,1
19781207022839I,FROZE UP THE THROTTLE LINKAGE,1
19781215040349A,LOAD,2
19781215040349A,HOOK RELEASE ELECTRICAL PLUG,1
19781215040349A,FROZEN TO THOUND,1
19781129037719A,PLT RQSTD & CNTLR APPVD SPCL VFR CLRNCE AT NITE,1
19790210006409I;19790318009229I,FORCED LANDING AFTER ENGINE QUIT,2
19790223006939I,BAGGAGE CART,1
19790223006939I,ROLLED INTO B99,1
19790223006939I,B99,1
19790223006939I,WHILE DEPARTING GATE JET BLAST,1
19790306009619I,TAXIED INTO DRAINAGE DITCH AT NIGHT,1
19790306009619I,LANDING LIGHT INOPERABLE,1
19790316009739I;19790729018879A,NOS EWHEEL,3
19790316009739I,ONE PROP MORE THAN OTHER,1
19790316009739I,NOSE WHEEL SANK DOWN IN HOLE ON RAMP,1
19790318009229I,ZG,2
19790318009229I,FUEL SELECTOR NOT POSITIONED PROPERLY,1
19790404013469I,NOISE DURING RETRACTION,1
19790404013469I,NOSE GEAR COLLAPSED ON LANDING,1
19790404013469I,LOOSE NOSE GEAR DOOR,1
19790404013469I,BROKE MECHANISM,1
19790207002469A;19800716028479A,EMERGENCY LANDING,2
19790207002469A,AFTER FALLING FROM GLOVE BOX,1
19790316004819A,UNABLE TO CONTROL AIRCRAFT DURING TAKEOFF,1
19790316004819A,RESTRICTED STEERING,1
19790316004819A,FROST,1
19790214002969A,STARTED ENGINE,1
19790214002969A,UNABLE TO REACH CONTROLS,2
19790214002969A,HIT PARKED ACFT,1
19790316004809A;19790414012459I;19790916031359A,FUEL SYSTEM,4
19790414012459I,CONTAMINATED WITH A COLORLESS, ODERLESS SUBSTANCE,1
19790211007509A;19791014052729I,MADEN AIRCRAFT,2
19790207002459A;19790808027309A;19791218033279A;19800119000759A,FAILED DURING TAKEOFF,4
19790222003429A,6700 FT ALTITUDE,1
19790222003429A,SETTLED ONTO ICE,1
19790222003429A,SNOW COVERED LAKE,1
19790412014049I,PRECAUTIONARY LANDING,1
19790412014049I,ONE SIDE OF THE ENGINE COWL CAME OPEN DUE TO A LOOSE DZUS FASTENER,1
19790222003439A,65 DAYS PRIOR TO ACCIDENT,1
19790204002289A;19800119018919I,ICE,5
19790204002289A,GASCOLATOR,1
19790204002289A,FLEXIBLE HOSE,1
19790319004969A,CONTAMINATED FUEL,1
19790405013359I,OBSTRUCTION,1
19790405013359I,BETWEEN RUDDER AND VERTICAL STABILIZER,1
19790316004809A,STOPPED ON FINAL APPROACH,1
19790316004809A,STRUCK GROUND SHORT OF RUNWAY,1
19790316004809A;19790318010729A,WATER,2
19790421024889I,TOOK OFF WITH THE ENGINE NOT OPERATING PROPERLY,1
19790210002629A,FCD LDG,1
19790210002629A,AT NIGHT,1
19790318010729A,STOPPED ON EMPTY TANK DURING ILS APPROACH,1
19790318010729A,WOULD NOT START ON FULL TANK,1
19790318010729A,SHORT OF RWY,1
19790309032649A,CAME OPEN IN FLIGHT,1
19790309032649A,FAILURE COULD NOT BE DUPLICATED,1
19790309032649A,CARGO DOOR CAME OPEN IN FLIGHT,1
19790421024749I,QUIT SOON AFTER TAKEOFF,1
19790421024749I,WATER AND DEBRIS FOUND IN THE FUEL SYSTEM,1
19790224007709I,LANDED LONG AFTER APPROACH,1
19790224007709I,RAN OFF DEPARTURE END OF RUNWAY,1
19790210002639A,CRASHED AIRCRAFT,2
19790210002639A,FIRST TEST FLIGHT AFTER REBUILDING,1
19790210002639A,AILERON CONTROLS REVERSED,1
19790224007469I,ENGINE QUIT LEVEL FLIGHT,3
19790224007469I,LEFT TANK EMPTY,1
19790224007469I,ICE IN RIGHT TANK,1
19790224007469I,GAS SEDIMENT BOWL WOULD NOT DRAIN,1
19790216014249A,GUST LOCK,1
19790209002599A,TRUCK,1
19790421024669I;19790812030579I,GEAR,2
19790421024669I;19800418044679I,COLLAPSED AFTER LANDING,2
19790421024669I,EMERGENCY EXTENSION CRANK,1
19790421024669I,NOT PROPERLY STOWED,1
19790603029089I,THROTTLE CABLE HOUSING,2
19790603029089I,WENT TO IDLE,1
19790603029089I;19790928049769I,NOT BEEN PROPERLY SECURED,2
19790605014519I,TANK CAP, IMPROPERLY INSTALLED,1
19790529041069A,ENGINE LOST POWER ON TAKEOFF,1
19790529041069A,ALTERNATE AIR DEFECT,1
19790603012119A,25-FT AGL LIFTOFF,1
19790603012119A,ENGINE STOPPED,1
19790603012119A,HIT GROUND,1
19790603012119A,FAILED TO ASSURE FUEL VALVE ON,1
19790603012119A,BANK ACFT, STALLED, HIT GROUND,1
19790515018139A,LOCKED FLIGHT CONTROLS,1
19790515018139A,FACTOR INADEQUATE PRE-FLIGHT CHECK,1
19790513010459A,ACFT NOSED OVER,1
19790513010459A,ONE FOOT HIGH GRASS,1
19790623022919A,SPUTTERING ON TAKEOFF,1
19790623022919A,CRASHED & BURNED,1
19790609016529A,ROPE,1
19790609016529A,140 FEET ABOVE GROUND,1
19790427100619I;19790429025299I;19800427044589I,COLLAPSED,3
19790427100619I,ENGINE EQUIPPED WITH HYDRAULIC PUMP, SHUT DOWN,1
19790427100619I,ENGINE EQUIPPED WITH HYDRAULIC PUMP WAS SHUT DOWN,1
19790427100619I,EMERGENCY PROCEDURES, NOT FOLLOWED,1
19790427100619I,EMERGENCY PROCEDURES NOT FOLLOWED,1
19790427100559I,AIRCRAFT DAMAGED IN AUTOROTATION,1
19790427100559I;19800504044909I,FUEL CONTAMINATION,2
19790623014019A,RUDDER TRIM,1
19790623014019A,RAN OFF LEFT SIDE OF RUNWAY ON TAKEOFF,1
19790605014429I,LANDED IN STREET,1
19790605014429I,DAMAGED SPEED LIMIT SIGN DURING TAXI BACK TO FIELD,1
19790610014749I,ENGINE QUIT AFTER LIFT OFF,1
19790610014749I,TANKS NEARLY EMPTY,1
19790622017199I;19790622017219I,TOPPED TANKS,2
19790622017199I,GOT WATER IN THE FUEL,1
19790622017199I,ENGINE QUIT TWICE,1
19790622017199I,QUIT TWICE,1
19790625015009A,TWO & ONE HALF QUARTERS OF WATER DRAINED FROM GAS TANK,1
19790503025389I,DEVELOPING ELECTRICAL PROBLEM,1
19790503025389I,PILOT LANDED,1
19790429025299I,FLAT STRUT,1
19790513026659I,OIL LEAK,1
19790513026659I,LOSS OF OIL PREESURE,1
19790513026659I,8 QUARTS OIL,1
19790513026659I,VECTORS TO AIRPORT,1
19790515027029I,ALTERNATOR BELT,1
19790515027029I,ELECTRICAL SYSTEM FAILED,1
19790515027029I,FAILED TO AVOID PREVENTABLE GEAR UP LANDING,1
19790525014229A,IMPROPERLY SERVICED STRUTS,1
19790525014229A,GR RESONANCE,1
19790425024979I,UNABLE TO MAINTAIN ALTITUDE,1
19790622017219I,CONTAMINATED WITH WATER,1
19790519010229A,INSTRUMENT PANEL LIGHT SWITCH,1
19790507025919I,FUEL EXHAUSTION,1
19790507025919I,UNABLE TO RESTART ENGINE,1
