existing_node,match,new_row,final_node,similarity
FLIGHT,BEFORE FLIGHT,201,BEFORE FLIGHT,1.0
FLIGHT,BEFORE FLIGHT,201,BEFORE FLIGHT,1.0
FLIGHT,BEFORE FLIGHT,208,BEFORE FLIGHT,1.0
FLIGHT,BEFORE FLIGHT,208,BEFORE FLIGHT,1.0
FLIGHT,BEFORE FLIGHT,208,BEFORE FLIGHT,1.0
THEN FOUND AN AIRPORT,FOUND AN AIRPORT,222,FOUND AN AIRPORT,1.0000001
WATER IN THE FUEL,WATER IN FUEL,226,WATER IN FUEL,1.0
FLIGHT,BEFORE FLIGHT,229,BEFORE FLIGHT,1.0
FLIGHT,BEFORE FLIGHT,235,BEFORE FLIGHT,1.0
THE AIRCRAFT,AIRCRAFT,246,AIRCRAFT,1.0
THE AIRCRAFT,AIRCRAFT,246,AIRCRAFT,1.0
LANDING,AFTER LANDING,261,AFTER LANDING,1.0
Fuel,FUEL,261,FUEL,1.0
Fuel,FUEL,261,FUEL,1.0
UP POSITION,DOWN POSITION,270,DOWN POSITION,1.0000001
TAKEOFF,AFTER TAKEOFF,270,AFTER TAKEOFF,1.0
RIGHT BRAKE MASTER CYLINDER,EMPTY RIGHT BRAKE MASTER CYLINDER,271,EMPTY RIGHT BRAKE MASTER CYLINDER,1.0
EMPTY,COULD NOT SEE OUT,271,COULD NOT SEE OUT,1.0000001
RIGHT BRAKE MASTER CYLINDER,EMPTY RIGHT BRAKE MASTER CYLINDER,271,EMPTY RIGHT BRAKE MASTER CYLINDER,1.0
WATER IN THE FUEL,WATER IN FUEL,272,WATER IN FUEL,1.0
"BRAKE WORN OUT, VEERED OFF RUNWAY","AFTER BRAKE WORN OUT, VEERED OFF RUNWAY",281,"AFTER BRAKE WORN OUT, VEERED OFF RUNWAY",1.0000001
PROP,ONE PROP MORE THAN OTHER,288,ONE PROP MORE THAN OTHER,1.0
MADE EMERGENCY LANDING,EMERGENCY LANDING,292,EMERGENCY LANDING,1.0000001
FAILED ON TAKEOFF,FAILED DURING TAKEOFF,302,FAILED DURING TAKEOFF,1.0000001
WATER IN,WATER,309,WATER,1.0000001
NIGHT,AT NIGHT,311,AT NIGHT,1.0
WATER IN,WATER,312,WATER,1.0000001
LANDING,AFTER LANDING,322,AFTER LANDING,1.0
FLIGHT,BEFORE FLIGHT,324,BEFORE FLIGHT,1.0
FLIGHT,BEFORE FLIGHT,324,BEFORE FLIGHT,1.0
THE STUDENT PILOT,STUDENT PILOT,345,STUDENT PILOT,1.0000001
TOOK OFF AGAIN,TOOK OFF,347,TOOK OFF,1.0000002
FOUND WATER IN THE FUEL,FOUND WATER IN FUEL,352,FOUND WATER IN FUEL,1.0
TO 180 BACK TO RUNWAY,180 BACK TO RUNWAY,363,180 BACK TO RUNWAY,1.0
LANDING,AFTER LANDING,376,AFTER LANDING,1.0
LANDING,AFTER LANDING,376,AFTER LANDING,1.0
DURING LANDING,AFTER LANDING,384,AFTER LANDING,1.0
NOT PROPERLY SECURED,NOT BEEN PROPERLY SECURED,388,NOT BEEN PROPERLY SECURED,1.0
PROP,ONE PROP MORE THAN OTHER,395,ONE PROP MORE THAN OTHER,1.0
TOO RICH A MIXTURE,OVER RICH MIXTURE,399,OVER RICH MIXTURE,1.0
PRIMER WAS UNLOCKED,PRIMER UNLOCKED,399,PRIMER UNLOCKED,1.0
FLIGHT,BEFORE FLIGHT,404,BEFORE FLIGHT,1.0
FLIGHT,BEFORE FLIGHT,404,BEFORE FLIGHT,1.0
FLIGHT,BEFORE FLIGHT,404,BEFORE FLIGHT,1.0
FLIGHT,BEFORE FLIGHT,404,BEFORE FLIGHT,1.0
TREES,INTO TREES,406,INTO TREES,1.0
OUT,COULD NOT SEE OUT,407,COULD NOT SEE OUT,1.0000001
MADE HARD AUTOROTATE LANDING,HARD AUTOROTATE LANDING,412,HARD AUTOROTATE LANDING,1.0
FAILED ON TAKEOFF,FAILED DURING TAKEOFF,415,FAILED DURING TAKEOFF,1.0000001
GEAR UP,GEAR,421,GEAR,1.0
RUNWAY,BEYOND THE RUNWAY,423,BEYOND THE RUNWAY,1.0
RUNWAY,BEYOND THE RUNWAY,423,BEYOND THE RUNWAY,1.0
HE,COULD NOT SEE OUT,424,COULD NOT SEE OUT,1.0000001
FAILED ON TAKEOFF,FAILED DURING TAKEOFF,431,FAILED DURING TAKEOFF,1.0000001
FOUND WATER IN THE FUEL,FOUND WATER IN FUEL,431,FOUND WATER IN FUEL,1.0
FLIGHT,BEFORE FLIGHT,451,BEFORE FLIGHT,1.0
FLIGHT,BEFORE FLIGHT,451,BEFORE FLIGHT,1.0
ON TAKEOFF,AFTER TAKEOFF,457,AFTER TAKEOFF,1.0
FORCED LANDING MADE IN FIELD,FORCED LANDING IN FIELD,463,FORCED LANDING IN FIELD,1.0
TAKEOFF,AFTER TAKEOFF,469,AFTER TAKEOFF,1.0
COLLAPSED ON LANDING,COLLAPSED AFTER LANDING,470,COLLAPSED AFTER LANDING,1.0000001
RUNWAY,BEYOND THE RUNWAY,473,BEYOND THE RUNWAY,1.0
TAKEOFF,AFTER TAKEOFF,482,AFTER TAKEOFF,1.0
TAKEOFF,AFTER TAKEOFF,494,AFTER TAKEOFF,1.0
ROLLED OVER,ROLLED,498,ROLLED,1.0
