c5,c119,gemma3_4b_it_triplets,gemma3_4b_it_triplets_clean
19780725039589I,PILOT REFUELED FROM A 55 GAL DRUM AND DID NOT CHECK FOR WATER. ENGINE QUIT ON TAKEOFF DUE TO WATER IN THE FUEL.    ,"<PILOT, USED BY, 55 GAL DRUM>
<PILOT, REFUELED FROM, 55 GAL DRUM>
<PILOT, DID NOT CHECK, WATER>
<ENGINE, HAS CAUSE, WATER IN THE FUEL>
<ENGINE, QUIT, TAKEOFF>","<PILOT, USED BY, 55 GAL DRUM>
<PILOT, REFUELED FROM, 55 GAL DRUM>
<PILOT, DID NOT CHECK, WATER>
<ENGINE, HAS CAUSE, WATER IN THE FUEL>
<ENGINE, QUIT, TAKEOFF>"
19780708043109I,STUDENT PILOT LOST POWER ON TAKEOFF DUE TO MAIN FUEL SUMP LEFT OPEN DURING PREFLIGHT.OVERSHOT ON AIRPORT LANDING   ,"<STUDENT PILOT, HAS CAUSE, MAIN FUEL SUMP LEFT OPEN>
<STUDENT PILOT, EVENT DISTANCE, TAKEOFF>
<STUDENT PILOT, HAS CAUSE, LOST POWER>
<PILOT, EVENT DISTANCE, AIRPORT LANDING>
<PILOT, HAS EFFECT, OVERSHOT>","<STUDENT PILOT, HAS CAUSE, MAIN FUEL SUMP LEFT OPEN>
<STUDENT PILOT, EVENT DISTANCE, TAKEOFF>
<STUDENT PILOT, HAS CAUSE, LOST POWER>
<PILOT, EVENT DISTANCE, AIRPORT LANDING>
<PILOT, HAS EFFECT, OVERSHOT>"
19780723038809I,STUDENT PILOT RAN OUT OF FUEL. IT IS LIKELY THAT THE FUEL DRAIN WAS RUNNING AND NOT DETECTED.                      ,"<STUDENT PILOT, USED BY, PILOT>
<FUEL DRAIN, HAS EFFECT, RAN OUT OF FUEL>
<FUEL DRAIN, CAUSE, NOT DETECTED>","<STUDENT PILOT, USED BY, PILOT>
<FUEL DRAIN, HAS EFFECT, RAN OUT OF FUEL>
<FUEL DRAIN, CAUSE, NOT DETECTED>"
19780808049579I,FLIGHT RETURNED AFTER OIL LOSS. PILOT FAILED TO SECURE OIL STICK.                                                  ,"<FLIGHT, FOLLOWED BY, OIL LOSS>
<PILOT, HAS CAUSE, FAILED TO SECURE OIL STICK>","<FLIGHT, FOLLOWED BY, OIL LOSS>
<PILOT, HAS CAUSE, FAILED TO SECURE OIL STICK>"
19780808049829I,RAN OFF SIDE OF RUNWAY AFTER LOOSE WHEEL FAIRING JAMMED TIRE ON TAKEOFF.                                           ,"<LOOSE WHEEL FAIRING, HAS CAUSE, JAMMED TIRE>
<JAMMED TIRE, TIME PERIOD, TAKEOFF>
<RAN OFF SIDE OF RUNWAY, FOLLOWED BY, LOOSE WHEEL FAIRING>","<LOOSE WHEEL FAIRING, HAS CAUSE, JAMMED TIRE>
<JAMMED TIRE, TIME PERIOD, TAKEOFF>
<RAN OFF SIDE OF RUNWAY, FOLLOWED BY, LOOSE WHEEL FAIRING>"
19780809049919I,"LEFT GEAR COLLAPSED ON ROLL OUT, HYDRAULIC SYSTEM LOW ON FLUID.                                                    ","<LEFT GEAR, COLLAPSED, ROLL OUT>
<HYDRAULIC SYSTEM, HAS EFFECT, LOW ON FLUID>","<LEFT GEAR, COLLAPSED, ROLL OUT>
<HYDRAULIC SYSTEM, HAS EFFECT, LOW ON FLUID>"
19780811037539I,FORCED LANDING AFTER ENGINE QUIT. DRAINED WATER FROM FUEL TANK.                                                    ,"<FORCED LANDING, HAS CAUSE, ENGINE QUIT>
<FORCED LANDING, TIME PERIOD, AFTER>
<DRAINED WATER FROM FUEL TANK, HAS CAUSE, WATER>","<FORCED LANDING, HAS CAUSE, ENGINE QUIT>
<FORCED LANDING, TIME PERIOD, AFTER>
<DRAINED WATER FROM FUEL TANK, HAS CAUSE, WATER>"
19780814037299I,GEAR RETRACTED ON TAKEOFF. FOUND FAULTY GEAR ACTUATOR SWITCH.                                                      ,"<GEAR, PART OF, ACTUATOR>
<GEAR, HAS EFFECT, RETRACTED>
<FAULTY GEAR ACTUATOR, INSTANCE OF, SWITCH>","<GEAR, PART OF, ACTUATOR>
<GEAR, HAS EFFECT, RETRACTED>
<FAULTY GEAR ACTUATOR, INSTANCE OF, SWITCH>"
19780825038179I,15 MINUTES AFTER TAKEOFF AIRCRAFT WAS LANDED ON GOLF COURSE DUE TO FUEL EXHAUSTION.                                ,"<AIRCRAFT, LANDED ON, GOLF COURSE>
<AIRCRAFT, TIME PERIOD, 15 MINUTES AFTER TAKEOFF>
<AIRCRAFT, HAS CAUSE, FUEL EXHAUSTION>","<AIRCRAFT, LANDED ON, GOLF COURSE>
<AIRCRAFT, TIME PERIOD, 15 MINUTES AFTER TAKEOFF>
<AIRCRAFT, HAS CAUSE, FUEL EXHAUSTION>"
19780831038519I,"FLIGHT DIVERTED AFTER CREW NOTICED COWLING LOOSE. AFTER LANDING, COWLING STRUCK PROP AND BROKE INTO PIECES.        ","<FLIGHT, EVENT DISTANCE, AFTER LANDING>
<FLIGHT, HAS CAUSE, CREW NOTICED COWLING LOOSE>
<COWLING, HAS CAUSE, STRUCK PROP>
<COWLING, HAS EFFECT, BROKE INTO PIECES>","<FLIGHT, EVENT DISTANCE, AFTER LANDING>
<FLIGHT, HAS CAUSE, CREW NOTICED COWLING LOOSE>
<COWLING, HAS CAUSE, STRUCK PROP>
<COWLING, HAS EFFECT, BROKE INTO PIECES>"
19780901016759I,UNABLE TO EXTEND NOSE GEAR BEFORE LANDING. GEAR WAS JAMMED DUE TO DEFLATED NOSE GEAR STRUT.                        ,"<NOSE GEAR, HAS EFFECT, UNABLE TO EXTEND>
<NOSE GEAR, INSTANCE OF, GEAR>
<GEAR, CAUSE, DEFLATED NOSE GEAR STRUT>
<DEFLATED NOSE GEAR STRUT, HAS CAUSE, JAMMED>","<NOSE GEAR, HAS EFFECT, UNABLE TO EXTEND>
<NOSE GEAR, INSTANCE OF, GEAR>
<GEAR, CAUSE, DEFLATED NOSE GEAR STRUT>
<DEFLATED NOSE GEAR STRUT, HAS CAUSE, JAMMED>"
19780904017739I,FORCED LANDING AFTER POWER LOSS. HELICOPTER HAD BEEN SERVICED WITH JET FUEL.                                       ,"<FORCED LANDING, HAS CAUSE, POWER LOSS>
<HELICOPTER, USED BY, JET FUEL>","<FORCED LANDING, HAS CAUSE, POWER LOSS>
<HELICOPTER, USED BY, JET FUEL>"
19780907018599I,WING FLOATS DAMAGED ON LANDING. NOSE GAR DOOR LINKAGE HAD BROKEN CAUSING SHARP TURN.                               ,"<WING FLOATS, HAS EFFECT, DAMAGED>
<NOSE GAR DOOR LINKAGE, HAS CAUSE, BROKEN>
<NOSE GAR DOOR LINKAGE, RESULTED IN, SHARP TURN>","<WING FLOATS, HAS EFFECT, DAMAGED>
<NOSE GAR DOOR LINKAGE, HAS CAUSE, BROKEN>
<NOSE GAR DOOR LINKAGE, RESULTED IN, SHARP TURN>"
19780920018899I,"EXPLOSION HEARD DURING ENGINE START, PILOT MISTOOK FOR BACKFIRE, BEGAN FLIGHT. LATER FOUND EXHAUST TUNNELS DAMAGED.","<EXPLOSION, HAS CAUSE, ENGINE START>
<EXPLOSION, FOLLOWED BY, PILOT MISTOOK FOR BACKFIRE>
<PILOT MISTOOK FOR BACKFIRE, FOLLOWED BY, BEGAN FLIGHT>
<BEGAN FLIGHT, FOLLOWED BY, LATER FOUND EXHAUST TUNNELS DAMAGED>","<EXPLOSION, HAS CAUSE, ENGINE START>
<EXPLOSION, FOLLOWED BY, PILOT MISTOOK FOR BACKFIRE>
<PILOT MISTOOK FOR BACKFIRE, FOLLOWED BY, BEGAN FLIGHT>
<BEGAN FLIGHT, FOLLOWED BY, LATER FOUND EXHAUST TUNNELS DAMAGED>"
19781018032569I,PILOT UNABLE TO GET THE NOSE WHEEL DOWN. A TOW BAR WAS WEDGED INTO THE WHEEL WELL.                                 ,"<PILOT, HAS CAUSE, UNABLE TO GET THE NOSE WHEEL DOWN>
<NOSE WHEEL, PART OF, WHEEL WELL>
<TOW BAR, WEDGED INTO, WHEEL WELL>","<PILOT, HAS CAUSE, UNABLE TO GET THE NOSE WHEEL DOWN>
<NOSE WHEEL, PART OF, WHEEL WELL>
<TOW BAR, WEDGED INTO, WHEEL WELL>"
19781102023549I,FORCED LANDING AFTER POWER LOSS. FOUND WATER IN FUEL.                                                              ,"<FORCED LANDING, HAS CAUSE, POWER LOSS>
<FORCED LANDING, HAS EFFECT, FOUND WATER>
<FOUND WATER, HAS EFFECT, FUEL>","<FORCED LANDING, HAS CAUSE, POWER LOSS>
<FORCED LANDING, HAS EFFECT, FOUND WATER>
<FOUND WATER, HAS EFFECT, FUEL>"
19781102023729I,AIRCRAFT STRUCK DITCH WHILE TAXIING AT NIGHT WITHOUT TAXI LIGHT. BATTERY WAS TOO WEAK DUE TO GENERATOR FAILURE.    ,"<AIRCRAFT, INSTANCE OF, AIRPLANE>
<AIRCRAFT, STRUCK, DITCH>
<AIRCRAFT, TAXIING, NIGHT>
<AIRCRAFT, LACKED, TAXI LIGHT>
<BATTERY, TOO WEAK, DUE TO>
<GENERATOR, FAILURE, BATTERY>","<AIRCRAFT, INSTANCE OF, AIRPLANE>
<AIRCRAFT, STRUCK, DITCH>
<AIRCRAFT, TAXIING, NIGHT>
<AIRCRAFT, LACKED, TAXI LIGHT>
<BATTERY, TOO WEAK, DUE TO>
<GENERATOR, FAILURE, BATTERY>"
19780921019829I,"WHILE TAXIING TO MAINTENANCE HANGAR, PILOT LOST NOSE WHEEL STEERING. WINGTIP HIT HANGAR, CAUGHT ON FIRE.           ","<PILOT, USED BY, MAINTENANCE HANGAR>
<PILOT, LOST, NOSE WHEEL STEERING>
<WINGTIP, FOLLOWED BY, HANGAR>
<WINGTIP, HIT, HANGAR>
<HANGAR, HAS EFFECT, CAUGHT ON FIRE>","<PILOT, USED BY, MAINTENANCE HANGAR>
<PILOT, LOST, NOSE WHEEL STEERING>
<WINGTIP, FOLLOWED BY, HANGAR>
<WINGTIP, HIT, HANGAR>
<HANGAR, HAS EFFECT, CAUGHT ON FIRE>"
19780925018069I,ENGINE SHUTDOWN DUE TO SMOKE FROM NACELLE. GEAR RETRACTED ON LANDING ROLLOUT.                                      ,"<ENGINE, HAS CAUSE, SMOKE>
<ENGINE, INSTANCE OF, NACELLE>
<GEAR, INSTANCE OF, GEAR>
<GEAR, RETRACTED, LANDING ROLLOUT>","<ENGINE, HAS CAUSE, SMOKE>
<ENGINE, INSTANCE OF, NACELLE>
<GEAR, INSTANCE OF, GEAR>
<GEAR, RETRACTED, LANDING ROLLOUT>"
19780903028619A,PILOT WAS AWARE OF EXCESSIVE WATER IN FUEL.                                                                        ,"<PILOT, AWARE OF, EXCESSIVE WATER IN FUEL>","<PILOT, AWARE OF, EXCESSIVE WATER IN FUEL>"
19780923027059I,AIRCRAFT HAD TOTAL ELECTRICAL FAILURE ON FINAL. GEAR PARTIALLY EXTENDED AND COLLAPSED ON TOUCHDOWN.                ,"<AIRCRAFT, HAS CAUSE, TOTAL ELECTRICAL FAILURE>
<AIRCRAFT, EVENT DISTANCE, FINAL>
<AIRCRAFT, HAS EFFECT, GEAR PARTIALLY EXTENDED>
<AIRCRAFT, HAS EFFECT, COLLAPSED>
<AIRCRAFT, EVENT DISTANCE, TOUCHDOWN>","<AIRCRAFT, HAS CAUSE, TOTAL ELECTRICAL FAILURE>
<AIRCRAFT, EVENT DISTANCE, FINAL>
<AIRCRAFT, HAS EFFECT, GEAR PARTIALLY EXTENDED>
<AIRCRAFT, HAS EFFECT, COLLAPSED>
<AIRCRAFT, EVENT DISTANCE, TOUCHDOWN>"
19780908034669A,GENERATOR SHORTING.                                                                                                ,"<GENERATOR, HAS CAUSE, SHORTING>","<GENERATOR, HAS CAUSE, SHORTING>"
19781020041019A,ACFT STRUCK COM POLES & CONCRETE WALL & BURNED. NO 4 ROD ASY (PN 41A2) FAILED FOR UNKN RSN.                        ,"<ACFT, HAS CAUSE, STRUCK COM POLES>
<ACFT, HAS CAUSE, STRUCK CONCRETE WALL>
<ACFT, HAS CAUSE, BURNED>
<PN 41A2, INSTANCE OF, ROD ASY>
<PN 41A2, FAILED, UNKN RSN>","<ACFT, HAS CAUSE, STRUCK COM POLES>
<ACFT, HAS CAUSE, STRUCK CONCRETE WALL>
<ACFT, HAS CAUSE, BURNED>
<PN 41A2, INSTANCE OF, ROD ASY>
<PN 41A2, FAILED, UNKN RSN>"
19781021036569A,DMGD WING & AILERON DRG PREVIOUS LDG.                                                                              ,"<WING, HAS EFFECT, DMGD>
<AILERON, HAS EFFECT, DMGD>
<DMGD, TIME PERIOD, PREVIOUS LDG>","<WING, HAS EFFECT, DMGD>
<AILERON, HAS EFFECT, DMGD>
<DMGD, TIME PERIOD, PREVIOUS LDG>"
19781009029939I,"ENGINE LOST POWER AFTER LIFTOFF, LANDED GEAR UP ON THE TAKEOFF RUNWAY. HAD BEEN TOPPED OFF WITH JET FUEL.          ","<ENGINE, HAS CAUSE, LOST POWER>
<ENGINE, TIME PERIOD, AFTER LIFTOFF>
<AIRCRAFT, INSTANCE OF, LANDED GEAR UP>
<AIRCRAFT, LOCATION, TAKEOFF RUNWAY>
<ENGINE, HAS EFFECT, TOPPED OFF WITH JET FUEL>","<ENGINE, HAS CAUSE, LOST POWER>
<ENGINE, TIME PERIOD, AFTER LIFTOFF>
<AIRCRAFT, INSTANCE OF, LANDED GEAR UP>
<AIRCRAFT, LOCATION, TAKEOFF RUNWAY>
<ENGINE, HAS EFFECT, TOPPED OFF WITH JET FUEL>"
19780829037939I,ENGINE QUIT AFTER LIFTOFF DUE TO WATER IN FUEL. LANDED ON REMAINING RUNWAY GEAR UP.                                ,"<ENGINE, HAS CAUSE, WATER IN FUEL>
<ENGINE, TIME PERIOD, AFTER LIFTOFF>
<ENGINE, HAS EFFECT, LANDED ON REMAINING RUNWAY GEAR UP>","<ENGINE, HAS CAUSE, WATER IN FUEL>
<ENGINE, TIME PERIOD, AFTER LIFTOFF>
<ENGINE, HAS EFFECT, LANDED ON REMAINING RUNWAY GEAR UP>"
19790119001139A,AIRCRAFT FAILED TO CLIMB AFTER LIFTOFF DUE TO AIRFRAME ICE. STRUCK A FENCE AND WENT INVERTED.                      ,"<AIRCRAFT, HAS CAUSE, AIRFRAME ICE>
<AIRCRAFT, HAS EFFECT, FAILED TO CLIMB>
<AIRCRAFT, EVENT DISTANCE, 3 MILES>
<AIRCRAFT, LOCATION, FENCE>
<AIRCRAFT, EVENT DISTANCE, 3 MILES>
<AIRCRAFT, INSTANCE OF, INVERTED>","<AIRCRAFT, HAS CAUSE, AIRFRAME ICE>
<AIRCRAFT, HAS EFFECT, FAILED TO CLIMB>
<AIRCRAFT, EVENT DISTANCE, 3 MILES>
<AIRCRAFT, LOCATION, FENCE>
<AIRCRAFT, EVENT DISTANCE, 3 MILES>
<AIRCRAFT, INSTANCE OF, INVERTED>"
