c5,c119,gemma3_4b_it_triplets,gemma3_4b_it_triplets_clean
19770530015519A,"CHOKER CABLE STILL CONNECTED TO CARGO HOOK DURING FLT, FREE TO TRAIL IN SLIPSTREAM, STRUCK T/R.                    ","<CHOKER CABLE, PART OF, CARGO HOOK>
<CHOKER CABLE, HAS EFFECT, FLT>
<CARGO HOOK, USED BY, SLIPSTREAM>
<STRUCK T/R, HAS CAUSE, STRUCK>","<CHOKER CABLE, PART OF, CARGO HOOK>
<CHOKER CABLE, HAS EFFECT, FLT>
<CARGO HOOK, USED BY, SLIPSTREAM>
<STRUCK T/R, HAS CAUSE, STRUCK>"
19770703018529A,OIL TEMP BULB RETAINING NUT FINGER TIGHT.FIRST FLT AFTR ANNUAL.                                                    ,"<OIL TEMP BULB, HAS EFFECT, RETAINING NUT FINGER TIGHT>
<FIRST FLT AFTR ANNUAL, TIME PERIOD, ANNUAL>","<OIL TEMP BULB, HAS EFFECT, RETAINING NUT FINGER TIGHT>
<FIRST FLT AFTR ANNUAL, TIME PERIOD, ANNUAL>"
19770706020519A,AN175-16 HAD PULLED THROUGH TORQUE LINK CENTER SCISSORS.WASHER CRACKED & SEPARATED FRM BOLT.                       ,"<AN175-16, INSTANCE OF, PULLED THROUGH TORQUE LINK CENTER SCISSORS>
<WASHER, CRACKED, PULLED THROUGH TORQUE LINK CENTER SCISSORS>
<WASHER, PART OF, BOLT>
<WASHER, SEPARATED FROM, BOLT>","<AN175-16, INSTANCE OF, PULLED THROUGH TORQUE LINK CENTER SCISSORS>
<WASHER, CRACKED, PULLED THROUGH TORQUE LINK CENTER SCISSORS>
<WASHER, PART OF, BOLT>
<WASHER, SEPARATED FROM, BOLT>"
19770912040629A,APRX 1745LBS OVR MAX GWT.ENG NOT FEATHERED.AUTOFEATHER NOT CONNECTED.100 OCTANE FUEL.                              ,"<APRX 1745LBS, HAS CAUSE, OVR MAX GWT>
<ENG, HAS CAUSE, NOT FEATHERED>
<AUTOFEATHER, HAS CAUSE, NOT CONNECTED>
<FUEL, USED BY, 100 OCTANE>","<APRX 1745LBS, HAS CAUSE, OVR MAX GWT>
<ENG, HAS CAUSE, NOT FEATHERED>
<AUTOFEATHER, HAS CAUSE, NOT CONNECTED>
<FUEL, USED BY, 100 OCTANE>"
19780106001449I,"EMERGENCY LANDING AFTER ENGINE QUIT. CAUSE WAS IMPROPER PREFLIGHT, OUT OF FUEL.                                    ","<EMERGENCY LANDING, HAS CAUSE, ENGINE QUIT>
<EMERGENCY LANDING, HAS CAUSE, IMPROPER PREFLIGHT>
<EMERGENCY LANDING, HAS CAUSE, OUT OF FUEL>","<EMERGENCY LANDING, HAS CAUSE, ENGINE QUIT>
<EMERGENCY LANDING, HAS CAUSE, IMPROPER PREFLIGHT>
<EMERGENCY LANDING, HAS CAUSE, OUT OF FUEL>"
19780110002479I,FORCED LANDING AFTER ENGINE QUIT. SUSPECT WATER IN FUEL.                                                           ,"<FORCED LANDING, HAS CAUSE, ENGINE QUIT>
<FORCED LANDING, HAS EFFECT, WATER IN FUEL>","<FORCED LANDING, HAS CAUSE, ENGINE QUIT>
<FORCED LANDING, HAS EFFECT, WATER IN FUEL>"
19780112002729I,FORCED LANDING AFTER POWER LOSS. WATER FOUND IN FUEL.                                                              ,"<POWER LOSS, HAS EFFECT, FORCED LANDING>
<FUEL, HAS EFFECT, WATER FOUND>","<POWER LOSS, HAS EFFECT, FORCED LANDING>
<FUEL, HAS EFFECT, WATER FOUND>"
19780108002219I,FORCED LANDING AFTER ENGINE QUIT. FOUND FROZEN WATER IN FUEL SYSTEM.                                               ,"<FORCED LANDING, HAS CAUSE, ENGINE QUIT>
<FORCED LANDING, HAS EFFECT, FOUND FROZEN WATER>
<FOUND FROZEN WATER, LOCATION, FUEL SYSTEM>","<FORCED LANDING, HAS CAUSE, ENGINE QUIT>
<FORCED LANDING, HAS EFFECT, FOUND FROZEN WATER>
<FOUND FROZEN WATER, LOCATION, FUEL SYSTEM>"
19780113002859I,"ABORTED TAKEOFF DUE TO UNLOCKED DOOR, UNABLE TO STOP BEFORE STRIKING SNOW BANK.                                    ","<ABORTED TAKEOFF, CAUSE, UNLOCKED DOOR>
<ABORTED TAKEOFF, HAS EFFECT, UNABLE TO STOP>
<ABORTED TAKEOFF, HAS EFFECT, STRIKING SNOW BANK>","<ABORTED TAKEOFF, CAUSE, UNLOCKED DOOR>
<ABORTED TAKEOFF, HAS EFFECT, UNABLE TO STOP>
<ABORTED TAKEOFF, HAS EFFECT, STRIKING SNOW BANK>"
19780129004679I,"ENGINE QUIT, LANDING MADE ON FROZEN LAKE. ICE RESTRICTION IN MAIN FUEL STRAINER.                                   ","<ENGINE QUIT, HAS CAUSE, ICE RESTRICTION>
<LANDING MADE ON FROZEN LAKE, LOCATION, FROZEN LAKE>
<LANDING MADE ON FROZEN LAKE, HAS EFFECT, MAIN FUEL STRAINER>","<ENGINE QUIT, HAS CAUSE, ICE RESTRICTION>
<LANDING MADE ON FROZEN LAKE, LOCATION, FROZEN LAKE>
<LANDING MADE ON FROZEN LAKE, HAS EFFECT, MAIN FUEL STRAINER>"
19780203005449I,SHORTLY AFTER CHANGING FUEL TANKS ONE ENGINE BECAME ROUGH AND WAS SHUT DOWN. HAD BEEN TOPPED OFF WITH JET FUEL.    ,"<FUEL TANKS, CHANGED BY, OPERATOR>
<ENGINE, BECAME, ROUGH>
<ENGINE, SHUT DOWN, OPERATOR>
<ENGINE, TOPPED OFF WITH, JET FUEL>","<FUEL TANKS, CHANGED BY, OPERATOR>
<ENGINE, BECAME, ROUGH>
<ENGINE, SHUT DOWN, OPERATOR>
<ENGINE, TOPPED OFF WITH, JET FUEL>"
19780205005989I,"ENGINE VIBRATED, LOST POWER, THEN QUIT. CARBURETOR FLOAT BOWL CONTAMINATED WITH WATER.                             ","<ENGINE, HAS CAUSE, ENGINE VIBRATED>
<ENGINE, HAS CAUSE, LOST POWER>
<ENGINE, HAS CAUSE, QUIT>
<CARBURETOR FLOAT BOWL, HAS EFFECT, CONTAMINATED WITH WATER>","<ENGINE, HAS CAUSE, ENGINE VIBRATED>
<ENGINE, HAS CAUSE, LOST POWER>
<ENGINE, HAS CAUSE, QUIT>
<CARBURETOR FLOAT BOWL, HAS EFFECT, CONTAMINATED WITH WATER>"
19780121004029I,GEAR SWITCH WAS NOT IN THE DOWN POSITION AND GEAR RETRACTED DURING TAKE OFF ROLL.                                  ,"<GEAR SWITCH, NOT IN, DOWN POSITION>
<GEAR SWITCH, ACTION, RETRACTED>
<GEAR, TAKE OFF ROLL, FAILURE>","<GEAR SWITCH, NOT IN, DOWN POSITION>
<GEAR SWITCH, ACTION, RETRACTED>
<GEAR, TAKE OFF ROLL, FAILURE>"
19780130004789I,PILOT FAILED TO CHECK POSITION OF GEAR HANDLE. GEAR RETRACTED ON TAKEOFF ROLL.                                     ,"<PILOT, HAS CAUSE, FAILED TO CHECK POSITION OF GEAR HANDLE>
<GEAR HANDLE, HAS EFFECT, GEAR RETRACTED>
<GEAR RETRACTED, FOLLOWED BY, TAKEOFF ROLL>","<PILOT, HAS CAUSE, FAILED TO CHECK POSITION OF GEAR HANDLE>
<GEAR HANDLE, HAS EFFECT, GEAR RETRACTED>
<GEAR RETRACTED, FOLLOWED BY, TAKEOFF ROLL>"
19780102000459I,"TAXIED OFF RUNWAY, STRUCK DITCH AT NIGHT. LANDING LIGHT WAS INOPERATIVE.                                           ","<TAXIED OFF RUNWAY, PART OF, RUNWAY>
<TAXIED OFF RUNWAY, TIME PERIOD, NIGHT>
<LANDING LIGHT, HAS CAUSE, INOPERATIVE>","<TAXIED OFF RUNWAY, PART OF, RUNWAY>
<TAXIED OFF RUNWAY, TIME PERIOD, NIGHT>
<LANDING LIGHT, HAS CAUSE, INOPERATIVE>"
19771213042839A,"RUDDER,R AIL CTL LOCKS INSTALLED.REAR CG AFT OF OPTIMUM RANGE BUT FORWARD OF REARMOST LIMIT.                       ","<RUDDER, PART OF, R AIL CTL>","<RUDDER, PART OF, R AIL CTL>"
19771104034549A,"RT BRAKE PUCK 70 WORN,FADING FOR LAST WK.                                                                          ","<RT BRAKE, INSTANCE OF, PUCK 70>
<RT BRAKE, HAS CAUSE, WORN>
<RT BRAKE, HAS CAUSE, FADING>
<RT BRAKE, TIME PERIOD, LAST WK>","<RT BRAKE, INSTANCE OF, PUCK 70>
<RT BRAKE, HAS CAUSE, WORN>
<RT BRAKE, HAS CAUSE, FADING>
<RT BRAKE, TIME PERIOD, LAST WK>"
19770927027719A,WATER IN REAR COMPTMT FLOATS.EXCEEDED AFT CG LMT.THROTTLE FRICTION LOOSE.                                          ,"<WATER, LOCATION, REAR COMPTMT FLOATS>
<WATER, HAS EFFECT, EXCEEDED AFT CG LMT>
<THROTTLE FRICTION, HAS EFFECT, LOOSE>","<WATER, LOCATION, REAR COMPTMT FLOATS>
<WATER, HAS EFFECT, EXCEEDED AFT CG LMT>
<THROTTLE FRICTION, HAS EFFECT, LOOSE>"
19780115003139I,NEW AIRCRAFT OWNER NOT AWARE OF PURPOSE OR OPERATION OF QUICK DRAIN. PARTIALLY OPENED ON PREFLIGHT.                ,"<AIRCRAFT OWNER, OWNED BY, NEW AIRCRAFT OWNER>
<AIRCRAFT OWNER, LACK OF KNOWLEDGE, PURPOSE OR OPERATION OF QUICK DRAIN>
<QUICK DRAIN, STATUS, PARTIALLY OPENED>
<QUICK DRAIN, TIME PERIOD, PREFLIGHT>","<AIRCRAFT OWNER, OWNED BY, NEW AIRCRAFT OWNER>
<AIRCRAFT OWNER, LACK OF KNOWLEDGE, PURPOSE OR OPERATION OF QUICK DRAIN>
<QUICK DRAIN, STATUS, PARTIALLY OPENED>
<QUICK DRAIN, TIME PERIOD, PREFLIGHT>"
19780206006149I,"PILOT FAILED TO REMOVE TOW BAR BEFORE TAKEOFF. STRANGE NOISE DURING RETRACTION. GEAR EXTENDED OK, LANDED OK.       ","<PILOT, HAS CAUSE, FAILED TO REMOVE TOW BAR BEFORE TAKEOFF>
<PILOT, HAS CAUSE, STRANGE NOISE DURING RETRACTION>
<GEAR, INSTANCE OF, GEAR EXTENDED OK>
<GEAR, HAS EFFECT, LANDED OK>","<PILOT, HAS CAUSE, FAILED TO REMOVE TOW BAR BEFORE TAKEOFF>
<PILOT, HAS CAUSE, STRANGE NOISE DURING RETRACTION>
<GEAR, INSTANCE OF, GEAR EXTENDED OK>
<GEAR, HAS EFFECT, LANDED OK>"
19771016042599A,WIND GUSTING TO 25.                                                                                                ,"<WIND, HAS CAUSE, GUSTING TO 25>","<WIND, HAS CAUSE, GUSTING TO 25>"
19780206006039I,ENGINE COWLING CAME LOOSE IN FLIGHT. IT HAD NOT BEEN LATCHED PROPERLY.                                             ,"<ENGINE COWLING, PART OF, ENGINE>
<ENGINE COWLING, HAS EFFECT, FLIGHT>
<ENGINE COWLING, CAUSED BY, NOT BEEN LATCHED PROPERLY>","<ENGINE COWLING, PART OF, ENGINE>
<ENGINE COWLING, HAS EFFECT, FLIGHT>
<ENGINE COWLING, CAUSED BY, NOT BEEN LATCHED PROPERLY>"
19780208007759I,PILOT OBSERVED GEAR SAFE LIGHTS BUT GEAR COLLAPSED AFTER LANDING. HYDRAULIC RESERVOIR OUT OF FLUID.                ,"<PILOT, OBSERVED, GEAR SAFE LIGHTS>
<PILOT, HAS CAUSE, GEAR COLLAPSED>
<GEAR COLLAPSED, HAS CAUSE, HYDRAULIC RESERVOIR OUT OF FLUID>","<PILOT, OBSERVED, GEAR SAFE LIGHTS>
<PILOT, HAS CAUSE, GEAR COLLAPSED>
<GEAR COLLAPSED, HAS CAUSE, HYDRAULIC RESERVOIR OUT OF FLUID>"
19780210006769I,"ENGINE QUIT AT 200 FEET AFTER TAKEOFF DUE TO WATER IN THE FUEL. NO PILOT CERTIFICATE, NO ANNUAL.                   ","<ENGINE, HAS CAUSE, WATER IN THE FUEL>
<ENGINE, EVENT DISTANCE, 200 FEET>
<ENGINE, TIME PERIOD, AFTER TAKEOFF>
<PILOT CERTIFICATE, INSTANCE OF, NO PILOT CERTIFICATE>
<ANNUAL, INSTANCE OF, NO ANNUAL>","<ENGINE, HAS CAUSE, WATER IN THE FUEL>
<ENGINE, EVENT DISTANCE, 200 FEET>
<ENGINE, TIME PERIOD, AFTER TAKEOFF>
<PILOT CERTIFICATE, INSTANCE OF, NO PILOT CERTIFICATE>
<ANNUAL, INSTANCE OF, NO ANNUAL>"
19780211006969I,"NOSE GEAR COLLAPSED WHILE WAITING FOR TAKEOFF. WAS BEING FERRIED FROM AN EARLIER COLLAPSE, NOSE GEAR NOT BRACED.   ","<NOSE GEAR, INSTANCE OF, GEAR>
<NOSE GEAR, COLLAPSED, WHILE WAITING FOR TAKEOFF>
<NOSE GEAR, MAINTAINED BY, GEAR>
<NOSE GEAR, FOLLOWED BY, COLLAPSE>
<NOSE GEAR, FOLLOWED BY, NOT BRACED>","<NOSE GEAR, INSTANCE OF, GEAR>
<NOSE GEAR, COLLAPSED, WHILE WAITING FOR TAKEOFF>
<NOSE GEAR, MAINTAINED BY, GEAR>
<NOSE GEAR, FOLLOWED BY, COLLAPSE>
<NOSE GEAR, FOLLOWED BY, NOT BRACED>"
19780219007659I,ENGINE QUIT DUE TO ICE IN THE FUEL SYSTEM.                                                                         ,"<ENGINE, HAS CAUSE, ICE>
<ENGINE, PART OF, FUEL SYSTEM>
<FUEL SYSTEM, HAS EFFECT, ENGINE QUIT>","<ENGINE, HAS CAUSE, ICE>
<ENGINE, PART OF, FUEL SYSTEM>
<FUEL SYSTEM, HAS EFFECT, ENGINE QUIT>"
19780212006439I,PILOT UNABLE TO BECOME AIRBORNE DUE TO FROST ON THE WINGS AND FALURE TO USE FULL POWER.                            ,"<PILOT, HAS CAUSE, FROST ON THE WINGS>
<PILOT, HAS CAUSE, FAILURE TO USE FULL POWER>","<PILOT, HAS CAUSE, FROST ON THE WINGS>
<PILOT, HAS CAUSE, FAILURE TO USE FULL POWER>"
19780213006479I,ENGINE SHUT DOWN DUE TO LOW OIL PRESSURE. DIP STICK FOUND TO BE MISSING.                                           ,"<ENGINE, HAS CAUSE, LOW OIL PRESSURE>
<DIP STICK, FOUND, MISSING>","<ENGINE, HAS CAUSE, LOW OIL PRESSURE>
<DIP STICK, FOUND, MISSING>"
19780218007139I,PILOT INTENDED TO FLY LOCALLY AFTER RECENT BLIZZARD. ENGINE QUIT AFTER TAKEOFF DUE TO SNOW PACKED IN ENGINE COWL.  ,"<PILOT, INTENDED TO FLY, LOCALLY>
<PILOT, TIME PERIOD, AFTER RECENT BLIZZARD>
<ENGINE, HAS CAUSE, SNOW PACKED>
<ENGINE, LOCATION, ENGINE COWL>
<ENGINE, HAS CAUSE, TAKEOFF>
<ENGINE, EVENT DISTANCE, AFTER>","<PILOT, INTENDED TO FLY, LOCALLY>
<PILOT, TIME PERIOD, AFTER RECENT BLIZZARD>
<ENGINE, HAS CAUSE, SNOW PACKED>
<ENGINE, LOCATION, ENGINE COWL>
<ENGINE, HAS CAUSE, TAKEOFF>
<ENGINE, EVENT DISTANCE, AFTER>"
19780225001789I,"ENGINE STOPPED SHORTLY AFTER TAKEOFF FROM REFUELING. SYSTEM, GASCOLATOR AND CARBURETOR CONTAINED WATER.            ","<ENGINE, HAS CAUSE, TAKEOFF>
<ENGINE, TIME PERIOD, SHORTLY AFTER>
<ENGINE, LOCATION, REFUELING>
<SYSTEM, PART OF, GASCOLATOR>
<SYSTEM, PART OF, CARBURETOR>
<SYSTEM, HAS EFFECT, CONTAINED WATER>","<ENGINE, HAS CAUSE, TAKEOFF>
<ENGINE, TIME PERIOD, SHORTLY AFTER>
<ENGINE, LOCATION, REFUELING>
<SYSTEM, PART OF, GASCOLATOR>
<SYSTEM, PART OF, CARBURETOR>
<SYSTEM, HAS EFFECT, CONTAINED WATER>"
