existing_node,match,new_row,final_node,similarity
FORCED LANDING,DURING FORCED LANDING,254,DURING FORCED LANDING,1.0
FORCED LANDING,DURING FORCED LANDING,254,DURING FORCED LANDING,1.0
ENGINE QUIT,AFTER ENGINE QUIT,254,AFTER ENGINE QUIT,1.0000001
ENGINE QUIT,AFTER ENGINE QUIT,254,AFTER ENGINE QUIT,1.0000001
OIL LOSS,AFTER OIL LOSS,255,AFTER OIL LOSS,1.0
LANDING,AFTER LANDING,256,AFTER LANDING,1.0
TAKEOFF,AFTER TAKEOFF,257,AFTER TAKEOFF,1.0
WATER IN THE FUEL SYSTEM,WATER IN FUEL SYSTEM,262,WATER IN FUEL SYSTEM,1.0
NO BRAKES,BRAKES,269,BRAKES,1.0
TAKEOFF,AFTER TAKEOFF,270,AFTER TAKEOFF,1.0
ENGINE QUIT,AFTER ENGINE QUIT,272,AFTER ENGINE QUIT,1.0000001
WATER IN THE FUEL,WATER IN FUEL,272,WATER IN FUEL,1.0
WATER IN THE FUEL,WATER IN FUEL,272,WATER IN FUEL,1.0
ON LANDING,AFTER LANDING,281,AFTER LANDING,1.0
FORCED LANDING,DURING FORCED LANDING,282,DURING FORCED LANDING,1.0
ENGINE QUIT,AFTER ENGINE QUIT,282,AFTER ENGINE QUIT,1.0000001
FORCED LANDING,DURING FORCED LANDING,283,DURING FORCED LANDING,1.0
ENGINE QUIT,AFTER ENGINE QUIT,283,AFTER ENGINE QUIT,1.0000001
ENGINE QUIT,AFTER ENGINE QUIT,283,AFTER ENGINE QUIT,1.0000001
OUT,AGAIN,287,AGAIN,1.0000001
PRECAUTIONARY LANDING,MADE PRECAUTIONARY LANDING,290,MADE PRECAUTIONARY LANDING,1.0
PRECAUTIONARY LANDING,MADE PRECAUTIONARY LANDING,290,MADE PRECAUTIONARY LANDING,1.0
ON LANDING,AFTER LANDING,291,AFTER LANDING,1.0
EMERGENCY LANDING,DURING EMERGENCY LANDING,292,DURING EMERGENCY LANDING,1.0000001
DURING TAKEOFF,AFTER TAKEOFF,293,AFTER TAKEOFF,1.0
TAKEOFF,AFTER TAKEOFF,294,AFTER TAKEOFF,1.0
BACK,AGAIN,295,AGAIN,1.0000001
TAKEOFF,AFTER TAKEOFF,296,AFTER TAKEOFF,1.0
FORCED LANDING,DURING FORCED LANDING,299,DURING FORCED LANDING,1.0
EMERGENCY LANDING,DURING EMERGENCY LANDING,301,DURING EMERGENCY LANDING,1.0000001
TAKEOFF,AFTER TAKEOFF,302,AFTER TAKEOFF,1.0
FORCED LANDING,DURING FORCED LANDING,306,DURING FORCED LANDING,1.0
TAKEOFF,AFTER TAKEOFF,307,AFTER TAKEOFF,1.0
ENGINE QUIT,AFTER ENGINE QUIT,314,AFTER ENGINE QUIT,1.0000001
TAKEOFF,AFTER TAKEOFF,314,AFTER TAKEOFF,1.0
ENGINE QUIT,AFTER ENGINE QUIT,317,AFTER ENGINE QUIT,1.0000001
FORCED LANDING,DURING FORCED LANDING,320,DURING FORCED LANDING,1.0
FORCED LANDING,DURING FORCED LANDING,322,DURING FORCED LANDING,1.0
IN FLIGHT,BEFORE FLIGHT,326,BEFORE FLIGHT,1.0
FORCED LANDING,DURING FORCED LANDING,328,DURING FORCED LANDING,1.0
ENGINE QUIT,AFTER ENGINE QUIT,328,AFTER ENGINE QUIT,1.0000001
TAKEOFF,AFTER TAKEOFF,329,AFTER TAKEOFF,1.0
TAKEOFF,AFTER TAKEOFF,334,AFTER TAKEOFF,1.0
ENGINE QUIT,AFTER ENGINE QUIT,337,AFTER ENGINE QUIT,1.0000001
EMERGENCY LANDING,DURING EMERGENCY LANDING,338,DURING EMERGENCY LANDING,1.0000001
TAKEOFF,AFTER TAKEOFF,339,AFTER TAKEOFF,1.0
FORCED LANDING,DURING FORCED LANDING,342,DURING FORCED LANDING,1.0
DOWN,AGAIN,344,AGAIN,1.0000001
IN FLT,FIRST FLT,346,FIRST FLT,1.0
LANDING,AFTER LANDING,348,AFTER LANDING,1.0
WATER IN THE FUEL,WATER IN FUEL,352,WATER IN FUEL,1.0
OUT,AGAIN,355,AGAIN,1.0000001
FORCED LANDING,DURING FORCED LANDING,355,DURING FORCED LANDING,1.0
TAKEOFF,AFTER TAKEOFF,358,AFTER TAKEOFF,1.0
BEFORE LANDING,AFTER LANDING,361,AFTER LANDING,1.0
TAKEOFF,AFTER TAKEOFF,364,AFTER TAKEOFF,1.0
PREFLIGHT,DURING PREFLIGHT,365,DURING PREFLIGHT,1.0
LIFTOFF,AFTER LIFTOFF,365,AFTER LIFTOFF,1.0
TAKEOFF,AFTER TAKEOFF,366,AFTER TAKEOFF,1.0
ON LANDING,AFTER LANDING,369,AFTER LANDING,1.0
ENGINE QUIT,AFTER ENGINE QUIT,374,AFTER ENGINE QUIT,1.0000001
GEAR UP,GEAR,374,GEAR,1.0
PREFLIGHT,DURING PREFLIGHT,374,DURING PREFLIGHT,1.0
TAKEOFF ROLL,DURING TAKEOFF ROLL,380,DURING TAKEOFF ROLL,1.0
TAKEOFF,AFTER TAKEOFF,380,AFTER TAKEOFF,1.0
DURING TAKEOFF,AFTER TAKEOFF,382,AFTER TAKEOFF,1.0
TAKEOFF,AFTER TAKEOFF,384,AFTER TAKEOFF,1.0
LANDING,AFTER LANDING,384,AFTER LANDING,1.0
IN FLIGHT,BEFORE FLIGHT,388,BEFORE FLIGHT,1.0
TREES,INTO TREES,393,INTO TREES,1.0
IN FUEL,FUEL,393,FUEL,1.0
TAKEOFF,AFTER TAKEOFF,396,AFTER TAKEOFF,1.0
END RUNWAY,END OF RUNWAY,396,END OF RUNWAY,1.0000001
DURING TAKEOFF,AFTER TAKEOFF,397,AFTER TAKEOFF,1.0
ENGINE QUIT,AFTER ENGINE QUIT,399,AFTER ENGINE QUIT,1.0000001
TOO RICH A MIXTURE,OVER RICH MIXTURE,399,OVER RICH MIXTURE,1.0000001
TAKEOFF,AFTER TAKEOFF,403,AFTER TAKEOFF,1.0
ROUGH,BECAME ROUGH,406,BECAME ROUGH,1.0000001
OUT,AGAIN,407,AGAIN,1.0000001
ENGINE QUIT,AFTER ENGINE QUIT,408,AFTER ENGINE QUIT,1.0000001
ON TAKEOFF,AFTER TAKEOFF,415,AFTER TAKEOFF,1.0
POWER,FULL POWER,418,FULL POWER,1.0
POWER,FULL POWER,418,FULL POWER,1.0
TAKEOFF ROLL,DURING TAKEOFF ROLL,419,DURING TAKEOFF ROLL,1.0
TAKEOFF,AFTER TAKEOFF,419,AFTER TAKEOFF,1.0
ONE SIDE,AGAIN,420,AGAIN,1.0000001
TAKEOFF,AFTER TAKEOFF,420,AFTER TAKEOFF,1.0
IN FLIGHT,BEFORE FLIGHT,421,BEFORE FLIGHT,1.0
GEAR UP,GEAR,421,GEAR,1.0
LANDING ROLL,ON LANDING ROLL,422,ON LANDING ROLL,1.0
LANDING,AFTER LANDING,424,AFTER LANDING,1.0
DURING TAKEOFF,AFTER TAKEOFF,428,AFTER TAKEOFF,1.0
ON TAKEOFF,AFTER TAKEOFF,431,AFTER TAKEOFF,1.0
FORCED LANDING,DURING FORCED LANDING,433,DURING FORCED LANDING,1.0
LIFTOFF,AFTER LIFTOFF,434,AFTER LIFTOFF,1.0
PRECAUTIONARY LANDING,MADE PRECAUTIONARY LANDING,435,MADE PRECAUTIONARY LANDING,1.0
IN FLIGHT,BEFORE FLIGHT,435,BEFORE FLIGHT,1.0
EMERGENCY LANDING,DURING EMERGENCY LANDING,438,DURING EMERGENCY LANDING,1.0000001
ENGINE QUIT,AFTER ENGINE QUIT,439,AFTER ENGINE QUIT,1.0000001
ENGINE QUIT,AFTER ENGINE QUIT,441,AFTER ENGINE QUIT,1.0000001
EMERGENCY LANDING,DURING EMERGENCY LANDING,444,DURING EMERGENCY LANDING,1.0000001
ON TAKEOFF ROLL,DURING TAKEOFF ROLL,451,DURING TAKEOFF ROLL,1.0
FLIGHT,BEFORE FLIGHT,451,BEFORE FLIGHT,1.0
TAKEOFF,AFTER TAKEOFF,456,AFTER TAKEOFF,1.0
ENGINE QUIT,AFTER ENGINE QUIT,457,AFTER ENGINE QUIT,1.0000001
ON LANDING,AFTER LANDING,459,AFTER LANDING,1.0
TAKEOFF,AFTER TAKEOFF,461,AFTER TAKEOFF,1.0
TAKEOFF,AFTER TAKEOFF,461,AFTER TAKEOFF,1.0
FORCED LANDING,DURING FORCED LANDING,463,DURING FORCED LANDING,1.0
FORCED LANDING,DURING FORCED LANDING,465,DURING FORCED LANDING,1.0
FORCED LANDING,DURING FORCED LANDING,465,DURING FORCED LANDING,1.0
FULL,AGAIN,466,AGAIN,1.0000001
ENGINE QUIT,AFTER ENGINE QUIT,467,AFTER ENGINE QUIT,1.0000001
ON LANDING,AFTER LANDING,470,AFTER LANDING,1.0
TAXIWAY,SIDE OF TAXIWAY,473,SIDE OF TAXIWAY,1.0
MAINTENANCE,AFTER MAINTENANCE,474,AFTER MAINTENANCE,1.0
TREES,INTO TREES,476,INTO TREES,1.0
MAINTENANCE,AFTER MAINTENANCE,480,AFTER MAINTENANCE,1.0
FORCED LANDING,DURING FORCED LANDING,481,DURING FORCED LANDING,1.0
LANDING,AFTER LANDING,483,AFTER LANDING,1.0
EMPTY,AGAIN,483,AGAIN,1.0000001
FLIGHT,BEFORE FLIGHT,485,BEFORE FLIGHT,1.0
DURING LANDING,AFTER LANDING,486,AFTER LANDING,1.0
FLIGHT,BEFORE FLIGHT,491,BEFORE FLIGHT,1.0
ON TAKEOFF,AFTER TAKEOFF,494,AFTER TAKEOFF,1.0
TAKEOFF,AFTER TAKEOFF,496,AFTER TAKEOFF,1.0
TAKEOFF,AFTER TAKEOFF,499,AFTER TAKEOFF,1.0
TREES,INTO TREES,499,INTO TREES,1.0
