c5,c119,gemma3_4b_it_triplets,phi4mini_instruct_triplets,gemma3_4b_it_triplets_clean,phi4mini_instruct_triplets_clean
19760507010379A,"LEFT ENG OIL SUPPLY EXHAUSTED.GEAR-UP LDG IN MESQUITE BRUSH.DENSITY ALT,7200FT. HIGH OIL USAGE ENG                 ","<ENG OIL SUPPLY, EXHAUSTED>
<GEAR-UP, FOLLOWED BY, LDG>
<LDG, LOCATION, MESQUITE BRUSH>
<DENSITY ALT, EVENT DISTANCE, 7200FT>
<HIGH OIL USAGE, INFLUENCED BY, ENG>","<LEFT ENG OIL SUPPLY, STATE, EXHAUSTED>
<GEAR-UP LDG, LOCATION, MESQUITE BRUSH>
<DENSITY ALT, VALUE, 7200FT>","<ENG OIL SUPPLY, EXHAUSTED>
<GEAR-UP, FOLLOWED BY, LDG>
<LDG, LOCATION, MESQUITE BRUSH>
<DENSITY ALT, EVENT DISTANCE, 7200FT>
<HIGH OIL USAGE, INFLUENCED BY, ENG>","<LEFT ENG OIL SUPPLY, STATE, EXHAUSTED>
<GEAR-UP LDG, LOCATION, MESQUITE BRUSH>
<DENSITY ALT, VALUE, 7200FT>"
19761022033409A,PLT CONTINUED T/O IFR AFTER WNDSHD & WINDOWS FOGGED UP DURING VFR DEPARTURE.                                       ,"<PLT, CONTINUED T/O, IFR>
<WNDSHD, FOGGED UP BY, WINDOWS>
<VFR DEPARTURE, FOLLOWED BY, T/O>","<PLT, FOLLOWED BY, WNDSHD>
<PLT, FOLLOWED BY, WINDOWS FOGGED UP>
<PLT, LOCATION, VFR DEPARTURE>","<PLT, CONTINUED T/O, IFR>
<WNDSHD, FOGGED UP BY, WINDOWS>
<VFR DEPARTURE, FOLLOWED BY, T/O>","<PLT, FOLLOWED BY, WNDSHD>
<PLT, FOLLOWED BY, WINDOWS FOGGED UP>
<PLT, LOCATION, VFR DEPARTURE>"
19761021035989A,PLT PREOCCUPIED WITH PREV NOSE WHEEL VIBRATION.DIDN'T OBSERVE GR SAFE LGT. WIND GUSTING 23KTS.                     ,"<PLT, PREOCCUPIED WITH, PREV NOSE WHEEL VIBRATION>
<PLT, DIDN'T OBSERVE, GR SAFE LGT>
<WIND, EVENT DISTANCE, 23KTS>","<PLT, EVENT DISTANCE, PREV NOSE WHEEL VIBRATION>
<PLT, EVENT DISTANCE, GR SAFE LGT>
<PLT, EVENT DISTANCE, WIND GUSTING 23KTS>","<PLT, PREOCCUPIED WITH, PREV NOSE WHEEL VIBRATION>
<PLT, DIDN'T OBSERVE, GR SAFE LGT>
<WIND, EVENT DISTANCE, 23KTS>","<PLT, EVENT DISTANCE, PREV NOSE WHEEL VIBRATION>
<PLT, EVENT DISTANCE, GR SAFE LGT>
<PLT, EVENT DISTANCE, WIND GUSTING 23KTS>"
19760730023679A,"ELECT SYST WENT DEAD,GENERATOR CIRCUIT BREAKER SWITCH NOT ENGAGED.NOT TIME TO EXT.GEAR MANUALLY.                   ","<ELECT SYST, WENT DEAD, >
<GENERATOR CIRCUIT BREAKER SWITCH, NOT ENGAGED, >","<ELECT SYST, HAS CAUSE, GENERATOR CIRCUIT BREAKER SWITCH NOT ENGAGED>
<ELECT SYST, HAS CAUSE, NOT TIME TO EXT.GEAR MANUALLY>","<ELECT SYST, WENT DEAD, >
<GENERATOR CIRCUIT BREAKER SWITCH, NOT ENGAGED, >","<ELECT SYST, HAS CAUSE, GENERATOR CIRCUIT BREAKER SWITCH NOT ENGAGED>
<ELECT SYST, HAS CAUSE, NOT TIME TO EXT.GEAR MANUALLY>"
19760715023479A,GRASS FIRE ONLY. SKID CAUGHT UNDER REFUELING LINE.                                                                 ,"<SKID, LOCATION, REFUELING LINE>","<GRASS FIRE, LOCATION, SKID>
<SKID, USED BY, REFUELING LINE>","<SKID, LOCATION, REFUELING LINE>","<GRASS FIRE, LOCATION, SKID>
<SKID, USED BY, REFUELING LINE>"
19761119035559A,"BANNER PICK UP,LOOP ON TOW ROPE CAUGHT ON L LNDG GR.PLT UN MAINTAIN FLT.                                           ","<LOOP, CAUGHT ON, L LNDG GR>
<LOOP, MAINTAINED BY, PLT>
<LOOP, FOLLOWED BY, UN>","<BANNER PICK UP,LOOP ON, TOW ROPE>
<BANNER PICK UP,LOOP ON, L LNDG GR.PLT>
<BANNER PICK UP,LOOP ON, UN MAINTAIN FLT>","<LOOP, CAUGHT ON, L LNDG GR>
<LOOP, MAINTAINED BY, PLT>
<LOOP, FOLLOWED BY, UN>","<BANNER PICK UP,LOOP ON, TOW ROPE>
<BANNER PICK UP,LOOP ON, L LNDG GR.PLT>
<BANNER PICK UP,LOOP ON, UN MAINTAIN FLT>"
19770225003319A,NO NARRATIVE AVAILABLE                                                                                             ,,,,
19770506041719A,"R ENG,L MAG EXCESSIVE DROP. ATTMPTD FEATHER R PROP,UN FEATHER DUE PRESSURE SWITCH MALFUNCTION.                     ","<R ENG,HAS CAUSE, EXCESSIVE DROP>
<R ENG,HAS CAUSE, FEATHER>
<PROP,HAS EFFECT, FEATHER>
<PRESSURE SWITCH,HAS CAUSE, MALFUNCTION>","<ATTEMPT, INFLUENCED BY, R ENG>
<ATTEMPT, INFLUENCED BY, L MAG EXCESSIVE DROP>
<ATTEMPT, INFLUENCED BY, UN FEATHER DUE PRESSURE SWITCH MALFUNCTION>","<R ENG,HAS CAUSE, EXCESSIVE DROP>
<R ENG,HAS CAUSE, FEATHER>
<PROP,HAS EFFECT, FEATHER>
<PRESSURE SWITCH,HAS CAUSE, MALFUNCTION>","<ATTEMPT, INFLUENCED BY, R ENG>
<ATTEMPT, INFLUENCED BY, L MAG EXCESSIVE DROP>
<ATTEMPT, INFLUENCED BY, UN FEATHER DUE PRESSURE SWITCH MALFUNCTION>"
19770120001659A,RUDDER GUST LOCK ENGAGED.ICE ON WINGS.OVERWEIGHT                                                                   ,"<RUDDER GUST LOCK, INSTANCE OF, ICE ON WINGS>
<ICE ON WINGS, HAS EFFECT, OVERWEIGHT>","<RUDDER GUST LOCK, ENGAGED IN, ICE ON WINGS>
<RUDDER GUST LOCK, HAS EFFECT, OVERWEIGHT>","<RUDDER GUST LOCK, INSTANCE OF, ICE ON WINGS>
<ICE ON WINGS, HAS EFFECT, OVERWEIGHT>","<RUDDER GUST LOCK, ENGAGED IN, ICE ON WINGS>
<RUDDER GUST LOCK, HAS EFFECT, OVERWEIGHT>"
19770702018479A,RUDDER & AIL CTL CABLES LOOSE. R RUDDER CABLE CAUGHT UNDER BATTERY BOX SUPPORT STRUCTURE.                          ,"<RUDDER & AIL CTL CABLES, PART OF, RUDDER>
<RUDDER & AIL CTL CABLES, HAS EFFECT, LOOSE>
<R RUDDER CABLE, INSTANCE OF, CABLES>","<RUDDER CABLE, CAUGHT UNDER, BATTERY BOX SUPPORT STRUCTURE>","<RUDDER & AIL CTL CABLES, PART OF, RUDDER>
<RUDDER & AIL CTL CABLES, HAS EFFECT, LOOSE>
<R RUDDER CABLE, INSTANCE OF, CABLES>","<RUDDER CABLE, CAUGHT UNDER, BATTERY BOX SUPPORT STRUCTURE>"
19770814024089A,L MAG INOP.#5 CYL COMPRESSION 25/80.                                                                               ,"<L MAG INOP.#5, INSTANCE OF, CYL>
<L MAG INOP.#5, HAS CAUSE, 25/80>","<L MAG INOP.#5, HAS CAUSE, CYL COMPRESSION 25/80>","<L MAG INOP.#5, INSTANCE OF, CYL>
<L MAG INOP.#5, HAS CAUSE, 25/80>","<L MAG INOP.#5, HAS CAUSE, CYL COMPRESSION 25/80>"
19770530012939A,WRONG PROP INSTALLED                                                                                               ,"<WRONG PROP, INSTANCE OF, PROBLEM>","<WRONG PROP INSTALLED, INSTALLED BY, UNKNOWN>","<WRONG PROP, INSTANCE OF, PROBLEM>","<WRONG PROP INSTALLED, INSTALLED BY, UNKNOWN>"
19770528021299A,APRX 1/2 CUPFULL FLUID UNDER R BRAKE PRIOR TO DEPARTURE.                                                           ,"<FLUID, UNDER, R BRAKE>
<FLUID, TIME PERIOD, APRX 1/2 CUPFULL>","<FLUID, CAPACITY, 1/2 CUP>
<FLUID, LOCATION, R BRAKE>
<FLUID, EVENT, PRIOR TO DEPARTURE>","<FLUID, UNDER, R BRAKE>
<FLUID, TIME PERIOD, APRX 1/2 CUPFULL>","<FLUID, CAPACITY, 1/2 CUP>
<FLUID, LOCATION, R BRAKE>
<FLUID, EVENT, PRIOR TO DEPARTURE>"
19770705018649A,MIXTURE CONTROL BALL BEARING MISSING FROM HANDLE                                                                   ,"<MIXTURE CONTROL BALL BEARING, INSTANCE OF, MISSING>
<MISSING, HAS EFFECT, HANDLE>","<MIXTURE CONTROL BALL BEARING, MISSING FROM, HANDLE>","<MIXTURE CONTROL BALL BEARING, INSTANCE OF, MISSING>
<MISSING, HAS EFFECT, HANDLE>","<MIXTURE CONTROL BALL BEARING, MISSING FROM, HANDLE>"
19770622022049A,OIL FILLER CAP MISSING.                                                                                            ,"<OIL FILLER CAP, INSTANCE OF, PROBLEM>","<OIL FILLER CAP, MISSING, OIL FILLER CAP>","<OIL FILLER CAP, INSTANCE OF, PROBLEM>","<OIL FILLER CAP, MISSING, OIL FILLER CAP>"
19770610021339A,ACFT N42807 & N7930C SUBSTANTIALLY DMGD. PLT CONTINUED TAXIING AFTER TOTAL HYD FAILURE.                            ,"<ACFT N42807, INSTANCE OF, DMGD>
<ACFT N42807, HAS EFFECT, TOTAL HYD FAILURE>
<N7930C, INSTANCE OF, DMGD>","<ACFT N42807, CONDITION, SUBSTANTIALLY DMGD>
<ACFT N42807, CONDITION, TOTAL HYD FAILURE>
<ACFT N7930C, CONDITION, SUBSTANTIALLY DMGD>
<PLT, ACTION, CONTINUED TAXIING>
<PLT, CONDITION, TOTAL HYD FAILURE>","<ACFT N42807, INSTANCE OF, DMGD>
<ACFT N42807, HAS EFFECT, TOTAL HYD FAILURE>
<N7930C, INSTANCE OF, DMGD>","<ACFT N42807, CONDITION, SUBSTANTIALLY DMGD>
<ACFT N42807, CONDITION, TOTAL HYD FAILURE>
<ACFT N7930C, CONDITION, SUBSTANTIALLY DMGD>
<PLT, ACTION, CONTINUED TAXIING>
<PLT, CONDITION, TOTAL HYD FAILURE>"
19770622018359A,PLT DID NOT USE EMERG LNDNG GR EXTNSN AFTER ELECTRICAL PWR FAILURE.                                                ,"<PLT, USED BY, EMERG LNDNG GR EXTNSN>
<ELECTRICAL PWR FAILURE, HAS CAUSE, PLT>","<PLT, USED BY, EMERG LNDNG GR EXTNSN>
<PLT, HAS CAUSE, ELECTRICAL PWR FAILURE>","<PLT, USED BY, EMERG LNDNG GR EXTNSN>
<ELECTRICAL PWR FAILURE, HAS CAUSE, PLT>","<PLT, USED BY, EMERG LNDNG GR EXTNSN>
<PLT, HAS CAUSE, ELECTRICAL PWR FAILURE>"
19770617020389A,INSUFFICIENT ALTITUDE FOR SUCCESSFUL AUTOROTATION.                                                                 ,"<AUTOROTATION, HAS CAUSE, INSUFFICIENT ALTITUDE>","<INSUFFICIENT ALTITUDE, CAUSE, UNSUCCESSFUL AUTOROTATION>","<AUTOROTATION, HAS CAUSE, INSUFFICIENT ALTITUDE>","<INSUFFICIENT ALTITUDE, CAUSE, UNSUCCESSFUL AUTOROTATION>"
19770530015519A,"CHOKER CABLE STILL CONNECTED TO CARGO HOOK DURING FLT, FREE TO TRAIL IN SLIPSTREAM, STRUCK T/R.                    ","<CHOKER CABLE, CONNECTED TO, CARGO HOOK>
<CHOKER CABLE, FOLLOWS, SLIPSTREAM>
<FLT, EVENT DISTANCE, T/R>","<CHOKER CABLE, EVENT DISTANCE, STRUCK T/R>","<CHOKER CABLE, CONNECTED TO, CARGO HOOK>
<CHOKER CABLE, FOLLOWS, SLIPSTREAM>
<FLT, EVENT DISTANCE, T/R>","<CHOKER CABLE, EVENT DISTANCE, STRUCK T/R>"
19770703018529A,OIL TEMP BULB RETAINING NUT FINGER TIGHT.FIRST FLT AFTR ANNUAL.                                                    ,"<OIL TEMP BULB, HAS EFFECT, FINGER TIGHT>
<OIL TEMP BULB, TIME PERIOD, FIRST FLT AFTR ANNUAL>","<ANNUAL, EVENT DISTANCE, FIRST FLT AFTR ANNUAL>","<OIL TEMP BULB, HAS EFFECT, FINGER TIGHT>
<OIL TEMP BULB, TIME PERIOD, FIRST FLT AFTR ANNUAL>","<ANNUAL, EVENT DISTANCE, FIRST FLT AFTR ANNUAL>"
19770706020519A,AN175-16 HAD PULLED THROUGH TORQUE LINK CENTER SCISSORS.WASHER CRACKED & SEPARATED FRM BOLT.                       ,"<AN175-16, HAS CAUSE, PULLED THROUGH TORQUE LINK CENTER SCISSORS>
<WASHER, HAS EFFECT, CRACKED & SEPARATED FRM BOLT>","<AN175-16, HAS CAUSE, TORQUE LINK CENTER SCISSORS>
<AN175-16, HAS CAUSE, WASHER CRACKED>
<AN175-16, HAS CAUSE, SEPARATED FRM BOLT>","<AN175-16, HAS CAUSE, PULLED THROUGH TORQUE LINK CENTER SCISSORS>
<WASHER, HAS EFFECT, CRACKED & SEPARATED FRM BOLT>","<AN175-16, HAS CAUSE, TORQUE LINK CENTER SCISSORS>
<AN175-16, HAS CAUSE, WASHER CRACKED>
<AN175-16, HAS CAUSE, SEPARATED FRM BOLT>"
19770912040629A,APRX 1745LBS OVR MAX GWT.ENG NOT FEATHERED.AUTOFEATHER NOT CONNECTED.100 OCTANE FUEL.                              ,"<APRX 1745LBS, HAS EFFECT, OVR MAX GWT>
<APRX 1745LBS, INSTANCE OF, GWT>
<ENG, MAINTAINED BY, NOT FEATHERED>
<AUTOFEATHER, NOT CONNECTED, APRX 1745LBS>
<100 OCTANE FUEL, USED BY, APRX 1745LBS>","<APRX 1745LBS OVR MAX GWT.ENG, HAS EFFECT, AUTOFEATHER NOT CONNECTED>
<100 OCTANE FUEL, USED BY, APRX 1745LBS OVR MAX GWT.ENG>","<APRX 1745LBS, HAS EFFECT, OVR MAX GWT>
<APRX 1745LBS, INSTANCE OF, GWT>
<ENG, MAINTAINED BY, NOT FEATHERED>
<AUTOFEATHER, NOT CONNECTED, APRX 1745LBS>
<100 OCTANE FUEL, USED BY, APRX 1745LBS>","<APRX 1745LBS OVR MAX GWT.ENG, HAS EFFECT, AUTOFEATHER NOT CONNECTED>
<100 OCTANE FUEL, USED BY, APRX 1745LBS OVR MAX GWT.ENG>"
19780106001449I,"EMERGENCY LANDING AFTER ENGINE QUIT. CAUSE WAS IMPROPER PREFLIGHT, OUT OF FUEL.                                    ","<EMERGENCY LANDING, INSTANCE OF, ENGINE QUIT>
<ENGINE QUIT, HAS CAUSE, IMPROPER PREFLIGHT>
<ENGINE QUIT, HAS CAUSE, OUT OF FUEL>","<ENGINE QUIT, HAS CAUSE, IMPROPER PREFLIGHT>
<ENGINE QUIT, HAS CAUSE, OUT OF FUEL>","<EMERGENCY LANDING, INSTANCE OF, ENGINE QUIT>
<ENGINE QUIT, HAS CAUSE, IMPROPER PREFLIGHT>
<ENGINE QUIT, HAS CAUSE, OUT OF FUEL>","<ENGINE QUIT, HAS CAUSE, IMPROPER PREFLIGHT>
<ENGINE QUIT, HAS CAUSE, OUT OF FUEL>"
19780110002479I,FORCED LANDING AFTER ENGINE QUIT. SUSPECT WATER IN FUEL.                                                           ,"<ENGINE QUIT, HAS CAUSE, FORCED LANDING>
<FORCED LANDING, INFLUENCED BY, WATER IN FUEL>","<ENGINE, HAS CAUSE, FORCED LANDING>
<FUEL, HAS CAUSE, FORCED LANDING>
<ENGINE, HAS CAUSE, WATER IN FUEL>","<ENGINE QUIT, HAS CAUSE, FORCED LANDING>
<FORCED LANDING, INFLUENCED BY, WATER IN FUEL>","<ENGINE, HAS CAUSE, FORCED LANDING>
<FUEL, HAS CAUSE, FORCED LANDING>
<ENGINE, HAS CAUSE, WATER IN FUEL>"
19780112002729I,FORCED LANDING AFTER POWER LOSS. WATER FOUND IN FUEL.                                                              ,"<POWER LOSS, HAS CAUSE, FORCED LANDING>
<FORCED LANDING, EVENT DISTANCE, WATER>","<POWER LOSS, HAS CAUSE, FORCED LANDING>
<POWER LOSS, HAS CAUSE, WATER IN FUEL>","<POWER LOSS, HAS CAUSE, FORCED LANDING>
<FORCED LANDING, EVENT DISTANCE, WATER>","<POWER LOSS, HAS CAUSE, FORCED LANDING>
<POWER LOSS, HAS CAUSE, WATER IN FUEL>"
19780108002219I,FORCED LANDING AFTER ENGINE QUIT. FOUND FROZEN WATER IN FUEL SYSTEM.                                               ,"<ENGINE, HAS CAUSE, FORCED LANDING>
<FUEL SYSTEM, HAS EFFECT, FROZEN WATER>","<ENGINE, HAS CAUSE, FORCED LANDING>
<FUEL SYSTEM, HAS CAUSE, FROZEN WATER>
<ENGINE, HAS EFFECT, FROZEN WATER>","<ENGINE, HAS CAUSE, FORCED LANDING>
<FUEL SYSTEM, HAS EFFECT, FROZEN WATER>","<ENGINE, HAS CAUSE, FORCED LANDING>
<FUEL SYSTEM, HAS CAUSE, FROZEN WATER>
<ENGINE, HAS EFFECT, FROZEN WATER>"
19780113002859I,"ABORTED TAKEOFF DUE TO UNLOCKED DOOR, UNABLE TO STOP BEFORE STRIKING SNOW BANK.                                    ","<ABORTED TAKEOFF, HAS CAUSE, UNLOCKED DOOR>
<ABORTED TAKEOFF, HAS EFFECT, UNABLE TO STOP>
<UNABLE TO STOP, HAS EFFECT, STRIKING SNOW BANK>
<SNOW BANK, LOCATION, UNKNOWN>","<ABORTED TAKEOFF, CAUSE, UNLOCKED DOOR>
<ABORTED TAKEOFF, CAUSE, UNABLE TO STOP BEFORE STRIKING SNOW BANK>","<ABORTED TAKEOFF, HAS CAUSE, UNLOCKED DOOR>
<ABORTED TAKEOFF, HAS EFFECT, UNABLE TO STOP>
<UNABLE TO STOP, HAS EFFECT, STRIKING SNOW BANK>
<SNOW BANK, LOCATION, UNKNOWN>","<ABORTED TAKEOFF, CAUSE, UNLOCKED DOOR>
<ABORTED TAKEOFF, CAUSE, UNABLE TO STOP BEFORE STRIKING SNOW BANK>"
19780129004679I,"ENGINE QUIT, LANDING MADE ON FROZEN LAKE. ICE RESTRICTION IN MAIN FUEL STRAINER.                                   ","<ENGINE QUIT, HAS CAUSE, ICE RESTRICTION>
<ICE RESTRICTION, LOCATION, MAIN FUEL STRAINER>
<LANDING MADE ON FROZEN LAKE, EVENT DISTANCE, ENGINE QUIT>","<ENGINE QUIT, HAS CAUSE, LANDING MADE ON FROZEN LAKE>
<ICE RESTRICTION, HAS CAUSE, MAIN FUEL STRAINER>
<MAIN FUEL STRAINER, LOCATION, FROZEN LAKE>","<ENGINE QUIT, HAS CAUSE, ICE RESTRICTION>
<ICE RESTRICTION, LOCATION, MAIN FUEL STRAINER>
<LANDING MADE ON FROZEN LAKE, EVENT DISTANCE, ENGINE QUIT>","<ENGINE QUIT, HAS CAUSE, LANDING MADE ON FROZEN LAKE>
<ICE RESTRICTION, HAS CAUSE, MAIN FUEL STRAINER>
<MAIN FUEL STRAINER, LOCATION, FROZEN LAKE>"
19780203005449I,SHORTLY AFTER CHANGING FUEL TANKS ONE ENGINE BECAME ROUGH AND WAS SHUT DOWN. HAD BEEN TOPPED OFF WITH JET FUEL.    ,"<ENGINE, HAS EFFECT, ROUGH>
<ENGINE, TIME PERIOD, SHORTLY AFTER CHANGING FUEL TANKS>
<FUEL TANKS, HAS EFFECT, ENGINE BECAME ROUGH>
<JET FUEL, USED BY, ENGINE>","<ENGINE, HAS CAUSE, ROUGH>
<ENGINE, USED BY, JET FUEL>","<ENGINE, HAS EFFECT, ROUGH>
<ENGINE, TIME PERIOD, SHORTLY AFTER CHANGING FUEL TANKS>
<FUEL TANKS, HAS EFFECT, ENGINE BECAME ROUGH>
<JET FUEL, USED BY, ENGINE>","<ENGINE, HAS CAUSE, ROUGH>
<ENGINE, USED BY, JET FUEL>"
