entity1,entity2,relation,incident_ids
GUSTY NORTH WIND,NORTH WIND,secondary_of,19920405008919A
GUSTY NORTH WIND,WIND,tertiary_of,19920405008919A
CRASH,ENGINE FAILURE,HAS CAUSE,19840821046409A
ENGINE FAILURE,CRASH,HAS EFFECT,19840821046409A
ENGINE FAILURE,AIRCRAFT HAD NOT HAD ANNUAL INSPECTION,HAS EFFECT,19840821046409A
ANNUAL INSPECTION,INSPECTION,secondary_of,19840821046409A
"PILOT OF CESSNA 207, N1549U",PILOT,secondary_of,19950216008379I
"CESSNA 207, N1549U",CESSNA 207,secondary_of,19950216008379I
TAKEOFF FROM THE BETHEL AIRPORT,TAKEOFF,secondary_of,19950216008379I
BETHEL AIRPORT,AIRPORT,secondary_of,19950216008379I
3 MILES FROM AIRPORT,AIRPORT,secondary_of,19850525020799A
ATC COMMUNICATION,COMMUNICATION,secondary_of,19861114075329I
MALFUNCTIONING ENCODING ALTIMETER,ENCODING ALTIMETER,secondary_of,19861114075329I
MALFUNCTIONING ENCODING ALTIMETER,ALTIMETER,tertiary_of,19861114075329I
MALFUNCTIONING ENCODING ALTIMETER,WITHOUT ATC COMMUNICATION,HAS EFFECT,19861114075329I
RPM LOSS,LOSS,secondary_of,20010421009329I
RPM LOSS,CRUISE FLIGHT,TIME PERIOD,20010421009329I
RPM LOSS,COULD NOT MAINTAIN ALTITUDE,HAS EFFECT,20010421009329I
NOSE BAGGAGE DOOR,BAGGAGE DOOR,secondary_of,"19951031041599A, 19960524045629A"
NOSE BAGGAGE DOOR,DOOR,tertiary_of,"19951031041599A, 19960524045629A"
LEFT PROP,PROP,secondary_of,19960524045629A
ROUGH ENGINE,ENGINE,secondary_of,19871211075169A
ROUGH ENGINE,PRIMER UNLOCKED,HAS CAUSE,19871211075169A
CITY STREET,STREET,secondary_of,19871211075169A
CFI,SHE,coreference,20010910029739I
NOSE LANDING GEAR GREEN LIGHT,GREEN LIGHT,secondary_of,20010910029739I
NOSE LANDING GEAR GREEN LIGHT,LIGHT,tertiary_of,20010910029739I
NOSE LANDING GEAR,LANDING GEAR,secondary_of,"19980415037339I, 20010910029739I"
NOSE LANDING GEAR,GEAR,tertiary_of,"19980415037339I, 20010910029739I"
NOSE LANDING GEAR,CFI,MAINTAINED BY,20010910029739I
ELECTRIC POWER,POWER,secondary_of,19871027060859A
IFR DUAL FLIGHT,FLIGHT,secondary_of,19871027060859A
PILOT ERROR,ERROR,secondary_of,"19870523018729A, 19871027060859A"
PILOT ERROR,CIRCUIT BREAKER OFF,HAS EFFECT,19871027060859A
PILOT ERROR,FORCED LANDING,HAS EFFECT,19871027060859A
PILOT ERROR,CANOPY CAME OPEN,HAS EFFECT,19870523018729A
LOUD BANG,BANG,secondary_of,19980616023109I
LOUD BANG,ENROUTE,TIME PERIOD,19980616023109I
SHUDDER,ENROUTE,TIME PERIOD,19980616023109I
ENGINE COWLING,COWL,coreference,19980616023109I
ENGINE COWLING,COWLING,secondary_of,"19780427013859I, 19980616023109I"
ENGINE COWLING,ENGINE,PART OF,19780427013859I
NO LOCKING PINS IN SEAT TRACK,PROBLEM,INSTANCE OF,19910710026989A
POWER LOSS,LOSS,secondary_of,19780509032859I
AILERON-ELEVATOR LOCK PIN,LOST CONTROL,HAS EFFECT,19800506012169A
RAIN SHOWER,SHOWER,secondary_of,19791128035159A
"N7016M, AN AMATEUR BUILT AIRCRAFT",AIRCRAFT,secondary_of,19950314029269I
AMATEUR BUILT AIRCRAFT,AIRCRAFT,secondary_of,19950314029269I
EMERGENCY OFF AIRPORT LANDING,LANDING,secondary_of,19950314029269I
EARLY FUEL EXHAUSTION FROM FUEL SIPHONING,FUEL EXHAUSTION,secondary_of,19800804037399A
FUEL SIPHONING,SIPHONING,secondary_of,19800804037399A
FUEL SIPHONING,EARLY FUEL EXHAUSTION,HAS EFFECT,19800804037399A
FUEL SIPHONING,IMPORPERLY SECURED VENT CAP,HAS CAUSE,19800804037399A
IMPROPERLY SECURED VENT CAP,VENT CAP,secondary_of,19800804037399A
IMPROPERLY SECURED VENT CAP,CAP,tertiary_of,19800804037399A
IMPROPERLY SECURED VENT CAP,FUEL SIPHONING,HAS EFFECT,19800804037399A
EMERGENCY LANDING AREA,LANDING AREA,secondary_of,19800804037399A
TAXIING AIRCRAFT,AIRCRAFT,secondary_of,19780402008409I
WORN OUT & INEFFECTIVE BRAKES,BRAKES,secondary_of,19780402008409I
WORN OUT & INEFFECTIVE BRAKES,TAXIING AIRCRAFT STRUCK PARKED AIRCRAFT,HAS EFFECT,19780402008409I
PARKED PLANE,PLANE,secondary_of,19890725041869I
BARTLESVILLE MUNICIPAL AIRPORT (BVO),AIRPORT,secondary_of,20030607012509A
1147 AM LOCAL TIME,1147 AM,secondary_of,20030607012509A
REMAINING BRAKE,BRAKE,secondary_of,19801005072789I
SEVERAL TOUCH AND GO LANDINGS,TOUCH AND GO LANDINGS,secondary_of,19781210024199I
SEVERAL TOUCH AND GO LANDINGS,LANDINGS,tertiary_of,19781210024199I
SNOW PACKED IN THE WHEEL PANTS,SNOW,secondary_of,19781210024199I
WATER IN SUMP,WATER,secondary_of,19950804028629A
NORMAL TOUCHDOWN,TOUCHDOWN,secondary_of,20040304003309I
TIE DOWN STRAP ACROSS LEFT SKID,TIE DOWN STRAP,secondary_of,19780916024019A
TIE DOWN STRAP ACROSS LEFT SKID,STRAP,tertiary_of,19780916024019A
ALL FUEL TANK CAPS,FUEL TANK CAPS,secondary_of,20060718018299I
ALL FUEL TANK CAPS,CAPS,tertiary_of,20060718018299I
FUEL CONTAMINATION IN AIRFRAME FUEL FILTER AS WELL AS IN FUEL FILTER AND ENGINE DRIVEN FUEL PUMP FILTER,FUEL CONTAMINATION,secondary_of,20040925025079A
FUEL CONTAMINATION IN AIRFRAME FUEL FILTER AS WELL AS IN FUEL FILTER AND ENGINE DRIVEN FUEL PUMP FILTER,CONTAMINATION,tertiary_of,20040925025079A
AIRFRAME FUEL FILTER,FUEL FILTER,secondary_of,20040925025079A
AIRFRAME FUEL FILTER,FILTER,tertiary_of,20040925025079A
FUEL FILTER,FILTER,secondary_of,20040925025079A
ENGINE DRIVEN FUEL PUMP FILTER,FUEL PUMP FILTER,secondary_of,20040925025079A
ENGINE DRIVEN FUEL PUMP FILTER,FILTER,tertiary_of,20040925025079A
DEMO FLIGHT,FLIGHT,secondary_of,19961027033759A
CONNECTING ROD,ROD,secondary_of,19961027033759A
HYDRO LOCK IN NR5 CYL,HYDRO LOCK,secondary_of,19961027033759A
HYDRO LOCK IN NR5 CYL,LOCK,tertiary_of,19961027033759A
NR5 CYL,CYL,secondary_of,19961027033759A
COUNTER WT,WT,secondary_of,19961027033759A
PORP SHAFT,SHAFT,secondary_of,19961027033759A
N106DA,AIRCRAFT,INSTANCE OF,19870309039779I
BRAKE PROBLEMS ON THE AIRCRAFT,BRAKE PROBLEMS,secondary_of,19870309039779I
BRAKE PROBLEMS ON THE AIRCRAFT,PROBLEMS,tertiary_of,19870309039779I
"N759TY, CE-182",CE-182,secondary_of,20020619014309A
"N759TY, CE-182",HOT SPRINGS ARKANSAS,LOCATION,20020619014309A
"N759TY, CE-182","FAYETTEVILLE TENNESSEE, N759TY, CE-182, INSTANCE OF, AIRCRAFT",LOCATION,20020619014309A
REDUCED POWER,POWER,secondary_of,19951031041599A
TEST FLIGHT FROM STORAGE,TEST FLIGHT,secondary_of,19951031041599A
PRIVATE STRIP,STRIP,secondary_of,19940226003029A
LEFT FUEL CAP,FUEL CAP,secondary_of,19940226003029A
LEFT FUEL CAP,CAP,tertiary_of,19940226003029A
ACFT DISPATCHER,DISPATCHER,secondary_of,19780111000459A
TIEDROPE,PILOT,MAINTAINED BY,19780111000459A
FLY POSITION,POSITION,secondary_of,20010411006739I
FLY POSITION,TAKEOFF,USED BY,20010411006739I
"COPPER TUBE, USED TO HOLD AERIAL BANNERS",COPPER TUBE,secondary_of,19870816062719I
"COPPER TUBE, USED TO HOLD AERIAL BANNERS",TUBE,tertiary_of,19870816062719I
AERIAL BANNERS,BANNERS,secondary_of,19870816062719I
LOCAL OPERATOR,OPERATOR,secondary_of,19870816062719I
HIGHWAY 93,"3 MILES EAST OF SUNMER, IOWA",LOCATION,19980620030289I
1900 HOURS PACIFIC DAYLIGHT TIME,1900 HOURS,secondary_of,19990923027739A
1900 HOURS PACIFIC DAYLIGHT TIME,1900,tertiary_of,19990923027739A
"A HOMEBUILT CIERNIA GLASAIR III, N153JC",GLASAIR III,secondary_of,19990923027739A
HOMEBUILT CIERNIA GLASAIR III,GLASAIR III,secondary_of,19990923027739A
NOSE BAGGAGE CARGO,CARGO,secondary_of,19980415037339I
WOODEN WHEEL CHOCK,WHEEL CHOCK,secondary_of,19980415037339I
WOODEN WHEEL CHOCK,NOSE BAGGAGE CARGO,PART OF,19980415037339I
EXPLOSION,LIFTING LOGS,TIME PERIOD,19950826026019A
LOGS,LOGS,coreference,19950826026019A
1825 EASTERN STANDARD TIME,1825,secondary_of,20000215041409A
"BEECH 1900D, N81SK",SKYWAY AIRLINE FLIGHT,INSTANCE OF,20000215041409A
SKYWAY AIRLINE FLIGHT,FLIGHT,secondary_of,20000215041409A
INITIAL CLIMBOUT,CLIMBOUT,secondary_of,19880527016939A
SELECTED FUEL TANK,FUEL TANK,secondary_of,19880527016939A
SELECTED FUEL TANK,TANK,tertiary_of,19880527016939A
TRIP,GET FUEL,HAS CAUSE,19880527016939A
WITNESSES,GRASS RUNWAY,LOCATION,19960418007829A
DEPARTURE FROM A GRASS RUNWAY,DEPARTURE,secondary_of,19960418007829A
GRASS RUNWAY,RUNWAY,secondary_of,19960418007829A
RUDDER CONTROL,CONTROL,secondary_of,19970828026989A
UNCONTROLLED GROUND COLLISION,GROUND COLLISION,secondary_of,19870523018729A
UNCONTROLLED GROUND COLLISION,COLLISION,tertiary_of,19870523018729A
NO DEFECTS,DEFECTS,secondary_of,19870523018729A
OIL FILLER CAP,CAP,secondary_of,20030620012809I
OIL FILLER CAP,PILOT,MAINTAINED BY,20030620012809I
THE PILOT,HE,coreference,19990714022959I
THE PILOT,HIS,coreference,20060621012279A
THE PILOT,HIM,coreference,20060621012279A
HIS,HIM,coreference,20060621012279A
SAME RUNWAY,RUNWAY,coreference,19911222062669I
THE AIRCRAFT,THE AIRCRAFT,coreference,19870309039779I
BHT-47-G5,HELICOPTER MODEL,INSTANCE OF,20000215010329A
BELL HELICOPTER,HELICOPTER,secondary_of,20000215010329A
CARPETING,RESTRICTED RUDDER PEDAL MOVEMENT,HAS EFFECT,19810303007119A
WATER,FUEL,PART OF,19860706034879A
FROST,AIRFRAME,PART OF,19790211002709A
ROTOR BLADE,VIBRATION,HAS EFFECT,20050504010229A
ROTOR BLADE,SIKORSKY S-70A,PART OF,20050504010229A
SEATS,PASSENGERS,USED BY,19890723054159I
GREEN LIGHT,NOSE LANDING GEAR,PART OF,20010910029739I
SNOW,WHEEL PANTS,PART OF,19781210024199I
SNOW,WHEELS LOCKED UP,HAS EFFECT,19781210024199I
TIE DOWN STRAP,LEFT SKID,PART OF,19780916024019A
PILOT IN COMMAND (PIC),PILOT,secondary_of,20060718018299I
FUEL TANK CAPS,PILOT IN COMMAND,MAINTAINED BY,20060718018299I
FUEL CONTAMINATION,FUEL FILTER,PART OF,20040925025079A
HYDRO LOCK,NR5 CYL,PART OF,19961027033759A
BRAKE PROBLEMS,AIRCRAFT,PART OF,19870309039779I
BRAKE PROBLEMS,AIRCRAFT STRUCK N106DA,HAS EFFECT,19870309039779I
DISPATCHER,PILOT,CONFLICT,19780111000459A
COPPER TUBE,AERIAL BANNERS,USED BY,19870816062719I
GROUND COLLISION,CANOPY CAME OPEN,HAS CAUSE,19870523018729A
LOST CONTROL,RAN INTO A DITCH,HAS EFFECT,19990213001379A
LOST CONTROL,STRUCK A TREE,HAS EFFECT,19990213001379A
LOST CONTROL,ALTIMETER NOT IFR CERTIFIED,HAS CAUSE,19850315007389A
LOST CONTROL,RIGHT AILERON,HAS CAUSE,19950527014439A
LOST CONTROL,TRAILER TIE DOWN,HAS CAUSE,19960504009509A
LOST CONTROL,SEAT NOT LOCKED IN POSITION,HAS CAUSE,19930530020029I
LOST CONTROL,TAKEOFF ROLL,TIME PERIOD,19800506012169A
LOST CONTROL,AILERON-ELEVATOR LOCK PIN,HAS CAUSE,19800506012169A
RAN INTO A DITCH,LOST CONTROL,HAS CAUSE,19990213001379A
STRUCK A TREE,LOST CONTROL,HAS CAUSE,19990213001379A
ENGINE QUIT,WING TANKS NOT DRAINED,HAS CAUSE,19800217031649I
ENGINE QUIT,FORCED LANDING,HAS EFFECT,19801116083749I
ENGINE QUIT,INTIAL CLIMBOUT,TIME PERIOD,19880527016939A
ENGINE QUIT,CRASH LANDED,HAS EFFECT,19880527016939A
WING TANKS NOT DRAINED,FROZEN,HAS CAUSE,19800217031649I
WING TANKS NOT DRAINED,ENGINE QUIT,HAS EFFECT,19800217031649I
FROZEN,WING TANKS NOT DRAINED,HAS EFFECT,19800217031649I
CRASHED,SLING LOAD,HAS CAUSE,19790720021329A
CRASHED,IMPROPER PREFLIGHT,HAS CAUSE,19790720021329A
CRASHED,LOST LEFT ENGINE,HAS CAUSE,19940818022409A
CRASHED,HIT TREES,HAS CAUSE,19920405008919A
CRASHED,AFTER DEPARTURE,TIME PERIOD,19960418007829A
LOST NOSEWHEEL STEERING AND BRAKES,STRUCK 2 AIRCRAFT,HAS EFFECT,19841214074599I
LOST NOSEWHEEL STEERING AND BRAKES,HYDRAULIC PUMP OPEN,HAS CAUSE,19841214074599I
LOST NOSEWHEEL STEERING AND BRAKES,STRUCK FENCE,HAS EFFECT,19841214074599I
STRUCK 2 AIRCRAFT,LOST NOSEWHEEL STEERING AND BRAKES,HAS CAUSE,19841214074599I
STRUCK FENCE,LOST NOSEWHEEL STEERING AND BRAKES,HAS CAUSE,19841214074599I
HYDRAULIC PUMP OPEN,LOST NOSEWHEEL STEERING AND BRAKES,HAS EFFECT,19841214074599I
FORWARD CARDO DOOR OPENED,TAKEOFF,INSTANCE OF,19860128014289I
OBJECTS DROPPED OUT,FORWARD CARGO DOOR OPENED,HAS CAUSE,19860128014289I
FORWARD CARGO DOOR OPENED,OBJECTS DROPPED OUT,HAS EFFECT,19860128014289I
ICE IN AUXILIARY SYSTEM,FORCED LANDING,HAS EFFECT,19801116083749I
ALTIMETER NOT IFR CERTIFIED,LOST CONTROL,HAS EFFECT,19850315007389A
FUEL SIPHONED,FUEL CAP,HAS CAUSE,19900425011659A
RAN OUT OF FUEL,FERRY FLIGHT,PART OF,19900425011659A
RETURNING TO LAND,COWLING CAME OFF,FOLLOWED BY,19820725041999I
AIRCRAFT POPPED OPEN,FLIGHT MANUAL FLEW OUT,HAS EFFECT,19940412011509I
FLIGHT MANUAL FLEW OUT,AIRCRAFT POPPED OPEN,HAS CAUSE,19940412011509I
FLIGHT MANUAL FLEW OUT,STRUCK TRUCK WINDSHIELD,HAS EFFECT,19940412011509I
STRUCK TRUCK WINDSHIELD,FLIGHT MANUAL FLEW OUT,HAS CAUSE,19940412011509I
ENGINE FIRE,FUEL LEVER,HAS CAUSE,19971226042729I
CUT OFF,SMOKE CLEARED,FOLLOWED BY,19971226042729I
NR2,ENGINE,INSTANCE OF,19971226042729I
DEPARTING,HIGH OIL TEMP,FOLLOWED BY,19950619021589I
