c5,c119,gpt4o_triplets,gpt4o_triplets_clean
19991230042089A,"(.4)THE PILOT SAID THAT SHORTLY AFTER TAKEOFF, THE ENGINE 'STARTED CUTTING OUT AND WAS NOT DEVELOPING ENOUGH POWER ","<ENGINE, HAS EFFECT, STARTED CUTTING OUT>
<ENGINE, HAS EFFECT, NOT DEVELOPING ENOUGH POWER>","<ENGINE, HAS EFFECT, STARTED CUTTING OUT>
<ENGINE, HAS EFFECT, NOT DEVELOPING ENOUGH POWER>"
19820725041999I,"LOOSE COWLING ON TAKEOFF. COWLING CAME OFF ON RETURNING TO LAND. CRACKED WINDSHIELD, DENTED STABILIZER.            ","<COWLING, HAS EFFECT, LOOSE COWLING ON TAKEOFF>
<COWLING, HAS EFFECT, CAME OFF ON RETURNING TO LAND>
<WINDSHIELD, HAS EFFECT, CRACKED>
<STABILIZER, HAS EFFECT, DENTED>","<COWLING, HAS EFFECT, LOOSE COWLING ON TAKEOFF>
<COWLING, HAS EFFECT, CAME OFF ON RETURNING TO LAND>
<WINDSHIELD, HAS EFFECT, CRACKED>
<STABILIZER, HAS EFFECT, DENTED>"
19940412011509I,AIRCRAFT POPPED OPEN ON DESCENT. FLIGHT MANUAL FLEW OUT AND STRUCK TRUCK WINDSHIELD ON GROUND. LANDED SAFELY.      ,"<AIRCRAFT, HAS EFFECT, FLIGHT MANUAL FLEW OUT>","<AIRCRAFT, HAS EFFECT, FLIGHT MANUAL FLEW OUT>"
19971226042729I,NR2 ENGINE FIRE WHILE LOADING PASSENGERS AT GATE. EVACUATED. FUEL LEVER WAS IN FLIGHT IDLE. CUT OFF. SMOKE CLEARED.,"<ENGINE FIRE, LOCATION, GATE>","<ENGINE FIRE, LOCATION, GATE>"
19950619021589I,AFTER DEPARTING HIGH OIL TEMP. LANDED OFF AIRPOR. SHEARED MAIN GEAR. FOUND LOW ON OIL.                             ,"<DEPARTING, HAS EFFECT, HIGH OIL TEMP>","<DEPARTING, HAS EFFECT, HIGH OIL TEMP>"
19940815046149I,BATTERY COMPARTMENT DOOR CAME OPEN. ANTENNA CRACKED WINDSHIELD.                                                    ,"<ANTENNA, HAS EFFECT, CRACKED WINDSHIELD>","<ANTENNA, HAS EFFECT, CRACKED WINDSHIELD>"
19860228038269I,RETURNED WHEN NOSE GEAR FAILED TO RETRACT. FOUND THAT PIN HAD NOT BEEN REMOVED AFTER PREVIOUS MAINTENANCE.         ,"<NOSE GEAR, HAS CAUSE, PIN NOT REMOVED>","<NOSE GEAR, HAS CAUSE, PIN NOT REMOVED>"
19790718019229I,GROUND STAND BAGGAGE CART WITH INOPERATIVE BRAKES ROLLED INTO SIDE OF PARKED AIRCRAFT. 9 INCH TEAR IN FUSELAGE.    ,"<GROUNDS STAND BAGGAGE CART, HAS CAUSE, INOPERATIVE BRAKES>
<GROUNDS STAND BAGGAGE CART, HAS EFFECT, ROLLED INTO SIDE OF PARKED AIRCRAFT>
<PARKED AIRCRAFT, HAS EFFECT, 9 INCH TEAR IN FUSELAGE>","<GROUNDS STAND BAGGAGE CART, HAS CAUSE, INOPERATIVE BRAKES>
<GROUNDS STAND BAGGAGE CART, HAS EFFECT, ROLLED INTO SIDE OF PARKED AIRCRAFT>
<PARKED AIRCRAFT, HAS EFFECT, 9 INCH TEAR IN FUSELAGE>"
20000625032189I,(-23)NORTHWEST AIRLINES DC-10 BOEING PUSHED BACK FOR REPOSITIONING OFF OF GATE B-52 STRUCK A CONTINENTAL AIRLINES D,"<NORTHWEST AIRLINES DC-10, OWNED BY, NORTHWEST AIRLINES>","<NORTHWEST AIRLINES DC-10, OWNED BY, NORTHWEST AIRLINES>"
19860530030499A,ENGINE OVERHEAT. HOT OIL SMELL.KNEW HE HAD FAILED TO REMOVE AIR INTAKE PLUGS. NOSED OVER IN FURROWS PLOWED FAILED  ,"<ENGINE OVERHEAT, HAS CAUSE, FAILED TO REMOVE AIR INTAKE PLUGS>","<ENGINE OVERHEAT, HAS CAUSE, FAILED TO REMOVE AIR INTAKE PLUGS>"
19821117066379I,PILOT UNABLE TO PRESSURIZE. FOUND ACCESS DOOR SLIGHTLY OPEN. DEPRESSURIZED. DOOR OPENED FULLY. STOPPED BY FUSELAGE.,"<ACCESS DOOR, PART OF, FUSELAGE>","<ACCESS DOOR, PART OF, FUSELAGE>"
19810303007119A,VEERED OFF RUNWAY ON LANDING.  HIT PARKED AIRPLANE.  NEWLY INSTALLED CARPETING RESTRICTED RUDDER PEDAL MOVEMENT.   ,"<RUNWAY, EVENT DISTANCE, LANDING>
<AIRPLANE, LOCATION, RUNWAY>
<RUDDER PEDAL MOVEMENT, HAS CAUSE, NEWLY INSTALLED CARPETING>","<RUNWAY, EVENT DISTANCE, LANDING>
<AIRPLANE, LOCATION, RUNWAY>
<RUDDER PEDAL MOVEMENT, HAS CAUSE, NEWLY INSTALLED CARPETING>"
19950602032329I,VEERED OFF TAXIWAY. STRUCK TAXIWAY LIGHT. WAS ADVISED DAMAGED PROP. CONTINUED TO LIT.                              ,"<TAXIWAY LIGHT, STRUCK BY, AIRCRAFT>","<TAXIWAY LIGHT, STRUCK BY, AIRCRAFT>"
19901101064289I,FUEL CAP MISSING FROM RIGHT TANK AND GAS ESCAPING WHILE TAXIING. REPLACED CAP. RESUMED FLIGHT WITHOUT CLEANING WING,"<FUEL CAP, PART OF, RIGHT TANK>","<FUEL CAP, PART OF, RIGHT TANK>"
20050713014239I,"(-23) ON JULY 13, 2005, AT 1535 MST, AN RAYTHEON AIRCRAFT CO. B36TC (BONANZA), N3042V REGISTERED TO HAVENS LEASING ","<RAYTHEON AIRCRAFT CO. B36TC (BONANZA), TIME PERIOD, JULY 13, 2005>
<RAYTHEON AIRCRAFT CO. B36TC (BONANZA), OWNED BY, HAVENS LEASING>","<RAYTHEON AIRCRAFT CO. B36TC (BONANZA), TIME PERIOD, JULY 13, 2005>
<RAYTHEON AIRCRAFT CO. B36TC (BONANZA), OWNED BY, HAVENS LEASING>"
19860706034879A,THE ENGINE LOST POWER ON TAKEOFF AND THE AIRCRAFT FLIPPED ON LANDING.PILOT HAD JUST FILLED TANKS. WATER IN FUEL.   ,"<ENGINE, HAS EFFECT, LOST POWER>
<AIRCRAFT, HAS EFFECT, FLIPPED ON LANDING>
<PILOT, HAS CAUSE, FILLED TANKS>
<WATER, HAS CAUSE, IN FUEL>","<ENGINE, HAS EFFECT, LOST POWER>
<AIRCRAFT, HAS EFFECT, FLIPPED ON LANDING>
<PILOT, HAS CAUSE, FILLED TANKS>
<WATER, HAS CAUSE, IN FUEL>"
19840121015319I,ENGINE FAILED AFTER TAKEOFF. TRIED TO MAKE A ROAD BUT DRIFTED OFF THE EDGE. FOUND SOLID ICE IN CARBURETOR BOWL.    ,"<ENGINE, HAS EFFECT, FAILED AFTER TAKEOFF>
<ROAD, HAS CAUSE, DRIFTED OFF THE EDGE>
<SOLID ICE, LOCATION, CARBURETOR BOWL>","<ENGINE, HAS EFFECT, FAILED AFTER TAKEOFF>
<ROAD, HAS CAUSE, DRIFTED OFF THE EDGE>
<SOLID ICE, LOCATION, CARBURETOR BOWL>"
19950527014439A,LOST CONTROL ON CLIMBOUT AFTER TOW RELEASE. ROLLED BOTH WAYS. SPIRAL TO IMPACT. NEGLECTED TO CONNECT RIGHT AILERON.,"<CLIMBOUT, FOLLOWED BY, TOW RELEASE>","<CLIMBOUT, FOLLOWED BY, TOW RELEASE>"
19960322013629I,NARRATIVE: THE AIRCRAFT WAS BEING FERRIED FOR MAINTENANCE. THE GEAR BLOCKED DOWN AND THE NOSE BLOCK FELL OUT DURING,"<AIRCRAFT, MAINTAINED BY, MAINTENANCE>","<AIRCRAFT, MAINTAINED BY, MAINTENANCE>"
19960504009509A,FAILED TO DETACH TRAILER TIE DOWN FROM SKID. LOST CONTROL AND ROLLED ON LIFT OFF. (-23) PILOT FAILED TO FULLY DETAC,"<TRAILER TIE DOWN, PART OF, SKID>","<TRAILER TIE DOWN, PART OF, SKID>"
19790211002709A,AIRCRAFT FAILED TO LIFTOFF RUNWAY. RAN OFF END INTO SNOW BANK. FROST ON AIRFRAME.                                  ,"<AIRCRAFT, HAS CAUSE, FROST ON AIRFRAME>","<AIRCRAFT, HAS CAUSE, FROST ON AIRFRAME>"
19850418016709I,ENGINE POWER FAILURE WHILE DOING AEROBATICS. LANDED IN FIELD. PILOT DID NOT VISUALLY INSPECT FUEL TANKS.           ,"<ENGINE POWER FAILURE, HAS CAUSE, AEROBATICS>","<ENGINE POWER FAILURE, HAS CAUSE, AEROBATICS>"
19780913017419I,ABORTED TAKEOFF WHEN FRONT BAGGAGE DOOR POPPED OPEN.                                                               ,"<FRONT BAGGAGE DOOR, HAS EFFECT, ABORTED TAKEOFF>","<FRONT BAGGAGE DOOR, HAS EFFECT, ABORTED TAKEOFF>"
19781113027039I,PILOT TAXIED INTO UNMARKED DITCH AT END OF TAXIWAY.                                                                ,"<TAXIWAY, LOCATION, UNMARKED DITCH>","<TAXIWAY, LOCATION, UNMARKED DITCH>"
19870606018859A,UNABLE TO STAY AIRBORNE ON TAKEOFF. ABORTED AND GROUND LOOPED INTO A TREE TO AVOID OVERRUN. MAG SWITCH ON ONE MAG. ,"<ABORTED, HAS CAUSE, UNABLE TO STAY AIRBORNE ON TAKEOFF>","<ABORTED, HAS CAUSE, UNABLE TO STAY AIRBORNE ON TAKEOFF>"
19990714022959I,(-23) ACCORDING TO THE PILOT HE DEPARTED FRONT RANGE AIRPORT DURING THE HOURS OF DARKNESS. DURING THE START AND RUN,"<HE, DEPARTED, FRONT RANGE AIRPORT>","<HE, DEPARTED, FRONT RANGE AIRPORT>"
19870319012959I,NOSE GEAR WOULD NOT RETRACT AFTER TAKEOFF. RETURNED AND FOUND PIN WAS INSTALLED.                                   ,"<Nose gear, HAS EFFECT, Would not retract after takeoff>","<Nose gear, HAS EFFECT, Would not retract after takeoff>"
20050504010229A,"(-23) A SIKORSKY S-70A, N160LA, ENCOUNTERED A VIBRATION AFTER THE APU DOOR STRUCK A MAIN ROTOR BLADE INFLIGHT NEAR ","<SIKORSKY S-70A, INSTANCE OF, N160LA>","<SIKORSKY S-70A, INSTANCE OF, N160LA>"
20050429009279I,(-23) THE PILOT WAS TAXIING THE AIRCRAFT TO PARKING FOLLOWING A CARGO TRIP. UPON REACHING A POINT WHERE THE TAXIWAY,"<AIRCRAFT, FOLLOWED BY, PARKING>","<AIRCRAFT, FOLLOWED BY, PARKING>"
19890723054159I,AFTER LANDING IT WAS DETERMINED THERE WAS INSUFFICIENT NUMBER OF SEATS AND OXYGEN MASKS FOR PASSENGERS ONBOARD.    ,"<INSUFFICIENT NUMBER OF SEATS AND OXYGEN MASKS, HAS EFFECT, PASSENGERS ONBOARD>","<INSUFFICIENT NUMBER OF SEATS AND OXYGEN MASKS, HAS EFFECT, PASSENGERS ONBOARD>"
19970523014439I,NARRATIVE: THE CARGO DOOR WAS LATCHED BEFORE TAKEOFF BY MR. BOWEN. RUNWAY CONDITIONS AT STEVEN'S VILLAGE WAS EXTREM,"<CARGO DOOR, MAINTAINED BY, MR. BOWEN>
<RUNWAY CONDITIONS, LOCATION, STEVEN'S VILLAGE>","<CARGO DOOR, MAINTAINED BY, MR. BOWEN>
<RUNWAY CONDITIONS, LOCATION, STEVEN'S VILLAGE>"
19970908038069A,TIRED TAXI WITH TIEDOWN CHAINS ATTACHE. ROLLED OVER. PILOT FAILED NOTE RAMP PERSON TIED SKIDS DUE HIGH WIND.       ,"<PILOT, FAILED NOTE, RAMP PERSON>
<RAMP PERSON, TIED, SKIDS>
<SKIDS, TIED DUE, HIGH WIND>","<PILOT, FAILED NOTE, RAMP PERSON>
<RAMP PERSON, TIED, SKIDS>
<SKIDS, TIED DUE, HIGH WIND>"
19781108022239I,BAGGAGE CART WAS BLOWN INTO PARKED AIRCRAFT BY JET BLAST. BRAKES WERE INOPERATIVE ON CART.                         ,"<BAGGAGE CART, HAS CAUSE, JET BLAST>","<BAGGAGE CART, HAS CAUSE, JET BLAST>"
19760606015529A,SUFFICIENT OPPORTUNITY EXISTED TO RELEASE WHEN GLIDER ASSUMED NOSE HIGH ATTITUDE.                                  ,"<GLIDER, ASSUMED, NOSE HIGH ATTITUDE>","<GLIDER, ASSUMED, NOSE HIGH ATTITUDE>"
20051009024969I,(-23) ^PRIVACY DATA OMITTED^ HELICOPTER ENGINE POWER CHECKS WERE BEING CONDUCTED BY PILOT AND ONE CREWMEMBER. DURIN,"<HELICOPTER ENGINE POWER CHECKS, CONDUCTED BY, PILOT>
<HELICOPTER ENGINE POWER CHECKS, CONDUCTED BY, CREWMEMBER>","<HELICOPTER ENGINE POWER CHECKS, CONDUCTED BY, PILOT>
<HELICOPTER ENGINE POWER CHECKS, CONDUCTED BY, CREWMEMBER>"
19930530020029I,PILOT LOST CONTROL OF AIRCRAFT ON TAKEOFF ROLL. PILOTS SEAT WAS NOT LOCKED IN POSITION AND SLID AFT ON ACCELARATION,"<PILOT, LOST CONTROL OF, AIRCRAFT>","<PILOT, LOST CONTROL OF, AIRCRAFT>"
19801230089799I,"FLAT NOSE STRUT FAILED TO EXTEND BEFORE RETRACTION. IT CAUGHT ON AIRPLANE STRUCTURE, BROKE THE BELLCRANK. COLLAPSED","<FLAT NOSE STRUT, HAS CAUSE, FAILED TO EXTEND>","<FLAT NOSE STRUT, HAS CAUSE, FAILED TO EXTEND>"
19980508008619A,LOST POWER ENROUTE. NOSED OVER LANDING ON A SLOPE. NO EVIDENCE OF FUEL AT SCENE. FAILED TO VISUALLY CHECK FUEL.. (.,"<LOST POWER, HAS CAUSE, NO EVIDENCE OF FUEL>","<LOST POWER, HAS CAUSE, NO EVIDENCE OF FUEL>"
19940818022409A,LOST LEFT ENGINE NEAR H71. FEATHERED. HIGH . BEGAN GO AROUND BELOW VMC. CRASHED. BAD OIL LEAK. CRACKED ENGINE CASE.,"<LOST LEFT ENGINE, LOCATION, NEAR H71>
<GO AROUND, FOLLOWS, BEGAN>
<CRASHED, HAS CAUSE, BAD OIL LEAK>
<BAD OIL LEAK, HAS CAUSE, CRACKED ENGINE CASE>","<LOST LEFT ENGINE, LOCATION, NEAR H71>
<GO AROUND, FOLLOWS, BEGAN>
<CRASHED, HAS CAUSE, BAD OIL LEAK>
<BAD OIL LEAK, HAS CAUSE, CRACKED ENGINE CASE>"
19920405008919A,"ATTEMPTED TAKEOFF FROM 2500 FT SOD STRIP.GUSTY NORTH WIND,HIT TREES OFF END OF STRIP CRASHED.                      ","<TAKEOFF, EVENT DISTANCE, 2500 FT SOD STRIP>","<TAKEOFF, EVENT DISTANCE, 2500 FT SOD STRIP>"
19840821046409A,CRASH OCCURRED DURING FORCED LANDING AFTER ENGINE FAILURE DURING TAKEOFF. AIRCRAFT HAD NOT HAD ANNUAL INSPECTION.  ,"<CRASH, HAS CAUSE, ENGINE FAILURE>
<ENGINE FAILURE, FOLLOWS, TAKEOFF>
<CRASH, HAS EFFECT, FORCED LANDING>
<AIRCRAFT, MAINTAINED BY, ANNUAL INSPECTION>","<CRASH, HAS CAUSE, ENGINE FAILURE>
<ENGINE FAILURE, FOLLOWS, TAKEOFF>
<CRASH, HAS EFFECT, FORCED LANDING>
<AIRCRAFT, MAINTAINED BY, ANNUAL INSPECTION>"
19950216008379I,"NARRATIVE: THE PILOT OF CESSNA 207, N1549U STATED THAT AFTER TAKEOFF FROM THE BETHEL AIRPORT, THE ENGINE STOPPED RU","<CESSNA 207, INSTANCE OF, AIRPLANE>
<N1549U, OWNED BY, CESSNA 207>
<PILOT, USED BY, CESSNA 207>
<BETHEL AIRPORT, LOCATION, TAKEOFF>
<ENGINE, HAS EFFECT, STOPPED>","<CESSNA 207, INSTANCE OF, AIRPLANE>
<N1549U, OWNED BY, CESSNA 207>
<PILOT, USED BY, CESSNA 207>
<BETHEL AIRPORT, LOCATION, TAKEOFF>
<ENGINE, HAS EFFECT, STOPPED>"
19850525020799A,TOUCHED DOWN LONG AND BOUNCED. ATTEMPTED DOWNWIND GO AROUND WITH FULL FLAPS. STRUCK TREE 3 MILES FROM AIRPORT.     ,"<GO AROUND, HAS CAUSE, ATTEMPTED DOWNWIND>
<GO AROUND, USED BY, FULL FLAPS>
<TREE, LOCATION, 3 MILES FROM AIRPORT>","<GO AROUND, HAS CAUSE, ATTEMPTED DOWNWIND>
<GO AROUND, USED BY, FULL FLAPS>
<TREE, LOCATION, 3 MILES FROM AIRPORT>"
19861114075329I,ENTERED TCA WITHOUT ATC COMMUNICATION. PILOT WAS AWARE OF MALFUNCTIONING ENCODING ALTIMETER.                       ,"<PILOT, AWARE OF, MALFUNCTIONING ENCODING ALTIMETER>","<PILOT, AWARE OF, MALFUNCTIONING ENCODING ALTIMETER>"
20010421009329I,"(-23)AIRCRAFT WAS IN CRUISE FLIGHT, THERE WAS A RPM LOSS AND PILOT COULD NOT MAINTAIN ALTITUDE. PILOT MADE AN EMERG","<AIRCRAFT, MAINTAINED BY, PILOT>","<AIRCRAFT, MAINTAINED BY, PILOT>"
19960524045629A,NOSE BAGGAGE DOOR OPENED ON TAKEOFF. BAGGAGE HIT LEFT PROP. GOT BELWO UMC. LANDED ON SEA ICE. WILL FLY DOOR OPEN.  ,"<BAGGAGE, HIT, LEFT PROP>","<BAGGAGE, HIT, LEFT PROP>"
19871211075169A,ROUGH ENGINE ON CLIMBOUT. LANDED ON CITY STREET. SPARK PLUGS OUT OF TOLERENCE. FOUND PRIMER UNLOCKED.              ,"<ROUGH ENGINE, HAS CAUSE, SPARK PLUGS OUT OF TOLERENCE>
<LANDED, LOCATION, CITY STREET>
<SPARK PLUGS, HAS EFFECT, ROUGH ENGINE>
<PRIMER, FOUND, UNLOCKED>","<ROUGH ENGINE, HAS CAUSE, SPARK PLUGS OUT OF TOLERENCE>
<LANDED, LOCATION, CITY STREET>
<SPARK PLUGS, HAS EFFECT, ROUGH ENGINE>
<PRIMER, FOUND, UNLOCKED>"
20010910029739I,"(-23) DURING TAXI OUT, CFI NOTICED NOSE LANDING GEAR GREEN LIGHT WAS OUT. SHE ATTEMPTED TO SWAP LIGHTS TO VERIFY TH","<NOSE LANDING GEAR GREEN LIGHT, PART OF, TAXI OUT>","<NOSE LANDING GEAR GREEN LIGHT, PART OF, TAXI OUT>"
19871027060859A,"ELECTRIC POWER LOST ON IFR DUAL FLIGHT. STRUCK POWER POLE ON FORCED LANDING, FOUND CIRCUIT BREAKER OFF. PILOT ERROR","<ELECTRIC POWER, LOST ON, IFR DUAL FLIGHT>
<IFR DUAL FLIGHT, STRUCK, POWER POLE>
<IFR DUAL FLIGHT, FOUND, CIRCUIT BREAKER OFF>
<IFR DUAL FLIGHT, HAS CAUSE, PILOT ERROR>","<ELECTRIC POWER, LOST ON, IFR DUAL FLIGHT>
<IFR DUAL FLIGHT, STRUCK, POWER POLE>
<IFR DUAL FLIGHT, FOUND, CIRCUIT BREAKER OFF>
<IFR DUAL FLIGHT, HAS CAUSE, PILOT ERROR>"
19980616023109I,LOUD BANG AND SHUDDER ENROUTE. SAW SPARKS AT ROTOR. RETURNED. ENGINE COWLING SEPERATED. COWL NOT FASTENED.         ,"<LOUD BANG, HAS CAUSE, SPARKS AT ROTOR>
<ENGINE COWLING, HAS EFFECT, SEPARATED>
<COWL, HAS CAUSE, NOT FASTENED>","<LOUD BANG, HAS CAUSE, SPARKS AT ROTOR>
<ENGINE COWLING, HAS EFFECT, SEPARATED>
<COWL, HAS CAUSE, NOT FASTENED>"
19910710026989A,REPORTED PROBLEM ON CLIMBOUT. STALLED AND CRASHED. NO LOCKING PINS IN SEAT TRACK. SEAT PIN BENT. BELT NOT FASTENED ,"<PROBLEM, HAS EFFECT, STALLED AND CRASHED>","<PROBLEM, HAS EFFECT, STALLED AND CRASHED>"
19780509032859I,FORCED LANDING AFTER POWER LOSS. FOUND WATER IN FUEL.                                                              ,"<FORCED LANDING, HAS CAUSE, POWER LOSS>
<POWER LOSS, HAS CAUSE, WATER IN FUEL>","<FORCED LANDING, HAS CAUSE, POWER LOSS>
<POWER LOSS, HAS CAUSE, WATER IN FUEL>"
19800506012169A,LOST CONTROL OF AIRPLANE ON TAKEOFF ROLL. FAILED TO REMOVE AILERON-ELEVATOR LOCK PIN.                              ,"<AIRPLANE, HAS CAUSE, FAILED TO REMOVE AILERON-ELEVATOR LOCK PIN>","<AIRPLANE, HAS CAUSE, FAILED TO REMOVE AILERON-ELEVATOR LOCK PIN>"
19791128035159A,"PILOT LANDED TO WAIT OUT RAIN SHOWER. ON CLIMBOUT, ENGINE RAN ROUGH. PILOT LANDED IN FIELD. CLAIMS WATER IN FUEL.  ","<ENGINE, HAS EFFECT, RAN ROUGH>
<PILOT, HAS CAUSE, WATER IN FUEL>
<PILOT, LOCATION, FIELD>","<ENGINE, HAS EFFECT, RAN ROUGH>
<PILOT, HAS CAUSE, WATER IN FUEL>
<PILOT, LOCATION, FIELD>"
20060621012279A,"(-23) THE PILOT ^PRIVACY DA^ STATED THAT DURING TAKEOFF (AT ROTATION) HIS SEAT SLID BACK, CAUSING HIM TO OVERROTATE","<PILOT ^PRIVACY DA^, HAS CAUSE, SEAT SLID BACK>","<PILOT ^PRIVACY DA^, HAS CAUSE, SEAT SLID BACK>"
19950314029269I,"NARRATIVE: ON MARCH 14, 1995, N7016M, AN AMATEUR BUILT AIRCRAFT, MADE AN EMERGENCY OFF AIRPORT LANDING NEAR THE BLO","<N7016M, INSTANCE OF, AMATEUR BUILT AIRCRAFT>
<N7016M, EVENT DISTANCE, NEAR THE BLO>
<N7016M, TIME PERIOD, MARCH 14, 1995>","<N7016M, INSTANCE OF, AMATEUR BUILT AIRCRAFT>
<N7016M, EVENT DISTANCE, NEAR THE BLO>
<N7016M, TIME PERIOD, MARCH 14, 1995>"
19800804037399A,EARLY FUEL EXHAUSTION FROM FUEL SIPHONING FROM IMPROPERLY SECURED VENT CAP. OVERSHOT EMERGENCY LANDING AREA.       ,"<FUEL EXHAUSTION, HAS CAUSE, FUEL SIPHONING>
<FUEL SIPHONING, HAS CAUSE, IMPROPERLY SECURED VENT CAP>
<EMERGENCY LANDING AREA, OVERSHOT BY, FUEL EXHAUSTION>","<FUEL EXHAUSTION, HAS CAUSE, FUEL SIPHONING>
<FUEL SIPHONING, HAS CAUSE, IMPROPERLY SECURED VENT CAP>
<EMERGENCY LANDING AREA, OVERSHOT BY, FUEL EXHAUSTION>"
19780402008409I,TAXIING AIRCRAFT STRUCK PARKED AIRCRAFT. FOUND WORN OUT & INEFFECTIVE BRAKES AS CAUSE.                             ,"<TAXIING AIRCRAFT, HAS CAUSE, WORN OUT & INEFFECTIVE BRAKES>","<TAXIING AIRCRAFT, HAS CAUSE, WORN OUT & INEFFECTIVE BRAKES>"
