c5,c119,gemma3_4b_it_triplets,phi4mini_instruct_triplets,gemma3_4b_it_triplets_clean,phi4mini_instruct_triplets_clean
19991230042089A,"(.4)THE PILOT SAID THAT SHORTLY AFTER TAKEOFF, THE ENGINE 'STARTED CUTTING OUT AND WAS NOT DEVELOPING ENOUGH POWER ","<ENGINE, HAS CAUSE, TAKEOFF>
<ENGINE, HAS EFFECT, NOT DEVELOPING ENOUGH POWER>","<TAKEOFF, EVENT DISTANCE, SHORTLY AFTER>","<ENGINE, HAS CAUSE, TAKEOFF>
<ENGINE, HAS EFFECT, NOT DEVELOPING ENOUGH POWER>","<TAKEOFF, EVENT DISTANCE, SHORTLY AFTER>"
19820725041999I,"LOOSE COWLING ON TAKEOFF. COWLING CAME OFF ON RETURNING TO LAND. CRACKED WINDSHIELD, DENTED STABILIZER.            ","<LOOSE COWLING, HAS EFFECT, CRACKED WINDSHIELD>
<LOOSE COWLING, HAS EFFECT, DENTED STABILIZER>
<CRACKED WINDSHIELD, EVENT DISTANCE, TAKEOFF>
<CRACKED WINDSHIELD, EVENT DISTANCE, RETURNING TO LAND>
<DENTED STABILIZER, EVENT DISTANCE, RETURNING TO LAND>","<LOOSE COWLING, HAS CAUSE, TAKEOFF>
<LOOSE COWLING, HAS CAUSE, RETURNING TO LAND>
<CRACKED WINDSHIELD, HAS CAUSE, LOOSE COWLING>
<DENTED STABILIZER, HAS CAUSE, LOOSE COWLING>","<LOOSE COWLING, HAS EFFECT, CRACKED WINDSHIELD>
<LOOSE COWLING, HAS EFFECT, DENTED STABILIZER>
<CRACKED WINDSHIELD, EVENT DISTANCE, TAKEOFF>
<CRACKED WINDSHIELD, EVENT DISTANCE, RETURNING TO LAND>
<DENTED STABILIZER, EVENT DISTANCE, RETURNING TO LAND>","<LOOSE COWLING, HAS CAUSE, TAKEOFF>
<LOOSE COWLING, HAS CAUSE, RETURNING TO LAND>
<CRACKED WINDSHIELD, HAS CAUSE, LOOSE COWLING>
<DENTED STABILIZER, HAS CAUSE, LOOSE COWLING>"
19940412011509I,AIRCRAFT POPPED OPEN ON DESCENT. FLIGHT MANUAL FLEW OUT AND STRUCK TRUCK WINDSHIELD ON GROUND. LANDED SAFELY.      ,"<AIRCRAFT, POPPED OPEN, DESCENT>
<FLIGHT MANUAL, FLEW OUT, GROUND>
<FLIGHT MANUAL, HAS EFFECT, TRUCK WINDSHIELD>
<LANDED, EVENT DISTANCE, GROUND>
<LANDED, HAS EFFECT, SAFELY>","<FLIGHT MANUAL, USED BY, AIRCRAFT>
<FLIGHT MANUAL, HAS EFFECT, STRUCK TRUCK WINDSHIELD ON GROUND>
<FLIGHT MANUAL, EVENT DISTANCE, LANDED SAFELY>","<AIRCRAFT, POPPED OPEN, DESCENT>
<FLIGHT MANUAL, FLEW OUT, GROUND>
<FLIGHT MANUAL, HAS EFFECT, TRUCK WINDSHIELD>
<LANDED, EVENT DISTANCE, GROUND>
<LANDED, HAS EFFECT, SAFELY>","<FLIGHT MANUAL, USED BY, AIRCRAFT>
<FLIGHT MANUAL, HAS EFFECT, STRUCK TRUCK WINDSHIELD ON GROUND>
<FLIGHT MANUAL, EVENT DISTANCE, LANDED SAFELY>"
19971226042729I,NR2 ENGINE FIRE WHILE LOADING PASSENGERS AT GATE. EVACUATED. FUEL LEVER WAS IN FLIGHT IDLE. CUT OFF. SMOKE CLEARED.,"<NR2 ENGINE FIRE, HAS CAUSE, LOADING PASSENGERS>
<NR2 ENGINE FIRE, LOCATION, GATE>
<FUEL LEVER, INSTANCE OF, FLIGHT IDLE>
<FUEL LEVER, CUT OFF, NR2 ENGINE FIRE>
<SMOKE, HAS EFFECT, NR2 ENGINE FIRE>","<NR2 ENGINE FIRE, EVENT DISTANCE, LOADING PASSENGERS AT GATE>
<NR2 ENGINE FIRE, HAS EFFECT, SMOKE CLEARED>
<NR2 ENGINE FIRE, USED BY, FUEL LEVER>","<NR2 ENGINE FIRE, HAS CAUSE, LOADING PASSENGERS>
<NR2 ENGINE FIRE, LOCATION, GATE>
<FUEL LEVER, INSTANCE OF, FLIGHT IDLE>
<FUEL LEVER, CUT OFF, NR2 ENGINE FIRE>
<SMOKE, HAS EFFECT, NR2 ENGINE FIRE>","<NR2 ENGINE FIRE, EVENT DISTANCE, LOADING PASSENGERS AT GATE>
<NR2 ENGINE FIRE, HAS EFFECT, SMOKE CLEARED>
<NR2 ENGINE FIRE, USED BY, FUEL LEVER>"
19950619021589I,AFTER DEPARTING HIGH OIL TEMP. LANDED OFF AIRPOR. SHEARED MAIN GEAR. FOUND LOW ON OIL.                             ,"<HIGH OIL TEMP., HAS CAUSE, SHEARED MAIN GEAR>
<SHEARED MAIN GEAR, LOCATION, AIRPOR>
<SHEARED MAIN GEAR, HAS EFFECT, FOUND LOW ON OIL>","<HEADING, EVENT DISTANCE, OFF AIRPORT>
<HEADING, EVENT DISTANCE, MAIN GEAR>
<HEADING, EVENT DISTANCE, OIL>","<HIGH OIL TEMP., HAS CAUSE, SHEARED MAIN GEAR>
<SHEARED MAIN GEAR, LOCATION, AIRPOR>
<SHEARED MAIN GEAR, HAS EFFECT, FOUND LOW ON OIL>","<HEADING, EVENT DISTANCE, OFF AIRPORT>
<HEADING, EVENT DISTANCE, MAIN GEAR>
<HEADING, EVENT DISTANCE, OIL>"
19940815046149I,BATTERY COMPARTMENT DOOR CAME OPEN. ANTENNA CRACKED WINDSHIELD.                                                    ,"<BATTERY COMPARTMENT DOOR, EVENT DISTANCE, OPEN>
<ANTENNA, HAS EFFECT, CRACKED>
<WINDSHIELD, HAS EFFECT, CRACKED>","<BATTERY COMPARTMENT DOOR, CAME OPEN, ANTENNA CRACKED WINDSHIELD>","<BATTERY COMPARTMENT DOOR, EVENT DISTANCE, OPEN>
<ANTENNA, HAS EFFECT, CRACKED>
<WINDSHIELD, HAS EFFECT, CRACKED>","<BATTERY COMPARTMENT DOOR, CAME OPEN, ANTENNA CRACKED WINDSHIELD>"
19860228038269I,RETURNED WHEN NOSE GEAR FAILED TO RETRACT. FOUND THAT PIN HAD NOT BEEN REMOVED AFTER PREVIOUS MAINTENANCE.         ,"<NOSE GEAR, HAS EFFECT, FAILED TO RETRACT>
<PIN, HAS EFFECT, NOT BEEN REMOVED>
<MAINTENANCE, FOLLOWED BY, FOUND THAT PIN HAD NOT BEEN REMOVED>","<NOSE GEAR, FAILED TO RETRACT, RETURNED>
<PIN, NOT REMOVED, AFTER PREVIOUS MAINTENANCE>","<NOSE GEAR, HAS EFFECT, FAILED TO RETRACT>
<PIN, HAS EFFECT, NOT BEEN REMOVED>
<MAINTENANCE, FOLLOWED BY, FOUND THAT PIN HAD NOT BEEN REMOVED>","<NOSE GEAR, FAILED TO RETRACT, RETURNED>
<PIN, NOT REMOVED, AFTER PREVIOUS MAINTENANCE>"
19790718019229I,GROUND STAND BAGGAGE CART WITH INOPERATIVE BRAKES ROLLED INTO SIDE OF PARKED AIRCRAFT. 9 INCH TEAR IN FUSELAGE.    ,"<BAGGAGE CART, HAS EFFECT, INOPERATIVE BRAKES>
<BAGGAGE CART, PART OF, PARKED AIRCRAFT>
<FUSELAGE, HAS EFFECT, 9 INCH TEAR>","<GROUND STAND BAGGAGE CART, HAS CAUSE, 9 INCH TEAR IN FUSELAGE>
<GROUND STAND BAGGAGE CART, HAS CAUSE, ROLLED INTO SIDE OF PARKED AIRCRAFT>","<BAGGAGE CART, HAS EFFECT, INOPERATIVE BRAKES>
<BAGGAGE CART, PART OF, PARKED AIRCRAFT>
<FUSELAGE, HAS EFFECT, 9 INCH TEAR>","<GROUND STAND BAGGAGE CART, HAS CAUSE, 9 INCH TEAR IN FUSELAGE>
<GROUND STAND BAGGAGE CART, HAS CAUSE, ROLLED INTO SIDE OF PARKED AIRCRAFT>"
20000625032189I,(-23)NORTHWEST AIRLINES DC-10 BOEING PUSHED BACK FOR REPOSITIONING OFF OF GATE B-52 STRUCK A CONTINENTAL AIRLINES D,"<NORTHWEST AIRLINES DC-10, INSTANCE OF, DC-10>
<DC-10, USED BY, NORTHWEST AIRLINES>
<DC-10, LOCATION, GATE B-52>
<CONTINENTAL AIRLINES, INFLUENCED BY, DC-10>",,"<NORTHWEST AIRLINES DC-10, INSTANCE OF, DC-10>
<DC-10, USED BY, NORTHWEST AIRLINES>
<DC-10, LOCATION, GATE B-52>
<CONTINENTAL AIRLINES, INFLUENCED BY, DC-10>",
19860530030499A,ENGINE OVERHEAT. HOT OIL SMELL.KNEW HE HAD FAILED TO REMOVE AIR INTAKE PLUGS. NOSED OVER IN FURROWS PLOWED FAILED  ,"<ENGINE OVERHEAT, HAS CAUSE, HOT OIL SMELL>
<HOT OIL SMELL, HAS CAUSE, KNEW HE HAD FAILED TO REMOVE AIR INTAKE PLUGS>
<NOSED OVER IN FURROWS, INSTANCE OF, FAILED>
<PLOWED, PART OF, FAILED>","<ENGINE OVERHEAT, HAS CAUSE, HOT OIL SMELL>
<ENGINE OVERHEAT, HAS CAUSE, NOSED OVER IN FURROWS PLOWED>
<NOSED OVER IN FURROWS PLOWED, HAS EFFECT, ENGINE OVERHEAT>","<ENGINE OVERHEAT, HAS CAUSE, HOT OIL SMELL>
<HOT OIL SMELL, HAS CAUSE, KNEW HE HAD FAILED TO REMOVE AIR INTAKE PLUGS>
<NOSED OVER IN FURROWS, INSTANCE OF, FAILED>
<PLOWED, PART OF, FAILED>","<ENGINE OVERHEAT, HAS CAUSE, HOT OIL SMELL>
<ENGINE OVERHEAT, HAS CAUSE, NOSED OVER IN FURROWS PLOWED>
<NOSED OVER IN FURROWS PLOWED, HAS EFFECT, ENGINE OVERHEAT>"
19821117066379I,PILOT UNABLE TO PRESSURIZE. FOUND ACCESS DOOR SLIGHTLY OPEN. DEPRESSURIZED. DOOR OPENED FULLY. STOPPED BY FUSELAGE.,"<PILOT, USED BY, PRESSURIZE>
<ACCESS DOOR, INSTANCE OF, OPEN>
<DEPRESSURIZED, HAS EFFECT, DOOR OPENED FULLY>
<DOOR OPENED FULLY, HAS EFFECT, STOPPED BY FUSELAGE>","<PILOT, CAUSE, UNABLE TO PRESSURIZE>
<PILOT, CAUSE, FOUND ACCESS DOOR SLIGHTLY OPEN>
<PILOT, CAUSE, DEPRESSURIZED>
<PILOT, CAUSE, DOOR OPENED FULLY>
<PILOT, CAUSE, STOPPED BY FUSELAGE>","<PILOT, USED BY, PRESSURIZE>
<ACCESS DOOR, INSTANCE OF, OPEN>
<DEPRESSURIZED, HAS EFFECT, DOOR OPENED FULLY>
<DOOR OPENED FULLY, HAS EFFECT, STOPPED BY FUSELAGE>","<PILOT, CAUSE, UNABLE TO PRESSURIZE>
<PILOT, CAUSE, FOUND ACCESS DOOR SLIGHTLY OPEN>
<PILOT, CAUSE, DEPRESSURIZED>
<PILOT, CAUSE, DOOR OPENED FULLY>
<PILOT, CAUSE, STOPPED BY FUSELAGE>"
19810303007119A,VEERED OFF RUNWAY ON LANDING.  HIT PARKED AIRPLANE.  NEWLY INSTALLED CARPETING RESTRICTED RUDDER PEDAL MOVEMENT.   ,"<LANDING, HAS CAUSE, VEERED OFF RUNWAY>
<VEERED OFF RUNWAY, HAS EFFECT, HIT PARKED AIRPLANE>
<CARPETING, RESTRICTED, RUDDER PEDAL MOVEMENT>","<VEERED OFF RUNWAY, EVENT DISTANCE, HITTED PARKED AIRPLANE>
<NEWLY INSTALLED CARPETING, RESTRICTED RUDDER PEDAL MOVEMENT>","<LANDING, HAS CAUSE, VEERED OFF RUNWAY>
<VEERED OFF RUNWAY, HAS EFFECT, HIT PARKED AIRPLANE>
<CARPETING, RESTRICTED, RUDDER PEDAL MOVEMENT>","<VEERED OFF RUNWAY, EVENT DISTANCE, HITTED PARKED AIRPLANE>
<NEWLY INSTALLED CARPETING, RESTRICTED RUDDER PEDAL MOVEMENT>"
19950602032329I,VEERED OFF TAXIWAY. STRUCK TAXIWAY LIGHT. WAS ADVISED DAMAGED PROP. CONTINUED TO LIT.                              ,"<TAXIMAY, LOCATION, TAXIWAY>
<TAXIMAY, HAS CAUSE, DAMAGED PROP>
<DAMAGED PROP, HAS EFFECT, TAXIWAY LIGHT>
<TAXIMAY, FOLLOWED BY, WAS ADVISED>","<TAXIWAY LIGHT, STRUCK, AIRCRAFT>
<CONTINUED TO LIT, FOLLOWED BY, TAXIWAY LIGHT>","<TAXIMAY, LOCATION, TAXIWAY>
<TAXIMAY, HAS CAUSE, DAMAGED PROP>
<DAMAGED PROP, HAS EFFECT, TAXIWAY LIGHT>
<TAXIMAY, FOLLOWED BY, WAS ADVISED>","<TAXIWAY LIGHT, STRUCK, AIRCRAFT>
<CONTINUED TO LIT, FOLLOWED BY, TAXIWAY LIGHT>"
19901101064289I,FUEL CAP MISSING FROM RIGHT TANK AND GAS ESCAPING WHILE TAXIING. REPLACED CAP. RESUMED FLIGHT WITHOUT CLEANING WING,"<FUEL CAP, MISSING FROM, RIGHT TANK>
<GAS, HAS EFFECT, ESCAPING>
<FUEL CAP, REPLACED BY, FUEL CAP>
<FLIGHT, FOLLOWED BY, RESUMED FLIGHT>","<FUEL CAP, MISSING FROM, RIGHT TANK>
<FUEL CAP, REPLACED BY, TAXIING>
<FUEL CAP, HAS CAUSE, GAS ESCAPING>
<FUEL CAP, HAS EFFECT, TAXIING>
<FLIGHT, RESUMED, CLEANING WING>","<FUEL CAP, MISSING FROM, RIGHT TANK>
<GAS, HAS EFFECT, ESCAPING>
<FUEL CAP, REPLACED BY, FUEL CAP>
<FLIGHT, FOLLOWED BY, RESUMED FLIGHT>","<FUEL CAP, MISSING FROM, RIGHT TANK>
<FUEL CAP, REPLACED BY, TAXIING>
<FUEL CAP, HAS CAUSE, GAS ESCAPING>
<FUEL CAP, HAS EFFECT, TAXIING>
<FLIGHT, RESUMED, CLEANING WING>"
20050713014239I,"(-23) ON JULY 13, 2005, AT 1535 MST, AN RAYTHEON AIRCRAFT CO. B36TC (BONANZA), N3042V REGISTERED TO HAVENS LEASING ","<RAYTHEON AIRCRAFT CO. B36TC, INSTANCE OF, AIRCRAFT>
<HAVENS LEASING, REGISTERED TO, B36TC>
<JULY 13, 2005, TIME PERIOD, 2005>
<1535 MST, TIME PERIOD, 2005>","<AN RAYTHEON AIRCRAFT CO. B36TC (BONANZA), EVENT, (-23) ON JULY 13, 2005>
<AN RAYTHEON AIRCRAFT CO. B36TC (BONANZA), TIME PERIOD, 2005>
<AN RAYTHEON AIRCRAFT CO. B36TC (BONANZA), LOCATION, HAVENS LEASING>","<RAYTHEON AIRCRAFT CO. B36TC, INSTANCE OF, AIRCRAFT>
<HAVENS LEASING, REGISTERED TO, B36TC>
<JULY 13, 2005, TIME PERIOD, 2005>
<1535 MST, TIME PERIOD, 2005>","<AN RAYTHEON AIRCRAFT CO. B36TC (BONANZA), EVENT, (-23) ON JULY 13, 2005>
<AN RAYTHEON AIRCRAFT CO. B36TC (BONANZA), TIME PERIOD, 2005>
<AN RAYTHEON AIRCRAFT CO. B36TC (BONANZA), LOCATION, HAVENS LEASING>"
19860706034879A,THE ENGINE LOST POWER ON TAKEOFF AND THE AIRCRAFT FLIPPED ON LANDING.PILOT HAD JUST FILLED TANKS. WATER IN FUEL.   ,"<ENGINE, HAS CAUSE, LOST POWER ON TAKEOFF>
<AIRCRAFT, HAS EFFECT, FLIPPED ON LANDING>
<PILOT, USED BY, TANKS>
<PILOT, USED BY, FUEL>","<ENGINE, HAS CAUSE, LOST POWER ON TAKEOFF>
<ENGINE, HAS CAUSE, FLIPPED ON LANDING>
<TANKS, USED BY, PILOT>
<FUEL, HAS EFFECT, WATER IN FUEL>","<ENGINE, HAS CAUSE, LOST POWER ON TAKEOFF>
<AIRCRAFT, HAS EFFECT, FLIPPED ON LANDING>
<PILOT, USED BY, TANKS>
<PILOT, USED BY, FUEL>","<ENGINE, HAS CAUSE, LOST POWER ON TAKEOFF>
<ENGINE, HAS CAUSE, FLIPPED ON LANDING>
<TANKS, USED BY, PILOT>
<FUEL, HAS EFFECT, WATER IN FUEL>"
