c5,c119,gpt4o_triplets,gpt4o_triplets_clean
19770120001659A,RUDDER GUST LOCK ENGAGED.ICE ON WINGS.OVERWEIGHT                                                                   ,"<RUDDER GUST LOCK, INSTANCE OF, ENGAGED>
<ICE, LOCATION, WINGS>","<RUDDER GUST LOCK, INSTANCE OF, ENGAGED>
<ICE, LOCATION, WINGS>"
19770702018479A,RUDDER & AIL CTL CABLES LOOSE. R RUDDER CABLE CAUGHT UNDER BATTERY BOX SUPPORT STRUCTURE.                          ,"<RUDDER & AIL CTL CABLES, CONDITION, LOOSE>
<R RUDDER CABLE, CONDITION, CAUGHT UNDER BATTERY BOX SUPPORT STRUCTURE>","<RUDDER & AIL CTL CABLES, CONDITION, LOOSE>
<R RUDDER CABLE, CONDITION, CAUGHT UNDER BATTERY BOX SUPPORT STRUCTURE>"
19770814024089A,L MAG INOP.#5 CYL COMPRESSION 25/80.                                                                               ,"<L MAG, INSTANCE OF, INOP>","<L MAG, INSTANCE OF, INOP>"
19770530012939A,WRONG PROP INSTALLED                                                                                               ,"<PROP, INSTANCE OF, WRONG>","<PROP, INSTANCE OF, WRONG>"
19770528021299A,APRX 1/2 CUPFULL FLUID UNDER R BRAKE PRIOR TO DEPARTURE.                                                           ,"<FLUID, LOCATION, UNDER R BRAKE>","<FLUID, LOCATION, UNDER R BRAKE>"
19770705018649A,MIXTURE CONTROL BALL BEARING MISSING FROM HANDLE                                                                   ,"<CONTROL BALL BEARING, PART OF, HANDLE>","<CONTROL BALL BEARING, PART OF, HANDLE>"
19770622022049A,OIL FILLER CAP MISSING.                                                                                            ,,
19770610021339A,ACFT N42807 & N7930C SUBSTANTIALLY DMGD. PLT CONTINUED TAXIING AFTER TOTAL HYD FAILURE.                            ,"<ACFT N42807, INSTANCE OF, AIRCRAFT>
<ACFT N7930C, INSTANCE OF, AIRCRAFT>
<ACFT N42807, HAS EFFECT, SUBSTANTIALLY DMGD>
<ACFT N7930C, HAS EFFECT, SUBSTANTIALLY DMGD>
<PLT, CONTINUED TAXIING AFTER, TOTAL HYD FAILURE>","<ACFT N42807, INSTANCE OF, AIRCRAFT>
<ACFT N7930C, INSTANCE OF, AIRCRAFT>
<ACFT N42807, HAS EFFECT, SUBSTANTIALLY DMGD>
<ACFT N7930C, HAS EFFECT, SUBSTANTIALLY DMGD>
<PLT, CONTINUED TAXIING AFTER, TOTAL HYD FAILURE>"
19770622018359A,PLT DID NOT USE EMERG LNDNG GR EXTNSN AFTER ELECTRICAL PWR FAILURE.                                                ,"<EMERG LNDNG GR EXTNSN, USED BY, PLT>
<ELECTRICAL PWR FAILURE, HAS EFFECT, PLT DID NOT USE EMERG LNDNG GR EXTNSN>","<EMERG LNDNG GR EXTNSN, USED BY, PLT>
<ELECTRICAL PWR FAILURE, HAS EFFECT, PLT DID NOT USE EMERG LNDNG GR EXTNSN>"
19770617020389A,INSUFFICIENT ALTITUDE FOR SUCCESSFUL AUTOROTATION.                                                                 ,"<INSUFFICIENT ALTITUDE, HAS EFFECT, UNSUCCESSFUL AUTOROTATION>","<INSUFFICIENT ALTITUDE, HAS EFFECT, UNSUCCESSFUL AUTOROTATION>"
19770530015519A,"CHOKER CABLE STILL CONNECTED TO CARGO HOOK DURING FLT, FREE TO TRAIL IN SLIPSTREAM, STRUCK T/R.                    ","<CHOKER CABLE, CONNECTED TO, CARGO HOOK>","<CHOKER CABLE, CONNECTED TO, CARGO HOOK>"
19770703018529A,OIL TEMP BULB RETAINING NUT FINGER TIGHT.FIRST FLT AFTR ANNUAL.                                                    ,"<OIL TEMP BULB RETAINING NUT, INSTANCE OF, FIRST FLT AFTR ANNUAL>","<OIL TEMP BULB RETAINING NUT, INSTANCE OF, FIRST FLT AFTR ANNUAL>"
19770706020519A,AN175-16 HAD PULLED THROUGH TORQUE LINK CENTER SCISSORS.WASHER CRACKED & SEPARATED FRM BOLT.                       ,"<WASHER, SEPARATED FROM, BOLT>","<WASHER, SEPARATED FROM, BOLT>"
19770912040629A,APRX 1745LBS OVR MAX GWT.ENG NOT FEATHERED.AUTOFEATHER NOT CONNECTED.100 OCTANE FUEL.                              ,"<APRX 1745LBS, OVER MAX GWT, ENG>","<APRX 1745LBS, OVER MAX GWT, ENG>"
19780106001449I,"EMERGENCY LANDING AFTER ENGINE QUIT. CAUSE WAS IMPROPER PREFLIGHT, OUT OF FUEL.                                    ","<EMERGENCY LANDING, HAS CAUSE, ENGINE QUIT>
<ENGINE QUIT, HAS CAUSE, IMPROPER PREFLIGHT>
<ENGINE QUIT, HAS CAUSE, OUT OF FUEL>","<EMERGENCY LANDING, HAS CAUSE, ENGINE QUIT>
<ENGINE QUIT, HAS CAUSE, IMPROPER PREFLIGHT>
<ENGINE QUIT, HAS CAUSE, OUT OF FUEL>"
19780110002479I,FORCED LANDING AFTER ENGINE QUIT. SUSPECT WATER IN FUEL.                                                           ,"<ENGINE QUIT, HAS EFFECT, FORCED LANDING>
<WATER IN FUEL, HAS CAUSE, ENGINE QUIT>","<ENGINE QUIT, HAS EFFECT, FORCED LANDING>
<WATER IN FUEL, HAS CAUSE, ENGINE QUIT>"
19780112002729I,FORCED LANDING AFTER POWER LOSS. WATER FOUND IN FUEL.                                                              ,"<FORCED LANDING, HAS CAUSE, POWER LOSS>
<POWER LOSS, HAS CAUSE, WATER IN FUEL>","<FORCED LANDING, HAS CAUSE, POWER LOSS>
<POWER LOSS, HAS CAUSE, WATER IN FUEL>"
19780108002219I,FORCED LANDING AFTER ENGINE QUIT. FOUND FROZEN WATER IN FUEL SYSTEM.                                               ,"<FORCED LANDING, HAS CAUSE, ENGINE QUIT>
<ENGINE QUIT, HAS CAUSE, FROZEN WATER IN FUEL SYSTEM>","<FORCED LANDING, HAS CAUSE, ENGINE QUIT>
<ENGINE QUIT, HAS CAUSE, FROZEN WATER IN FUEL SYSTEM>"
19780113002859I,"ABORTED TAKEOFF DUE TO UNLOCKED DOOR, UNABLE TO STOP BEFORE STRIKING SNOW BANK.                                    ","<ABORTED TAKEOFF, HAS CAUSE, UNLOCKED DOOR>
<ABORTED TAKEOFF, HAS EFFECT, UNABLE TO STOP>
<UNABLE TO STOP, HAS EFFECT, STRIKING SNOW BANK>","<ABORTED TAKEOFF, HAS CAUSE, UNLOCKED DOOR>
<ABORTED TAKEOFF, HAS EFFECT, UNABLE TO STOP>
<UNABLE TO STOP, HAS EFFECT, STRIKING SNOW BANK>"
19780129004679I,"ENGINE QUIT, LANDING MADE ON FROZEN LAKE. ICE RESTRICTION IN MAIN FUEL STRAINER.                                   ","<LANDING, HAS CAUSE, ENGINE QUIT>","<LANDING, HAS CAUSE, ENGINE QUIT>"
19780203005449I,SHORTLY AFTER CHANGING FUEL TANKS ONE ENGINE BECAME ROUGH AND WAS SHUT DOWN. HAD BEEN TOPPED OFF WITH JET FUEL.    ,"<ENGINE, HAS CAUSE, CHANGING FUEL TANKS>
<ENGINE, HAS EFFECT, BECAME ROUGH>
<ENGINE, HAS EFFECT, WAS SHUT DOWN>
<FUEL TANKS, HAD BEEN TOPPED OFF WITH, JET FUEL>","<ENGINE, HAS CAUSE, CHANGING FUEL TANKS>
<ENGINE, HAS EFFECT, BECAME ROUGH>
<ENGINE, HAS EFFECT, WAS SHUT DOWN>
<FUEL TANKS, HAD BEEN TOPPED OFF WITH, JET FUEL>"
19780205005989I,"ENGINE VIBRATED, LOST POWER, THEN QUIT. CARBURETOR FLOAT BOWL CONTAMINATED WITH WATER.                             ","<ENGINE, HAS EFFECT, VIBRATED>
<ENGINE, HAS EFFECT, LOST POWER>
<ENGINE, HAS EFFECT, QUIT>
<CARBURETOR FLOAT BOWL, HAS CAUSE, CONTAMINATED WITH WATER>","<ENGINE, HAS EFFECT, VIBRATED>
<ENGINE, HAS EFFECT, LOST POWER>
<ENGINE, HAS EFFECT, QUIT>
<CARBURETOR FLOAT BOWL, HAS CAUSE, CONTAMINATED WITH WATER>"
19780121004029I,GEAR SWITCH WAS NOT IN THE DOWN POSITION AND GEAR RETRACTED DURING TAKE OFF ROLL.                                  ,"<GEAR SWITCH, POSITION, NOT IN THE DOWN POSITION>
<GEAR, HAS EFFECT, RETRACTED DURING TAKE OFF ROLL>","<GEAR SWITCH, POSITION, NOT IN THE DOWN POSITION>
<GEAR, HAS EFFECT, RETRACTED DURING TAKE OFF ROLL>"
19780130004789I,PILOT FAILED TO CHECK POSITION OF GEAR HANDLE. GEAR RETRACTED ON TAKEOFF ROLL.                                     ,"<GEAR HANDLE, POSITION, CHECK>
<GEAR, HAS EFFECT, RETRACTED>
<RETRACTED, FOLLOWS, TAKEOFF ROLL>","<GEAR HANDLE, POSITION, CHECK>
<GEAR, HAS EFFECT, RETRACTED>
<RETRACTED, FOLLOWS, TAKEOFF ROLL>"
19780102000459I,"TAXIED OFF RUNWAY, STRUCK DITCH AT NIGHT. LANDING LIGHT WAS INOPERATIVE.                                           ","<RUNWAY, PART OF, TAXIED OFF>","<RUNWAY, PART OF, TAXIED OFF>"
19771213042839A,"RUDDER,R AIL CTL LOCKS INSTALLED.REAR CG AFT OF OPTIMUM RANGE BUT FORWARD OF REARMOST LIMIT.                       ","<AIL CTL LOCKS, PART OF, RUDDER>","<AIL CTL LOCKS, PART OF, RUDDER>"
19771104034549A,"RT BRAKE PUCK 70 WORN,FADING FOR LAST WK.                                                                          ","<RT BRAKE PUCK 70, CONDITION, WORN>
<FADING, TIME PERIOD, LAST WK>","<RT BRAKE PUCK 70, CONDITION, WORN>
<FADING, TIME PERIOD, LAST WK>"
19770927027719A,WATER IN REAR COMPTMT FLOATS.EXCEEDED AFT CG LMT.THROTTLE FRICTION LOOSE.                                          ,"<REAR COMPTMT, HAS EFFECT, WATER FLOATS>","<REAR COMPTMT, HAS EFFECT, WATER FLOATS>"
19780115003139I,NEW AIRCRAFT OWNER NOT AWARE OF PURPOSE OR OPERATION OF QUICK DRAIN. PARTIALLY OPENED ON PREFLIGHT.                ,"<NEW AIRCRAFT, OWNED BY, AIRCRAFT OWNER>","<NEW AIRCRAFT, OWNED BY, AIRCRAFT OWNER>"
19780206006149I,"PILOT FAILED TO REMOVE TOW BAR BEFORE TAKEOFF. STRANGE NOISE DURING RETRACTION. GEAR EXTENDED OK, LANDED OK.       ","<PILOT, HAS CAUSE, FAILED TO REMOVE TOW BAR>","<PILOT, HAS CAUSE, FAILED TO REMOVE TOW BAR>"
19771016042599A,WIND GUSTING TO 25.                                                                                                ,,
19780206006039I,ENGINE COWLING CAME LOOSE IN FLIGHT. IT HAD NOT BEEN LATCHED PROPERLY.                                             ,"<ENGINE COWLING, HAS CAUSE, NOT BEEN LATCHED PROPERLY>","<ENGINE COWLING, HAS CAUSE, NOT BEEN LATCHED PROPERLY>"
19780111000459A,ACFT DISPATCHER HARRASSMENT OF PILOT. PILOT FORGOT TO REMOVE TIEDROPE.                                             ,"<ACFT DISPATCHER, HAS EFFECT, HARRASSMENT OF PILOT>","<ACFT DISPATCHER, HAS EFFECT, HARRASSMENT OF PILOT>"
19780208007759I,PILOT OBSERVED GEAR SAFE LIGHTS BUT GEAR COLLAPSED AFTER LANDING. HYDRAULIC RESERVOIR OUT OF FLUID.                ,"<GEAR COLLAPSED, HAS CAUSE, HYDRAULIC RESERVOIR OUT OF FLUID>","<GEAR COLLAPSED, HAS CAUSE, HYDRAULIC RESERVOIR OUT OF FLUID>"
19780210006769I,"ENGINE QUIT AT 200 FEET AFTER TAKEOFF DUE TO WATER IN THE FUEL. NO PILOT CERTIFICATE, NO ANNUAL.                   ","<ENGINE, HAS CAUSE, WATER IN THE FUEL>","<ENGINE, HAS CAUSE, WATER IN THE FUEL>"
19780211006969I,"NOSE GEAR COLLAPSED WHILE WAITING FOR TAKEOFF. WAS BEING FERRIED FROM AN EARLIER COLLAPSE, NOSE GEAR NOT BRACED.   ","<NOSE GEAR COLLAPSE, HAS CAUSE, NOSE GEAR NOT BRACED>","<NOSE GEAR COLLAPSE, HAS CAUSE, NOSE GEAR NOT BRACED>"
19780219007659I,ENGINE QUIT DUE TO ICE IN THE FUEL SYSTEM.                                                                         ,"<ENGINE QUIT, HAS CAUSE, ICE IN THE FUEL SYSTEM>","<ENGINE QUIT, HAS CAUSE, ICE IN THE FUEL SYSTEM>"
19780212006439I,PILOT UNABLE TO BECOME AIRBORNE DUE TO FROST ON THE WINGS AND FALURE TO USE FULL POWER.                            ,"<PILOT, HAS CAUSE, FROST ON THE WINGS>
<PILOT, HAS CAUSE, FAILURE TO USE FULL POWER>","<PILOT, HAS CAUSE, FROST ON THE WINGS>
<PILOT, HAS CAUSE, FAILURE TO USE FULL POWER>"
19780213006479I,ENGINE SHUT DOWN DUE TO LOW OIL PRESSURE. DIP STICK FOUND TO BE MISSING.                                           ,"<ENGINE SHUT DOWN, HAS CAUSE, LOW OIL PRESSURE>","<ENGINE SHUT DOWN, HAS CAUSE, LOW OIL PRESSURE>"
19780218007139I,PILOT INTENDED TO FLY LOCALLY AFTER RECENT BLIZZARD. ENGINE QUIT AFTER TAKEOFF DUE TO SNOW PACKED IN ENGINE COWL.  ,"<ENGINE, HAS CAUSE, SNOW PACKED IN ENGINE COWL>","<ENGINE, HAS CAUSE, SNOW PACKED IN ENGINE COWL>"
19780225001789I,"ENGINE STOPPED SHORTLY AFTER TAKEOFF FROM REFUELING. SYSTEM, GASCOLATOR AND CARBURETOR CONTAINED WATER.            ","<ENGINE, HAS EFFECT, STOPPED SHORTLY AFTER TAKEOFF>
<ENGINE, HAS CAUSE, WATER IN SYSTEM>
<SYSTEM, CONTAINED, WATER>
<GASCOLATOR, CONTAINED, WATER>
<CARBURETOR, CONTAINED, WATER>","<ENGINE, HAS EFFECT, STOPPED SHORTLY AFTER TAKEOFF>
<ENGINE, HAS CAUSE, WATER IN SYSTEM>
<SYSTEM, CONTAINED, WATER>
<GASCOLATOR, CONTAINED, WATER>
<CARBURETOR, CONTAINED, WATER>"
19780225001819I,ENGINE STOPPED SOON AFTER LIFT OFF DUE TO FUEL EXHAUSTION. PILOT CLAIMS FUEL GAUGE FAULTY.                         ,"<ENGINE STOPPED, HAS CAUSE, FUEL EXHAUSTION>","<ENGINE STOPPED, HAS CAUSE, FUEL EXHAUSTION>"
19780307014069I,PILOT STRUCK AN UNLIGHTED BARRICADE DURING TAXI FROM LANDING.                                                      ,"<PILOT, HAS EFFECT, STRUCK AN UNLIGHTED BARRICADE>
<STRUCK AN UNLIGHTED BARRICADE, EVENT DISTANCE, DURING TAXI FROM LANDING>","<PILOT, HAS EFFECT, STRUCK AN UNLIGHTED BARRICADE>
<STRUCK AN UNLIGHTED BARRICADE, EVENT DISTANCE, DURING TAXI FROM LANDING>"
19780221000179I,"PILOT MADE EMERGENCY LANDING DUE TO LOW OIL PRESSURE. NEARLY OUT OF OIL, PILOT HAD NOT CHECKED IT BEFORE TAKEOFF.  ","<EMERGENCY LANDING, HAS CAUSE, LOW OIL PRESSURE>
<LOW OIL PRESSURE, HAS CAUSE, NEARLY OUT OF OIL>
<PILOT, HAS CAUSE, NOT CHECKED OIL BEFORE TAKEOFF>","<EMERGENCY LANDING, HAS CAUSE, LOW OIL PRESSURE>
<LOW OIL PRESSURE, HAS CAUSE, NEARLY OUT OF OIL>
<PILOT, HAS CAUSE, NOT CHECKED OIL BEFORE TAKEOFF>"
19780228000419I,ENGINE BEGAN SURGING IN FLIGHT. ENGINE SHUT DOWN. FUEL CONTAMINATION SUSPECTED.                                    ,"<ENGINE SURGING, HAS CAUSE, FUEL CONTAMINATION>
<ENGINE SHUT DOWN, HAS CAUSE, ENGINE SURGING>","<ENGINE SURGING, HAS CAUSE, FUEL CONTAMINATION>
<ENGINE SHUT DOWN, HAS CAUSE, ENGINE SURGING>"
19780303015509I,ELECTRICAL EMERGENCY FOLLOWED JUMP START AND TAKEOFF. LANDING GEAR COLLAPSED AT TOUCHDOWN.                         ,"<ELECTRICAL EMERGENCY, FOLLOWS, JUMP START AND TAKEOFF>
<LANDING GEAR, HAS EFFECT, COLLAPSED AT TOUCHDOWN>","<ELECTRICAL EMERGENCY, FOLLOWS, JUMP START AND TAKEOFF>
<LANDING GEAR, HAS EFFECT, COLLAPSED AT TOUCHDOWN>"
19780311016379I,"PILOT LOST DIRECTIONAL CONTROL AFTER TOUCHDOWN. BRAKES WERE WORN OUT, BRAKE RESERVOIR WAS EMPTY.                   ","<PILOT, HAS EFFECT, LOST DIRECTIONAL CONTROL>","<PILOT, HAS EFFECT, LOST DIRECTIONAL CONTROL>"
19780327010619I,"PILOT LOST FUEL IN FLIGHT DUE TO FUEL CAPS ON BACKWARD. LANDED FOR FUEL, NON AVAILABLE. TOOK OFF, RAN OUT.         ","<PILOT, HAS CAUSE, FUEL CAPS ON BACKWARD>","<PILOT, HAS CAUSE, FUEL CAPS ON BACKWARD>"
19780421012829I,"PILOT NOTED AIRCRAFT LIGHT DIMMING ON NIGHT FLIGHT. RETURNED, GEAR HANDLE DOWN. GEAR COLLAPSED ON TOUCHDOWN.       ","<AIRCRAFT LIGHT, INSTANCE OF, LIGHT>","<AIRCRAFT LIGHT, INSTANCE OF, LIGHT>"
19780316008589I,PILOT OVER RAN RUNWAY INTO A DITCH DUE TO BRAKE FAILURE. SYSTEM NEEDED TO BE PURGED OF AIR.                        ,"<PILOT, HAS CAUSE, BRAKE FAILURE>","<PILOT, HAS CAUSE, BRAKE FAILURE>"
19780319009079I,BOLT IN NOSE GEAR SCISSORS CAME OUT DURING TAKEOFF. NOSE WHEEL DROPPED OUT AFTER LIFTOFF.                          ,"<NOSE GEAR SCISSORS, HAS EFFECT, BOLT CAME OUT DURING TAKEOFF>
<NOSE WHEEL, HAS EFFECT, DROPPED OUT AFTER LIFTOFF>","<NOSE GEAR SCISSORS, HAS EFFECT, BOLT CAME OUT DURING TAKEOFF>
<NOSE WHEEL, HAS EFFECT, DROPPED OUT AFTER LIFTOFF>"
19780325010349I,ENGINE STOPPED ON FINAL APPROACH DUE TO WATER CONTAMINATION IN THE FUEL SYSTEM.                                    ,"<ENGINE, HAS CAUSE, WATER CONTAMINATION>
<WATER CONTAMINATION, LOCATION, FUEL SYSTEM>","<ENGINE, HAS CAUSE, WATER CONTAMINATION>
<WATER CONTAMINATION, LOCATION, FUEL SYSTEM>"
19780328011399I,ENGINE QUIT AFTER LIFT OFF DUE TO WATER IN THE FUEL SYSTEM.                                                        ,"<ENGINE, HAS CAUSE, WATER IN THE FUEL SYSTEM>","<ENGINE, HAS CAUSE, WATER IN THE FUEL SYSTEM>"
19780330011569I,"PILOT LOST ELECTRICAL POWER, EXTENDED GEAR MANUALLY. GEAR COLLAPSED. BOTH GENERATOR ARMATURES EXTREMELY GALLED.    ","<PILOT, HAS CAUSE, LOST ELECTRICAL POWER>
<PILOT, HAS EFFECT, EXTENDED GEAR MANUALLY>
<GEAR, HAS EFFECT, COLLAPSED>
<GENERATOR ARMATURES, INSTANCE OF, EXTREMELY GALLED>","<PILOT, HAS CAUSE, LOST ELECTRICAL POWER>
<PILOT, HAS EFFECT, EXTENDED GEAR MANUALLY>
<GEAR, HAS EFFECT, COLLAPSED>
<GENERATOR ARMATURES, INSTANCE OF, EXTREMELY GALLED>"
19780402009009I,GEAR COLLAPSED ON ROLLOUT. PILOT HAD ELECTRICAL FAILURE ON FINAL. FAILED TO USE EMERGENCY GEAR EXTENSION.          ,"<PILOT, HAS CAUSE, ELECTRICAL FAILURE>","<PILOT, HAS CAUSE, ELECTRICAL FAILURE>"
19780401007929I,NOSE GEAR FELL INTO HOLE IN TAXIWAY WHILE TAXIING. HOLE WAS COVERED OVER WITH MUD AND LOOSE GRAVEL.                ,"<NOSE GEAR, HAS CAUSE, HOLE IN TAXIWAY>","<NOSE GEAR, HAS CAUSE, HOLE IN TAXIWAY>"
19780402008409I,TAXIING AIRCRAFT STRUCK PARKED AIRCRAFT. FOUND WORN OUT & INEFFECTIVE BRAKES AS CAUSE.                             ,"<TAXIING AIRCRAFT, HAS CAUSE, WORN OUT & INEFFECTIVE BRAKES>","<TAXIING AIRCRAFT, HAS CAUSE, WORN OUT & INEFFECTIVE BRAKES>"
19780403009359I,LANDED SHORT OF RUNWAY AFTER ENGINE QUIT ON SHORT FINAL. FOUND WATER IN FUEL.                                      ,"<ENGINE, HAS EFFECT, QUIT>
<ENGINE, HAS CAUSE, WATER IN FUEL>
<LANDED SHORT OF RUNWAY, HAS CAUSE, ENGINE QUIT>","<ENGINE, HAS EFFECT, QUIT>
<ENGINE, HAS CAUSE, WATER IN FUEL>
<LANDED SHORT OF RUNWAY, HAS CAUSE, ENGINE QUIT>"
19780403009389I,FORCED LANDING ON HIGHWAY AFTER ENGINE LOST POWER. FOUND FUEL GASOLATOR CONTAMINATED.                              ,"<ENGINE, HAS EFFECT, LOST POWER>
<FORCED LANDING, HAS CAUSE, ENGINE LOST POWER>
<FUEL GASOLATOR, HAS EFFECT, CONTAMINATED>","<ENGINE, HAS EFFECT, LOST POWER>
<FORCED LANDING, HAS CAUSE, ENGINE LOST POWER>
<FUEL GASOLATOR, HAS EFFECT, CONTAMINATED>"
19780409009699I,"PILOT EXTENDED GEAR MANUALLY DUE TO ELECTRICAL FAILURE,GEAR COLLAPSED AFTER TOUCHDOWN.                             ","<ELECTRICAL FAILURE, HAS EFFECT, PILOT EXTENDED GEAR MANUALLY>
<GEAR, HAS CAUSE, ELECTRICAL FAILURE>
<GEAR, HAS EFFECT, COLLAPSED AFTER TOUCHDOWN>","<ELECTRICAL FAILURE, HAS EFFECT, PILOT EXTENDED GEAR MANUALLY>
<GEAR, HAS CAUSE, ELECTRICAL FAILURE>
<GEAR, HAS EFFECT, COLLAPSED AFTER TOUCHDOWN>"
19780210005719I,"PILOT HAD CARB. HEAT ON, COULD NOT TURN IT OFF, ENGINE STOPPED. CONTROL VALVE FOUND STUCK FROM ICE AT 1/2 OPEN.    ","<ENGINE, HAS CAUSE, CARB. HEAT ON>
<ENGINE, HAS EFFECT, STOPPED>
<CONTROL VALVE, HAS CAUSE, ICE>
<CONTROL VALVE, INSTANCE OF, STUCK>","<ENGINE, HAS CAUSE, CARB. HEAT ON>
<ENGINE, HAS EFFECT, STOPPED>
<CONTROL VALVE, HAS CAUSE, ICE>
<CONTROL VALVE, INSTANCE OF, STUCK>"
