c5,c119,gemma3_4b_it_triplets_clean
19940412011509I,AIRCRAFT POPPED OPEN ON DESCENT. FLIGHT MANUAL FLEW OUT AND STRUCK TRUCK WINDSHIELD ON GROUND. LANDED SAFELY.      ,"<AIRCRAFT, POPPED OPEN, DESCENT>
<FLIGHT MANUAL, FLEW OUT, GROUND>
<AIRCRAFT, LOCATION, GROUND>
<AIRCRAFT, EVENT DISTANCE, LANDED SAFELY>"
19971226042729I,NR2 ENGINE FIRE WHILE LOADING PASSENGERS AT GATE. EVACUATED. FUEL LEVER WAS IN FLIGHT IDLE. CUT OFF. SMOKE CLEARED.,"<NR2 ENGINE FIRE, HAS CAUSE, LOADING PASSENGERS>
<NR2 ENGINE FIRE, EVENT DISTANCE, GATE>
<NR2 ENGINE FIRE, FOLLOWED BY, EVACUATED>
<FUEL LEVER, USED BY, PILOT IN COMMAND>
<FUEL LEVER, TIME PERIOD, FLIGHT IDLE>
<CUT OFF, HAS CAUSE, NR2 ENGINE FIRE>
<SMOKE, HAS EFFECT, NR2 ENGINE FIRE>"
19950619021589I,AFTER DEPARTING HIGH OIL TEMP. LANDED OFF AIRPOR. SHEARED MAIN GEAR. FOUND LOW ON OIL.                             ,"<HIGH OIL TEMP., HAS EFFECT, LANDED OFF AIRPOR>
<LANDED OFF AIRPOR, FOLLOWED BY, FOUND LOW ON OIL>"
19940815046149I,BATTERY COMPARTMENT DOOR CAME OPEN. ANTENNA CRACKED WINDSHIELD.                                                    ,"<BATTERY COMPARTMENT DOOR, OPEN, >
<ANTENNA, HAS EFFECT, CRACKED WINDSHIELD>"
19860228038269I,RETURNED WHEN NOSE GEAR FAILED TO RETRACT. FOUND THAT PIN HAD NOT BEEN REMOVED AFTER PREVIOUS MAINTENANCE.         ,"<NOSE GEAR, FAILED TO RETRACT, RETURNED>
<PIN, NOT REMOVED, FOUND>"
19790718019229I,GROUND STAND BAGGAGE CART WITH INOPERATIVE BRAKES ROLLED INTO SIDE OF PARKED AIRCRAFT. 9 INCH TEAR IN FUSELAGE.    ,"<BAGGAGE CART, PART OF, AIRCRAFT>
<BAGGAGE CART, INSTANCE OF, GROUND STAND>
<BRAKES, INSTANCE OF, BAGGAGE CART>
<FUSELAGE, HAS EFFECT, 9 INCH TEAR>"
20000625032189I,(-23)NORTHWEST AIRLINES DC-10 BOEING PUSHED BACK FOR REPOSITIONING OFF OF GATE B-52 STRUCK A CONTINENTAL AIRLINES D,"<DC-10, INSTANCE OF, BOEING>
<DC-10, FOLLOWED BY, PUSHED BACK>
<DC-10, LOCATION, GATE B-52>
<DC-10, STRUCK, CONTINENTAL AIRLINES D>"
19860530030499A,ENGINE OVERHEAT. HOT OIL SMELL.KNEW HE HAD FAILED TO REMOVE AIR INTAKE PLUGS. NOSED OVER IN FURROWS PLOWED FAILED  ,"<ENGINE, HAS CAUSE, ENGINE OVERHEAT>
<ENGINE, HAS EFFECT, HOT OIL SMELL>
<ENGINE, HAS CAUSE, FAILED TO REMOVE AIR INTAKE PLUGS>
<NOSED OVER, HAS EFFECT, PLOWED FAILED>"
19821117066379I,PILOT UNABLE TO PRESSURIZE. FOUND ACCESS DOOR SLIGHTLY OPEN. DEPRESSURIZED. DOOR OPENED FULLY. STOPPED BY FUSELAGE.,"<PILOT, HAS EFFECT, UNABLE TO PRESSURIZE>
<ACCESS DOOR, INSTANCE OF, DOOR>
<ACCESS DOOR, LOCATION, FUSELAGE>
<DEPRESSURIZED, HAS EFFECT, STOPPED>"
19810303007119A,VEERED OFF RUNWAY ON LANDING.  HIT PARKED AIRPLANE.  NEWLY INSTALLED CARPETING RESTRICTED RUDDER PEDAL MOVEMENT.   ,"<VEERED OFF RUNWAY ON LANDING, HAS EFFECT, PARKED AIRPLANE>
<VEERED OFF RUNWAY ON LANDING, HAS CAUSE, NEWLY INSTALLED CARPETING>
<NEWLY INSTALLED CARPETING, RESTRICTED, RUDDER PEDAL MOVEMENT>"
19950602032329I,VEERED OFF TAXIWAY. STRUCK TAXIWAY LIGHT. WAS ADVISED DAMAGED PROP. CONTINUED TO LIT.                              ,"<VEERED OFF TAXIWAY, LOCATION, TAXIWAY>
<VEERED OFF TAXIWAY, HAS EFFECT, STRUCK TAXIWAY LIGHT>
<STRUCK TAXIWAY LIGHT, HAS CAUSE, VEERED OFF TAXIWAY>
<STRUCK TAXIWAY LIGHT, HAS EFFECT, WAS ADVISED DAMAGED PROP>
<WAS ADVISED DAMAGED PROP, FOLLOWED BY, CONTINUED TO LIT>"
19901101064289I,FUEL CAP MISSING FROM RIGHT TANK AND GAS ESCAPING WHILE TAXIING. REPLACED CAP. RESUMED FLIGHT WITHOUT CLEANING WING,"<FUEL CAP, MISSING FROM, RIGHT TANK>
<FUEL, ESCAPING, GAS>
<FUEL CAP, REPLACED BY, ?>
<FLIGHT, RESUMED AFTER, FUEL CAP REPLACEMENT>"
20050713014239I,"(-23) ON JULY 13, 2005, AT 1535 MST, AN RAYTHEON AIRCRAFT CO. B36TC (BONANZA), N3042V REGISTERED TO HAVENS LEASING ","<RAYTHEON AIRCRAFT CO. B36TC, INSTANCE OF, AIRCRAFT>
<RAYTHEON AIRCRAFT CO. B36TC, REGISTERED TO, HAVENS LEASING>
<RAYTHEON AIRCRAFT CO. B36TC, TIME PERIOD, JULY 13, 2005>
<RAYTHEON AIRCRAFT CO. B36TC, TIME PERIOD, 1535 MST>"
19860706034879A,THE ENGINE LOST POWER ON TAKEOFF AND THE AIRCRAFT FLIPPED ON LANDING.PILOT HAD JUST FILLED TANKS. WATER IN FUEL.   ,"<ENGINE, HAS CAUSE, AFTER TAKEOFF>
<AIRCRAFT, HAS EFFECT, FLIPPED>
<PILOT, USED BY, TANKS>
<FUEL, HAS EFFECT, WATER>"
19840121015319I,ENGINE FAILED AFTER TAKEOFF. TRIED TO MAKE A ROAD BUT DRIFTED OFF THE EDGE. FOUND SOLID ICE IN CARBURETOR BOWL.    ,"<ENGINE, HAS CAUSE, AFTER TAKEOFF>
<ENGINE, HAS EFFECT, FAILED>
<CARBURETOR BOWL, PART OF, ENGINE>
<CARBURETOR BOWL, CONTAINS, SOLID ICE>"
19950527014439A,LOST CONTROL ON CLIMBOUT AFTER TOW RELEASE. ROLLED BOTH WAYS. SPIRAL TO IMPACT. NEGLECTED TO CONNECT RIGHT AILERON.,"<CLIMBOUT, FOLLOWED BY, LOST CONTROL>
<LOST CONTROL, HAS EFFECT, SPIRAL TO IMPACT>
<RIGHT AILERON, FAILED TO CONNECT, NEGLECTED>"
19960322013629I,NARRATIVE: THE AIRCRAFT WAS BEING FERRIED FOR MAINTENANCE. THE GEAR BLOCKED DOWN AND THE NOSE BLOCK FELL OUT DURING,"<AIRCRAFT, FOLLOWED BY, MAINTENANCE>
<GEAR, LOCATION, >
<NOSE BLOCK, LOCATION, >"
19960504009509A,FAILED TO DETACH TRAILER TIE DOWN FROM SKID. LOST CONTROL AND ROLLED ON LIFT OFF. (-23) PILOT FAILED TO FULLY DETAC,"<TRAILER TIE DOWN, FAILED TO DETACH FROM, SKID>
<PILOT, FAILED TO FULLY DETACH, TRAILER TIE DOWN>
<PILOT, LOST CONTROL, TRAILER TIE DOWN>
<PILOT, PERFORMED, ROLL>
<ROLL, EVENT DISTANCE, -23>
<PILOT, INFLUENCED BY, FAILED TO FULLY DETACH>"
19790211002709A,AIRCRAFT FAILED TO LIFTOFF RUNWAY. RAN OFF END INTO SNOW BANK. FROST ON AIRFRAME.                                  ,"<AIRCRAFT, HAS CAUSE, FAILED TO LIFTOFF RUNWAY>
<AIRCRAFT, HAS EFFECT, RAN OFF END>
<AIRCRAFT, HAS EFFECT, INTO SNOW BANK>
<AIRCRAFT, HAS EFFECT, FROST ON AIRFRAME>"
19850418016709I,ENGINE POWER FAILURE WHILE DOING AEROBATICS. LANDED IN FIELD. PILOT DID NOT VISUALLY INSPECT FUEL TANKS.           ,"<ENGINE, HAS CAUSE, POWER FAILURE>
<POWER FAILURE, TIME PERIOD, DOING AEROBATICS>
<FLIGHT, LOCATION, FIELD>
<PILOT, USED BY, FUEL TANKS>"
19780913017419I,ABORTED TAKEOFF WHEN FRONT BAGGAGE DOOR POPPED OPEN.                                                               ,"<ABORTED TAKEOFF, HAS CAUSE, FRONT BAGGAGE DOOR POPPED OPEN>"
19781113027039I,PILOT TAXIED INTO UNMARKED DITCH AT END OF TAXIWAY.                                                                ,"<PILOT, TAXIING, TAXIWAY>
<PILOT, LOCATION, DITCH>
<PILOT, TIME PERIOD, END>"
19870606018859A,UNABLE TO STAY AIRBORNE ON TAKEOFF. ABORTED AND GROUND LOOPED INTO A TREE TO AVOID OVERRUN. MAG SWITCH ON ONE MAG. ,"<AFTER TAKEOFF, HAS EFFECT, UNABLE TO STAY AIRBORNE>
<ABORTED TAKEOFF, FOLLOWED BY, GROUND LOOPED>
<GROUND LOOPED, STRUCK, TREE>
<MAG SWITCH, PART OF, MAG>"
19990714022959I,(-23) ACCORDING TO THE PILOT HE DEPARTED FRONT RANGE AIRPORT DURING THE HOURS OF DARKNESS. DURING THE START AND RUN,"<PILOT, DEPARTED FROM, FRONT RANGE AIRPORT>
<AFTER DEPARTURE, TIME PERIOD, HOURS OF DARKNESS>
<START, PART OF, RUN>"
19870319012959I,NOSE GEAR WOULD NOT RETRACT AFTER TAKEOFF. RETURNED AND FOUND PIN WAS INSTALLED.                                   ,"<NOSE GEAR, FAILED TO RETRACT, AFTER TAKEOFF>
<NOSE GEAR, PART OF, GEAR>
<PIN, INSTALLED, NOSE GEAR>"
20050504010229A,"(-23) A SIKORSKY S-70A, N160LA, ENCOUNTERED A VIBRATION AFTER THE APU DOOR STRUCK A MAIN ROTOR BLADE INFLIGHT NEAR ","<N160LA, INSTANCE OF, SIKORSKY S-70A>
<N160LA, EVENT DISTANCE, INFLIGHT>
<N160LA, HAS CAUSE, APU DOOR STRUCK A MAIN ROTOR BLADE>"
20050429009279I,(-23) THE PILOT WAS TAXIING THE AIRCRAFT TO PARKING FOLLOWING A CARGO TRIP. UPON REACHING A POINT WHERE THE TAXIWAY,"<PILOT, USED BY, AIRCRAFT>
<AIRCRAFT, ACTION, TAXIING>
<TAXIING, FOLLOWED BY, PARKING>
<AIRCRAFT, PART OF, CARGO TRIP>"
19890723054159I,AFTER LANDING IT WAS DETERMINED THERE WAS INSUFFICIENT NUMBER OF SEATS AND OXYGEN MASKS FOR PASSENGERS ONBOARD.    ,"<AFTER LANDING, FOLLOWED BY, DETERMINED>
<PASSENGERS, LACKED, OXYGEN MASKS>
<PASSENGERS, LACKED, SEATS>"
19970523014439I,NARRATIVE: THE CARGO DOOR WAS LATCHED BEFORE TAKEOFF BY MR. BOWEN. RUNWAY CONDITIONS AT STEVEN'S VILLAGE WAS EXTREM,"<CARGO DOOR, LATCHED BY, MR. BOWEN>
<CARGO DOOR, EVENT DISTANCE, AFTER TAKEOFF>
<RUNWAY CONDITIONS AT STEVEN’S VILLAGE, LOCATION, STEVEN’S VILLAGE>"
19970908038069A,TIRED TAXI WITH TIEDOWN CHAINS ATTACHE. ROLLED OVER. PILOT FAILED NOTE RAMP PERSON TIED SKIDS DUE HIGH WIND.       ,"<Tired Taxi, PART OF, Tiedown Chains>
<Tired Taxi, INSTANCE OF, ROLLED>
<PILOT, FAILED, Note Ramp Person>
<PILOT, INSTANCE OF, Skids>
<Skids, HAS CAUSE, High Wind>"
19781108022239I,BAGGAGE CART WAS BLOWN INTO PARKED AIRCRAFT BY JET BLAST. BRAKES WERE INOPERATIVE ON CART.                         ,"<BAGGAGE CART, INSTANCE OF, AIRCRAFT>
<JET BLAST, HAS CAUSE, BAGGAGE CART WAS BLOWN INTO PARKED AIRCRAFT>
<BRAKES, FAILED, BAGGAGE CART>"
19760606015529A,SUFFICIENT OPPORTUNITY EXISTED TO RELEASE WHEN GLIDER ASSUMED NOSE HIGH ATTITUDE.                                  ,"<RELEASE, TIME PERIOD, SUFFICIENT OPPORTUNITY>
<GLIDER, INSTANCE OF, NOSE HIGH ATTITUDE>"
20051009024969I,(-23) ^PRIVACY DATA OMITTED^ HELICOPTER ENGINE POWER CHECKS WERE BEING CONDUCTED BY PILOT AND ONE CREWMEMBER. DURIN,
19930530020029I,PILOT LOST CONTROL OF AIRCRAFT ON TAKEOFF ROLL. PILOTS SEAT WAS NOT LOCKED IN POSITION AND SLID AFT ON ACCELARATION,"<PILOT, USED BY, AIRCRAFT>
<AIRCRAFT, FOLLOWED BY, TAKEOFF ROLL>
<PILOT, HAS EFFECT, SEATS>
<SEATS, LOCATION, AFT>
<AIRCRAFT, FOLLOWED BY, ACCELERATION>"
19801230089799I,"FLAT NOSE STRUT FAILED TO EXTEND BEFORE RETRACTION. IT CAUGHT ON AIRPLANE STRUCTURE, BROKE THE BELLCRANK. COLLAPSED","<FLAT NOSE STRUT, FAILED TO EXTEND, BEFORE RETRACTION>
<FLAT NOSE STRUT, HAS EFFECT, COLLAPSED>
<BELLCRANK, BROKE BY, FLAT NOSE STRUT>
<AIRPLANE STRUCTURE, STRUCK BY, FLAT NOSE STRUT>"
19980508008619A,LOST POWER ENROUTE. NOSED OVER LANDING ON A SLOPE. NO EVIDENCE OF FUEL AT SCENE. FAILED TO VISUALLY CHECK FUEL.. (.,"<LOST POWER, HAS EFFECT, NOSED OVER>
<NOSED OVER, EVENT DISTANCE, AFTER LANDING>
<NOSED OVER, LOCATION, SLOPE>
<FAILED TO VISUALLY CHECK FUEL, HAS CAUSE, LOST POWER>"
19940818022409A,LOST LEFT ENGINE NEAR H71. FEATHERED. HIGH . BEGAN GO AROUND BELOW VMC. CRASHED. BAD OIL LEAK. CRACKED ENGINE CASE.,"<LOST LEFT ENGINE, LOCATION, H71>
<FEATHERED, HAS EFFECT, BEGAN GO AROUND>
<BEGAN GO AROUND, EVENT DISTANCE, BELOW VMC>
<CRASHED, HAS CAUSE, BAD OIL LEAK>
<CRASHED, HAS CAUSE, CRACKED ENGINE CASE>"
19920405008919A,"ATTEMPTED TAKEOFF FROM 2500 FT SOD STRIP.GUSTY NORTH WIND,HIT TREES OFF END OF STRIP CRASHED.                      ","<ATTEMPTED TAKEOFF, EVENT DISTANCE, 2500 FT>
<ATTEMPTED TAKEOFF, INFLUENCED BY, GUSTY NORTH WIND>
<ATTEMPTED TAKEOFF, HAS CAUSE, HIT TREES>
<ATTEMPTED TAKEOFF, HAS EFFECT, CRASHED>"
19840821046409A,CRASH OCCURRED DURING FORCED LANDING AFTER ENGINE FAILURE DURING TAKEOFF. AIRCRAFT HAD NOT HAD ANNUAL INSPECTION.  ,"<CRASH, HAS CAUSE, ENGINE FAILURE>
<CRASH, TIME PERIOD, AFTER TAKEOFF>
<AIRCRAFT, INSTANCE OF, DC-10>
<AIRCRAFT, TIME PERIOD, NOT HAD ANNUAL INSPECTION>"
19950216008379I,"NARRATIVE: THE PILOT OF CESSNA 207, N1549U STATED THAT AFTER TAKEOFF FROM THE BETHEL AIRPORT, THE ENGINE STOPPED RU","<CESSNA 207, INSTANCE OF, N1549U>
<PILOT, USED BY, CESSNA 207>
<AFTER TAKEOFF, FOLLOWED BY, ENGINE STOPPED>
<BETHEL AIRPORT, LOCATION, AFTER TAKEOFF>"
19850525020799A,TOUCHED DOWN LONG AND BOUNCED. ATTEMPTED DOWNWIND GO AROUND WITH FULL FLAPS. STRUCK TREE 3 MILES FROM AIRPORT.     ,"<TOUCHED DOWN, HAS EFFECT, LONG AND BOUNCED>
<TOUCHED DOWN, FOLLOWED BY, ATTEMPTED DOWNWIND GO AROUND>
<ATTEMPTED DOWNWIND GO AROUND, HAS EFFECT, FULL FLAPS>
<STRUCK A TREE, HAS CAUSE, TOUCHED DOWN>
<STRUCK A TREE, LOCATION, 3 MILES FROM AIRPORT>"
19861114075329I,ENTERED TCA WITHOUT ATC COMMUNICATION. PILOT WAS AWARE OF MALFUNCTIONING ENCODING ALTIMETER.                       ,"<ENTERED TCA, FOLLOWED BY, ATC COMMUNICATION>
<PILOT, AWARE OF, MALFUNCTIONING ENCODING ALTIMETER>"
20010421009329I,"(-23)AIRCRAFT WAS IN CRUISE FLIGHT, THERE WAS A RPM LOSS AND PILOT COULD NOT MAINTAIN ALTITUDE. PILOT MADE AN EMERG","<AIRCRAFT, TIME PERIOD, CRUISE FLIGHT>
<AIRCRAFT, HAS EFFECT, RPM LOSS>
<PILOT, HAS EFFECT, COULD NOT MAINTAIN ALTITUDE>
<PILOT, ACTION, MADE AN EMERG>"
19960524045629A,NOSE BAGGAGE DOOR OPENED ON TAKEOFF. BAGGAGE HIT LEFT PROP. GOT BELWO UMC. LANDED ON SEA ICE. WILL FLY DOOR OPEN.  ,"<NOSE BAGGAGE DOOR, OPENED, AFTER TAKEOFF>
<BAGGAGE, HIT, LEFT PROP>
<BELLWOU MC, FOLLOWED BY, LANDED ON SEA ICE>
<DOOR, FOLLOWED BY, WILL FLY>"
19871211075169A,ROUGH ENGINE ON CLIMBOUT. LANDED ON CITY STREET. SPARK PLUGS OUT OF TOLERENCE. FOUND PRIMER UNLOCKED.              ,"<ENGINE, HAS CAUSE, CLIMBOUT>
<CLIMBOUT, HAS EFFECT, SPARK PLUGS OUT OF TOLERENCE>
<PRIMER, LOCATION, CITY STREET>"
20010910029739I,"(-23) DURING TAXI OUT, CFI NOTICED NOSE LANDING GEAR GREEN LIGHT WAS OUT. SHE ATTEMPTED TO SWAP LIGHTS TO VERIFY TH","<-23, PART OF, TAXI>
<-23, HAS CAUSE, NOSE LANDING GEAR GREEN LIGHT WAS OUT>
<-23, FOLLOWED BY, ATTEMPTED TO SWAP LIGHTS TO VERIFY TH>"
19871027060859A,"ELECTRIC POWER LOST ON IFR DUAL FLIGHT. STRUCK POWER POLE ON FORCED LANDING, FOUND CIRCUIT BREAKER OFF. PILOT ERROR","<ELECTRIC POWER, HAS CAUSE, IFR DUAL FLIGHT>
<IFR DUAL FLIGHT, FOLLOWED BY, FORCED LANDING>
<FORCED LANDING, HAS EFFECT, STRUCK POWER POLE>
<PILOT, HAS CAUSE, PILOT ERROR>
<CIRCUIT BREAKER, HAS EFFECT, FOUND>"
19980616023109I,LOUD BANG AND SHUDDER ENROUTE. SAW SPARKS AT ROTOR. RETURNED. ENGINE COWLING SEPERATED. COWL NOT FASTENED.         ,"<LOUD BANG, HAS CAUSE, SPARKS AT ROTOR>
<ENGINE COWLING, PART OF, ROTOR>
<ENGINE COWLING, STATE, SEPERATED>
<COWL, PART OF, ENGINE COWLING>
<COWL, STATE, NOT FASTENED>"
19910710026989A,REPORTED PROBLEM ON CLIMBOUT. STALLED AND CRASHED. NO LOCKING PINS IN SEAT TRACK. SEAT PIN BENT. BELT NOT FASTENED ,"<CLIMBOUT, HAS EFFECT, STALLED>
<STALLED, HAS EFFECT, CRASHED>
<SEAT, PART OF, SEAT TRACK>
<SEAT TRACK, HAS PART, LOCKING PINS>
<LOCKING PINS, STATE, MISSING>
<SEAT, HAS PART, PIN>
<PIN, STATE, BENT>
<SEAT, HAS PART, BELT>
<BELT, STATE, NOT FASTENED>"
19780509032859I,FORCED LANDING AFTER POWER LOSS. FOUND WATER IN FUEL.                                                              ,"<FORCED LANDING, HAS CAUSE, POWER LOSS>
<FORCED LANDING, LOCATION, ?>
<FOUND WATER, HAS CAUSE, FUEL>
<FUEL, PART OF, FUEL SYSTEM>"
19800506012169A,LOST CONTROL OF AIRPLANE ON TAKEOFF ROLL. FAILED TO REMOVE AILERON-ELEVATOR LOCK PIN.                              ,"<AIRPLANE, LOST CONTROL, TAKEOFF ROLL>
<AIRPLANE, HAS EFFECT, FAILED TO REMOVE AILERON-ELEVATOR LOCK PIN>"
19791128035159A,"PILOT LANDED TO WAIT OUT RAIN SHOWER. ON CLIMBOUT, ENGINE RAN ROUGH. PILOT LANDED IN FIELD. CLAIMS WATER IN FUEL.  ","<PILOT, LANDED IN, FIELD>
<PILOT, FOLLOWED BY, CLIMBOUT>
<ENGINE, RAN, ROUGH>
<PILOT, CLAIMS, WATER>
<PILOT, CLAIMS, FUEL>"
20060621012279A,"(-23) THE PILOT ^PRIVACY DA^ STATED THAT DURING TAKEOFF (AT ROTATION) HIS SEAT SLID BACK, CAUSING HIM TO OVERROTATE","<PILOT, TIME PERIOD, AFTER TAKEOFF>
<PILOT, TIME PERIOD, AT ROTATION>
<SEAT, HAS EFFECT, OVERROTATE>"
19950314029269I,"NARRATIVE: ON MARCH 14, 1995, N7016M, AN AMATEUR BUILT AIRCRAFT, MADE AN EMERGENCY OFF AIRPORT LANDING NEAR THE BLO","<N7016M, INSTANCE OF, AIRCRAFT>
<N7016M, TIME PERIOD, MARCH 14, 1995>
<N7016M, EVENT DISTANCE, NEAR THE BLO>"
19800804037399A,EARLY FUEL EXHAUSTION FROM FUEL SIPHONING FROM IMPROPERLY SECURED VENT CAP. OVERSHOT EMERGENCY LANDING AREA.       ,"<FUEL EXHAUSTION, HAS CAUSE, IMPROPERLY SECURED VENT CAP>
<FUEL EXHAUSTION, HAS EFFECT, EMERGENCY LANDING>"
19780402008409I,TAXIING AIRCRAFT STRUCK PARKED AIRCRAFT. FOUND WORN OUT & INEFFECTIVE BRAKES AS CAUSE.                             ,"<AIRCRAFT, PART OF, TAXIING>
<AIRCRAFT, HAS CAUSE, WORN OUT & INEFFECTIVE BRAKES>"
19890725041869I,ON ENGINE START PILOTS SEAT WENT TO FULL AFT POSITION. PUSH THROTTLE IN FULL. AIRCRAFT COLLIDED WITH PARKED PLANE. ,"<ENGINE START, HAS EFFECT, PILOTS SEAT>
<PILOTS SEAT, POSITION, AFT>
<AIRCRAFT, USED BY, PILOTS>
<AIRCRAFT, COLLIDED WITH, PARKED PLANE>"
19911222062669I,AFTER LIFTOFF PILOT NOTICED RIGHT FUEL CAP MISSING. ABORTED. LANDED ON SAME RUNWAY. RAN OFF SIDE OF RUNWAY.        ,"<PILOT, NOTICED, RIGHT FUEL CAP MISSING>
<PILOT, ACTION, ABORTED>
<PILOT, LANDED ON, RUNWAY>
<PILOT, RAN, RUNWAY>"
20030607012509A,"(-23) THE AIRCRAFT DEPARTED BARTLESVILLE MUNICIPAL AIRPORT (BVO) BARTLESVILLE, OK AT 1147 AM LOCAL TIME FOR A LOCAL","<AIRCRAFT, DEPARTED FROM, BARTLESVILLE MUNICIPAL AIRPORT (BVO)>
<BARTLESVILLE MUNICIPAL AIRPORT (BVO), LOCATION, BARTLESVILLE, OK>
<AFTER DEPARTURE, TIME, 1147 AM LOCAL TIME>"
19801005072789I,PILOT RAN OFF END OF RUNWAY WHEN REMAINING BRAKE FAILED.                                                           ,"<PILOT, RAN OFF, END OF RUNWAY>
<BRAKE, FAILED, REMAINING>"
19781210024199I,WHEELS LOCKED UP AFTER SEVERAL TOUCH AND GO LANDINGS DUE TO SNOW PACKED IN THE WHEEL PANTS.                        ,"<WHEELS, PART OF, WHEEL PANTS>
<WHEELS, HAS EFFECT, SNOW PACKED>
<TOUCH AND GO LANDINGS, FOLLOWED BY, WHEELS LOCKED UP>"
