existing_node,match,new_row,final_node,similarity
WATER IN THE FUEL SYSTEM,WATER IN ALL OF THE FUEL SYSTEM,216,WATER IN ALL OF THE FUEL SYSTEM,1.0
TAKEOFF,AFTER TAKEOFF,220,AFTER TAKEOFF,1.0
TAKEOFF,AFTER TAKEOFF,225,AFTER TAKEOFF,1.0
WATER IN THE FUEL,WATER IN FUEL,226,WATER IN FUEL,1.0
TAKEOFF,AFTER TAKEOFF,226,AFTER TAKEOFF,1.0
TAKEOFF,AFTER TAKEOFF,227,AFTER TAKEOFF,1.0
TAKEOFF,AFTER TAKEOFF,230,AFTER TAKEOFF,1.0
ROLL OUT,ROLL,231,ROLL,0.99999994
ENGINE QUIT,AFTER ENGINE QUIT,232,AFTER ENGINE QUIT,1.0000001
AFTER,,232,,1.0000001
WHEEL WELL,WHEEL,240,WHEEL,1.0
WHEEL WELL,WHEEL,240,WHEEL,1.0
DUE TO,,242,,1.0000001
LANDING,AFTER LANDING,253,AFTER LANDING,1.0
SIDE,,253,,1.0000001
ENGINE QUIT,AFTER ENGINE QUIT,254,AFTER ENGINE QUIT,1.0000001
LANDING,AFTER LANDING,256,AFTER LANDING,1.0
LANDING,AFTER LANDING,256,AFTER LANDING,1.0
TAKEOFF,AFTER TAKEOFF,257,AFTER TAKEOFF,1.0
ENGINE QUIT,AFTER ENGINE QUIT,257,AFTER ENGINE QUIT,1.0000001
LIFTOFF,AFTER LIFTOFF,261,AFTER LIFTOFF,1.0
UP POSITION,DOWN POSITION,270,DOWN POSITION,1.0000001
TAKEOFF,AFTER TAKEOFF,270,AFTER TAKEOFF,1.0
WATER IN THE FUEL,WATER IN FUEL,272,WATER IN FUEL,1.0
WATER IN THE FUEL,WATER IN FUEL,272,WATER IN FUEL,1.0
TAKEOFF,AFTER TAKEOFF,277,AFTER TAKEOFF,1.0
GENERATOR CIRCUIT BREAKERS,BOTH GENERATOR CIRCUIT BREAKERS OUT,279,BOTH GENERATOR CIRCUIT BREAKERS OUT,1.0
ENGINE QUIT,AFTER ENGINE QUIT,282,AFTER ENGINE QUIT,1.0000001
ENGINE QUIT,AFTER ENGINE QUIT,283,AFTER ENGINE QUIT,1.0000001
BURNED OUT,BURNED,287,BURNED,1.0
 ,,289,,
