c5,c119,phi4mini_instruct_triplets,phi4mini_instruct_triplets_clean
19991230042089A,"(.4)THE PILOT SAID THAT SHORTLY AFTER TAKEOFF, THE ENGINE 'STARTED CUTTING OUT AND WAS NOT DEVELOPING ENOUGH POWER ","<ENGINE, HAS CAUSE, CUTTING OUT>
<ENGINE, HAS CAUSE, NOT DEVELOPING ENOUGH POWER>
<TAKEOFF, FOLLOWED BY, ENGINE CUTTING OUT AND NOT DEVELOPING ENOUGH POWER>","<ENGINE, HAS CAUSE, CUTTING OUT>
<ENGINE, HAS CAUSE, NOT DEVELOPING ENOUGH POWER>
<TAKEOFF, FOLLOWED BY, ENGINE CUTTING OUT AND NOT DEVELOPING ENOUGH POWER>"
19820725041999I,"LOOSE COWLING ON TAKEOFF. COWLING CAME OFF ON RETURNING TO LAND. CRACKED WINDSHIELD, DENTED STABILIZER.            ","<CRASH, HAS CAUSE, LOOSEN COWLING ON TAKEOFF>
<CRASH, HAS CAUSE, COWLING CAME OFF ON RETURNING TO LAND>
<CRASH, HAS CAUSE, CRACKED WINDSHIELD>
<CRASH, HAS CAUSE, DENTED STABILIZER>","<CRASH, HAS CAUSE, LOOSEN COWLING ON TAKEOFF>
<CRASH, HAS CAUSE, COWLING CAME OFF ON RETURNING TO LAND>
<CRASH, HAS CAUSE, CRACKED WINDSHIELD>
<CRASH, HAS CAUSE, DENTED STABILIZER>"
19940412011509I,AIRCRAFT POPPED OPEN ON DESCENT. FLIGHT MANUAL FLEW OUT AND STRUCK TRUCK WINDSHIELD ON GROUND. LANDED SAFELY.      ,"<FLIGHT MANUAL, EVENT DISTANCE, STRUCK TRUCK WINDSHIELD ON GROUND>
<FLIGHT MANUAL, LOCATION, GROUND>
<FLIGHT MANUAL, EVENT DISTANCE, LANDED SAFELY>","<FLIGHT MANUAL, EVENT DISTANCE, STRUCK TRUCK WINDSHIELD ON GROUND>
<FLIGHT MANUAL, LOCATION, GROUND>
<FLIGHT MANUAL, EVENT DISTANCE, LANDED SAFELY>"
19971226042729I,NR2 ENGINE FIRE WHILE LOADING PASSENGERS AT GATE. EVACUATED. FUEL LEVER WAS IN FLIGHT IDLE. CUT OFF. SMOKE CLEARED.,"<NR2, HAS CAUSE, ENGINE FIRE>
<NR2, HAS CAUSE, CUT OFF>
<NR2, HAS CAUSE, SMOKE CLEARED>","<NR2, HAS CAUSE, ENGINE FIRE>
<NR2, HAS CAUSE, CUT OFF>
<NR2, HAS CAUSE, SMOKE CLEARED>"
19950619021589I,AFTER DEPARTING HIGH OIL TEMP. LANDED OFF AIRPOR. SHEARED MAIN GEAR. FOUND LOW ON OIL.                             ,"<MAIN GEAR, SHEARED, AIRPORT>
<MAIN GEAR, LOCATION, AIRPORT>
<MAIN GEAR, LOW ON OIL, MAIN GEAR>","<MAIN GEAR, SHEARED, AIRPORT>
<MAIN GEAR, LOCATION, AIRPORT>
<MAIN GEAR, LOW ON OIL, MAIN GEAR>"
19940815046149I,BATTERY COMPARTMENT DOOR CAME OPEN. ANTENNA CRACKED WINDSHIELD.                                                    ,"<BATTERY COMPARTMENT DOOR, CAME OPEN, ANTENNA>
<CRACKED WINDSHIELD, CAUSE, ANTENNA>","<BATTERY COMPARTMENT DOOR, CAME OPEN, ANTENNA>
<CRACKED WINDSHIELD, CAUSE, ANTENNA>"
19860228038269I,RETURNED WHEN NOSE GEAR FAILED TO RETRACT. FOUND THAT PIN HAD NOT BEEN REMOVED AFTER PREVIOUS MAINTENANCE.         ,"<NOSE GEAR, FAILED TO RETRACT, RETURNED>
<PIN, NOT REMOVED, AFTER PREVIOUS MAINTENANCE>","<NOSE GEAR, FAILED TO RETRACT, RETURNED>
<PIN, NOT REMOVED, AFTER PREVIOUS MAINTENANCE>"
19790718019229I,GROUND STAND BAGGAGE CART WITH INOPERATIVE BRAKES ROLLED INTO SIDE OF PARKED AIRCRAFT. 9 INCH TEAR IN FUSELAGE.    ,,
20000625032189I,(-23)NORTHWEST AIRLINES DC-10 BOEING PUSHED BACK FOR REPOSITIONING OFF OF GATE B-52 STRUCK A CONTINENTAL AIRLINES D,,
19860530030499A,ENGINE OVERHEAT. HOT OIL SMELL.KNEW HE HAD FAILED TO REMOVE AIR INTAKE PLUGS. NOSED OVER IN FURROWS PLOWED FAILED  ,"<ENGINE, HAS CAUSE, HOT OIL SMELL>
<ENGINE, HAS CAUSE, FAILED TO REMOVE AIR INTAKE PLUGS>
<ENGINE, HAS CAUSE, NOSED OVER IN FURROWS PLOWED>","<ENGINE, HAS CAUSE, HOT OIL SMELL>
<ENGINE, HAS CAUSE, FAILED TO REMOVE AIR INTAKE PLUGS>
<ENGINE, HAS CAUSE, NOSED OVER IN FURROWS PLOWED>"
19821117066379I,PILOT UNABLE TO PRESSURIZE. FOUND ACCESS DOOR SLIGHTLY OPEN. DEPRESSURIZED. DOOR OPENED FULLY. STOPPED BY FUSELAGE.,"<PILOT, HAS CAUSE, UNABLE TO PRESSURIZE>
<PILOT, HAS CAUSE, DOOR SLIGHTLY OPEN>
<PILOT, HAS CAUSE, DEPRESSURIZED>
<PILOT, HAS CAUSE, DOOR OPENED FULLY>
<PILOT, HAS CAUSE, STOPPED BY FUSELAGE>","<PILOT, HAS CAUSE, UNABLE TO PRESSURIZE>
<PILOT, HAS CAUSE, DOOR SLIGHTLY OPEN>
<PILOT, HAS CAUSE, DEPRESSURIZED>
<PILOT, HAS CAUSE, DOOR OPENED FULLY>
<PILOT, HAS CAUSE, STOPPED BY FUSELAGE>"
19810303007119A,VEERED OFF RUNWAY ON LANDING.  HIT PARKED AIRPLANE.  NEWLY INSTALLED CARPETING RESTRICTED RUDDER PEDAL MOVEMENT.   ,"<VEERED OFF RUNWAY, EVENT DISTANCE, HITTED PARKED AIRPLANE>
<NEWLY INSTALLED CARPETING, USED BY, RUDDER PEDAL>","<VEERED OFF RUNWAY, EVENT DISTANCE, HITTED PARKED AIRPLANE>
<NEWLY INSTALLED CARPETING, USED BY, RUDDER PEDAL>"
19950602032329I,VEERED OFF TAXIWAY. STRUCK TAXIWAY LIGHT. WAS ADVISED DAMAGED PROP. CONTINUED TO LIT.                              ,,
19901101064289I,FUEL CAP MISSING FROM RIGHT TANK AND GAS ESCAPING WHILE TAXIING. REPLACED CAP. RESUMED FLIGHT WITHOUT CLEANING WING,"<FUEL CAP, MISSING FROM, RIGHT TANK>
<FUEL CAP, GAS ESCAPING WHILE, TAXIING>
<FUEL CAP, REPLACED, CAP>
<FUEL CAP, RESUMED FLIGHT, WITHOUT CLEANING WING>","<FUEL CAP, MISSING FROM, RIGHT TANK>
<FUEL CAP, GAS ESCAPING WHILE, TAXIING>
<FUEL CAP, REPLACED, CAP>
<FUEL CAP, RESUMED FLIGHT, WITHOUT CLEANING WING>"
20050713014239I,"(-23) ON JULY 13, 2005, AT 1535 MST, AN RAYTHEON AIRCRAFT CO. B36TC (BONANZA), N3042V REGISTERED TO HAVENS LEASING ",,
19860706034879A,THE ENGINE LOST POWER ON TAKEOFF AND THE AIRCRAFT FLIPPED ON LANDING.PILOT HAD JUST FILLED TANKS. WATER IN FUEL.   ,"<ENGINE, HAS EFFECT, LOST POWER>
<ENGINE, EVENT DISTANCE, TAKEOFF>
<ENGINE, HAS EFFECT, AIRCRAFT FLIPPED>
<TANKS, USED BY, PILOT>
<FUEL, LOCATION, WATER IN FUEL>","<ENGINE, HAS EFFECT, LOST POWER>
<ENGINE, EVENT DISTANCE, TAKEOFF>
<ENGINE, HAS EFFECT, AIRCRAFT FLIPPED>
<TANKS, USED BY, PILOT>
<FUEL, LOCATION, WATER IN FUEL>"
19840121015319I,ENGINE FAILED AFTER TAKEOFF. TRIED TO MAKE A ROAD BUT DRIFTED OFF THE EDGE. FOUND SOLID ICE IN CARBURETOR BOWL.    ,"<ENGINE, HAS CAUSE, DRIFTED OFF THE EDGE>
<ENGINE, HAS CAUSE, FOUND SOLID ICE IN CARBURETOR BOWL>","<ENGINE, HAS CAUSE, DRIFTED OFF THE EDGE>
<ENGINE, HAS CAUSE, FOUND SOLID ICE IN CARBURETOR BOWL>"
19950527014439A,LOST CONTROL ON CLIMBOUT AFTER TOW RELEASE. ROLLED BOTH WAYS. SPIRAL TO IMPACT. NEGLECTED TO CONNECT RIGHT AILERON.,"<LAST CONTROL, LOST, CLIMBOUT>
<LAST CONTROL, EVENT DISTANCE, TOW RELEASE>
<LAST CONTROL, EVENT DISTANCE, IMPACT>
<LAST CONTROL, EVENT DISTANCE, CONNECT RIGHT AILERON>","<LAST CONTROL, LOST, CLIMBOUT>
<LAST CONTROL, EVENT DISTANCE, TOW RELEASE>
<LAST CONTROL, EVENT DISTANCE, IMPACT>
<LAST CONTROL, EVENT DISTANCE, CONNECT RIGHT AILERON>"
19960322013629I,NARRATIVE: THE AIRCRAFT WAS BEING FERRIED FOR MAINTENANCE. THE GEAR BLOCKED DOWN AND THE NOSE BLOCK FELL OUT DURING,"<AIRCRAFT, USED BY, FERRY>
<NOSE, PART OF, AIRCRAFT>
<NOSE, INFLUENCED BY, GEAR BLOCKED DOWN>","<AIRCRAFT, USED BY, FERRY>
<NOSE, PART OF, AIRCRAFT>
<NOSE, INFLUENCED BY, GEAR BLOCKED DOWN>"
19960504009509A,FAILED TO DETACH TRAILER TIE DOWN FROM SKID. LOST CONTROL AND ROLLED ON LIFT OFF. (-23) PILOT FAILED TO FULLY DETAC,"<(-23) PILOT, FAILED TO, DETACH TRAILER TIE DOWN FROM SKID>
<(-23) PILOT, LOST CONTROL, ROLLED ON LIFT OFF>","<(-23) PILOT, FAILED TO, DETACH TRAILER TIE DOWN FROM SKID>
<(-23) PILOT, LOST CONTROL, ROLLED ON LIFT OFF>"
19790211002709A,AIRCRAFT FAILED TO LIFTOFF RUNWAY. RAN OFF END INTO SNOW BANK. FROST ON AIRFRAME.                                  ,"<FAIL TO LIFTOFF, EVENT DISTANCE, RAN OFF END INTO SNOW BANK>
<FAIL TO LIFTOFF, HAS CAUSE, FROST ON AIRFRAME>","<FAIL TO LIFTOFF, EVENT DISTANCE, RAN OFF END INTO SNOW BANK>
<FAIL TO LIFTOFF, HAS CAUSE, FROST ON AIRFRAME>"
19850418016709I,ENGINE POWER FAILURE WHILE DOING AEROBATICS. LANDED IN FIELD. PILOT DID NOT VISUALLY INSPECT FUEL TANKS.           ,"<ENGINE POWER FAILURE, FOLLOWED BY, AEROBATICS>
<ENGINE POWER FAILURE, HAS EFFECT, LANDED IN FIELD>
<PILOT, USED BY, FUEL TANKS>","<ENGINE POWER FAILURE, FOLLOWED BY, AEROBATICS>
<ENGINE POWER FAILURE, HAS EFFECT, LANDED IN FIELD>
<PILOT, USED BY, FUEL TANKS>"
19780913017419I,ABORTED TAKEOFF WHEN FRONT BAGGAGE DOOR POPPED OPEN.                                                               ,"<ABORTED TAKEOFF, CAUSE, FRONT BAGGAGE DOOR POPPED OPEN>","<ABORTED TAKEOFF, CAUSE, FRONT BAGGAGE DOOR POPPED OPEN>"
19781113027039I,PILOT TAXIED INTO UNMARKED DITCH AT END OF TAXIWAY.                                                                ,"<PILOT, EVENT DISTANCE, TAXIWAY>
<PILOT, LOCATION, UNMARKED DITCH>","<PILOT, EVENT DISTANCE, TAXIWAY>
<PILOT, LOCATION, UNMARKED DITCH>"
19870606018859A,UNABLE TO STAY AIRBORNE ON TAKEOFF. ABORTED AND GROUND LOOPED INTO A TREE TO AVOID OVERRUN. MAG SWITCH ON ONE MAG. ,"<ABORTED TAKEOFF, EVENT DISTANCE, GROUND LOOPED INTO A TREE>
<ABORTED TAKEOFF, HAS CAUSE, UNABLE TO STAY AIRBORNE>
<MAG SWITCH, USED BY, ABORTED TAKEOFF>","<ABORTED TAKEOFF, EVENT DISTANCE, GROUND LOOPED INTO A TREE>
<ABORTED TAKEOFF, HAS CAUSE, UNABLE TO STAY AIRBORNE>
<MAG SWITCH, USED BY, ABORTED TAKEOFF>"
19990714022959I,(-23) ACCORDING TO THE PILOT HE DEPARTED FRONT RANGE AIRPORT DURING THE HOURS OF DARKNESS. DURING THE START AND RUN,,
19870319012959I,NOSE GEAR WOULD NOT RETRACT AFTER TAKEOFF. RETURNED AND FOUND PIN WAS INSTALLED.                                   ,"<NOSE GEAR, CONDITION, WOULD NOT RETRACT>
<RETURNED, EVENT DISTANCE, FOUND PIN WAS INSTALLED>","<NOSE GEAR, CONDITION, WOULD NOT RETRACT>
<RETURNED, EVENT DISTANCE, FOUND PIN WAS INSTALLED>"
20050504010229A,"(-23) A SIKORSKY S-70A, N160LA, ENCOUNTERED A VIBRATION AFTER THE APU DOOR STRUCK A MAIN ROTOR BLADE INFLIGHT NEAR ",,
20050429009279I,(-23) THE PILOT WAS TAXIING THE AIRCRAFT TO PARKING FOLLOWING A CARGO TRIP. UPON REACHING A POINT WHERE THE TAXIWAY,"<(-23) PILOT, USED BY, (-23) AIRCRAFT>
<(-23) AIRCRAFT, LOCATION, TAXIWAY>","<(-23) PILOT, USED BY, (-23) AIRCRAFT>
<(-23) AIRCRAFT, LOCATION, TAXIWAY>"
19890723054159I,AFTER LANDING IT WAS DETERMINED THERE WAS INSUFFICIENT NUMBER OF SEATS AND OXYGEN MASKS FOR PASSENGERS ONBOARD.    ,"<AFTER LANDING, EVENT DISTANCE, INSUFFICIENT NUMBER OF SEATS AND OXYGEN MASKS FOR PASSENGERS ONBOARD>","<AFTER LANDING, EVENT DISTANCE, INSUFFICIENT NUMBER OF SEATS AND OXYGEN MASKS FOR PASSENGERS ONBOARD>"
19970523014439I,NARRATIVE: THE CARGO DOOR WAS LATCHED BEFORE TAKEOFF BY MR. BOWEN. RUNWAY CONDITIONS AT STEVEN'S VILLAGE WAS EXTREM,"<CARGO DOOR, USED BY, MR. BOWEN>
<RUNWAY CONDITIONS, LOCATION, STEVEN'S VILLAGE>","<CARGO DOOR, USED BY, MR. BOWEN>
<RUNWAY CONDITIONS, LOCATION, STEVEN'S VILLAGE>"
19970908038069A,TIRED TAXI WITH TIEDOWN CHAINS ATTACHE. ROLLED OVER. PILOT FAILED NOTE RAMP PERSON TIED SKIDS DUE HIGH WIND.       ,"<TIEDOWN CHAINS, USED BY, TAXI>
<TIEDOWN CHAINS, USED BY, PILOT>
<TIEDOWN CHAINS, USED BY, SKIDS>
<TIEDOWN CHAINS, USED BY, RAMP>
<TIEDOWN CHAINS, USED BY, PERSON>
<TIEDOWN CHAINS, USED BY, WIND>","<TIEDOWN CHAINS, USED BY, TAXI>
<TIEDOWN CHAINS, USED BY, PILOT>
<TIEDOWN CHAINS, USED BY, SKIDS>
<TIEDOWN CHAINS, USED BY, RAMP>
<TIEDOWN CHAINS, USED BY, PERSON>
<TIEDOWN CHAINS, USED BY, WIND>"
19781108022239I,BAGGAGE CART WAS BLOWN INTO PARKED AIRCRAFT BY JET BLAST. BRAKES WERE INOPERATIVE ON CART.                         ,"<BAGGAGE CART, INOPERATIVE, BRAKES>
<BAGGAGE CART, BLOWN INTO, PARKED AIRCRAFT>","<BAGGAGE CART, INOPERATIVE, BRAKES>
<BAGGAGE CART, BLOWN INTO, PARKED AIRCRAFT>"
19760606015529A,SUFFICIENT OPPORTUNITY EXISTED TO RELEASE WHEN GLIDER ASSUMED NOSE HIGH ATTITUDE.                                  ,"<GLIDER, HAS EFFECT, RELEASE>","<GLIDER, HAS EFFECT, RELEASE>"
20051009024969I,(-23) ^PRIVACY DATA OMITTED^ HELICOPTER ENGINE POWER CHECKS WERE BEING CONDUCTED BY PILOT AND ONE CREWMEMBER. DURIN,"<PILOT, USED BY, HELICOPTER ENGINE POWER CHECKS>
<CREWMEMBER, USED BY, HELICOPTER ENGINE POWER CHECKS>","<PILOT, USED BY, HELICOPTER ENGINE POWER CHECKS>
<CREWMEMBER, USED BY, HELICOPTER ENGINE POWER CHECKS>"
19930530020029I,PILOT LOST CONTROL OF AIRCRAFT ON TAKEOFF ROLL. PILOTS SEAT WAS NOT LOCKED IN POSITION AND SLID AFT ON ACCELARATION,"<PILOT, LOST CONTROL OF, AIRCRAFT>
<PILOT, EVENT DISTANCE, TAKEOFF ROLL>
<PILOT, LOCATION, PILOTS SEAT>","<PILOT, LOST CONTROL OF, AIRCRAFT>
<PILOT, EVENT DISTANCE, TAKEOFF ROLL>
<PILOT, LOCATION, PILOTS SEAT>"
19801230089799I,"FLAT NOSE STRUT FAILED TO EXTEND BEFORE RETRACTION. IT CAUGHT ON AIRPLANE STRUCTURE, BROKE THE BELLCRANK. COLLAPSED","<FLAT NOSE STRUT, CAUSE, BROKE THE BELLCRANK>
<FLAT NOSE STRUT, CAUSE, COLLAPSED>","<FLAT NOSE STRUT, CAUSE, BROKE THE BELLCRANK>
<FLAT NOSE STRUT, CAUSE, COLLAPSED>"
19980508008619A,LOST POWER ENROUTE. NOSED OVER LANDING ON A SLOPE. NO EVIDENCE OF FUEL AT SCENE. FAILED TO VISUALLY CHECK FUEL.. (.,"<LOST POWER, EVENT DISTANCE, ENROUTE>
<NOSED OVER LANDING, LOCATION, SLOPE>
<NO EVIDENCE OF FUEL, LOCATION, SCENE>","<LOST POWER, EVENT DISTANCE, ENROUTE>
<NOSED OVER LANDING, LOCATION, SLOPE>
<NO EVIDENCE OF FUEL, LOCATION, SCENE>"
19940818022409A,LOST LEFT ENGINE NEAR H71. FEATHERED. HIGH . BEGAN GO AROUND BELOW VMC. CRASHED. BAD OIL LEAK. CRACKED ENGINE CASE.,"<LAST CONTROL, LOCATION, H71>
<CRASH, FOLLOWED BY, BAD OIL LEAK>
<CRASH, FOLLOWED BY, CRACKED ENGINE CASE>","<LAST CONTROL, LOCATION, H71>
<CRASH, FOLLOWED BY, BAD OIL LEAK>
<CRASH, FOLLOWED BY, CRACKED ENGINE CASE>"
19920405008919A,"ATTEMPTED TAKEOFF FROM 2500 FT SOD STRIP.GUSTY NORTH WIND,HIT TREES OFF END OF STRIP CRASHED.                      ","<ATTEMPTED TAKEOFF, LOCATION, 2500 FT SOD STRIP>
<ATTEMPTED TAKEOFF, EVENT DISTANCE, HITTED TREES OFF END OF STRIP>
<ATTEMPTED TAKEOFF, HAS CAUSE, GUSTY NORTH WIND>
<ATTEMPTED TAKEOFF, EVENT DISTANCE, CRASHED>","<ATTEMPTED TAKEOFF, LOCATION, 2500 FT SOD STRIP>
<ATTEMPTED TAKEOFF, EVENT DISTANCE, HITTED TREES OFF END OF STRIP>
<ATTEMPTED TAKEOFF, HAS CAUSE, GUSTY NORTH WIND>
<ATTEMPTED TAKEOFF, EVENT DISTANCE, CRASHED>"
19840821046409A,CRASH OCCURRED DURING FORCED LANDING AFTER ENGINE FAILURE DURING TAKEOFF. AIRCRAFT HAD NOT HAD ANNUAL INSPECTION.  ,"<CRASH, FOLLOWED BY, FORCED LANDING>
<CRASH, FOLLOWED BY, ENGINE FAILURE>
<CRASH, FOLLOWED BY, TAKEOFF>
<CRASH, CAUSED BY, NOT HAD ANNUAL INSPECTION>","<CRASH, FOLLOWED BY, FORCED LANDING>
<CRASH, FOLLOWED BY, ENGINE FAILURE>
<CRASH, FOLLOWED BY, TAKEOFF>
<CRASH, CAUSED BY, NOT HAD ANNUAL INSPECTION>"
19950216008379I,"NARRATIVE: THE PILOT OF CESSNA 207, N1549U STATED THAT AFTER TAKEOFF FROM THE BETHEL AIRPORT, THE ENGINE STOPPED RU","<N1549U, PILOT, CESSNA 207>
<N1549U, LOCATION, BETHEL AIRPORT>
<N1549U, EVENT DISTANCE, AFTER TAKEOFF>","<N1549U, PILOT, CESSNA 207>
<N1549U, LOCATION, BETHEL AIRPORT>
<N1549U, EVENT DISTANCE, AFTER TAKEOFF>"
19850525020799A,TOUCHED DOWN LONG AND BOUNCED. ATTEMPTED DOWNWIND GO AROUND WITH FULL FLAPS. STRUCK TREE 3 MILES FROM AIRPORT.     ,"<TOUCHED DOWN LONG, ATTEMPTED DOWNWIND GO AROUND, STRUCK TREE>
<ATTEMPTED DOWNWIND GO AROUND, LOCATION, 3 MILES FROM AIRPORT>","<TOUCHED DOWN LONG, ATTEMPTED DOWNWIND GO AROUND, STRUCK TREE>
<ATTEMPTED DOWNWIND GO AROUND, LOCATION, 3 MILES FROM AIRPORT>"
19861114075329I,ENTERED TCA WITHOUT ATC COMMUNICATION. PILOT WAS AWARE OF MALFUNCTIONING ENCODING ALTIMETER.                       ,"<ENTERED TCA, FOLLOWED BY, MALFUNCTIONING ENCODING ALTIMETER>","<ENTERED TCA, FOLLOWED BY, MALFUNCTIONING ENCODING ALTIMETER>"
20010421009329I,"(-23)AIRCRAFT WAS IN CRUISE FLIGHT, THERE WAS A RPM LOSS AND PILOT COULD NOT MAINTAIN ALTITUDE. PILOT MADE AN EMERG",,
19960524045629A,NOSE BAGGAGE DOOR OPENED ON TAKEOFF. BAGGAGE HIT LEFT PROP. GOT BELWO UMC. LANDED ON SEA ICE. WILL FLY DOOR OPEN.  ,"<BAGGAGE DOOR, EVENT DISTANCE, TAKEOFF>
<BAGGAGE, HAS CAUSE, HIT LEFT PROP>
<BELWO UMC, FOLLOWED BY, LANDED ON SEA ICE>
<LANDED ON SEA ICE, LOCATION, SEA ICE>
<DOOR, HAS EFFECT, WILL FLY>","<BAGGAGE DOOR, EVENT DISTANCE, TAKEOFF>
<BAGGAGE, HAS CAUSE, HIT LEFT PROP>
<BELWO UMC, FOLLOWED BY, LANDED ON SEA ICE>
<LANDED ON SEA ICE, LOCATION, SEA ICE>
<DOOR, HAS EFFECT, WILL FLY>"
