existing_node,match,new_row,final_node,similarity
RIGHT BRAKE MASTER CYLINDER,EMPTY RIGHT BRAKE MASTER CYLINDER,271,EMPTY RIGHT BRAKE MASTER CYLINDER,1.0
WATER IN THE FUEL,WATER IN FUEL,272,WATER IN FUEL,1.0
"BRAKE WORN OUT, VEERED OFF RUNWAY","AFTER BRAKE WORN OUT, VEERED OFF RUNWAY",281,"AFTER BRAKE WORN OUT, VEERED OFF RUNWAY",1.0000001
EMERGENCY LANDING,MADE EMERGENCY LANDING,292,MADE EMERGENCY LANDING,1.0000001
EMERGENCY LANDING,MADE EMERGENCY LANDING,292,MADE EMERGENCY LANDING,1.0000001
EMERGENCY LANDING,MADE EMERGENCY LANDING,292,MADE EMERGENCY LANDING,1.0000001
EMERGENCY LANDING,MADE EMERGENCY LANDING,301,MADE EMERGENCY LANDING,1.0000001
FAILED ON TAKEOFF,FAILED DURING TAKEOFF,302,FAILED DURING TAKEOFF,1.0000001
WATER IN,WATER,309,WATER,1.0000001
NIGHT,AT NIGHT,311,AT NIGHT,1.0
WATER IN,WATER,312,WATER,1.0000001
LANDING,AFTER LANDING,322,AFTER LANDING,1.0
THE STUDENT PILOT,STUDENT PILOT,345,STUDENT PILOT,1.0000001
TOOK OFF AGAIN,TOOK OFF,347,TOOK OFF,1.0000002
FOUND WATER IN THE FUEL,FOUND WATER IN FUEL,352,FOUND WATER IN FUEL,1.0
TO 180 BACK TO RUNWAY,180 BACK TO RUNWAY,363,180 BACK TO RUNWAY,1.0000001
LANDING,AFTER LANDING,376,AFTER LANDING,1.0
LANDING,AFTER LANDING,376,AFTER LANDING,1.0
DURING LANDING,AFTER LANDING,384,AFTER LANDING,1.0
NOT PROPERLY SECURED,NOT BEEN PROPERLY SECURED,388,NOT BEEN PROPERLY SECURED,1.0
TOO RICH A MIXTURE,OVER RICH MIXTURE,399,OVER RICH MIXTURE,1.0000001
PRIMER WAS UNLOCKED,PRIMER UNLOCKED,399,PRIMER UNLOCKED,1.0
