c5,c119,phi4mini_instruct_triplets_clean
19770617020389A,INSUFFICIENT ALTITUDE FOR SUCCESSFUL AUTOROTATION.                                                                 ,"<INSUFFICIENT ALTITUDE FOR SUCCESSFUL AUTOROTATION, EVENT DISTANCE, AUTOROTATION>"
19770530015519A,"CHOKER CABLE STILL CONNECTED TO CARGO HOOK DURING FLT, FREE TO TRAIL IN SLIPSTREAM, STRUCK T/R.                    ","<FLT, CHOKER CABLE, CONNECTED TO CARGO HOOK>
<FLT, CHOKER CABLE, FREE TO TRAIL IN SLIPSTREAM>
<FLT, CHOKER CABLE, STRUCK T/R>"
19770703018529A,OIL TEMP BULB RETAINING NUT FINGER TIGHT.FIRST FLT AFTR ANNUAL.                                                    ,"<FIRST FLT AFTR ANNUAL, EVENT DISTANCE, N/A>
<FIRST FLT AFTR ANNUAL, TIME PERIOD, N/A>
<FIRST FLT AFTR ANNUAL, MAINTAINED BY, N/A>"
19770706020519A,AN175-16 HAD PULLED THROUGH TORQUE LINK CENTER SCISSORS.WASHER CRACKED & SEPARATED FRM BOLT.                       ,"<AN175-16, HAS CAUSE, PULLED THROUGH TORQUE LINK CENTER SCISSORS>
<AN175-16, HAS CAUSE, WASHER CRACKED>
<AN175-16, HAS CAUSE, SEPARATED FRM BOLT>"
19770912040629A,APRX 1745LBS OVR MAX GWT.ENG NOT FEATHERED.AUTOFEATHER NOT CONNECTED.100 OCTANE FUEL.                              ,"<100 OCTANE FUEL, USED BY, AIRCRAFT>
<100 OCTANE FUEL, MAINTAINED BY, AIRCRAFT>
<100 OCTANE FUEL, HAS CAUSE, NOT FEATHERED AUTOFEATHER>"
19780106001449I,"EMERGENCY LANDING AFTER ENGINE QUIT. CAUSE WAS IMPROPER PREFLIGHT, OUT OF FUEL.                                    ","<ENGINE QUIT, CAUSE, IMPROPER PREFLIGHT>
<ENGINE QUIT, CAUSE, FUEL>"
19780110002479I,FORCED LANDING AFTER ENGINE QUIT. SUSPECT WATER IN FUEL.                                                           ,"<FORCED LANDING, CAUSE, ENGINE QUIT>
<FORCED LANDING, CAUSE, WATER IN FUEL>"
19780112002729I,FORCED LANDING AFTER POWER LOSS. WATER FOUND IN FUEL.                                                              ,"<ACFT, EVENT DISTANCE, FORCED LANDING AFTER POWER LOSS>
<ACFT, HAS CAUSE, WATER FOUND IN FUEL>"
19780108002219I,FORCED LANDING AFTER ENGINE QUIT. FOUND FROZEN WATER IN FUEL SYSTEM.                                               ,"<FORCED LANDING, CAUSE, ENGINE QUIT>
<FORCED LANDING, EFFECT, FROZEN WATER IN FUEL SYSTEM>"
19780113002859I,"ABORTED TAKEOFF DUE TO UNLOCKED DOOR, UNABLE TO STOP BEFORE STRIKING SNOW BANK.                                    ","<ABORTED TAKEOFF, CAUSE, UNLOCKED DOOR>
<ABORTED TAKEOFF, EFFECT, STRIKING SNOW BANK>"
19780129004679I,"ENGINE QUIT, LANDING MADE ON FROZEN LAKE. ICE RESTRICTION IN MAIN FUEL STRAINER.                                   ","<ENGINE QUIT, CAUSE, FROZEN LAKE>
<ICE RESTRICTION, CAUSE, MAIN FUEL STRAINER>"
19780203005449I,SHORTLY AFTER CHANGING FUEL TANKS ONE ENGINE BECAME ROUGH AND WAS SHUT DOWN. HAD BEEN TOPPED OFF WITH JET FUEL.    ,"<FUEL TANKS, CHANGED, ENGINE, ROUGH, SHUT DOWN>
<FUEL TANKS, CHANGED, ENGINE, TOPPED OFF, JET FUEL>"
19780205005989I,"ENGINE VIBRATED, LOST POWER, THEN QUIT. CARBURETOR FLOAT BOWL CONTAMINATED WITH WATER.                             ","<ENGINE, VIBRATED, LOST POWER>
<ENGINE, LOST POWER, QUIT>
<CARBURETOR FLOAT BOWL, CONTAMINATED WITH, WATER>"
19780121004029I,GEAR SWITCH WAS NOT IN THE DOWN POSITION AND GEAR RETRACTED DURING TAKE OFF ROLL.                                  ,"<GEAR RETRACTED, CAUSE, GEAR SWITCH NOT IN DOWN POSITION>"
19780130004789I,PILOT FAILED TO CHECK POSITION OF GEAR HANDLE. GEAR RETRACTED ON TAKEOFF ROLL.                                     ,"<PILOT, FAILED TO CHECK, POSITION OF GEAR HANDLE>
<PILOT, GEAR RETRACTED, ON TAKEOFF ROLL>"
19780102000459I,"TAXIED OFF RUNWAY, STRUCK DITCH AT NIGHT. LANDING LIGHT WAS INOPERATIVE.                                           ","<TAXIED OFF RUNWAY, EVENT DISTANCE, STRUCK DITCH AT NIGHT>
<TAXIED OFF RUNWAY, EVENT DISTANCE, LANDING LIGHT WAS INOPERATIVE>"
19771213042839A,"RUDDER,R AIL CTL LOCKS INSTALLED.REAR CG AFT OF OPTIMUM RANGE BUT FORWARD OF REARMOST LIMIT.                       ","<RUDDER, RELATION, AIL CTL LOCKS INSTALLED>
<REAR CG, RELATION, AFT OF OPTIMUM RANGE>
<REAR CG, RELATION, FORWARD OF REARMOST LIMIT>"
19771104034549A,"RT BRAKE PUCK 70 WORN,FADING FOR LAST WK.                                                                          ","<FRT BRAKE PUCK 70, CONDITION, WORN, FADING>
<FRT BRAKE PUCK 70, TIME PERIOD, LAST WK>"
19770927027719A,WATER IN REAR COMPTMT FLOATS.EXCEEDED AFT CG LMT.THROTTLE FRICTION LOOSE.                                          ,"<FUEL COMPTMT, CONDITION, FLOATS>
<FUEL COMPTMT, CAUSE, EXCEEDED AFT CG LMT>
<FUEL COMPTMT, CAUSE, THROTTLE FRICTION LOOSE>"
19780115003139I,NEW AIRCRAFT OWNER NOT AWARE OF PURPOSE OR OPERATION OF QUICK DRAIN. PARTIALLY OPENED ON PREFLIGHT.                ,"<NEW AIRCRAFT OWNER, NOT AWARE OF, PURPOSE OR OPERATION OF QUICK DRAIN>
<NEW AIRCRAFT OWNER, NOT AWARE OF, PURPOSE OR OPERATION OF QUICK DRAIN, PARTIALLY OPENED ON PREFLIGHT>"
19780206006149I,"PILOT FAILED TO REMOVE TOW BAR BEFORE TAKEOFF. STRANGE NOISE DURING RETRACTION. GEAR EXTENDED OK, LANDED OK.       ","<PILOT, FAILED TO REMOVE TOW BAR, AFTER TAKEOFF>
<NOISE, DURING RETRACTION>
<GEAR, EXTENDED, OK>
<LANDED, OK>"
19771016042599A,WIND GUSTING TO 25.                                                                                                ,"<WIND, EVENT DISTANCE, 25>"
19780206006039I,ENGINE COWLING CAME LOOSE IN FLIGHT. IT HAD NOT BEEN LATCHED PROPERLY.                                             ,"<ENGINE COWLING, CONDITION, CAME LOOSE IN FLIGHT>
<ENGINE COWLING, CAUSE, NOT BEEN LATCHED PROPERLY>"
19780208007759I,PILOT OBSERVED GEAR SAFE LIGHTS BUT GEAR COLLAPSED AFTER LANDING. HYDRAULIC RESERVOIR OUT OF FLUID.                ,"<PILOT, OBSERVED, GEAR SAFE LIGHTS>
<PILOT, GEAR, COLLAPSED AFTER LANDING>
<PILOT, HYDRAULIC RESERVOIR, OUT OF FLUID>"
19780210006769I,"ENGINE QUIT AT 200 FEET AFTER TAKEOFF DUE TO WATER IN THE FUEL. NO PILOT CERTIFICATE, NO ANNUAL.                   ","<ENGINE QUIT, CAUSE, WATER IN FUEL>
<ENGINE QUIT, DISTANCE, 200 FEET>
<ENGINE QUIT, CONDITION, AFTER TAKEOFF>
<NO PILOT CERTIFICATE, CONDITION, NO>
<NO PILOT CERTIFICATE, CONDITION, NO ANNUAL>"
19780211006969I,"NOSE GEAR COLLAPSED WHILE WAITING FOR TAKEOFF. WAS BEING FERRIED FROM AN EARLIER COLLAPSE, NOSE GEAR NOT BRACED.   ","<FERRIED AIRCRAFT, NOSE GEAR COLLAPSED>
<FERRIED AIRCRAFT, NOSE GEAR NOT BRACED>
<FERRIED AIRCRAFT, NOSE GEAR COLLAPSED, WAITING FOR TAKEOFF>"
19780219007659I,ENGINE QUIT DUE TO ICE IN THE FUEL SYSTEM.                                                                         ,"<ENGINE QUIT, CAUSE, ICE IN THE FUEL SYSTEM>"
19780212006439I,PILOT UNABLE TO BECOME AIRBORNE DUE TO FROST ON THE WINGS AND FALURE TO USE FULL POWER.                            ,"<PILOT, UNABLE TO BECOME AIRBORNE, FROST ON THE WINGS>
<PILOT, UNABLE TO BECOME AIRBORNE, FALURE TO USE FULL POWER>"
19780213006479I,ENGINE SHUT DOWN DUE TO LOW OIL PRESSURE. DIP STICK FOUND TO BE MISSING.                                           ,"<ENGINE, CONDITION, SHUT DOWN DUE TO LOW OIL PRESSURE>
<ENGINE, ISSUE, LOW OIL PRESSURE>
<ENGINE, COMPONENT, DIP STICK, MISSING>"
19780218007139I,PILOT INTENDED TO FLY LOCALLY AFTER RECENT BLIZZARD. ENGINE QUIT AFTER TAKEOFF DUE TO SNOW PACKED IN ENGINE COWL.  ,"<PILOT, INTENDED TO FLY LOCALLY, AFTER RECENT BLIZZARD>
<ENGINE, QUIT, AFTER TAKEOFF>
<ENGINE, SNOW PACKED IN, ENGINE COWL>"
19780225001789I,"ENGINE STOPPED SHORTLY AFTER TAKEOFF FROM REFUELING. SYSTEM, GASCOLATOR AND CARBURETOR CONTAINED WATER.            ","<ENGINE, CONDITION, STOPPED SHORTLY AFTER TAKEOFF>
<ENGINE, COMPONENT, GASCOLATOR, CONTAINED WATER>
<ENGINE, COMPONENT, CARBURETOR, CONTAINED WATER>
<AFTER TAKEOFF, LOCATION, REFUELING>"
19780225001819I,ENGINE STOPPED SOON AFTER LIFT OFF DUE TO FUEL EXHAUSTION. PILOT CLAIMS FUEL GAUGE FAULTY.                         ,"<ENGINE, CONDITION, STOPPED SOON AFTER LIFT OFF>
<ENGINE, CAUSE, FUEL EXHAUSTION>
<PILOT, CLAIM, FUEL GAUGE FAULTY>"
19780307014069I,PILOT STRUCK AN UNLIGHTED BARRICADE DURING TAXI FROM LANDING.                                                      ,"<PILOT, STRUCK, UNLIGHTED BARRICADE>
<TAXI, FROM, LANDING>"
19780221000179I,"PILOT MADE EMERGENCY LANDING DUE TO LOW OIL PRESSURE. NEARLY OUT OF OIL, PILOT HAD NOT CHECKED IT BEFORE TAKEOFF.  ","<PILOT, CAUSE, LOW OIL PRESSURE>
<PILOT, CAUSE, NEARLY OUT OF OIL>
<PILOT, EVENT DISTANCE, AFTER TAKEOFF>"
19780228000419I,ENGINE BEGAN SURGING IN FLIGHT. ENGINE SHUT DOWN. FUEL CONTAMINATION SUSPECTED.                                    ,"<ENGINE, CONDITION, SURGING IN FLIGHT>
<ENGINE, CONDITION, SHUT DOWN>
<FUEL, CONDITION, CONTAMINATION, SUSPECTED>"
19780303015509I,ELECTRICAL EMERGENCY FOLLOWED JUMP START AND TAKEOFF. LANDING GEAR COLLAPSED AT TOUCHDOWN.                         ,"<EMERGENCY, TYPE, ELECTRICAL>
<EMERGENCY, TYPE, JUMP START>
<EMERGENCY, TYPE, AFTER TAKEOFF>
<AFTER TOUCHDOWN, RESULT, LANDING GEAR COLLAPSED>"
19780311016379I,"PILOT LOST DIRECTIONAL CONTROL AFTER TOUCHDOWN. BRAKES WERE WORN OUT, BRAKE RESERVOIR WAS EMPTY.                   ","<PILOT, LOST DIRECTIONAL CONTROL, AFTER TOUCHDOWN>
<PILOT, BRAKES, WORN OUT>
<PILOT, BRAKES, BRAKE RESERVOIR, EMPTY>"
19780327010619I,"PILOT LOST FUEL IN FLIGHT DUE TO FUEL CAPS ON BACKWARD. LANDED FOR FUEL, NON AVAILABLE. TOOK OFF, RAN OUT.         ","<PILOT, LOST FUEL IN FLIGHT, FUEL CAPS ON BACKWARD>
<PILOT, LANDED FOR FUEL, NON AVAILABLE>
<PILOT, TOOK OFF, RAN>"
19780421012829I,"PILOT NOTED AIRCRAFT LIGHT DIMMING ON NIGHT FLIGHT. RETURNED, GEAR HANDLE DOWN. GEAR COLLAPSED ON TOUCHDOWN.       ","<PILOT, NOTED, AIRCRAFT LIGHT DIMMING ON NIGHT FLIGHT>
<PILOT, RETURNED, GEAR HANDLE DOWN>
<PILOT, GEAR COLLAPSED, AFTER TOUCHDOWN>"
19780316008589I,PILOT OVER RAN RUNWAY INTO A DITCH DUE TO BRAKE FAILURE. SYSTEM NEEDED TO BE PURGED OF AIR.                        ,"<PILOT, ACTION, OVER RAN RUNWAY INTO A DITCH>
<PILOT, CAUSE, BRAKE FAILURE>
<PILOT, SYSTEM, NEEDED TO BE PURGED OF AIR>"
19780319009079I,BOLT IN NOSE GEAR SCISSORS CAME OUT DURING TAKEOFF. NOSE WHEEL DROPPED OUT AFTER LIFTOFF.                          ,"<BOLT IN NOSE GEAR SCISSORS, EVENT DISTANCE, AFTER TAKEOFF>
<BOLT IN NOSE GEAR SCISSORS, EVENT DISTANCE, AFTER LIFTOFF>
<NOSE WHEEL, EVENT DISTANCE, AFTER LIFTOFF>"
19780325010349I,ENGINE STOPPED ON FINAL APPROACH DUE TO WATER CONTAMINATION IN THE FUEL SYSTEM.                                    ,"<ENGINE, CONDITION, STOPPED ON FINAL APPROACH>
<ENGINE, CAUSE, WATER CONTAMINATION IN THE FUEL SYSTEM>"
19780328011399I,ENGINE QUIT AFTER LIFT OFF DUE TO WATER IN THE FUEL SYSTEM.                                                        ,"<ENGINE QUIT, CAUSE, WATER IN THE FUEL SYSTEM>"
19780330011569I,"PILOT LOST ELECTRICAL POWER, EXTENDED GEAR MANUALLY. GEAR COLLAPSED. BOTH GENERATOR ARMATURES EXTREMELY GALLED.    ","<PILOT, LOST ELECTRICAL POWER, EXTENDED GEAR MANUALLY>
<PILOT, GEAR COLLAPSED, BOTH GENERATOR ARMATURES EXTREMELY GALLED>"
19780402009009I,GEAR COLLAPSED ON ROLLOUT. PILOT HAD ELECTRICAL FAILURE ON FINAL. FAILED TO USE EMERGENCY GEAR EXTENSION.          ,
19780401007929I,NOSE GEAR FELL INTO HOLE IN TAXIWAY WHILE TAXIING. HOLE WAS COVERED OVER WITH MUD AND LOOSE GRAVEL.                ,"<FIELD, CONDITION, HOLE IN TAXIWAY>
<FIELD, CONDITION, MUD AND LOOSE GRAVEL>
<FIELD, CONDITION, HOLE IN TAXIWAY, CAUSED, NOSE GEAR FELL INTO>"
19780403009359I,LANDED SHORT OF RUNWAY AFTER ENGINE QUIT ON SHORT FINAL. FOUND WATER IN FUEL.                                      ,"<FUEL, CONTAINED WATER>
<ENGINE, QUIT>
<ENGINE, QUIT, TIME, SHORT FINAL>
<FLIGHT, LANDING, SHORT OF RUNWAY>"
19780403009389I,FORCED LANDING ON HIGHWAY AFTER ENGINE LOST POWER. FOUND FUEL GASOLATOR CONTAMINATED.                              ,"<FORCED LANDING, CAUSE, ENGINE LOST POWER>
<FORCED LANDING, LOCATION, HIGHWAY>
<FUEL GASOLATOR, CONDITION, CONTAMINATED>"
19780409009699I,"PILOT EXTENDED GEAR MANUALLY DUE TO ELECTRICAL FAILURE,GEAR COLLAPSED AFTER TOUCHDOWN.                             ","<PILOT, ACTION, EXTENDED GEAR MANUALLY>
<PILOT, ACTION, GEAR COLLAPSED>
<PILOT, ACTION, AFTER TOUCHDOWN>"
19780210005719I,"PILOT HAD CARB. HEAT ON, COULD NOT TURN IT OFF, ENGINE STOPPED. CONTROL VALVE FOUND STUCK FROM ICE AT 1/2 OPEN.    ","<PILOT, CARBURETOR HEAT ON, COULD NOT TURN IT OFF>
<PILOT, ENGINE STOPPED>
<PILOT, CONTROL VALVE, STUCK FROM ICE AT 1/2 OPEN>"
19780416008469I,WATER IN FUEL CAUSED ENGINE TO QUIT ON TAKEOFF. DAMAGE TO GEAR WHEN PLANE HIT TAXIWAY LIP AFTER LANDING.           ,"<ENGINE, CAUSE, WATER IN FUEL>
<ENGINE, CAUSE, QUIT ON TAKEOFF>
<GEAR, CAUSE, DAMAGE, PLANE HIT TAXIWAY LIP AFTER LANDING>
<PLANE, CAUSE, DAMAGE, HIT TAXIWAY LIP AFTER LANDING>"
19780309015599I,ENGINE STOPPED DUE TO VACUUM IN THE TANK. PILOT USING A NON-VENTED CAP. RIGHT TANK WAS NOT FUELED DUE TO FUEL LEAK.,"<ENGINE, CONDITION, STOPPED DUE TO VACUUM IN THE TANK>
<PILOT, ACTION, USING A NON-VENTED CAP>
<RIGHT TANK, CONDITION, NOT FUELED DUE TO FUEL LEAK>"
19780413019379A,PLT AWARE OF FULL NOSE DOWN TRIM. 0.10 LVL ALCOHOL IN LIVER SPEC.45LBS FORCE RQD FOR LVL FLT.                      ,"<PLT AWARE OF FULL NOSE DOWN TRIM, 0.10 LVL ALCOHOL IN LIVER SPEC.45LBS FORCE RQD FOR LVL FLT>"
19780507032369I,"FORCED LANDING DUE TO OIL LEAK, FOUND LOOSE OIL CAP.                                                               ","<FORCED LANDING, CAUSE, OIL LEAK>
<FORCED LANDING, FIND, LOOSE OIL CAP>"
19780525040389I,BRAKES WERE INEFFECTIVE ON LANDING. RAN THROUGH FENCE.                                                             ,"<BRKES, CONDITION, INEFFECTIVE>
<RAN, ACTION, THROUGH FENCE>"
19780617046219I,FLIGHT RETURNED DUE TO MAG. FAILURE. PILOTS TOOK OFF BEFORE REPAIRS WERE COMPLETED.                                ,"<FLIGHT, EVENT, RETURNED DUE TO MAG. FAILURE>
<PILOTS, ACTION, TOOK OFF BEFORE REPAIRS WERE COMPLETED>"
19780520014159A,GUSTING TO 30K.                                                                                                    ,
19780427013959I,FAILURE OF 2 TIRES AS AIRCRAFT WAS CLEARED FOR TAKEOFF.                                                            ,"<FAILURE OF 2 TIRES, CAUSE, CLEARED FOR TAKEOFF>"
19780429014759I,FUEL CAP OFF AIRCRAFT. THOROUGH DRAINING OF SUMPS WITH WATER IN FUEL. ENGINE QUIT. LANDED ON FREEWAY.              ,"<FUEL CAP, STATE, NO>
<FUEL CAP, AIRCRAFT, NO>
<ENGINE, STATE, QUIT>
<LANDED, AIRCRAFT, ON FREEWAY>"
19780501031459I,UNSCHEDULED LANDING DUE TO OIL COMING FROM ENGINES. BOTH OIL CAPS NOT LOCKED PROPERLY.                             ,"<UNSCHEDULED LANDING, CAUSE, OIL COMING FROM ENGINES>
<UNSCHEDULED LANDING, ISSUE, BOTH OIL CAPS NOT LOCKED PROPERLY>"
19780503031639I,PILOT UNABLE TO EXTEND GEAR DUE TO FAULTY GEAR ACTUATOR.                                                           ,"<PILOT, UNABLE TO EXTEND GEAR, FAULTY GEAR ACTUATOR>"
19780504031959I,"DOOR POPPED OPEN ON TAKEOFF, PILOT LOST CONTROL WHILE TRYING TO LATCH DOOR, RAN OFF SIDE OF RUNWAY.                ","<DOOR, CONDITION, POPPED OPEN>
<PILOT, ACTION, LOST CONTROL>
<AFTER TAKEOFF, CONDITION, PILOT LOST CONTROL WHILE TRYING TO LATCH DOOR>
<AFTER TAKEOFF, RESULT, RAN OFF SIDE OF RUNWAY>"
19780514033439I,ENGINE FIRE CAUSED BY BIRDS NEST.                                                                                  ,"<ENGINE FIRE, CAUSE, BIRDS NEST>"
19780518033959I,ON THIRD TOUCH AND GO ENGINE BACKFIRED AND QUIT. LANDED STRAIGHT AHEAD. PROBABLY WATER IN FUEL.                    ,"<ACFT, ACTION, QUIT>
<ACFT, ACTION, LANDED>
<ACFT, CAUSE, ENGINE BACKFIRED>
<ACFT, CAUSE, WATER IN FUEL>"
19780519033989I,JETWAY WAS EXTENDED INTO SIDE OF AIRCRAFT AS IT TAXIIED INTO THE PARKING AREA.                                     ,"<EXTENDED, AIRCRAFT, JETWAY>"
19780522035289I,ENGINE QUIT ON TAKEOFF. WATER IN FUEL.                                                                             ,"<ACFT'S ENGINE, CONDITION, QUIT>
<FUEL SYSTEM, CONDITION, WATER>"
19780526040429I,PILOT INADVERTANTLY PUT GEAR HANDLE IN UP POSITION WHILE TAXIING. DURING RUNUP TURNED HYDRAULIC ON. GEAR RETRACTED.,"<PILOT, ACTION, PUT GEAR HANDLE IN UP POSITION WHILE TAXIING>
<PILOT, ACTION, TURNED HYDRAULIC ON DURING RUNUP>
<PILOT, ACTION, GEAR RETRACTED>"
19780528040689I,"AFTER WORKING ON HOME-BUILT, PILOT TOOK OFF WITHOUT CONNECTING AILERON CONTROLS.                                   ","<HOME-BUILT AIRCRAFT, ACTION, WORKED ON>
<HOME-BUILT AIRCRAFT, ACTION, TOOK OFF>
<HOME-BUILT AIRCRAFT, ACTION, WITHOUT CONNECTING AILERON CONTROLS>"
19780529040959I,ENGINE SPUTTERED AND QUIT AT CRUISE. LANDED IN MARSHY AREA AND TIPPED UP ON NOSE. WATER IN FUEL.                   ,"<ACFT, CONDITION, ENGINE SPUTTERED AND QUIT AT CRUISE>
<ACFT, ACTION, LANDED IN MARSHY AREA>
<ACFT, CONDITION, TIPPED UP ON NOSE>
<ACFT, CONDITION, WATER IN FUEL>"
19780515023299A,LOGGING OPNS. CABLE CAUGHT ON L SKID.                                                                              ,"<CABLE, CAUGHT ON, L SKID>"
19780603041599I,"FLOAT PLANE RIDING LOW IN THE WATER AFTER NORMAL LANDING, SANK. MUST HAVE HAD WATER IN FLOATS, BALL COVERS GONE.   ","<FLOAT PLANE, CONDITION, SANK>
<FLOAT PLANE, CAUSE, WATER IN FLOATS, BALL COVERS GONE>"
