c5_sources,node,count
19800506012169A,LOST CONTROL OF AIRPLANE,1
19800506012169A,FAILED TO REMOVE AILERON-ELEVATOR LOCK PIN,1
19800804037399A,FUEL EXHAUSTION,3
19800804037399A,FUEL SIPHONING,1
19800804037399A,IMPROPERLY SECURED VENT CAP,1
19800804037399A,OVERSHOT EMERGENCY LANDING AREA,1
19801005072789I,END OF RUNWAY,1
19801005072789I,REMAINING BRAKE,1
19801005072789I,PILOT RAN OFF END OF RUNWAY,1
19801116083749I;19840821046409A;19871027060859A,FORCED LANDING,5
19801116083749I,ICE IN AUXILIARY FUEL SYSTEM,1
19801230089799I,FLAT NOSE STRUT,3
19801230089799I,BROKE THE BELLCRANK,1
19801230089799I,EXTEND BEFORE RETRACTION,1
19801230089799I,AIRPLANE STRUCTURE,1
19810303007119A;19950602032329I,VEERED OFF,6
19810303007119A,HIT PARKED AIRPLANE,1
19810303007119A,NEWLY INSTALLED CARPETING,1
19810303007119A,RUDDER PEDAL MOVEMENT,1
19820725041999I,LOOSE COWLING,5
19820725041999I,CRACKED WINDSHIELD,2
19820725041999I,DENTED STABILIZER,2
19821117066379I,UNABLE TO PRESSURIZE,1
19821117066379I,DOOR SLIGHTLY OPEN,1
19821117066379I,DEPRESSURIZED,1
19821117066379I,DOOR OPENED FULLY,1
19821117066379I,STOPPED BY FUSELAGE,1
19840121015319I,FAILED AFTER TAKEOFF,1
19840121015319I,DRIFTED OFF THE EDGE,1
19840121015319I,FOUND SOLID ICE IN CARBURETOR BOWL,1
19840821046409A,ENGINE FAILURE,1
19840821046409A,NOT HAD ANNUAL INSPECTION,1
19841214074599I;19870309039779I,TAXIING,4
19841214074599I,2 AIRCRAFT,1
19841214074599I,FENCE,1
19850315007389A,LAST CONTROL,3
19850315007389A,ICING FORECAST,1
19850315007389A,ALTIMETER NOT IFR CERTIFIED,1
19850418016709I,ENGINE POWER FAILURE,2
19850418016709I,AEROBATICS,1
19850418016709I,LANDED IN FIELD,1
19850418016709I,DID NOT VISUALLY INSPECT FUEL TANKS,1
19850525020799A;19960322013629I,THE AIRCRAFT,4
19850525020799A,3 MILES FROM AIRPORT,1
19850525020799A,DOWNWIND GO AROUND WITH FULL FLAPS,1
19850729066139I,SHEN HARNESS,1
19850729066139I,ELEVATOR CABLE,1
19850729066139I,STICK BOOT,1
19850729066139I,FLOOR,1
19850729066139I,LANDED,1
19860228038269I;19870319012959I,NOSE GEAR,2
19860228038269I,FAILED TO RETRACT,1
19860228038269I;19870319012959I,PIN,2
19860228038269I,NOT REMOVED AFTER PREVIOUS MAINTENANCE,1
19860128014289I,FORWARD CARGO DOOR,1
19860128014289I,AIRCRAFT TOOK OFF,1
19860128014289I,OBJECTS DROPPED OUT,2
19860128014289I,FORWARD CARGO DOOR OPENED,1
19860128014289I,RETURNED,1
19860128014289I,WARNING LIGHT,1
19860128014289I,FAILED TO SEE WARNING LIGHT,1
19860706034879A,LOST POWER ON TAKEOFF,1
19860706034879A,FLIPPED ON LANDING,1
19860706034879A,FILLED TANKS,1
19860706034879A;19950804028629A,WATER IN FUEL,2
19860530030499A,ENGINE OVERHEAT,1
19860530030499A,HOT OIL SMELL,1
19860530030499A,NOSED OVER IN FURROWS PLOWED,1
19860530030499A,FAILED,1
19861114075329I,ENTERED TCA,1
19861114075329I,MALFUNCTIONING ENCODING ALTIMETER,1
19870309039779I,STRUCK N106DA,1
19870309039779I,UNAWARE OF BRAKE PROBLEMS ON THE AIRCRAFT,1
19870523018729A,CANOPY,2
19870523018729A,UNCONTROLLED GROUND COLLISION,1
19870523018729A;19871027060859A,PILOT ERROR,2
19870606018859A,UNABLE TO STAY AIRBORNE,3
19870606018859A;19911222062669I,ABORTED,3
19870606018859A,GROUND LOOPED INTO A TREE,2
19870606018859A,MAG SWITCH,3
19871027060859A,POWER POLE,1
19871027060859A,ELECTRIC POWER LOST ON IFR DUAL FLIGHT,2
19871027060859A,STRUCK POWER POLE ON FORCED LANDING,1
19870816062719I,COPPER TUBE,2
19870816062719I,AERIAL BANNERS,1
19870816062719I,ROOF OF A HOUSE,1
19871211075169A,ROUGH ENGINE,2
19871211075169A;19950527014439A,CLIMBOUT,2
19871211075169A,LANDED ON CITY STREET,1
19880527016939A,INITIAL CLIMBOUT,1
19880527016939A,TRIP,1
19880527016939A,GET FUEL,1
19890723054159I,INSUFFICIENT NUMBER OF SEATS,1
19890723054159I,PASSENGERS ONBOARD,2
19890723054159I,INSUFFICIENT NUMBER OF OXYGEN MASKS,1
19890725041869I,ENGINE START,1
19890725041869I,FULL AFT POSITION,1
19890725041869I,PUSH THROTTLE IN,1
19890725041869I,FULL,1
19890725041869I,PLANE COLLIDED,1
19890725041869I,PARKED PLANE,1
19900425011659A,FERRY FLIGHT,4
19900425011659A,RAN OUT OF FUEL,1
19900425011659A,LEFT PONTOON SEPARATED LANDING IN A POND,1
19900425011659A,FUEL CAP NOT SECURED,1
19900425011659A,FUEL SIPHONED,1
19901101064289I,FUEL CAP,3
19901101064289I,RIGHT TANK,1
19901101064289I,REPLACEMENT,1
19901101064289I,GAS ESCAPING,1
19901101064289I;19980415037339I;20070202001609A,FLIGHT,5
19901101064289I,WITHOUT CLEANING WING,1
19910710026989A,REPORTED PROBLEM,4
19910710026989A,STALLED AND CRASHED,1
19910710026989A,NO LOCKING PINS IN SEAT TRACK,1
19910710026989A,SEAT PIN BENT,1
19910710026989A,BELT NOT FASTENED,1
19911222062669I,RIGHT FUEL CAP,1
19911222062669I,AFTER LIFTOFF,1
19911222062669I,LANDED ON SAME RUNWAY,1
19911222062669I,RAN OFF SIDE OF RUNWAY,1
19911222062669I,SAME RUNWAY,1
19920405008919A,ATTEMPTED TAKEOFF,1
19920405008919A,2500 FT SOD STRIP,1
19920405008919A,GUSTY NORTH WIND,2
19920405008919A,HIT TREES,1
19920405008919A,CRASHED,1
19930530020029I,LOST CONTROL OF AIRCRAFT ON TAKEOFF ROLL,1
19930530020029I,PILOTS SEAT,2
19930530020029I,NOT LOCKED IN POSITION,1
19930530020029I,SLID AFT ON ACCELERATION,1
19940226003029A,LOST POWER,1
19940226003029A,EN ROUTE,2
19940226003029A,LANDED ON,1
19940226003029A,PRIVATE STRIP,1
19940226003029A,NOSED OVER,1
19940226003029A,LEFT FUEL CAP,2
19940226003029A,FUEL FLOW,1
19940226003029A,PREVENTED GRAVITY FUEL FLOW,1
19940412011509I,FLIGHT MANUAL,3
19940412011509I;20050429009279I;20070630826079I,AIRCRAFT,3
19940412011509I,STRUCK TRUCK WINDSHIELD ON GROUND,1
19940412011509I,LANDED SAFELY,1
19940818022409A,BAD OIL LEAK,1
19940818022409A,CRACKED ENGINE CASE,1
19940818022409A,NEAR H71,1
19940815046149I,BATTERY COMPARTMENT DOOR,1
19940815046149I,ANTENNA CRACKED WINDSHIELD,1
19950314029269I,N7016M,1
19950314029269I,AMATEUR BUILT AIRCRAFT,1
19950619021589I,LANDED OFF AIRPORT,3
19950619021589I,HIGH OIL TEMP,1
19950619021589I,SHEARED MAIN GEAR,1
19950619021589I,FOUND LOW ON OIL,1
19950527014439A,LAST FLIGHT,4
19950527014439A,TOW RELEASE,1
19950527014439A,SPIRAL TO IMPACT,1
19950527014439A,NEGLECTED TO CONNECT RIGHT AILERON,1
19950804028629A,LONGERON,3
19950804028629A,LOST POWER LANDED HARD IN ROUGH WATER,1
19950804028629A,MISREAD WATER IN SUMP TO BE FUEL,1
19950216008379I,CESSNA 207,2
19950216008379I,BETHEL AIRPORT,1
19950826026019A,EXPLOSION,3
19950826026019A,COMPRESSOR STALL NR1 ENGINE,1
19950826026019A,FAILED RELEASE LOGS,1
19950826026019A,USE SE PROCEDURES,1
19951031041599A,CLIMBOUT NOSE BAGGAGE DOOR,3
19951031041599A,REDUCED POWER,1
19951031041599A,ROLLED,1
19951031041599A,TEST FLIGHT,2
19951031041599A,STORAGE,1
19960504009509A,FAILED TO DETACH TRAILER TIE DOWN,1
19960504009509A,ROLLED ON LIFT OFF,1
19960504009509A;19970828026989A,(-23),3
19960524045629A,BAGGAGE DOOR,1
19960524045629A,BAGGAGE,1
19960524045629A,HIT LEFT PROP,1
19960524045629A,BELWO UMC,1
19960524045629A,LANDED ON SEA ICE,1
19960524045629A,FLY DOOR,1
19970523014439I,CARGO DOOR,1
19970523014439I,RUNWAY CONDITIONS,1
19970523014439I,STEVEN'S VILLAGE,1
19970828026989A,LONG POP ON TAKEOFF ROLL,1
19970828026989A,LOST RUDDER CONTROL,1
19970828026989A,EXITED RWY INTO CORNFIELD,1
19970828026989A,HAD FAILED TO LOCK THE TAILWHEEL,1
19970908038069A,TIEDOWN CHAINS,3
19970908038069A,TIRED TAXI,3
19970908038069A,ROLLING OVER,1
19970908038069A,RAMP PERSON TIED SKIDS DUE HIGH WIND,2
19970908038069A,RAMP PERSON TIED SKIDS,3
19970908038069A,HIGH WIND,1
19971226042729I,NR2 ENGINE FIRE,2
19971226042729I,LOADING PASSENGERS AT GATE,1
19971226042729I,SMOKE CLEARED,1
19971226042729I,FUEL LEVER,1
19971226042729I,IN FLIGHT IDLE,1
19980620030289I,Mr. KADERA,2
19980620030289I,HIGHWAY 93,1
19980616023109I,SEPERATED,1
19980616023109I,SPARKS,1
19980616023109I,ROTOR,1
19990714022959I;20060718018299I,DEPARTURE,3
19990714022959I,FRONT RANGE AIRPORT,1
19990714022959I,HOURS OF DARKNESS,1
19950602032329I;20050429009279I,TAXIWAY,2
19950602032329I,STRUCK TAXIWAY LIGHT,1
19950602032329I,WAS ADVISED DAMAGED PROP,1
19950602032329I,CONTINUED TO LIT,1
19990923027739A,CIERNIA GLASAIR III,1
19990923027739A,1900 HOURS PACIFIC DAYLIGHT TIME,1
19960322013629I,GEAR BLOCKED DOWN,1
19960322013629I,NOSE BLOCK FELL OUT,1
19960418007829A,CRASHED AND BURNED,2
19960418007829A,AFTER DEPARTURE FROM A GRASS RUNWAY,1
19960418007829A,GRASS RUNWAY,1
19961027033759A,CONNECTING ROD,1
19961027033759A,HYDRO LOCK IN NR5 CYL ON STARTUP,1
19961027033759A,BROKEN,2
19961027033759A,HIT COUNTER WT,1
19961027033759A,BROKE PORP SHAFT,1
19980415037339I;20010910029739I,NOSE LANDING GEAR,3
19980415037339I,JAMMED,1
19980508008619A,LOST POWER ENROUTE,1
19980508008619A,NOSED OVER LANDING ON A SLOPE,3
19980508008619A,FAILED TO VISUALLY CHECK FUEL,1
19980508008619A,NO EVIDENCE OF FUEL AT SCENE,1
19990213001379A,ACFT,4
19990213001379A,TAXIING FOR TAKE OFF,1
19990213001379A,LOST CONTROL,1
19990213001379A,RAN INTO A DITCH,1
19990213001379A,STRUCK A TREE,1
19991230042089A,SHORTLY AFTER,1
20000215041409A,1825,1
20000215041409A,Eastern Standard Time,1
20000215041409A,Beech 1900D,1
20000215041409A,Skyway Airline Flight,1
20010411006739I,HELIPAD,1
20010411006739I,RPM CONTROL,1
20010421009329I,CRUISE FLIGHT,1
20010421009329I,-23,1
20010421009329I,RPM LOSS,1
20010421009329I,COULD NOT MAINTAIN ALTITUDE,1
20010421009329I,MADE AN EMERG,1
20010910029739I,CFI,2
20010910029739I,TAXI OUT,1
20010910029739I,GREEN LIGHT OUT,1
20010910029739I,ATTEMPTED TO SWAP LIGHTS,1
20030620012809I,OIL FILLER CAP NOT SECURE,1
20030620012809I,OIL COMING OUT OF ENGINE,1
20030607012509A,LOCAL FLIGHT,1
20030607012509A,1147 AM LOCAL TIME,1
20040304003309I,SLIDING OR HYDROPLANING,2
20040304003309I,AFTER NORMAL TOUCHDOWN,1
20040304003309I,LEFT SIDE OF RUNWAY,1
20040925025079A,FUEL CONTAMINATION,3
20040925025079A,AIRFRAME FUEL FILTER,1
20040925025079A,FUEL FILTER,1
20040925025079A,ENGINE DRIVEN FUEL PUMP FILTER,1
20050504010229A,VIBRATION,2
20050504010229A,APU DOOR STRUCK MAIN ROTOR BLADE,1
20050504010229A,INFLIGHT,1
20050504010229A,APU DOOR,1
20050504010229A,MAIN ROTOR BLADE,1
20050429009279I,TAXIING THE AIRCRAFT TO PARKING,1
20050429009279I,A CARGO TRIP,1
20050713014239I,AN RAYTHEON AIRCRAFT CO. B36TC (BONANZA),2
20050713014239I,1535 MST,1
20050713014239I,HAVENS LEASING,1
20051009024969I,HELICOPTER ENGINE POWER CHECKS,1
20051009024969I,PILOT AND ONE CREWMEMBER,1
20060718018299I,FAILURE TO SECURE FUEL TANK CAPS,2
20060718018299I,PILOT IN COMMAND (PIC),1
20060621012279A,SEAT,3
20060621012279A,OVERROTATE,1
20060621012279A,ROTATION,1
20070202001609A,NOTH PLATTE,1
20070202001609A,487 STATUTE MILES,1
20070202001609A,NEAR GRINNELL,1
20070630826079I,CLIMB AIRCRAFT ENGINE,3
20070630826079I,AFTER TAKEOFF,1
20070630826079I,RAY AIRPORT,1
