index,index,c5_unique_id,c119_text,"entity1, relation_type, entity2"
1457,2331,19991230042089A,"(.4)THE PILOT SAID THAT SHORTLY AFTER TAKEOFF, THE ENGINE 'STARTED CUTTING OUT AND WAS NOT DEVELOPING ENOUGH POWER ","TAKEOFF, FOLLOWED BY, ENGINE CUTTING OUT"
2331,642,19820725041999I,"LOOSE COWLING ON TAKEOFF. COWLING CAME OFF ON RETURNING TO LAND. CRACKED WINDSHIELD, DENTED STABILIZER.            ","LOOSE COWLING, PART OF, TAKEOFF; RETURNING TO LAND, FOLLOWED BY, COWLING CAME OFF; CRACKED WINDSHIELD, HAS CAUSE, LOOSE COWLING;  LOOSE COWLING, HAS EFFECT, CRACKED WINDSHIELD; DENTED STABILIZER, HAS CAUSE, LOOSE COWLING; LOOSE COWLING, HAS EFFECT, DENTED STABILIZER"
642,1728,19940412011509I,AIRCRAFT POPPED OPEN ON DESCENT. FLIGHT MANUAL FLEW OUT AND STRUCK TRUCK WINDSHIELD ON GROUND. LANDED SAFELY.,"DESCENT, FOLLOWED BY, AIRCRAFT POPPED OPEN; AIRCRAFT POPPED OPEN, HAS EFFECT, FLIGHT MANUAL FLEW OUT; FLIGHT MANUAL FLEW OUT, HAS CAUSE, AIRCRAFT POPPED OPEN; FLIGHT MANUAL FLEW OUT, HAS EFFECT, STRUCK TRUCK WINDSHIELD; STRUCK TRUCK WINDSHIELD, HAS CAUSE, FLIGHT MANUAL FLEW OUT"
1728,2064,19971226042729I,NR2 ENGINE FIRE WHILE LOADING PASSENGERS AT GATE. EVACUATED. FUEL LEVER WAS IN FLIGHT IDLE. CUT OFF. SMOKE CLEARED.,"FUEL LEVER, HAS EFFECT, ENGINE FIRE; ENGINE FIRE, HAS CAUSE, FUEL LEVER; CUT OFF, FOLLOWED BY, SMOKE CLEARED; NR2, INSTANCE OF, ENGINE"
2064,1867,19950619021589I,AFTER DEPARTING HIGH OIL TEMP. LANDED OFF AIRPOR. SHEARED MAIN GEAR. FOUND LOW ON OIL.,"DEPARTING, FOLLOWED BY, HIGH OIL TEMP; LANDED OFF AIRPORT, HAS EFFECT, SHEARED MAIN GEAR; SHEARED MAIN GEAR, HAS CAUSE, LANDED OFF AIRPORT; LOW ON OIL, HAS EFFECT, LANDED OFF AIRPORT; LANDED OFF AIRPORT, HAS CAUSE, LOW ON OIL"
1867,1773,19940815046149I,BATTERY COMPARTMENT DOOR CAME OPEN. ANTENNA CRACKED WINDSHIELD.,"ANTENNA, HAS EFFECT, CRACKED WINDSHIELD; CRACKED WINDSHIELD, HAS CAUSE, ANTENNA; ANTENNA, PART OF, BATTERY"
1773,1006,19860228038269I,RETURNED WHEN NOSE GEAR FAILED TO RETRACT. FOUND THAT PIN HAD NOT BEEN REMOVED AFTER PREVIOUS MAINTENANCE.,"NOSE GEAR FAILED, HAS EFFECT, RETURNED  RETURNED, HAS CAUSE, NOSE GEAR FAILED; PIN HAD NOT BEEN REMOVED, HAS EFFECT, NOSE GEAR FAILED; NOSE GEAR FAILED, HAS CAUSE, PIN HAD BEEN REMOVED"
1006,289,19790718019229I,GROUND STAND BAGGAGE CART WITH INOPERATIVE BRAKES ROLLED INTO SIDE OF PARKED AIRCRAFT. 9 INCH TEAR IN FUSELAGE.,"INOPERATIVE BRAKES, PART-OF, GROUND STAND BAGGAGE CART; 9 INCH TEAR, PART-OF, FUSELAGE"
289,2352,20000625032189I,(-23)NORTHWEST AIRLINES DC-10 BOEING PUSHED BACK FOR REPOSITIONING OFF OF GATE B-52 STRUCK A CONTINENTAL AIRLINES D,"DC-10 BOEING, OWNED BY, NORTHWEST AIRLINES"
2352,1045,19860530030499A,ENGINE OVERHEAT. HOT OIL SMELL.KNEW HE HAD FAILED TO REMOVE AIR INTAKE PLUGS. NOSED OVER IN FURROWS PLOWED FAILED,"AIR INTAKE PLUGS, HAS EFFECT, ENGINE OVERHEAT; ENGINE OVERHEAT, HAS CAUSE, AIR INTAKE PLUGS; ENGINE OVERHEAT, HAS EFFECT, HOT OIL SMELL; HOT OIL SMELL, HAS CAUSE, ENGINE OVERHEAT; NOSED OVER, LOCATION, FURROWS"
1045,656,19821117066379I,PILOT UNABLE TO PRESSURIZE. FOUND ACCESS DOOR SLIGHTLY OPEN. DEPRESSURIZED. DOOR OPENED FULLY. STOPPED BY FUSELAGE.,"ACCESS DOOR SLIGHTLY OPEN, HAS EFFECT, DEPRESSURIZED; DEPRESSURIZED, HAS CAUSE, ACCESS DOOR SLIGHTY OPENED; STOPPED, HAS CAUSE, FUSELAGE; FUSELAGE, HAS EFFECT, STOPPED"
656,514,19810303007119A,VEERED OFF RUNWAY ON LANDING.  HIT PARKED AIRPLANE.  NEWLY INSTALLED CARPETING RESTRICTED RUDDER PEDAL MOVEMENT.,"LANDING, FOLLOWED BY, VEERED OFF RUNWAY; VEERED OFF RUNWAY, HAS EFFECT, HIT PARKED AIRPLANE; HIT PARKED AIRPLANE,HAS CAUSE, VEERED OFF RUNWAY; CARPETING, HAS EFFECT, RESTRICTED RUDDER PEDAL MOVEMENT; RESTRICTED RUDDER PEDAL MOVEMENT, HAS CAUSE, CARPETING"
514,2212,19950602032329I,VEERED OFF TAXIWAY. STRUCK TAXIWAY LIGHT. WAS ADVISED DAMAGED PROP. CONTINUED TO LIT.,"VEERED OFF TAXIWAY, HAS EFFECT, STRUCK TAXIWAY LIGHT; STRUCK TAXIWAY LIGHT, HAS CAUSE, VEERED OFF TAXIWAY; DAMAGED PROP, FOLLOWS, STRUCK TAXIWAY LIGHT"
2212,1494,19901101064289I,FUEL CAP MISSING FROM RIGHT TANK AND GAS ESCAPING WHILE TAXIING. REPLACED CAP. RESUMED FLIGHT WITHOUT CLEANING WING,"FUEL CAP, PART OF, RIGHT TANK; TAXING, FOLLOWED BY, GAS ESCAPING; FUEL CAP MISSING, HAS EFFECT, GAS ESCAPING; GAS ESCAPING, HAS CAUSE, FUEL CAP MISSING"
1494,2600,20050713014239I,"(-23) ON JULY 13, 2005, AT 1535 MST, AN RAYTHEON AIRCRAFT CO. B36TC (BONANZA), N3042V REGISTERED TO HAVENS LEASING ","HAVENS LEASING, OWNER OF, RAYTHEON ARICRAFT; RAYTHEON AIRCRAFT, OWNED BY, HAVENS LEASING"
2600,1037,19860706034879A,THE ENGINE LOST POWER ON TAKEOFF AND THE AIRCRAFT FLIPPED ON LANDING.PILOT HAD JUST FILLED TANKS. WATER IN FUEL.,"LOST POWER, HAS EFFECT, AIRCRAFT FLIPPED; AIRCRAFT FLIPPED, HAS CAUSE, LOST POWER; WATER, PART OF, FUEL"
1037,750,19840121015319I,ENGINE FAILED AFTER TAKEOFF. TRIED TO MAKE A ROAD BUT DRIFTED OFF THE EDGE. FOUND SOLID ICE IN CARBURETOR BOWL.,"TAKEOFF, FOLLOWED BY, ENGINE FAILED; SOLID ICE, PART OF, CARBURETOR BOWL"
750,1875,19950527014439A,LOST CONTROL ON CLIMBOUT AFTER TOW RELEASE. ROLLED BOTH WAYS. SPIRAL TO IMPACT. NEGLECTED TO CONNECT RIGHT AILERON.,"TOW RELEASE, FOLLOWED BY, LOST CONTROL; RIGHT AILERON, HAS EFFECT, LOST CONTROL;  LOST CONTROL, HAS CAUSE, RIGHT AILERON"
1875,2243,19960322013629I,NARRATIVE: THE AIRCRAFT WAS BEING FERRIED FOR MAINTENANCE. THE GEAR BLOCKED DOWN AND THE NOSE BLOCK FELL OUT DURING,"GEAR, PART OF, AIRCRAFT; NOSE BLOCK, PART OF, AIRCRAFT; GEAR BLOCKED DOWN, TIME PERIOD, FERRIED; NOSE BLOCK FELL OUT, TIME PERIOD, FERRIED"
2243,1967,19960504009509A,FAILED TO DETACH TRAILER TIE DOWN FROM SKID. LOST CONTROL AND ROLLED ON LIFT OFF. (-23) PILOT FAILED TO FULLY DETAC,"TRAILER TIE DOWN, PART OF, SKID; TRAILER TIE DOWN, HAS EFFECT, LOST CONTROL; LOST CONTROL, HAS CAUSE, TRAILER TIE DOWN; TRAILER TIE DOWN, HAS EFFECT, ROLLED ON LIFT OFF; ROLLED ON LIFT OFF, HAS CAUSE, TRAILER TIE DOWN"
1967,229,19790211002709A,AIRCRAFT FAILED TO LIFTOFF RUNWAY. RAN OFF END INTO SNOW BANK. FROST ON AIRFRAME.,"FROST, PART OF, AIRFRAME; FAILED TO LIFTOFF RUNWAY, HAS EFFECT, RAN OFF END; RAN OFF END, HAS CAUSE, FAILED TO LIFTOFF RUNWAY"
229,891,19850418016709I,ENGINE POWER FAILURE WHILE DOING AEROBATICS. LANDED IN FIELD. PILOT DID NOT VISUALLY INSPECT FUEL TANKS.,"ENGINE POWER FAILURE, FOLLOWED BY, LANDED IN FIELD; ENGINE POWER FAILURE, HAS CAUSE, FUEL TANKS; FUEL TANKS, HAS EFFECT, ENGINE POWER FAILURE"
891,144,19780913017419I,ABORTED TAKEOFF WHEN FRONT BAGGAGE DOOR POPPED OPEN.,"FRONT BAGGAGE DOOR POPPED OPEN, HAS EFFECT, ABORTED TAKEOFF; ABORTED TAKEOFF, HAS CAUSE, FRONT BAGGAGE DOOR POPPED OPEN"
144,178,19781113027039I,PILOT TAXIED INTO UNMARKED DITCH AT END OF TAXIWAY.,"UNMARKED DITCH, PART OF, TAXIWAY"
"canopy came open, time period, climbout; canopy came open, has effect, ground collision; ground collision, has cause, canopy came open; pilot error, has effect, canopy came open; canopy came open, has cause, pilot error",1211,19870606018859A,UNABLE TO STAY AIRBORNE ON TAKEOFF. ABORTED AND GROUND LOOPED INTO A TREE TO AVOID OVERRUN. MAG SWITCH ON ONE MAG.,"ONE MAG, INSTANCE OF, MAG SWITCH; UNABLE TO STAY AIRBORNE, HAS EFFECT, ABORTED; ABORTED, HAS CAUSE, UNABLE TO STAY AIRBORNE; GROUND LOOPED, HAS CAUSE, AVOID OVERRUN; OVERRUN, HAS EFFECT, GROUND LOOPED"
1211,2210,19990714022959I,(-23) ACCORDING TO THE PILOT HE DEPARTED FRONT RANGE AIRPORT DURING THE HOURS OF DARKNESS. DURING THE START AND RUN,"DEPARTED, TIME PERIOD, HOURS OF DARKNESS; PILOT, WORK LOCATION, FRONT RANGE AIRPORT"
2210,1135,19870319012959I,NOSE GEAR WOULD NOT RETRACT AFTER TAKEOFF. RETURNED AND FOUND PIN WAS INSTALLED.,"TAKEOFF, FOLLOWED BY, NOSE GEAR WOULD NOT RETRACT; PIN WAS INSTALLED, HAS EFFECT, NOSE GEAR WOULD NOT RETRACT; NOSE GEAR WOULD NOT RETRACT, HAS CAUSE, PIN WAS INSTALLED"
1135,2592,20050504010229A,"(-23) A SIKORSKY S-70A, N160LA, ENCOUNTERED A VIBRATION AFTER THE APU DOOR STRUCK A MAIN ROTOR BLADE INFLIGHT NEAR ","ROTOR BLADE, HAS EFFECT, VIBRATION; VIBRATION, HAS CAUSE, ROTOR BLADE; APU DOOR, PART OF, SIKORSKY S-70A; ROTOR BLADE, PART OF, SIKORSKY S-70A"
2592,2598,20050429009279I,(-23) THE PILOT WAS TAXIING THE AIRCRAFT TO PARKING FOLLOWING A CARGO TRIP. UPON REACHING A POINT WHERE THE TAXIWAY,"CARGO TRIP, FOLLOWED BY, TAXIING"
2598,1393,19890723054159I,AFTER LANDING IT WAS DETERMINED THERE WAS INSUFFICIENT NUMBER OF SEATS AND OXYGEN MASKS FOR PASSENGERS ONBOARD.,"LANDING, FOLLOWED BY, INSUFFICIENT NUMBER OF SEATS; LANDING, FOLLOWED BY, INSUFFICIENT NUMBER OF OXYGEN MASKS; SEATS, USED BY, PASSENGERS; OXYGEN MASK, USED BY, PASSENGERS"
1393,2030,19970523014439I,NARRATIVE: THE CARGO DOOR WAS LATCHED BEFORE TAKEOFF BY MR. BOWEN. RUNWAY CONDITIONS AT STEVEN'S VILLAGE WAS EXTREM,"CARGO DOOR, MAINTAINED BY, MR. BOWEN; CARGO DOOR LATCHED, FOLLOWED BY, TAKEOFF"
2030,2051,19970908038069A,TIRED TAXI WITH TIEDOWN CHAINS ATTACHE. ROLLED OVER. PILOT FAILED NOTE RAMP PERSON TIED SKIDS DUE HIGH WIND.,"HIGH WIND, HAS EFFECT, TIED SKIDS; TIED SKIDS, HAS CAUSE, HIGH WIND; TIEDOWN CHAINS, HAS EFFECT, ROLLED OVER; ROLLED OVER, HAS CAUSE, TIEDOWN CHAINS; SKIDS, MAINTAINED BY, RAMP PERSON"
2051,160,19781108022239I,BAGGAGE CART WAS BLOWN INTO PARKED AIRCRAFT BY JET BLAST. BRAKES WERE INOPERATIVE ON CART.,"BRAKES, PART OF, CART; ET BLAST, HAS EFFECT, BAGGAGE CART WAS BLOWN; BAGGAGE CART WAS BLOWN, HAS CAUSE, JET BLAST"
160,8,19760606015529A,SUFFICIENT OPPORTUNITY EXISTED TO RELEASE WHEN GLIDER ASSUMED NOSE HIGH ATTITUDE.,"RELEASE, INFLUENCED BY, HIGH ATTITUDE"
8,2630,20051009024969I,(-23) ^PRIVACY DATA OMITTED^ HELICOPTER ENGINE POWER CHECKS WERE BEING CONDUCTED BY PILOT AND ONE CREWMEMBER. DURIN,"POWER CHECKS, MAINTAINED BY, PILOT; POWER CHECKS, MAINTAINED BY, CREWMEMBER"
2630,1693,19930530020029I,PILOT LOST CONTROL OF AIRCRAFT ON TAKEOFF ROLL. PILOTS SEAT WAS NOT LOCKED IN POSITION AND SLID AFT ON ACCELARATION,"CONTROL OF AIRCRAFT, MAINTAINED BY, PILOT; LOST CONTROL, HAS CAUSE, SEAT NOT LOCKED IN POSITION; SEAT NOT LOCKED IN POSITION, HAS EFFECT, LOST CONTROL"
1693,495,19801230089799I,"FLAT NOSE STRUT FAILED TO EXTEND BEFORE RETRACTION. IT CAUGHT ON AIRPLANE STRUCTURE, BROKE THE BELLCRANK. COLLAPSED","FAILED TO EXTEND, HAS EFFECT, BROKE BELLCRANK; BROKE BELLCRANK, HAS CAUSE, FAILED TO EXTEND; FLAT NOSE STRUT, PART OF, AIRPLANE STRUCTURE; RETRACTION, FOLLOWS, FAILED TO EXTEND"
495,2299,19980508008619A,LOST POWER ENROUTE. NOSED OVER LANDING ON A SLOPE. NO EVIDENCE OF FUEL AT SCENE. FAILED TO VISUALLY CHECK FUEL.. (.,"LOST POWER, TIME PERIOD, ENROUTE; LOST POWER, HAS EFFECT, NOSED OVER LANDING; NOSED OVER LANDING, HAS CAUSE, LOST POWER; FAILED TO VISUALLY CHECK FUEL, HAS EFFECT, LOST POWER;  LOST POWER, HAS CAUSE, FAILED TO VISUALLY CHECK FUEL"
2299,1772,19940818022409A,LOST LEFT ENGINE NEAR H71. FEATHERED. HIGH . BEGAN GO AROUND BELOW VMC. CRASHED. BAD OIL LEAK. CRACKED ENGINE CASE.,"LOST LEFT ENGINE, LOCATION, H71;  LOST LEFT ENGINE, HAS EFFECT, CRASHED; CRASHED, HAS CAUSE, LOST LEFT ENGINE;  LOST LEFT ENGINE, HAS CAUSE, BAD OIL LEAK;  BAD OIL LEAK, HAS EFFECT, LOST LEFT ENGINE; LOST LEFT ENGINE, HAS EFFECT, CRACKED ENGINE CASE; CRACKED ENGINE CASE, HAS CAUSE, LOST LEFT ENGINE"
1772,1612,19920405008919A,"ATTEMPTED TAKEOFF FROM 2500 FT SOD STRIP.GUSTY NORTH WIND,HIT TREES OFF END OF STRIP CRASHED.                      ","TAKEOFF, LOCATION, 2500 FT SOD STRIP; HIT TREES, HAS EFFECT, CRASHED; CRASHED, HAS CAUSE, HIT TREES"
1612,795,19840821046409A,CRASH OCCURRED DURING FORCED LANDING AFTER ENGINE FAILURE DURING TAKEOFF. AIRCRAFT HAD NOT HAD ANNUAL INSPECTION.,"FORCED LANDING, FOLLOWS, ENGINE FAILURE;  ENGINE FAILURE, HAS EFFECT, CRASH; CRASH, HAS CAUSE, ENGINE FAILURE; AIRCRAFT HAD NOT HAD ANNUAL INSPECTION, HAS CAUSE, ENGINE FAILURE; ENGINE FAILURE, HAS EFFECT, AIRCRAFT HAD NOT HAD ANNUAL INSPECTION"
795,1887,19950216008379I,"NARRATIVE: THE PILOT OF CESSNA 207, N1549U STATED THAT AFTER TAKEOFF FROM THE BETHEL AIRPORT, THE ENGINE STOPPED RU","TAKEOFF, LOCATION, BETHEL AIRPORT; TAKEOFF, FOLLOWED BY, ENGINE STOPPED"
1887,896,19850525020799A,TOUCHED DOWN LONG AND BOUNCED. ATTEMPTED DOWNWIND GO AROUND WITH FULL FLAPS. STRUCK TREE 3 MILES FROM AIRPORT.,"STRUCK TREE, LOCATION 3 MILES FROM AIRPORT; DOWNWIND GO AROUND, HAS EFFECT, STRUCK TREE; STRUCK TREE, HAS CAUSE, DOWNWIND GO AROUND"
896,1117,19861114075329I,ENTERED TCA WITHOUT ATC COMMUNICATION. PILOT WAS AWARE OF MALFUNCTIONING ENCODING ALTIMETER.,"WITHOUT ATC COMMUNICATION, LOCATION, TCA; MALFUNCTIONING ENCODING ALTIMETER, HAS EFFECT, WITHOUT ATC COMMUNICATION; WITHOUT ATC COMMUNICATION, HAS CAUSE, MALFUNCTIONING ENCODING ALTIMETER"
1117,2406,20010421009329I,"(-23)AIRCRAFT WAS IN CRUISE FLIGHT, THERE WAS A RPM LOSS AND PILOT COULD NOT MAINTAIN ALTITUDE. PILOT MADE AN EMERG","RPM LOSS, TIME PERIOD, CRUISE FLIGHT; COULD NOT MAINTAIN ALTITUDE, HAS CAUSE, RPM LOSS; RPM LOSS, HAS EFFECT, COULD NOT MAINTAIN ALTITUDE"
2406,1970,19960524045629A,NOSE BAGGAGE DOOR OPENED ON TAKEOFF. BAGGAGE HIT LEFT PROP. GOT BELWO UMC. LANDED ON SEA ICE. WILL FLY DOOR OPEN.,"NOSE BAGGAGE DOOR OPENED, HAS EFFECT, BAGGAGE HIT LEFT PROP; BAGGAGE HIT LEFT PROP, HAS CAUSE, NOSE BAGGAGE DOOR OPENED"
1970,1297,19871211075169A,ROUGH ENGINE ON CLIMBOUT. LANDED ON CITY STREET. SPARK PLUGS OUT OF TOLERENCE. FOUND PRIMER UNLOCKED.,"LANDED, LOCATED ON STREET, CITY STREET; TOLERENCE, FACET OF, SPARK PLUGS; ROUGH ENGINE, HAS CAUSE, PRIMER UNLOCKED; PRIMER UNLOCKED, HAS EFFECT, ROUGH ENGINE"
1297,2429,20010910029739I,"(-23) DURING TAXI OUT, CFI NOTICED NOSE LANDING GEAR GREEN LIGHT WAS OUT. SHE ATTEMPTED TO SWAP LIGHTS TO VERIFY TH","NOSE LANDING GEAR, MAINTAINED BY, CFI; GREEN LIGHT, PART OF, NOSE LANDING GEAR; GREEN LIGHT WAS OUT, HAS EFFECT, SWAP LIGHTS; SWAP LIGHTS, HAS CAUSE, GREEN LIGHT WAS OUT"
2429,1240,19871027060859A,"ELECTRIC POWER LOST ON IFR DUAL FLIGHT. STRUCK POWER POLE ON FORCED LANDING, FOUND CIRCUIT BREAKER OFF. PILOT ERROR","ELECTRIC POWER LOST, TIME PERIOD, IFR DUAL FLIGHT; PILOT ERROR, HAS EFFECT, CIRCUIT BREAKER OFF; CICUIT BREAKER OFF, HAS CAUSE, PILOT ERROR; PILOT ERROR, HAS EFFECT, FORCED LANDING; FORCED LANDING, HAS CAUSE, PILOT ERROR"
1240,2160,19980616023109I,LOUD BANG AND SHUDDER ENROUTE. SAW SPARKS AT ROTOR. RETURNED. ENGINE COWLING SEPERATED. COWL NOT FASTENED.,"LOUD BANG, TIME PERIOD, ENROUTE; SHUDDER, TIME PERIOD, ENROUTE; ENGINE COWLING SEPARATED, HAS CAUSE, COWL NOT FASTENED; COWL NOT FASTENED, HAS EFFECT, ENGINE COWLING SEPARATED"
2160,1534,19910710026989A,REPORTED PROBLEM ON CLIMBOUT. STALLED AND CRASHED. NO LOCKING PINS IN SEAT TRACK. SEAT PIN BENT. BELT NOT FASTENED,"REPOORTED PROBLEM, TIME PERIOD, CLIMBOUT; PROBLEM, CAUSE OF, STALLED; PROBLEM, CAUSE OF, CRASHED; NO LOCKING PINS IN SEAT TRACK, INSTANCE OF, PROBLEM; SEAT PIN BENT, INSTANCE OF, PROBLEM; BELT NOT FASTENED, INSTANCE OF, PROBLEM"
1534,111,19780509032859I,FORCED LANDING AFTER POWER LOSS. FOUND WATER IN FUEL.,"FORCED LANDING, FOLLOWS, POWER LOSS; WATER, PART OF, FUEL"
111,384,19800506012169A,LOST CONTROL OF AIRPLANE ON TAKEOFF ROLL. FAILED TO REMOVE AILERON-ELEVATOR LOCK PIN.,"LOST CONTROL, TIME PERIOD, TAKEOFF ROLL; AILERON-ELEVATOR LOCK PIN, HAS EFFECT, LOST CONTROL; LOST CONTROL, HAS CAUSE, AILERON-ELEVATOR LOCK PIN"
384,334,19791128035159A,"PILOT LANDED TO WAIT OUT RAIN SHOWER. ON CLIMBOUT, ENGINE RAN ROUGH. PILOT LANDED IN FIELD. CLAIMS WATER IN FUEL.  ","ENGINE RAN ROUGH, TIME PERIOD, CLIMBOUT; LANDED, TIME PERIOD, RAIN SHOWER; ENGINE RAN ROUGH, HAS EFFECT, PILOT LANDED IN FIELD; PILOT LANDED IN FIELD, HAS CAUSE, ENGINE RAN ROUGH; WATER, PART OF, FUEL; WATER IN FUEL, HAS EFFECT, ENGINE RAN ROUGH; ENGINE RAN ROUGH, HAS CAUSE, WATER IN FUEL"
334,2650,20060621012279A,"(-23) THE PILOT ^PRIVACY DA^ STATED THAT DURING TAKEOFF (AT ROTATION) HIS SEAT SLID BACK, CAUSING HIM TO OVERROTATE","SEAT SLID BACK, TIME PERIOD, TAKEOFF; SEAT SLID BACK, HAS EFFECT, OVERROTATE; OVERROTATE, HAS CAUSE, SEAT SLID BACK"
2650,1846,19950314029269I,"NARRATIVE: ON MARCH 14, 1995, N7016M, AN AMATEUR BUILT AIRCRAFT, MADE AN EMERGENCY OFF AIRPORT LANDING NEAR THE BLO","EMERGECY OFF AIRPORT LANDING, TIME PERIOD, MARCH 14 1995; AIRCRAFT, DESIGNED BY, AMATEUR"
1846,410,19800804037399A,EARLY FUEL EXHAUSTION FROM FUEL SIPHONING FROM IMPROPERLY SECURED VENT CAP. OVERSHOT EMERGENCY LANDING AREA.,"FUEL SIPHONING, HAS EFFECT, EARLY FUEL EXHAUSTION; EARLY FUEL EXHAUSTION, HAS CAUSE, FUEL SIPHONING; IMPROPERLY SECURED VENT CAP, HAS EFFECT, FUEL SIPHONING; FUEL SIPHONING, HAS CAUSE, IMPORPERLY SECURED VENT CAP"
410,74,19780402008409I,TAXIING AIRCRAFT STRUCK PARKED AIRCRAFT. FOUND WORN OUT & INEFFECTIVE BRAKES AS CAUSE.,"WORN OUT & INEFFECTIVE BRAKES, HAS EFFECT, TAXIING AIRCRAFT STRUCK PARKED AIRCRAFT; TAXIING AIRCRAFT STRUCK PARKED AIRCRAFT, HAS CAUSE, WORN OUT AND INEFFECTIVE BRAKES"
