c5_sources,node,count
19770703018529A;19781129037719A,N/A,4
19770706020519A,AN175-16,3
19770706020519A,PULLED THROUGH TORQUE LINK CENTER SCISSORS,1
19770706020519A,WASHER CRACKED,1
19770706020519A,SEPARATED FRM BOLT,1
19770912040629A,100 OCTANE FUEL,3
19770912040629A,NOT FEATHERED AUTOFEATHER,1
19780112002729I;19780904017739I;19781102023549I,FORCED LANDING AFTER POWER LOSS,4
19780112002729I,WATER FOUND IN FUEL,1
19780102000459I,TAXIED OFF RUNWAY,2
19780102000459I,STRUCK DITCH AT NIGHT,1
19780102000459I,LANDING LIGHT WAS INOPERATIVE,1
19771104034549A,FRT BRAKE PUCK 70,1
19771104034549A,LAST WK,1
19771016042599A,25,1
19780225001789I,REFUELING,1
19780319009079I,BOLT IN NOSE GEAR SCISSORS,2
19780319009079I,NOSE WHEEL,1
19780403009389I,HIGHWAY,1
19780610045289I,FUEL TANK DRAIN VALVE,1
19780610045289I,SPRING LOADED TANK,1
19780623036259I,LANDED ON BEACH,1
19780623036419I,LANDED AFTER NOTING OIL ON WINDSHIELD,1
19780623036419I,OIL CAP WAS LOOSE,1
19780624034629I,STRUCK WIRES,1
19780625035919I,WATER AND OTHER FOREIGN MATERIAL IN GASCOLATOR BOWL,1
19780625035779I,FUEL SELECTOR MOVED BY A PASSENGER DURING LOADING,1
19780625035779I,SOON AFTER TAKEOFF,1
19780626034739I,WATER IN THE FUEL SYSTEM,1
19780626034739I,NEWLY PURCHASED AIRPLANE,1
19780626034739I,STORED OUTSIDE,1
19780820049069I,LANDING STRAIGHT AHEAD IN OAT FIELD,1
19780805024609A,MOVED MIXTURE CONTROL TO CUT OFF POSITION,1
19780725039589I,55 GAL DRUM,1
19780725039589I,QUIT ON TAKEOFF,1
19780723038809I,STUDENT PILOT,1
19780723038809I,RAN OUT OF FUEL,1
19780808049579I,PILOT FAILED TO SECURE OIL STICK,1
19780809049919I,LEFT GEAR,2
19780809049919I,COLLAPSED ON ROLL OUT,1
19780809049919I,HYDRAULIC SYSTEM,2
19780809049919I,LOW ON FLUID,1
19780811037539I,DRAINED WATER FROM FUEL TANK,1
19780825038179I,15 MINUTES AFTER TAKEOFF,1
19780825038179I,LANDED ON GOLF COURSE DUE TO FUEL EXHAUSTION,1
19780831038519I,AFTER LANDING, COWLING STRUCK PROP
19780831038519I,COWLING,1
19780831038519I,BROKE INTO PIECES,1
19780901016759I,NOSE GEAR,1
19780901016759I,JAMMED,1
19780901016759I,NOSE GEAR STRUT,1
19780901016759I,DEFLATED,1
19780904017739I,JET FUEL,1
19780907018599I,WING FLOATS,1
19780907018599I,NOSE GAR DOOR LINKAGE BROKEN,1
19780907018599I,NOSE GAR DOOR,1
19780907018599I,SHARP TURN,1
19780920018899I,EXPLOSION,1
19780920018899I,PILOT MISTOOK FOR BACKFIRE,1
19780920018899I,BEGAN FLIGHT,3
19780920018899I,EXPLOSION HEARD DURING ENGINE START,1
19780920018899I,LATER, EXPLOSION HEARD DURING ENGINE START
19780920018899I,EXHAUST TUNNELS,1
19781018032569I,UNABLE TO GET THE NOSE WHEEL DOWN,1
19781018032569I,WHEEL WELL,2
19781018032569I,TOW BAR,1
19781102023549I;19790111000619I;19790210006409I,FOUND WATER IN FUEL,5
19780921019829I,LOST NOSE WHEEL STEERING,1
19780921019829I,MAINTENANCE HANGAR,1
19780921019829I,WINGTIP,2
19780921019829I,HIT HANGAR,1
19780921019829I,CAUGHT ON FIRE,1
19780925018069I,GEAR RETRACTED ON LANDING ROLLOUT,1
19780903028619A,EXCESSIVE WATER IN FUEL,1
19780923027059I,GEAR PARTIALLY EXTENDED,1
19780923027059I,COLLAPSED ON TOUCHDOWN,1
19780908034669A,GENERATOR SHORTING,1
19780908034669A,GENERATOR CIRCUIT BREAKER SWITCH,1
19781020041019A,STRUCK COM POLES & CONCRETE WALL & BURNED,1
19781020041019A,NO 4 ROD ASY (PN 41A2) FAILED,1
19781021036569A,DMGD WING,1
19781021036569A,AILERON DRG PREVIOUS LDG,1
19781009029939I,LOST POWER AFTER LIFTOFF,1
19781009029939I,LANDED GEAR UP ON THE TAKEOFF RUNWAY,1
19781009029939I,TOPPED OFF WITH JET FUEL,1
19780829037939I,LANDED ON REMAINING RUNWAY GEAR UP,1
19790119001139A,AIRFRAME ICE,1
19790119001139A,FAILED TO CLIMB AFTER LIFTOFF,1
19790119001139A,FAIL TO CLIMB AFTER LIFTOFF DUE TO AIRFRAME ICE,2
19790119001139A,STRUCK A FENCE,1
19790119001139A,WENT INVERTED,1
19781114026859I,QUIT,2
19781114026859I,FORCED LANDING IN FIELD,1
19781114026859I,FUEL LINES,2
19781114026859I,ICE IN FUEL LINES,1
19781230019999I,ONE ENGINE QUIT ON TAKEOFF DUE TO FUEL STARVATION,1
19781230020029I,ENGINE FALURE,3
19781230020029I,TOTAL ELECTRICAL FAILURE,1
19781230020029I,BATTERY KNOWN TO BE BAD,1
19781230020029I,FUEL CONTROL UNIT POOR CONDITION,1
19790107000829I,FLAMED OUT,1
19790107000829I,DRAINED 6 QTS OF WATER FROM LEFT NACELLE AND BOOST PUMP,1
19790111000619I,QUIT AFTER LIFTOFF,1
19790111000619I,LANDED GEAR UP,1
19790111000619I,3 FOULED SPARK PLUGS,1
19790113001939I,STOPPED DUE TO WATER IN ALL OF THE FUEL SYSTEM,1
19790113001939I,Landed Aircraft,1
19781207022839I,SNOW BLOWN IN THE ENGINE COMPARTMENT,1
19781207022839I,SNOW MELTED,1
19781207022839I,FROZE UP THE THROTTLE LINKAGE,1
19781215040349A,LOAD,2
19781215040349A,HOOK RELEASE ELECTRICAL PLUG,1
19781215040349A,FROZEN TO THOUND,1
19781129037719A,PLT RQSTD & CNTLR APPVD SPCL VFR CLRNCE AT NITE,1
19790210006409I;19790318009229I,FORCED LANDING AFTER ENGINE QUIT,2
19790223006939I,BAGGAGE CART,1
19790223006939I,ROLLED INTO B99,1
19790223006939I,B99,1
19790223006939I,WHILE DEPARTING GATE JET BLAST,1
19790306009619I,TAXIED INTO DRAINAGE DITCH AT NIGHT,1
19790306009619I,LANDING LIGHT INOPERABLE,1
19790316009739I,NOS EWHEEL,1
19790316009739I,PROP,1
19790316009739I,NOSE WHEEL SANK DOWN IN HOLE ON RAMP,1
19790318009229I,ZG,2
19790318009229I,FUEL SELECTOR NOT POSITIONED PROPERLY,1
19790404013469I,NOISE DURING RETRACTION,1
19790404013469I,NOSE GEAR COLLAPSED ON LANDING,1
19790404013469I,LOOSE NOSE GEAR DOOR,1
19790404013469I,BROKE MECHANISM,1
19790207002469A,EMERGENCY LANDING,1
19790207002469A,AFTER FALLING FROM GLOVE BOX,1
19790316004819A,UNABLE TO CONTROL AIRCRAFT DURING TAKEOFF,1
19790316004819A,RESTRICTED STEERING,1
19790316004819A,FROST,1
19790214002969A,STARTED ENGINE,1
19790214002969A,UNABLE TO REACH CONTROLS,2
19790214002969A,HIT PARKED ACFT,1
19790414012459I,FUEL SYSTEM,1
19790414012459I,CONTAMINATED WITH A COLORLESS, ODERLESS SUBSTANCE
19790211007509A,MADEN AIRCRAFT,1
