c5,c119_text,coreferences_human_readable,coreferences
19760606015529A,SUFFICIENT OPPORTUNITY EXISTED TO RELEASE WHEN GLIDER ASSUMED NOSE HIGH ATTITUDE.                                  ,"['GLIDER', 'IT']","[[[6, 6]]]"
20051009024969I,(-23) ^PRIVACY DATA OMITTED^ HELICOPTER ENGINE POWER CHECKS WERE BEING CONDUCTED BY PILOT AND ONE CREWMEMBER. DURIN,"['HELICOPTER ENGINE POWER CHECKS', 'THEY', 'PILOT', 'ONE CREWMEMBER']","[[[6, 9]], [[14, 14], [16, 17]]]"
19930530020029I,PILOT LOST CONTROL OF AIRCRAFT ON TAKEOFF ROLL. PILOTS SEAT WAS NOT LOCKED IN POSITION AND SLID AFT ON ACCELARATION,"['PILOT', 'PILOTS', 'AIRCRAFT', 'PILOTS SEAT']","[[[0, 0], [9, 9]], [[4, 4]], [[9, 10]]]"
19801230089799I,"FLAT NOSE STRUT FAILED TO EXTEND BEFORE RETRACTION. IT CAUGHT ON AIRPLANE STRUCTURE, BROKE THE BELLCRANK. COLLAPSED","['FLAT NOSE STRUT', 'IT']","[[[0, 2], [9, 9]]]"
19980508008619A,LOST POWER ENROUTE. NOSED OVER LANDING ON A SLOPE. NO EVIDENCE OF FUEL AT SCENE. FAILED TO VISUALLY CHECK FUEL.. (.,"['FUEL', 'FUEL']","[[[14, 14], [14, 14]]]"
19940818022409A,LOST LEFT ENGINE NEAR H71. FEATHERED. HIGH . BEGAN GO AROUND BELOW VMC. CRASHED. BAD OIL LEAK. CRACKED ENGINE CASE.,"['LEFT ENGINE', 'ENGINE CASE']","[[[1, 2], [23, 24]]]"
19920405008919A,"ATTEMPTED TAKEOFF FROM 2500 FT SOD STRIP.GUSTY NORTH WIND,HIT TREES OFF END OF STRIP CRASHED.                      ","['ATTEMPTED TAKEOFF', 'HIT TREES OFF END OF STRIP', 'CRASHED']","[[[0, 1], [10, 15], [16, 16]]]"
19840821046409A,CRASH OCCURRED DURING FORCED LANDING AFTER ENGINE FAILURE DURING TAKEOFF. AIRCRAFT HAD NOT HAD ANNUAL INSPECTION.  ,"['CRASH', 'FORCED LANDING', 'ENGINE FAILURE', 'ENGINE', 'AIRCRAFT', 'IT']","[[[0, 0], [3, 4]], [[6, 7], [6, 6]], [[11, 11]]]"
19950216008379I,"NARRATIVE: THE PILOT OF CESSNA 207, N1549U STATED THAT AFTER TAKEOFF FROM THE BETHEL AIRPORT, THE ENGINE STOPPED RU","['THE PILOT OF CESSNA 207, N1549U', 'THE PILOT', 'CESSNA 207, N1549U', 'THE ENGINE']","[[[2, 8], [2, 3]], [[5, 8], [18, 19]]]"
19850525020799A,TOUCHED DOWN LONG AND BOUNCED. ATTEMPTED DOWNWIND GO AROUND WITH FULL FLAPS. STRUCK TREE 3 MILES FROM AIRPORT.     ,"['ATTEMPTED DOWNWIND GO AROUND WITH FULL FLAPS', 'STRUCK TREE']","[[[6, 12], [14, 15]]]"
19861114075329I,ENTERED TCA WITHOUT ATC COMMUNICATION. PILOT WAS AWARE OF MALFUNCTIONING ENCODING ALTIMETER.                       ,"['PILOT', 'WAS AWARE OF MALFUNCTIONING ENCODING ALTIMETER']","[[[6, 6], [7, 12]]]"
20010421009329I,"(-23)AIRCRAFT WAS IN CRUISE FLIGHT, THERE WAS A RPM LOSS AND PILOT COULD NOT MAINTAIN ALTITUDE. PILOT MADE AN EMERG","['AIRCRAFT', 'THERE WAS A RPM LOSS', 'PILOT COULD NOT MAINTAIN ALTITUDE', 'PILOT MADE AN EMERG']","[[[3, 3], [9, 13], [15, 19], [21, 24]]]"
19960524045629A,NOSE BAGGAGE DOOR OPENED ON TAKEOFF. BAGGAGE HIT LEFT PROP. GOT BELWO UMC. LANDED ON SEA ICE. WILL FLY DOOR OPEN.  ,"['NOSE BAGGAGE DOOR', 'DOOR', 'BAGGAGE', 'BAGGAGE']","[[[0, 2], [2, 2]], [[1, 1], [1, 1]]]"
19871211075169A,ROUGH ENGINE ON CLIMBOUT. LANDED ON CITY STREET. SPARK PLUGS OUT OF TOLERENCE. FOUND PRIMER UNLOCKED.              ,"['SPARK PLUGS', 'THEY']","[[[10, 11]]]"
20010910029739I,"(-23) DURING TAXI OUT, CFI NOTICED NOSE LANDING GEAR GREEN LIGHT WAS OUT. SHE ATTEMPTED TO SWAP LIGHTS TO VERIFY TH","['CFI', 'SHE', 'NOSE LANDING GEAR GREEN LIGHT', 'LIGHTS']","[[[7, 7], [17, 17]], [[9, 13], [21, 21]]]"
19871027060859A,"ELECTRIC POWER LOST ON IFR DUAL FLIGHT. STRUCK POWER POLE ON FORCED LANDING, FOUND CIRCUIT BREAKER OFF. PILOT ERROR","['ELECTRIC POWER', 'IT', 'PILOT', 'IT']","[[[0, 1]], [[20, 20]]]"
19980616023109I,LOUD BANG AND SHUDDER ENROUTE. SAW SPARKS AT ROTOR. RETURNED. ENGINE COWLING SEPERATED. COWL NOT FASTENED.         ,"['ENGINE COWLING', 'COWL']","[[[13, 14], [17, 17]]]"
19910710026989A,REPORTED PROBLEM ON CLIMBOUT. STALLED AND CRASHED. NO LOCKING PINS IN SEAT TRACK. SEAT PIN BENT. BELT NOT FASTENED ,"['SEAT PIN', 'SEAT TRACK']","[[[16, 17], [13, 14]]]"
19780509032859I,FORCED LANDING AFTER POWER LOSS. FOUND WATER IN FUEL.                                                              ,"['WATER', 'FUEL']","[[[7, 7], [9, 9]]]"
19800506012169A,LOST CONTROL OF AIRPLANE ON TAKEOFF ROLL. FAILED TO REMOVE AILERON-ELEVATOR LOCK PIN.                              ,"['AIRPLANE', 'AILERON-ELEVATOR LOCK PIN']","[[[3, 3]], [[11, 13]]]"
19791128035159A,"PILOT LANDED TO WAIT OUT RAIN SHOWER. ON CLIMBOUT, ENGINE RAN ROUGH. PILOT LANDED IN FIELD. CLAIMS WATER IN FUEL.  ","['PILOT', 'PILOT', 'CLAIMS', 'ENGINE', 'ENGINE', 'RAIN SHOWER', 'WATER']","[[[0, 0], [0, 0], [20, 20]], [[11, 11], [11, 11]], [[5, 6], [21, 21]]]"
20060621012279A,"(-23) THE PILOT ^PRIVACY DA^ STATED THAT DURING TAKEOFF (AT ROTATION) HIS SEAT SLID BACK, CAUSING HIM TO OVERROTATE","['THE PILOT', 'HIS', 'HIM']","[[[3, 4], [15, 15], [21, 21]]]"
19950314029269I,"NARRATIVE: ON MARCH 14, 1995, N7016M, AN AMATEUR BUILT AIRCRAFT, MADE AN EMERGENCY OFF AIRPORT LANDING NEAR THE BLO","['N7016M', 'AN AMATEUR BUILT AIRCRAFT']","[[[8, 8], [10, 13]]]"
19800804037399A,EARLY FUEL EXHAUSTION FROM FUEL SIPHONING FROM IMPROPERLY SECURED VENT CAP. OVERSHOT EMERGENCY LANDING AREA.       ,"['FUEL', 'FUEL SIPHONING', 'EMERGENCY LANDING AREA', 'AREA']","[[[1, 1], [4, 5]], [[13, 15], [15, 15]]]"
19780402008409I,TAXIING AIRCRAFT STRUCK PARKED AIRCRAFT. FOUND WORN OUT & INEFFECTIVE BRAKES AS CAUSE.                             ,"['TAXIING AIRCRAFT', 'BRAKES', 'PARKED AIRCRAFT']","[[[0, 1], [11, 11]], [[3, 4]]]"
19890725041869I,ON ENGINE START PILOTS SEAT WENT TO FULL AFT POSITION. PUSH THROTTLE IN FULL. AIRCRAFT COLLIDED WITH PARKED PLANE. ,"['PILOTS SEAT', 'IT', 'AIRCRAFT', 'IT']","[[[3, 4]], [[16, 16]]]"
19911222062669I,AFTER LIFTOFF PILOT NOTICED RIGHT FUEL CAP MISSING. ABORTED. LANDED ON SAME RUNWAY. RAN OFF SIDE OF RUNWAY.        ,"['PILOT', 'NOTICED', 'ABORTED', 'LANDED', 'RAN', 'RIGHT FUEL CAP', 'MISSING', 'RUNWAY', 'SAME RUNWAY', 'SIDE OF RUNWAY']","[[[2, 2], [3, 3], [9, 9], [11, 11], [16, 16]], [[4, 6], [7, 7]], [[14, 14], [13, 14], [18, 20]]]"
20030607012509A,"(-23) THE AIRCRAFT DEPARTED BARTLESVILLE MUNICIPAL AIRPORT (BVO) BARTLESVILLE, OK AT 1147 AM LOCAL TIME FOR A LOCAL","['THE AIRCRAFT', 'A LOCAL']","[[[3, 4], [21, 22]]]"
19801005072789I,PILOT RAN OFF END OF RUNWAY WHEN REMAINING BRAKE FAILED.                                                           ,"['PILOT', 'REMAINING BRAKE']","[[[0, 0]], [[7, 8]]]"
19781210024199I,WHEELS LOCKED UP AFTER SEVERAL TOUCH AND GO LANDINGS DUE TO SNOW PACKED IN THE WHEEL PANTS.                        ,"['WHEELS', 'THEY']","[[[0, 0]]]"
19950804028629A,LOST POWER LANDED HARD IN ROUGH WATER. DAMAGED FLOATS AND LONGERON. WATER IN FUEL. MISREAD WATER IN SUMP TO BE FUEL,"['WATER', 'WATER IN SUMP', 'FUEL', 'FUEL']","[[[6, 6], [18, 20]], [[15, 15], [15, 15]]]"
20040304003309I,"(-23) AFTER NORMAL TOUCHDOWN THE AIRCRAFT STARTED SLIDING OR HYDROPLANING TOWARD LEFT SIDE OF RUNWAY, AIRCRAFT STRU","['THE AIRCRAFT', 'AIRCRAFT']","[[[6, 7], [7, 7]]]"
19780427013859I,ENGINE COWLING SEPARATED FROM ENGINE IN FLIGHT.                                                                    ,"['ENGINE COWLING', 'ENGINE']","[[[0, 1], [0, 0]]]"
20070202001609A,"(-23) ON A FLIGHT FROM NOTH PLATTE, NE, TO IOWA CITY, IA, (487 STATUTE MILES) THE AIRCRAFT LOST POWER NEAR GRINNELL","['THE AIRCRAFT', 'IT']","[[[23, 24]]]"
19780916024019A,TIE DOWN STRAP ACROSS LEFT SKID CAUGHT ON TRAILER AND TETHERED HEPER.                                              ,"['TIE DOWN STRAP', 'IT', 'LEFT SKID', 'IT', 'TRAILER', 'IT', 'HEPER', 'IT']","[[[0, 2]], [[4, 5]], [[8, 8]], [[11, 11]]]"
20060718018299I,(-23) THE PILOT IN COMMAND (PIC) FAILED TO ENSURE ALL FUEL TANK CAPS WERE SECURELY FASTENED PRIOR TO DEPARTURE. SUB,"['THE PILOT IN COMMAND (PIC)', 'PIC', 'ALL FUEL TANK CAPS', 'THEY']","[[[3, 9], [8, 8]], [[13, 16]]]"
20040925025079A,(-23) FUEL CONTAMINATION IN AIRFRAME FUEL FILTER AS WELL AS IN FUEL FILTER AND ENGINE DRIVEN FUEL PUMP FILTER. THE ,"['FUEL CONTAMINATION', 'THE']","[[[3, 4], [22, 22]]]"
19961027033759A,PRIOR DEMO FLIGHT. CONNECTING ROD BENT BY HYDRO LOCK IN NR5 CYL ON STARTUP. BROKE. HIT COUNTER WT. BROKE PORP SHAFT,"['CONNECTING ROD', 'IT', 'NR5 CYL', 'CYL', 'COUNTER WT', 'IT', 'PORP SHAFT', 'IT']","[[[4, 5]], [[11, 12], [12, 12]], [[19, 20]], [[23, 24]]]"
19870309039779I,"WHILE TAXIING, THE AIRCRAFT STRUCK N106DA WHICH WAS PARKED.  PILOT WAS UNAWARE OF BRAKE PROBLEMS ON THE AIRCRAFT.  ","['THE AIRCRAFT', 'THE AIRCRAFT', 'N106DA', 'WHICH', 'PILOT', 'PILOT']","[[[3, 4], [3, 4]], [[6, 6], [7, 7]], [[11, 11], [11, 11]]]"
20020619014309A,"(-23) N759TY, CE-182 WAS EN ROUTE FROM HOT SPRINGS, ARKANSAS TO FAYETTEVILLE, TENNESSEE, WHEN THE AIRCRAFT ENGINE Q","['N759TY', 'CE-182', 'THE AIRCRAFT']","[[[3, 3], [5, 5], [20, 21]]]"
19951031041599A,ON CLIMBOUT NOSE BAGGAGE DOOR OPENED. REDUCED POWER. STALLED. ROLLED. DIVED INTO OCEAN. TEST FLIGHT FROM STORAGE.  ,"['NOSE BAGGAGE DOOR', 'IT']","[[[2, 4]]]"
19850729066139I,ELEVATOR CONTROL JAMMED SHEN HARNESS CAUGHT ON ELEVATOR CABLE. STICK BOOT NOT FASTENED TO FLOOR. LANDED IN A FIELD.,"['ELEVATOR CONTROL', 'ELEVATOR CABLE', 'HARNESS', 'IT', 'STICK BOOT', 'IT']","[[[0, 1], [7, 8]], [[4, 4]], [[10, 11]]]"
19940226003029A,LOST POWER EN ROUTE. LANDED ON PRIVATE STRIP. NOSED OVER. LEFT FUEL CAP LEAKED. PREVENTED GRAVITY FUEL FLOW.       ,"['LEFT FUEL CAP', 'IT']","[[[13, 15]]]"
19780111000459A,ACFT DISPATCHER HARRASSMENT OF PILOT. PILOT FORGOT TO REMOVE TIEDROPE.                                             ,"['PILOT', 'PILOT']","[[[4, 4], [4, 4]]]"
20010411006739I,"(-23) THE HELICOPTER WAS IDLING ON THE HELIPAD, AND THE RPM CONTROL WAS BROUGHT UP TO FLY POSITION FOR THE TAKEOFF.","['THE HELICOPTER', 'THE RPM CONTROL']","[[[3, 4], [12, 14]]]"
19870816062719I,"A COPPER TUBE, USED TO HOLD AERIAL BANNERS, FELL THROUGH THE ROOF OF A HOUSE. LOCAL OPERATOR IS BEING MONITORED.   ","['A COPPER TUBE', 'IT', 'A HOUSE', 'THE ROOF', 'LOCAL OPERATOR', 'IS BEING MONITORED']","[[[0, 2]], [[15, 16], [12, 13]], [[18, 19], [20, 22]]]"
19980620030289I,"MR. KADERA THEN ATTEMPTED TO LAND IN A FIELD BUT WAS FORCED TO LAND ON HIGHWAY 93. THREE MILES EAST OF SUNMER, IOWA","['MR. KADERA', 'HE']","[[[0, 1]]]"
19990923027739A,"(.19) ON SEPTEMBER 23, 1999, AT 1900 HOURS PACIFIC DAYLIGHT TIME, A HOMEBUILT CIERNIA GLASAIR III, N153JC, EXPERIEN","['A HOMEBUILT CIERNIA GLASAIR III', 'N153JC']","[[[16, 20], [22, 22]]]"
19980415037339I,(-5)NOSE BAGGAGE CARGO CONSISTING OF A WOODEN WHEEL CHOCK SHIFTED DURING FLIGHT AND JAMMED THE NOSE LANDING GEAR ME,"['NOSE BAGGAGE CARGO', 'A WOODEN WHEEL CHOCK']","[[[3, 5], [8, 11]]]"
19950826026019A,"EXPLOSION LIFTING LOGS. PITCHED UP, ROLLED. COMPRESSOR STALL NR1 ENGINE. FAILED RELEASE LOGS AND USE SE PROCEDURES.","['NR1 ENGINE', 'LOGS']","[[[11, 12], [2, 2]]]"
20000215041409A,"(.19) ON FEBRUARY 19, 2000, AT 1825 EASTERN STANDARD TIME, A BEECH 1900D, N81SK, OPERATED AS SKYWAY AIRLINE FLIGHT ","['A BEECH 1900D', 'N81SK']","[[[15, 17], [19, 19]]]"
19860514036219I,GROUND LOOPED ON LANDING. TAILWHEEL WAS FOUND JAMMED FAR RIGHT.                                                    ,"['TAILWHEEL', 'IT']","[[[5, 5]]]"
19880527016939A,ENGINE QUIT ON INITIAL CLIMBOUT. CRASH LANDED AVOIDING TREES. FOUND SELECTED FUEL TANK EMPTY. TRIP WAS TO GET FUEL.,"['ENGINE', 'IT', 'SELECTED FUEL TANK', 'IT', 'TRIP', 'IT']","[[[0, 0]], [[12, 14]], [[17, 17]]]"
