id,sample,entities_predicted,entity_types_predicted
19870606018859A,UNABLE TO STAY AIRBORNE ON TAKEOFF. ABORTED AND GROUND LOOPED INTO A TREE TO AVOID OVERRUN. MAG SWITCH ON ONE MAG. ,"['TAKEOFF', 'GROUND LOOPED', 'TREE', 'MAG SWITCH', 'MAG']","['PHASE', 'MANEUVER', 'OBSTACLE', 'SYSTEM', 'SYSTEM']"
19990714022959I,(-23) ACCORDING TO THE PILOT HE DEPARTED FRONT RANGE AIRPORT DURING THE HOURS OF DARKNESS. DURING THE START AND RUN,"['PILOT', 'FRONT RANGE AIRPORT', 'HOURS OF DARKNESS', 'START', 'RUN']","['PERSON', 'LOCATION', 'TIME', 'PHASE', 'PHASE']"
19870319012959I,NOSE GEAR WOULD NOT RETRACT AFTER TAKEOFF. RETURNED AND FOUND PIN WAS INSTALLED.                                   ,"['NOSE GEAR', 'TAKEOFF', 'PIN']","['SYSTEM', 'PHASE', 'OBJECT']"
20050504010229A,"(-23) A SIKORSKY S-70A, N160LA, ENCOUNTERED A VIBRATION AFTER THE APU DOOR STRUCK A MAIN ROTOR BLADE INFLIGHT NEAR ","['SIKORSKY S-70A', 'N160LA', 'APU DOOR', 'MAIN ROTOR BLADE', 'INFLIGHT']","['VEHICLE', 'IDENTIFIER', 'COMPONENT', 'COMPONENT', 'PHASE']"
20050429009279I,(-23) THE PILOT WAS TAXIING THE AIRCRAFT TO PARKING FOLLOWING A CARGO TRIP. UPON REACHING A POINT WHERE THE TAXIWAY,"['PILOT', 'AIRCRAFT', 'PARKING', 'CARGO TRIP', 'TAXIWAY']","['PERSON', 'VEHICLE', 'LOCATION', 'EVENT', 'LOCATION']"
19890723054159I,AFTER LANDING IT WAS DETERMINED THERE WAS INSUFFICIENT NUMBER OF SEATS AND OXYGEN MASKS FOR PASSENGERS ONBOARD.    ,"['LANDING', 'SEATS', 'OXYGEN MASKS', 'PASSENGERS']","['PHASE', 'EQUIPMENT', 'EQUIPMENT', 'PERSON']"
19970523014439I,NARRATIVE: THE CARGO DOOR WAS LATCHED BEFORE TAKEOFF BY MR. BOWEN. RUNWAY CONDITIONS AT STEVEN'S VILLAGE WAS EXTREM,"['CARGO DOOR', 'TAKEOFF', 'MR. BOWEN', 'RUNWAY', ""STEVEN'S VILLAGE""]","['COMPONENT', 'PHASE', 'PERSON', 'LOCATION', 'LOCATION']"
19970908038069A,TIRED TAXI WITH TIEDOWN CHAINS ATTACHE. ROLLED OVER. PILOT FAILED NOTE RAMP PERSON TIED SKIDS DUE HIGH WIND.       ,"['TAXI', 'TIEDOWN CHAINS', 'PILOT', 'RAMP PERSON', 'SKIDS', 'HIGH WIND']","['PHASE', 'EQUIPMENT', 'PERSON', 'PERSON', 'VEHICLE PART', 'WEATHER CONDITION']"
19781108022239I,BAGGAGE CART WAS BLOWN INTO PARKED AIRCRAFT BY JET BLAST. BRAKES WERE INOPERATIVE ON CART.                         ,"['BAGGAGE CART', 'PARKED AIRCRAFT', 'JET BLAST', 'BRAKES', 'CART']","['OBJECT', 'VEHICLE', 'PHENOMENON', 'SYSTEM', 'OBJECT']"
19760606015529A,SUFFICIENT OPPORTUNITY EXISTED TO RELEASE WHEN GLIDER ASSUMED NOSE HIGH ATTITUDE.                                  ,"['GLIDER', 'NOSE HIGH ATTITUDE']","['VEHICLE', 'CONDITION']"
20051009024969I,(-23) ^PRIVACY DATA OMITTED^ HELICOPTER ENGINE POWER CHECKS WERE BEING CONDUCTED BY PILOT AND ONE CREWMEMBER. DURIN,"['HELICOPTER', 'ENGINE POWER CHECKS', 'PILOT', 'CREWMEMBER']","['VEHICLE', 'PROCEDURE', 'PERSON', 'PERSON']"
19930530020029I,PILOT LOST CONTROL OF AIRCRAFT ON TAKEOFF ROLL. PILOTS SEAT WAS NOT LOCKED IN POSITION AND SLID AFT ON ACCELARATION,"['PILOT', 'AIRCRAFT', 'TAKEOFF ROLL', 'PILOTS SEAT', 'ACCELERATION']","['PERSON', 'VEHICLE', 'PHASE', 'OBJECT', 'EVENT']"
19801230089799I,"FLAT NOSE STRUT FAILED TO EXTEND BEFORE RETRACTION. IT CAUGHT ON AIRPLANE STRUCTURE, BROKE THE BELLCRANK. COLLAPSED","['NOSE STRUT', 'AIRPLANE STRUCTURE', 'BELLCRANK']","['COMPONENT', 'STRUCTURE', 'COMPONENT']"
19980508008619A,LOST POWER ENROUTE. NOSED OVER LANDING ON A SLOPE. NO EVIDENCE OF FUEL AT SCENE. FAILED TO VISUALLY CHECK FUEL.. (.,"['ENROUTE', 'LANDING', 'FUEL', 'FUEL']","['PHASE', 'PHASE', 'SUBSTANCE', 'SUBSTANCE']"
19940818022409A,LOST LEFT ENGINE NEAR H71. FEATHERED. HIGH . BEGAN GO AROUND BELOW VMC. CRASHED. BAD OIL LEAK. CRACKED ENGINE CASE.,"['LEFT ENGINE', 'H71', 'VMC', 'OIL LEAK', 'ENGINE CASE']","['SYSTEM', 'LOCATION', 'SPEED', 'ISSUE', 'COMPONENT']"
19920405008919A,"ATTEMPTED TAKEOFF FROM 2500 FT SOD STRIP.GUSTY NORTH WIND,HIT TREES OFF END OF STRIP CRASHED.                      ","['TAKEOFF', '2500 FT SOD STRIP', 'NORTH WIND', 'TREES', 'STRIP']","['PHASE', 'LOCATION', 'WEATHER', 'OBSTACLE', 'LOCATION']"
19840821046409A,CRASH OCCURRED DURING FORCED LANDING AFTER ENGINE FAILURE DURING TAKEOFF. AIRCRAFT HAD NOT HAD ANNUAL INSPECTION.  ,"['CRASH', 'FORCED LANDING', 'ENGINE FAILURE', 'TAKEOFF', 'AIRCRAFT', 'ANNUAL INSPECTION']","['EVENT', 'PHASE', 'ISSUE', 'PHASE', 'VEHICLE', 'PROCEDURE']"
19950216008379I,"NARRATIVE: THE PILOT OF CESSNA 207, N1549U STATED THAT AFTER TAKEOFF FROM THE BETHEL AIRPORT, THE ENGINE STOPPED RU","['CESSNA 207', 'N1549U', 'TAKEOFF', 'BETHEL AIRPORT', 'ENGINE']","['VEHICLE', 'IDENTIFIER', 'PHASE', 'LOCATION', 'SYSTEM']"
19850525020799A,TOUCHED DOWN LONG AND BOUNCED. ATTEMPTED DOWNWIND GO AROUND WITH FULL FLAPS. STRUCK TREE 3 MILES FROM AIRPORT.     ,"['TOUCHED DOWN', 'GO AROUND', 'FULL FLAPS', 'TREE', 'AIRPORT']","['PHASE', 'PROCEDURE', 'SYSTEM', 'OBSTACLE', 'LOCATION']"
19861114075329I,ENTERED TCA WITHOUT ATC COMMUNICATION. PILOT WAS AWARE OF MALFUNCTIONING ENCODING ALTIMETER.                       ,"['TCA', 'ATC', 'PILOT', 'ENCODING ALTIMETER']","['AIRSPACE', 'ORGANIZATION', 'PERSON', 'SYSTEM']"
20010421009329I,"(-23)AIRCRAFT WAS IN CRUISE FLIGHT, THERE WAS A RPM LOSS AND PILOT COULD NOT MAINTAIN ALTITUDE. PILOT MADE AN EMERG","['AIRCRAFT', 'CRUISE FLIGHT', 'RPM', 'PILOT', 'ALTITUDE']","['VEHICLE', 'PHASE', 'SYSTEM', 'PERSON', 'MEASUREMENT']"
19960524045629A,NOSE BAGGAGE DOOR OPENED ON TAKEOFF. BAGGAGE HIT LEFT PROP. GOT BELWO UMC. LANDED ON SEA ICE. WILL FLY DOOR OPEN.  ,"['NOSE BAGGAGE DOOR', 'TAKEOFF', 'BAGGAGE', 'LEFT PROP', 'UMC', 'SEA ICE', 'DOOR']","['COMPONENT', 'PHASE', 'OBJECT', 'COMPONENT', 'LOCATION', 'LOCATION', 'COMPONENT']"
19871211075169A,ROUGH ENGINE ON CLIMBOUT. LANDED ON CITY STREET. SPARK PLUGS OUT OF TOLERENCE. FOUND PRIMER UNLOCKED.              ,"['ENGINE', 'CLIMBOUT', 'CITY STREET', 'SPARK PLUGS', 'PRIMER']","['SYSTEM', 'PHASE', 'LOCATION', 'COMPONENT', 'COMPONENT']"
20010910029739I,"(-23) DURING TAXI OUT, CFI NOTICED NOSE LANDING GEAR GREEN LIGHT WAS OUT. SHE ATTEMPTED TO SWAP LIGHTS TO VERIFY TH","['TAXI OUT', 'CFI', 'NOSE LANDING GEAR GREEN LIGHT']","['PHASE', 'PERSON', 'SYSTEM']"
19871027060859A,"ELECTRIC POWER LOST ON IFR DUAL FLIGHT. STRUCK POWER POLE ON FORCED LANDING, FOUND CIRCUIT BREAKER OFF. PILOT ERROR","['ELECTRIC POWER', 'IFR DUAL FLIGHT', 'POWER POLE', 'FORCED LANDING', 'CIRCUIT BREAKER', 'PILOT']","['SYSTEM', 'PHASE', 'OBJECT', 'PHASE', 'COMPONENT', 'PERSON']"
19980616023109I,LOUD BANG AND SHUDDER ENROUTE. SAW SPARKS AT ROTOR. RETURNED. ENGINE COWLING SEPERATED. COWL NOT FASTENED.         ,"['ENROUTE', 'ROTOR', 'ENGINE COWLING', 'COWL']","['PHASE', 'SYSTEM', 'COMPONENT', 'COMPONENT']"
19910710026989A,REPORTED PROBLEM ON CLIMBOUT. STALLED AND CRASHED. NO LOCKING PINS IN SEAT TRACK. SEAT PIN BENT. BELT NOT FASTENED ,"['CLIMBOUT', 'SEAT TRACK', 'SEAT PIN', 'BELT']","['PHASE', 'COMPONENT', 'COMPONENT', 'COMPONENT']"
19780509032859I,FORCED LANDING AFTER POWER LOSS. FOUND WATER IN FUEL.                                                              ,"['FORCED LANDING', 'POWER LOSS', 'FUEL']","['PHASE', 'ISSUE', 'SYSTEM']"
19800506012169A,LOST CONTROL OF AIRPLANE ON TAKEOFF ROLL. FAILED TO REMOVE AILERON-ELEVATOR LOCK PIN.                              ,"['AIRPLANE', 'TAKEOFF ROLL', 'AILERON-ELEVATOR LOCK PIN']","['VEHICLE', 'PHASE', 'COMPONENT']"
19791128035159A,"PILOT LANDED TO WAIT OUT RAIN SHOWER. ON CLIMBOUT, ENGINE RAN ROUGH. PILOT LANDED IN FIELD. CLAIMS WATER IN FUEL.  ","['PILOT', 'RAIN SHOWER', 'CLIMBOUT', 'ENGINE', 'FIELD', 'WATER', 'FUEL']","['PERSON', 'WEATHER', 'PHASE', 'SYSTEM', 'LOCATION', 'SUBSTANCE', 'SUBSTANCE']"
20060621012279A,"(-23) THE PILOT ^PRIVACY DA^ STATED THAT DURING TAKEOFF (AT ROTATION) HIS SEAT SLID BACK, CAUSING HIM TO OVERROTATE","['PILOT', 'TAKEOFF', 'ROTATION', 'SEAT']","['PERSON', 'PHASE', 'PHASE', 'OBJECT']"
19950314029269I,"NARRATIVE: ON MARCH 14, 1995, N7016M, AN AMATEUR BUILT AIRCRAFT, MADE AN EMERGENCY OFF AIRPORT LANDING NEAR THE BLO","['MARCH 14, 1995', 'N7016M', 'AMATEUR BUILT AIRCRAFT', 'EMERGENCY OFF AIRPORT LANDING']","['DATE', 'VEHICLE', 'VEHICLE', 'PHASE']"
19800804037399A,EARLY FUEL EXHAUSTION FROM FUEL SIPHONING FROM IMPROPERLY SECURED VENT CAP. OVERSHOT EMERGENCY LANDING AREA.       ,"['FUEL EXHAUSTION', 'FUEL SIPHONING', 'VENT CAP', 'EMERGENCY LANDING AREA']","['EVENT', 'EVENT', 'COMPONENT', 'LOCATION']"
19780402008409I,TAXIING AIRCRAFT STRUCK PARKED AIRCRAFT. FOUND WORN OUT & INEFFECTIVE BRAKES AS CAUSE.                             ,"['TAXIING', 'AIRCRAFT', 'PARKED AIRCRAFT', 'BRAKES']","['PHASE', 'VEHICLE', 'VEHICLE', 'SYSTEM']"
19890725041869I,ON ENGINE START PILOTS SEAT WENT TO FULL AFT POSITION. PUSH THROTTLE IN FULL. AIRCRAFT COLLIDED WITH PARKED PLANE. ,"['ENGINE START', ""PILOT'S SEAT"", 'THROTTLE', 'AIRCRAFT', 'PARKED PLANE']","['PHASE', 'COMPONENT', 'COMPONENT', 'VEHICLE', 'VEHICLE']"
19911222062669I,AFTER LIFTOFF PILOT NOTICED RIGHT FUEL CAP MISSING. ABORTED. LANDED ON SAME RUNWAY. RAN OFF SIDE OF RUNWAY.        ,"['LIFTOFF', 'PILOT', 'RIGHT FUEL CAP', 'RUNWAY']","['PHASE', 'PERSON', 'SYSTEM', 'LOCATION']"
20030607012509A,"(-23) THE AIRCRAFT DEPARTED BARTLESVILLE MUNICIPAL AIRPORT (BVO) BARTLESVILLE, OK AT 1147 AM LOCAL TIME FOR A LOCAL","['AIRCRAFT', 'BARTLESVILLE MUNICIPAL AIRPORT', 'BVO', 'BARTLESVILLE', 'OK', '1147 AM LOCAL TIME']","['VEHICLE', 'LOCATION', 'LOCATION', 'LOCATION', 'LOCATION', 'TIME']"
19801005072789I,PILOT RAN OFF END OF RUNWAY WHEN REMAINING BRAKE FAILED.                                                           ,"['PILOT', 'RUNWAY', 'BRAKE']","['PERSON', 'LOCATION', 'SYSTEM']"
19781210024199I,WHEELS LOCKED UP AFTER SEVERAL TOUCH AND GO LANDINGS DUE TO SNOW PACKED IN THE WHEEL PANTS.                        ,"['WHEELS', 'TOUCH AND GO LANDINGS', 'SNOW', 'WHEEL PANTS']","['SYSTEM', 'PHASE', 'WEATHER', 'SYSTEM']"
19950804028629A,LOST POWER LANDED HARD IN ROUGH WATER. DAMAGED FLOATS AND LONGERON. WATER IN FUEL. MISREAD WATER IN SUMP TO BE FUEL,"['POWER', 'WATER', 'FLOATS', 'LONGERON', 'FUEL', 'SUMP']","['SYSTEM', 'SUBSTANCE', 'COMPONENT', 'COMPONENT', 'SUBSTANCE', 'COMPONENT']"
20040304003309I,"(-23) AFTER NORMAL TOUCHDOWN THE AIRCRAFT STARTED SLIDING OR HYDROPLANING TOWARD LEFT SIDE OF RUNWAY, AIRCRAFT STRU","['TOUCHDOWN', 'AIRCRAFT', 'RUNWAY']","['PHASE', 'VEHICLE', 'LOCATION']"
19780427013859I,ENGINE COWLING SEPARATED FROM ENGINE IN FLIGHT.                                                                    ,"['ENGINE COWLING', 'ENGINE', 'FLIGHT']","['COMPONENT', 'SYSTEM', 'PHASE']"
20070202001609A,"(-23) ON A FLIGHT FROM NOTH PLATTE, NE, TO IOWA CITY, IA, (487 STATUTE MILES) THE AIRCRAFT LOST POWER NEAR GRINNELL","['NORTH PLATTE', 'NE', 'IOWA CITY', 'IA', '487 STATUTE MILES', 'AIRCRAFT', 'GRINNELL']","['LOCATION', 'LOCATION', 'LOCATION', 'LOCATION', 'DISTANCE', 'VEHICLE', 'LOCATION']"
19780916024019A,TIE DOWN STRAP ACROSS LEFT SKID CAUGHT ON TRAILER AND TETHERED HEPER.                                              ,"['TIE DOWN STRAP', 'LEFT SKID', 'TRAILER', 'HEPER']","['EQUIPMENT', 'PART', 'OBJECT', 'VEHICLE']"
20060718018299I,(-23) THE PILOT IN COMMAND (PIC) FAILED TO ENSURE ALL FUEL TANK CAPS WERE SECURELY FASTENED PRIOR TO DEPARTURE. SUB,"['PILOT IN COMMAND', 'FUEL TANK CAPS', 'DEPARTURE']","['PERSON', 'SYSTEM', 'PHASE']"
20040925025079A,(-23) FUEL CONTAMINATION IN AIRFRAME FUEL FILTER AS WELL AS IN FUEL FILTER AND ENGINE DRIVEN FUEL PUMP FILTER. THE ,"['FUEL CONTAMINATION', 'AIRFRAME FUEL FILTER', 'FUEL FILTER', 'ENGINE DRIVEN FUEL PUMP FILTER']","['ISSUE', 'SYSTEM', 'SYSTEM', 'SYSTEM']"
19961027033759A,PRIOR DEMO FLIGHT. CONNECTING ROD BENT BY HYDRO LOCK IN NR5 CYL ON STARTUP. BROKE. HIT COUNTER WT. BROKE PORP SHAFT,"['DEMO FLIGHT', 'CONNECTING ROD', 'HYDRO LOCK', 'NR5 CYL', 'STARTUP', 'COUNTER WT', 'PORP SHAFT']","['EVENT', 'COMPONENT', 'CONDITION', 'COMPONENT', 'PHASE', 'COMPONENT', 'COMPONENT']"
19870309039779I,"WHILE TAXIING, THE AIRCRAFT STRUCK N106DA WHICH WAS PARKED.  PILOT WAS UNAWARE OF BRAKE PROBLEMS ON THE AIRCRAFT.  ","['TAXIING', 'AIRCRAFT', 'N106DA', 'PILOT', 'BRAKE']","['PHASE', 'VEHICLE', 'VEHICLE', 'PERSON', 'SYSTEM']"
