id,entities_predicted,qids_predicted
19980508008619A,"['SLOPE', 'FUEL']","['Q46831', 'Q314']"
19940818022409A,"['Engine', 'Oil leak', 'Engine case']","['Q44183', 'Q550275', 'Q106516868']"
19920405008919A,"['takeoff', 'wind', 'trees', 'crash']","['Q1071863', 'Q8094', 'Q23397', 'Q11446']"
19840821046409A,"['forced landing', 'engine failure', 'takeoff', 'aircraft', 'annual inspection']","['Q5456664', 'Q5376604', 'Q11696', 'Q11436', 'Q28732917']"
19950216008379I,"['Cessna 207', 'Bethel Airport']","['Q2941664', 'Q2892826']"
19850525020799A,"['DOWNWIND GO AROUND', 'FULL FLAPS', 'STRUCK TREE', 'AIRPORT']","['Q5305281', 'Q5459784', 'Q83460', 'Q1248784']"
19861114075329I,"['TCA (Terminal Control Area)', 'ATC (Air Traffic Control)', 'Pilot', 'Encoding altimeter']","['Q7671831', 'Q1077113', 'Q42973', 'Q5373306']"
20010421009329I,"['Aircraft', 'Cruise flight', 'RPM (Revolutions Per Minute)', 'Pilot', 'Altitude']","['Q11436', 'Q2992501', 'Q208713', 'Q42973', 'Q186352']"
19960524045629A,"['TAKEOFF', 'BAGGAGE', 'SEA ICE']","['Q1314740', 'Q1314740', 'Q35666']"
19871211075169A,"['SPARK PLUGS', 'PRIMER']","['Q210042', 'Q720376']"
20010910029739I,"['CFI (Certified Flight Instructor)', 'nose landing gear']","['Q5104900', 'Q7058670']"
19871027060859A,"['ELECTRIC POWER', 'IFR', 'POWER POLE', 'FORCED LANDING', 'CIRCUIT BREAKER', 'PILOT ERROR']","['Q11691', 'Q1144593', 'Q2001305', 'Q545666', 'Q847198', 'Q719634']"
19980616023109I,"['ROTOR', 'ENGINE COWLING']","['Q2298867', 'Q5378000']"
19910710026989A,"['Stalled', 'Crashed', 'Locking pins', 'Seat track', 'Seat pin', 'Belt']","['Q764306', 'Q1144929', 'Q22939166', 'Q7444310', 'Q22939166', 'Q174985']"
19780509032859I,"['Forced landing', 'Power loss', 'Water', 'Fuel']","['Q5456794', 'Q7243513', 'Q283', 'Q314']"
19800506012169A,"['airplane', 'takeoff roll', 'aileron', 'elevator', 'lock pin']","['Q11436', 'Q7691083', 'Q191937', 'Q11696', 'Q6650930']"
19791128035159A,"['PILOT', 'RAIN SHOWER', 'ENGINE', 'WATER', 'FUEL']","['Q42973', 'Q83418', 'Q44167', 'Q283', 'Q314']"
20060621012279A,"['Pilot', 'Privacy', 'Takeoff', 'Rotation']","['Q42973', 'Q2516866', 'Q744431', 'Q184188']"
19950314029269I,"['March 14, 1995', 'amateur-built aircraft']","['Q2646361', 'Q474968']"
19800804037399A,"['Fuel exhaustion', 'Fuel siphoning', 'Vent cap', 'Emergency landing', 'Landing area']","['Q5455406', 'Q3075176', 'Q7918010', 'Q1348059', 'Q6476758']"
19780402008409I,"['Aircraft', 'Brakes']","['Q11436', 'Q107715']"
19890725041869I,"['ENGINE START', 'PILOTS SEAT', 'THROTTLE', 'AIRCRAFT', 'PARKED PLANE']","['Q22978334', 'Q3068750', 'Q780447', 'Q11436', 'Q11436']"
19911222062669I,"['LIFTOFF', 'PILOT', 'FUEL CAP', 'RUNWAY']","['Q1133850', 'Q42973', 'Q5452812', 'Q13226383']"
20030607012509A,"['Bartlesville Municipal Airport', 'Bartlesville, OK']","['Q4858649', 'Q810456']"
19801005072789I,"['Pilot', 'Runway', 'Brake']","['Q42973', 'Q13226383', 'Q107715']"
19781210024199I,"['TOUCH AND GO LANDINGS', 'SNOW', 'WHEEL PANTS']","['Q780468', 'Q7561', 'Q7970503']"
19950804028629A,"['Water', 'Fuel']","['Q283', 'Q314']"
20040304003309I,['aircraft'],['Q11436']
19780427013859I,"['Engine cowling', 'Engine', 'Flight']","['Q5417340', 'Q44167', 'Q11436']"
20070202001609A,"['North Platte, NE', 'Iowa City, IA', 'Grinnell']","['Q49297', 'Q485271', 'Q1001580']"
19780916024019A,"['TIE DOWN STRAP', 'SKID', 'TRAILER', 'TETHERED']","['Q1066772', 'Q753821', 'Q44294', 'Q767733']"
20060718018299I,"['Pilot in command', 'Fuel tank', 'Departure']","['Q4671323', 'Q381459', 'Q682443']"
20040925025079A,"['Fuel contamination', 'Airframe', 'Fuel filter', 'Engine', 'Fuel pump']","['Q5455405', 'Q1077212', 'Q3072043', 'Q44183', 'Q3065000']"
19961027033759A,"['Connecting rod', 'Hydro lock', 'Cylinder', 'Counterweight', 'Propeller shaft']","['Q3008574', 'Q5937443', 'Q190165', 'Q5164371', 'Q723622']"
19870309039779I,['aircraft'],['Q11436']
20020619014309A,"['HOT SPRINGS, ARKANSAS', 'FAYETTEVILLE, TENNESSEE']","['Q485876', 'Q543536']"
19951031041599A,"['Ocean', 'Test flight', 'Storage']","['Q9430', 'Q1259917', 'Q15642541']"
19850729066139I,"['Elevator', 'Harness', 'Cable', 'Stick', 'Floor', 'Field']","['Q183790', 'Q191463', 'Q55197', 'Q11376', 'Q163446', 'Q188869']"
19940226003029A,"['Landed', 'Private strip', 'Fuel cap', 'Gravity fuel flow']","['Q2668072', 'Q12046926', 'Q5452331', 'Q5618370']"
19780111000459A,['PILOT'],['Q42973']
20010411006739I,"['Helicopter', 'Helipad', 'RPM control', 'Takeoff']","['Q744431', 'Q1434440', 'Q7374980', 'Q126793']"
19870816062719I,"['Copper tube', 'Aerial banners', 'Roof', 'House']","['Q665638', 'Q28732957', 'Q170552', 'Q3947']"
19980620030289I,"['Highway 93', 'Sumner, Iowa']","['Q6077851', 'Q764846']"
19990923027739A,"['September 23, 1999', '1900 hours Pacific Daylight Time', 'Glasair III']","['Q42395528', 'Q2006572', 'Q5562486']"
19980415037339I,[],[]
19950826026019A,"['EXPLOSION', 'LOGS', 'COMPRESSOR STALL']","['Q401724', 'Q36161', 'Q5164370']"
20000215041409A,"['February 19, 2000', 'Eastern Standard Time', 'Beech 1900D', 'Skyway Airlines']","['Q2596964', 'Q54171', 'Q816651', 'Q7519443']"
19860514036219I,"['Ground looped', 'landing', 'tailwheel', 'jammed']","['Q5598374', 'Q50231', 'Q7678500', 'Q630907']"
19880527016939A,"['ENGINE', 'FUEL TANK', 'FUEL', 'TREES']","['Q44183', 'Q3062010', 'Q314', 'Q23397']"
19960418007829A,['airplane'],['Q11436']
19970828026989A,"['takeoff roll', 'rudder', 'runway', 'cornfield', 'tailwheel']","['Q7672691', 'Q1327866', 'Q13226383', 'Q503261', 'Q7686286']"
19870523018729A,"['CANOPY', 'PILOT ERROR']","['Q1970757', 'Q1705625']"
20030620012809I,"['PILOT', 'OIL FILLER CAP', 'ENGINE']","['Q42973', 'Q106406634', 'Q44183']"
