c5,c119,phi4mini_instruct_triplets_clean
19860530030499A,ENGINE OVERHEAT. HOT OIL SMELL.KNEW HE HAD FAILED TO REMOVE AIR INTAKE PLUGS. NOSED OVER IN FURROWS PLOWED FAILED  ,"<ENGINE, HAS CAUSE, HOT OIL SMELL>
<ENGINE, HAS CAUSE, FAILED TO REMOVE AIR INTAKE PLUGS>
<ENGINE, HAS CAUSE, NOSED OVER IN FURROWS PLOWED>"
19821117066379I,PILOT UNABLE TO PRESSURIZE. FOUND ACCESS DOOR SLIGHTLY OPEN. DEPRESSURIZED. DOOR OPENED FULLY. STOPPED BY FUSELAGE.,"<PILOT, HAS CAUSE, UNABLE TO PRESSURIZE>
<PILOT, HAS CAUSE, DOOR SLIGHTLY OPEN>
<PILOT, HAS CAUSE, DEPRESSURIZED>
<PILOT, HAS CAUSE, DOOR OPENED FULLY>
<PILOT, HAS CAUSE, STOPPED BY FUSELAGE>"
19810303007119A,VEERED OFF RUNWAY ON LANDING.  HIT PARKED AIRPLANE.  NEWLY INSTALLED CARPETING RESTRICTED RUDDER PEDAL MOVEMENT.   ,"<VEERED OFF RUNWAY, EVENT DISTANCE, HITTED PARKED AIRPLANE>
<NEWLY INSTALLED CARPETING, USED BY, RUDDER PEDAL>"
19950602032329I,VEERED OFF TAXIWAY. STRUCK TAXIWAY LIGHT. WAS ADVISED DAMAGED PROP. CONTINUED TO LIT.                              ,
19901101064289I,FUEL CAP MISSING FROM RIGHT TANK AND GAS ESCAPING WHILE TAXIING. REPLACED CAP. RESUMED FLIGHT WITHOUT CLEANING WING,"<FUEL CAP, MISSING FROM, RIGHT TANK>
<FUEL CAP, GAS ESCAPING WHILE, TAXIING>
<FUEL CAP, REPLACED, CAP>
<FUEL CAP, RESUMED FLIGHT, WITHOUT CLEANING WING>"
20050713014239I,"(-23) ON JULY 13, 2005, AT 1535 MST, AN RAYTHEON AIRCRAFT CO. B36TC (BONANZA), N3042V REGISTERED TO HAVENS LEASING ",
19860706034879A,THE ENGINE LOST POWER ON TAKEOFF AND THE AIRCRAFT FLIPPED ON LANDING.PILOT HAD JUST FILLED TANKS. WATER IN FUEL.   ,"<ENGINE, HAS EFFECT, LOST POWER>
<ENGINE, EVENT DISTANCE, AFTER TAKEOFF>
<ENGINE, HAS EFFECT, AIRCRAFT FLIPPED>
<TANKS, USED BY, PILOT>
<FUEL, LOCATION, WATER IN FUEL>"
19840121015319I,ENGINE FAILED AFTER TAKEOFF. TRIED TO MAKE A ROAD BUT DRIFTED OFF THE EDGE. FOUND SOLID ICE IN CARBURETOR BOWL.    ,"<ENGINE, HAS CAUSE, DRIFTED OFF THE EDGE>
<ENGINE, HAS CAUSE, FOUND SOLID ICE IN CARBURETOR BOWL>"
19950527014439A,LOST CONTROL ON CLIMBOUT AFTER TOW RELEASE. ROLLED BOTH WAYS. SPIRAL TO IMPACT. NEGLECTED TO CONNECT RIGHT AILERON.,"<LAST CONTROL, LOST, CLIMBOUT>
<LAST CONTROL, EVENT DISTANCE, TOW RELEASE>
<LAST CONTROL, EVENT DISTANCE, IMPACT>
<LAST CONTROL, EVENT DISTANCE, CONNECT RIGHT AILERON>"
19960322013629I,NARRATIVE: THE AIRCRAFT WAS BEING FERRIED FOR MAINTENANCE. THE GEAR BLOCKED DOWN AND THE NOSE BLOCK FELL OUT DURING,"<AIRCRAFT, USED BY, FERRY>
<NOSE, PART OF, AIRCRAFT>
<NOSE, INFLUENCED BY, GEAR BLOCKED DOWN>"
19960504009509A,FAILED TO DETACH TRAILER TIE DOWN FROM SKID. LOST CONTROL AND ROLLED ON LIFT OFF. (-23) PILOT FAILED TO FULLY DETAC,"<(-23) PILOT, FAILED TO, DETACH TRAILER TIE DOWN FROM SKID>
<(-23) PILOT, LOST CONTROL, ROLLED ON LIFT OFF>"
19790211002709A,AIRCRAFT FAILED TO LIFTOFF RUNWAY. RAN OFF END INTO SNOW BANK. FROST ON AIRFRAME.                                  ,"<FAIL TO LIFTOFF, EVENT DISTANCE, RAN OFF END INTO SNOW BANK>
<FAIL TO LIFTOFF, HAS CAUSE, FROST ON AIRFRAME>"
19850418016709I,ENGINE POWER FAILURE WHILE DOING AEROBATICS. LANDED IN FIELD. PILOT DID NOT VISUALLY INSPECT FUEL TANKS.           ,"<ENGINE POWER FAILURE, FOLLOWED BY, AEROBATICS>
<ENGINE POWER FAILURE, HAS EFFECT, LANDED IN FIELD>
<PILOT, USED BY, FUEL TANKS>"
19780913017419I,ABORTED TAKEOFF WHEN FRONT BAGGAGE DOOR POPPED OPEN.                                                               ,"<ABORTED TAKEOFF, CAUSE, FRONT BAGGAGE DOOR POPPED OPEN>"
19781113027039I,PILOT TAXIED INTO UNMARKED DITCH AT END OF TAXIWAY.                                                                ,"<PILOT, EVENT DISTANCE, TAXIWAY>
<PILOT, LOCATION, UNMARKED DITCH>"
19870606018859A,UNABLE TO STAY AIRBORNE ON TAKEOFF. ABORTED AND GROUND LOOPED INTO A TREE TO AVOID OVERRUN. MAG SWITCH ON ONE MAG. ,"<ABORTED TAKEOFF, EVENT DISTANCE, GROUND LOOPED INTO A TREE>
<ABORTED TAKEOFF, HAS CAUSE, UNABLE TO STAY AIRBORNE>
<MAG SWITCH, USED BY, ABORTED TAKEOFF>"
19990714022959I,(-23) ACCORDING TO THE PILOT HE DEPARTED FRONT RANGE AIRPORT DURING THE HOURS OF DARKNESS. DURING THE START AND RUN,
19870319012959I,NOSE GEAR WOULD NOT RETRACT AFTER TAKEOFF. RETURNED AND FOUND PIN WAS INSTALLED.                                   ,"<NOSE GEAR, CONDITION, WOULD NOT RETRACT>
<RETURNED, EVENT DISTANCE, FOUND PIN WAS INSTALLED>"
20050504010229A,"(-23) A SIKORSKY S-70A, N160LA, ENCOUNTERED A VIBRATION AFTER THE APU DOOR STRUCK A MAIN ROTOR BLADE INFLIGHT NEAR ",
20050429009279I,(-23) THE PILOT WAS TAXIING THE AIRCRAFT TO PARKING FOLLOWING A CARGO TRIP. UPON REACHING A POINT WHERE THE TAXIWAY,"<(-23) PILOT, USED BY, (-23) AIRCRAFT>
<(-23) AIRCRAFT, LOCATION, TAXIWAY>"
19890723054159I,AFTER LANDING IT WAS DETERMINED THERE WAS INSUFFICIENT NUMBER OF SEATS AND OXYGEN MASKS FOR PASSENGERS ONBOARD.    ,"<AFTER LANDING, EVENT DISTANCE, INSUFFICIENT NUMBER OF SEATS AND OXYGEN MASKS FOR PASSENGERS ONBOARD>"
19970523014439I,NARRATIVE: THE CARGO DOOR WAS LATCHED BEFORE TAKEOFF BY MR. BOWEN. RUNWAY CONDITIONS AT STEVEN'S VILLAGE WAS EXTREM,"<CARGO DOOR, USED BY, MR. BOWEN>
<RUNWAY CONDITIONS, LOCATION, STEVEN'S VILLAGE>"
19970908038069A,TIRED TAXI WITH TIEDOWN CHAINS ATTACHE. ROLLED OVER. PILOT FAILED NOTE RAMP PERSON TIED SKIDS DUE HIGH WIND.       ,"<TIEDOWN CHAINS, USED BY, TAXI>
<TIEDOWN CHAINS, USED BY, PILOT>
<TIEDOWN CHAINS, USED BY, SKIDS>
<TIEDOWN CHAINS, USED BY, RAMP>
<TIEDOWN CHAINS, USED BY, PERSON>
<TIEDOWN CHAINS, USED BY, WIND>"
19781108022239I,BAGGAGE CART WAS BLOWN INTO PARKED AIRCRAFT BY JET BLAST. BRAKES WERE INOPERATIVE ON CART.                         ,"<BAGGAGE CART, INOPERATIVE, BRAKES>
<BAGGAGE CART, BLOWN INTO, PARKED AIRCRAFT>"
19760606015529A,SUFFICIENT OPPORTUNITY EXISTED TO RELEASE WHEN GLIDER ASSUMED NOSE HIGH ATTITUDE.                                  ,"<GLIDER, HAS EFFECT, RELEASE>"
20051009024969I,(-23) ^PRIVACY DATA OMITTED^ HELICOPTER ENGINE POWER CHECKS WERE BEING CONDUCTED BY PILOT AND ONE CREWMEMBER. DURIN,"<PILOT, USED BY, HELICOPTER ENGINE POWER CHECKS>
<CREWMEMBER, USED BY, HELICOPTER ENGINE POWER CHECKS>"
19930530020029I,PILOT LOST CONTROL OF AIRCRAFT ON TAKEOFF ROLL. PILOTS SEAT WAS NOT LOCKED IN POSITION AND SLID AFT ON ACCELARATION,"<PILOT, LOST CONTROL OF, AIRCRAFT>
<PILOT, EVENT DISTANCE, TAKEOFF ROLL>
<PILOT, LOCATION, PILOTS SEAT>"
19801230089799I,"FLAT NOSE STRUT FAILED TO EXTEND BEFORE RETRACTION. IT CAUGHT ON AIRPLANE STRUCTURE, BROKE THE BELLCRANK. COLLAPSED","<FLAT NOSE STRUT, CAUSE, BROKE THE BELLCRANK>
<FLAT NOSE STRUT, CAUSE, COLLAPSED>"
19980508008619A,LOST POWER ENROUTE. NOSED OVER LANDING ON A SLOPE. NO EVIDENCE OF FUEL AT SCENE. FAILED TO VISUALLY CHECK FUEL.. (.,"<LOST POWER, EVENT DISTANCE, ENROUTE>
<NOSED OVER LANDING, LOCATION, SLOPE>
<NO EVIDENCE OF FUEL, LOCATION, SCENE>"
19940818022409A,LOST LEFT ENGINE NEAR H71. FEATHERED. HIGH . BEGAN GO AROUND BELOW VMC. CRASHED. BAD OIL LEAK. CRACKED ENGINE CASE.,"<LAST CONTROL, LOCATION, H71>
<CRASH, FOLLOWED BY, BAD OIL LEAK>
<CRASH, FOLLOWED BY, CRACKED ENGINE CASE>"
19920405008919A,"ATTEMPTED TAKEOFF FROM 2500 FT SOD STRIP.GUSTY NORTH WIND,HIT TREES OFF END OF STRIP CRASHED.                      ","<ATTEMPTED TAKEOFF, LOCATION, 2500 FT SOD STRIP>
<ATTEMPTED TAKEOFF, EVENT DISTANCE, HITTED TREES OFF END OF STRIP>
<ATTEMPTED TAKEOFF, HAS CAUSE, GUSTY NORTH WIND>
<ATTEMPTED TAKEOFF, EVENT DISTANCE, CRASHED>"
19840821046409A,CRASH OCCURRED DURING FORCED LANDING AFTER ENGINE FAILURE DURING TAKEOFF. AIRCRAFT HAD NOT HAD ANNUAL INSPECTION.  ,"<CRASH, FOLLOWED BY, FORCED LANDING>
<CRASH, FOLLOWED BY, ENGINE FAILURE>
<CRASH, FOLLOWED BY, AFTER TAKEOFF>
<CRASH, CAUSED BY, NOT HAD ANNUAL INSPECTION>"
19950216008379I,"NARRATIVE: THE PILOT OF CESSNA 207, N1549U STATED THAT AFTER TAKEOFF FROM THE BETHEL AIRPORT, THE ENGINE STOPPED RU","<N1549U, PILOT, CESSNA 207>
<N1549U, LOCATION, BETHEL AIRPORT>
<N1549U, EVENT DISTANCE, AFTER TAKEOFF>"
19850525020799A,TOUCHED DOWN LONG AND BOUNCED. ATTEMPTED DOWNWIND GO AROUND WITH FULL FLAPS. STRUCK TREE 3 MILES FROM AIRPORT.     ,"<TOUCHED DOWN LONG, ATTEMPTED DOWNWIND GO AROUND, STRUCK A TREE>
<ATTEMPTED DOWNWIND GO AROUND, LOCATION, 3 MILES FROM AIRPORT>"
19861114075329I,ENTERED TCA WITHOUT ATC COMMUNICATION. PILOT WAS AWARE OF MALFUNCTIONING ENCODING ALTIMETER.                       ,"<ENTERED TCA, FOLLOWED BY, MALFUNCTIONING ENCODING ALTIMETER>"
20010421009329I,"(-23)AIRCRAFT WAS IN CRUISE FLIGHT, THERE WAS A RPM LOSS AND PILOT COULD NOT MAINTAIN ALTITUDE. PILOT MADE AN EMERG",
19960524045629A,NOSE BAGGAGE DOOR OPENED ON TAKEOFF. BAGGAGE HIT LEFT PROP. GOT BELWO UMC. LANDED ON SEA ICE. WILL FLY DOOR OPEN.  ,"<BAGGAGE DOOR, EVENT DISTANCE, AFTER TAKEOFF>
<BAGGAGE, HAS CAUSE, HIT LEFT PROP>
<BELWO UMC, FOLLOWED BY, LANDED ON SEA ICE>
<LANDED ON SEA ICE, LOCATION, SEA ICE>
<DOOR, HAS EFFECT, WILL FLY>"
19871211075169A,ROUGH ENGINE ON CLIMBOUT. LANDED ON CITY STREET. SPARK PLUGS OUT OF TOLERENCE. FOUND PRIMER UNLOCKED.              ,"<ROUTINE ENGINE, CONDITION, ROUNDED>
<ROUTINE ENGINE, LOCATION, CITY STREET>
<ROUTINE ENGINE, ISSUE, SPARK PLUGS OUT OF TOLERANCE>
<ROUTINE ENGINE, CONDITION, PRIMER UNLOCKED>"
20010910029739I,"(-23) DURING TAXI OUT, CFI NOTICED NOSE LANDING GEAR GREEN LIGHT WAS OUT. SHE ATTEMPTED TO SWAP LIGHTS TO VERIFY TH",
19871027060859A,"ELECTRIC POWER LOST ON IFR DUAL FLIGHT. STRUCK POWER POLE ON FORCED LANDING, FOUND CIRCUIT BREAKER OFF. PILOT ERROR","<PICTOR, HAS CAUSE, PILOT ERROR>
<PICTOR, EVENT DISTANCE, FORCED LANDING>
<PICTOR, HAS CAUSE, ELECTRIC POWER LOST>
<PICTOR, HAS CAUSE, STRUCK POWER POLE>
<PICTOR, HAS CAUSE, CIRCUIT BREAKER OFF>"
19980616023109I,LOUD BANG AND SHUDDER ENROUTE. SAW SPARKS AT ROTOR. RETURNED. ENGINE COWLING SEPERATED. COWL NOT FASTENED.         ,"<ENGINE COWLING SEPERATED, HAS CAUSE, LOUD BANG AND SHUDDER ENROUTE>
<ENGINE COWLING SEPERATED, HAS CAUSE, SPARKS AT ROTOR>
<ENGINE COWLING SEPERATED, HAS CAUSE, COWL NOT FASTENED>"
19910710026989A,REPORTED PROBLEM ON CLIMBOUT. STALLED AND CRASHED. NO LOCKING PINS IN SEAT TRACK. SEAT PIN BENT. BELT NOT FASTENED ,"<CLIMBOUT, REPORTED PROBLEM, STALLED AND CRASHED>
<CLIMBOUT, HAS CAUSE, NO LOCKING PINS IN SEAT TRACK>
<CLIMBOUT, HAS CAUSE, SEAT PIN BENT>
<CLIMBOUT, HAS CAUSE, BELT NOT FASTENED>"
19780509032859I,FORCED LANDING AFTER POWER LOSS. FOUND WATER IN FUEL.                                                              ,"<FORCED LANDING, CAUSE, POWER LOSS>
<FORCED LANDING, EFFECT, FOUND WATER IN FUEL>"
19800506012169A,LOST CONTROL OF AIRPLANE ON TAKEOFF ROLL. FAILED TO REMOVE AILERON-ELEVATOR LOCK PIN.                              ,"<LAST CONTROL, FOLLOWED BY, LOST CONTROL OF AIRPLANE ON TAKEOFF ROLL>
<LAST CONTROL, FOLLOWED BY, FAILED TO REMOVE AILERON-ELEVATOR LOCK PIN>"
19791128035159A,"PILOT LANDED TO WAIT OUT RAIN SHOWER. ON CLIMBOUT, ENGINE RAN ROUGH. PILOT LANDED IN FIELD. CLAIMS WATER IN FUEL.  ","<PILOT, EVENT DISTANCE, LANDED TO WAIT OUT RAIN SHOWER>
<PILOT, EVENT DISTANCE, CLIMBOUT>
<PILOT, EVENT DISTANCE, LANDED IN FIELD>
<PILOT, HAS CAUSE, WATER IN FUEL>"
20060621012279A,"(-23) THE PILOT ^PRIVACY DA^ STATED THAT DURING TAKEOFF (AT ROTATION) HIS SEAT SLID BACK, CAUSING HIM TO OVERROTATE","<AT ROTATION, FOLLOWED BY, SEAT SLID BACK>
<SEAT SLID BACK, HAS CAUSE, OVERROTATE>
<AT ROTATION, EVENT DISTANCE, AFTER TAKEOFF>"
19950314029269I,"NARRATIVE: ON MARCH 14, 1995, N7016M, AN AMATEUR BUILT AIRCRAFT, MADE AN EMERGENCY OFF AIRPORT LANDING NEAR THE BLO",
19800804037399A,EARLY FUEL EXHAUSTION FROM FUEL SIPHONING FROM IMPROPERLY SECURED VENT CAP. OVERSHOT EMERGENCY LANDING AREA.       ,"<FUEL EXHAUSTION, CAUSE, IMPROPERLY SECURED VENT CAP>
<FUEL EXHAUSTION, EFFECT, OVERSHOT EMERGENCY LANDING AREA>"
19780402008409I,TAXIING AIRCRAFT STRUCK PARKED AIRCRAFT. FOUND WORN OUT & INEFFECTIVE BRAKES AS CAUSE.                             ,"<TAXIING AIRCRAFT, HAS CAUSE, WORN OUT & INEFFECTIVE BRAKES>"
19890725041869I,ON ENGINE START PILOTS SEAT WENT TO FULL AFT POSITION. PUSH THROTTLE IN FULL. AIRCRAFT COLLIDED WITH PARKED PLANE. ,"<ENGINE START, FOLLOWED BY, PILOTS SEAT WENT TO FULL AFT POSITION>
<ENGINE START, FOLLOWED BY, PUSH THROTTLE IN FULL>
<ENGINE START, FOLLOWED BY, AIRCRAFT COLLIDED WITH PARKED PLANE>"
19911222062669I,AFTER LIFTOFF PILOT NOTICED RIGHT FUEL CAP MISSING. ABORTED. LANDED ON SAME RUNWAY. RAN OFF SIDE OF RUNWAY.        ,"<ABORTED TAKEOFF, FOLLOWED BY, AFTER LIFTOFF>
<ABORTED TAKEOFF, FOLLOWED BY, LANDED ON SAME RUNWAY>
<ABORTED TAKEOFF, FOLLOWED BY, RAN OFF SIDE OF RUNWAY>"
20030607012509A,"(-23) THE AIRCRAFT DEPARTED BARTLESVILLE MUNICIPAL AIRPORT (BVO) BARTLESVILLE, OK AT 1147 AM LOCAL TIME FOR A LOCAL","<(-23) AIRCRAFT, LOCATION, BARTLESVILLE MUNICIPAL AIRPORT (BVO)>
<(-23) AIRCRAFT, EVENT DISTANCE, 1147 AM LOCAL TIME>"
19801005072789I,PILOT RAN OFF END OF RUNWAY WHEN REMAINING BRAKE FAILED.                                                           ,"<PILOT, EVENT DISTANCE, REMAINING BRAKE FAILED>
<PILOT, USED BY, RUNWAY>"
19781210024199I,WHEELS LOCKED UP AFTER SEVERAL TOUCH AND GO LANDINGS DUE TO SNOW PACKED IN THE WHEEL PANTS.                        ,"<WHEELS, HAS EFFECT, SNOW PACKED IN THE WHEEL PANTS>"
19950804028629A,LOST POWER LANDED HARD IN ROUGH WATER. DAMAGED FLOATS AND LONGERON. WATER IN FUEL. MISREAD WATER IN SUMP TO BE FUEL,"<LANDED HARD, CAUSE, LOST POWER>
<LANDED HARD, CAUSE, WATER IN FUEL>
<LANDED HARD, CAUSE, MISREAD WATER IN SUMP TO BE FUEL>"
20040304003309I,"(-23) AFTER NORMAL TOUCHDOWN THE AIRCRAFT STARTED SLIDING OR HYDROPLANING TOWARD LEFT SIDE OF RUNWAY, AIRCRAFT STRU","<AFTER NORMAL TOUCHDOWN, EVENT, AIRCRAFT STARTED SLIDING OR HYDROPLANING TOWARD LEFT SIDE OF RUNWAY>"
19780427013859I,ENGINE COWLING SEPARATED FROM ENGINE IN FLIGHT.                                                                    ,"<ENGINE COWLING, PART OF, ENGINE>"
20070202001609A,"(-23) ON A FLIGHT FROM NOTH PLATTE, NE, TO IOWA CITY, IA, (487 STATUTE MILES) THE AIRCRAFT LOST POWER NEAR GRINNELL","<FLIGHT, LOCATION, NOTH PLATTE, NE>
<FLIGHT, LOCATION, IOWA CITY, IA>
<FLIGHT, DISTANCE, 487 STATUTE MILES>
<FLIGHT, EVENT DISTANCE, NEAR GRINNELL>
<FLIGHT, HAS CAUSE, LOST POWER>"
19780916024019A,TIE DOWN STRAP ACROSS LEFT SKID CAUGHT ON TRAILER AND TETHERED HEPER.                                              ,"<TIE DOWN STRAP, USED BY, LEFT SKID>
<TIE DOWN STRAP, USED BY, TRAILER>
<TIE DOWN STRAP, USED BY, HEPER>"
20060718018299I,(-23) THE PILOT IN COMMAND (PIC) FAILED TO ENSURE ALL FUEL TANK CAPS WERE SECURELY FASTENED PRIOR TO DEPARTURE. SUB,"<THE PILOT IN COMMAND (PIC), HAS CAUSE, FAILED TO ENSURE ALL FUEL TANK CAPS WERE SECURELY FASTENED PRIOR TO DEPARTURE>"
20040925025079A,(-23) FUEL CONTAMINATION IN AIRFRAME FUEL FILTER AS WELL AS IN FUEL FILTER AND ENGINE DRIVEN FUEL PUMP FILTER. THE ,"<FUEL CONTAMINATION IN AIRFRAME FUEL FILTER, IN FUEL FILTER, IN ENGINE DRIVEN FUEL PUMP FILTER>"
19961027033759A,PRIOR DEMO FLIGHT. CONNECTING ROD BENT BY HYDRO LOCK IN NR5 CYL ON STARTUP. BROKE. HIT COUNTER WT. BROKE PORP SHAFT,"<PRIOR DEMO FLIGHT, EVENT DISTANCE, CONNECTING ROD BENT BY HYDRO LOCK IN NR5 CYL ON STARTUP>
<CONNECTING ROD, HAS CAUSE, BROKE>
<BROKE, HAS CAUSE, HIT COUNTER WT.>
<BROKE, HAS CAUSE, BROKE PORP SHAFT>"
19870309039779I,"WHILE TAXIING, THE AIRCRAFT STRUCK N106DA WHICH WAS PARKED.  PILOT WAS UNAWARE OF BRAKE PROBLEMS ON THE AIRCRAFT.  ","<AIRCRAFT, STRUCK, N106DA>
<AIRCRAFT, TIME PERIOD, TAXIING>
<PILOT, UNAWARE OF, BRAKE PROBLEMS ON THE AIRCRAFT>"
20020619014309A,"(-23) N759TY, CE-182 WAS EN ROUTE FROM HOT SPRINGS, ARKANSAS TO FAYETTEVILLE, TENNESSEE, WHEN THE AIRCRAFT ENGINE Q",
