id,sample,entities_predicted,qids_predicted
19820725041999I,"LOOSE COWLING ON TAKEOFF. COWLING CAME OFF ON RETURNING TO LAND. CRACKED WINDSHIELD, DENTED STABILIZER.","['TAKEOFF', 'WINDSHIELD']","['Q854248', 'Q1051153']"
19940412011509I,AIRCRAFT POPPED OPEN ON DESCENT. FLIGHT MANUAL FLEW OUT AND STRUCK TRUCK WINDSHIELD ON GROUND. LANDED SAFELY.,['AIRCRAFT'],['Q1153']
19971226042729I,NR2 ENGINE FIRE WHILE LOADING PASSENGERS AT GATE. EVACUATED. FUEL LEVER WAS IN FLIGHT IDLE. CUT OFF. SMOKE CLEARED.,"['Entity: ENGINE', 'ENGINE FIRE']","['Q1', 'Q1125095']"
19950619021589I,AFTER DEPARTING HIGH OIL TEMP. LANDED OFF AIRPOR. SHEARED MAIN GEAR. FOUND LOW ON OIL.,['AIRPORT'],['Q339']
19940815046149I,BATTERY COMPARTMENT DOOR CAME OPEN. ANTENNA CRACKED WINDSHIELD.,"['DOOR', 'ANTENNA']","['Q11096', 'Q180373']"
19860228038269I,RETURNED WHEN NOSE GEAR FAILED TO RETRACT. FOUND THAT PIN HAD NOT BEEN REMOVED AFTER PREVIOUS MAINTENANCE.,"['NOSE GEAR', 'PIN']","['Q1243249', 'Q12352']"
19790718019229I,GROUND STAND BAGGAGE CART WITH INOPERATIVE BRAKES ROLLED INTO SIDE OF PARKED AIRCRAFT. 9 INCH TEAR IN FUSELAGE.,"['BAGGAGE CART', 'FUSELAGE', 'AIRCRAFT']","['Q15923523', 'Q1', 'Q11436']"
20000625032189I,(-23)NORTHWEST AIRLINES DC-10 BOEING PUSHED BACK FOR REPOSITIONING OFF OF GATE B-52 STRUCK A CONTINENTAL AIRLINES D,"['NORTHWEST AIRLINES', 'DC-10', 'BOEING', 'DC-10', 'GATE 52', 'CONTINENTAL AIRLINES']","['Q1354195', 'Q1130947', 'Q62', 'Q1130947', 'Q1122345', 'Q1144343']"
19860530030499A,ENGINE OVERHEAT. HOT OIL SMELL.KNEW HE HAD FAILED TO REMOVE AIR INTAKE PLUGS. NOSED OVER IN FURROWS PLOWED FAILED,"['ENGINE', 'AIR INTAKE']","['Q1', 'Q17351142']"
19821117066379I,PILOT UNABLE TO PRESSURIZE. FOUND ACCESS DOOR SLIGHTLY OPEN. DEPRESSURIZED. DOOR OPENED FULLY. STOPPED BY FUSELAGE.,"['PILOT', 'FUSELAGE']","['Q209', 'Q1636']"
19810303007119A,VEERED OFF RUNWAY ON LANDING. HIT PARKED AIRPLANE. NEWLY INSTALLED CARPETING RESTRICTED RUDDER PEDAL MOVEMENT.,"['RUNWAY', 'AIRPLANE']","['Q17671', 'Q17890']"
19950602032329I,VEERED OFF TAXIWAY. STRUCK TAXIWAY LIGHT. WAS ADVISED DAMAGED PROP. CONTINUED TO LIT.,"['TAXIWAY', 'LIGHT', 'TAXIWAY LIGHT']","['Q3', 'Q7', 'Q3']"
19901101064289I,FUEL CAP MISSING FROM RIGHT TANK AND GAS ESCAPING WHILE TAXIING. REPLACED CAP. RESUMED FLIGHT WITHOUT CLEANING WING,"['TAXIING', 'FLIGHT']","['Q854248', 'Q11436']"
20050713014239I,"(-23) ON JULY 13, 2005, AT 1535 MST, AN RAYTHEON AIRCRAFT CO. B36TC (BONANZA), N3042V REGISTERED TO HAVENS LEASING","['RAYTHEON AIRCRAFT CO.', 'B36TC', 'HAVENS LEASING', 'BONANZA']","['Q1131496', 'Q2842345', 'Q1174938', 'Q2842336']"
19860706034879A,THE ENGINE LOST POWER ON TAKEOFF AND THE AIRCRAFT FLIPPED ON LANDING.PILOT HAD JUST FILLED TANKS. WATER IN FUEL.,"['ENGINE', 'TAKEOFF', 'AIRCRAFT', 'PILOT']","['Q1', 'Q854248', 'Q214417', 'Q20867']"
19840121015319I,ENGINE FAILED AFTER TAKEOFF. TRIED TO MAKE A ROAD BUT DRIFTED OFF THE EDGE. FOUND SOLID ICE IN CARBURETOR BOWL.,"['ENGINE', 'TAKEOFF', 'ROAD', 'CARBURETOR']","['Q1', 'Q854248', 'Q11743', 'Q17976']"
19950527014439A,LOST CONTROL ON CLIMBOUT AFTER TOW RELEASE. ROLLED BOTH WAYS. SPIRAL TO IMPACT. NEGLECTED TO CONNECT RIGHT AILERON.,"['TOW RELEASE', 'SPIRAL TO IMPACT', 'AILERON']","['Q1111154', 'Q1111154', 'Q127456']"
19960322013629I,NARRATIVE: THE AIRCRAFT WAS BEING FERRIED FOR MAINTENANCE. THE GEAR BLOCKED DOWN AND THE NOSE BLOCK FELL OUT DURING,"['AIRCRAFT', 'GEAR']","['Q1', 'Q1274805']"
19960504009509A,FAILED TO DETACH TRAILER TIE DOWN FROM SKID. LOST CONTROL AND ROLLED ON LIFT OFF. (-23) PILOT FAILED TO FULLY DETAC,"['SKID', 'PILOT', 'LIFT OFF']","['Q1015238', 'Q5', 'Q854248']"
19790211002709A,AIRCRAFT FAILED TO LIFTOFF RUNWAY. RAN OFF END INTO SNOW BANK. FROST ON AIRFRAME.,"['AIRCRAFT', 'RUNWAY']","['Q11436', 'Q10995']"
19850418016709I,ENGINE POWER FAILURE WHILE DOING AEROBATICS. LANDED IN FIELD. PILOT DID NOT VISUALLY INSPECT FUEL TANKS.,"['ENGINE', 'AEROBATICS', 'PILOT']","['Q1', 'Q158589', 'Q37996']"
19780913017419I,ABORTED TAKEOFF WHEN FRONT BAGGAGE DOOR POPPED OPEN.,"['TAKEOFF', 'DOOR']","['Q854248', 'Q13496']"
19781113027039I,PILOT TAXIED INTO UNMARKED DITCH AT END OF TAXIWAY.,"['PILOT', 'TAXIWAY', 'DITCH']","['Q10841', 'Q1731425', 'Q1716214']"
19870606018859A,UNABLE TO STAY AIRBORNE ON TAKEOFF. ABORTED AND GROUND LOOPED INTO A TREE TO AVOID OVERRUN. MAG SWITCH ON ONE MAG.,"['TAKEOFF', 'MAG']","['Q854248', 'Q14496']"
19990714022959I,(-23) ACCORDING TO THE PILOT HE DEPARTED FRONT RANGE AIRPORT DURING THE HOURS OF DARKNESS. DURING THE START AND RUN,['Front Range Airport'],['Q1275119']
19870319012959I,NOSE GEAR WOULD NOT RETRACT AFTER TAKEOFF. RETURNED AND FOUND PIN WAS INSTALLED.,"['NOSE GEAR', 'TAKEOFF', 'PIN']","['Q1078441', 'Q854248', 'Q123333']"
20050504010229A,"(-23) A SIKORSKY S-70A, N160LA, ENCOUNTERED A VIBRATION AFTER THE APU DOOR STRUCK A MAIN ROTOR BLADE INFLIGHT NEAR","['SIKORSKY', 'N160LA', 'APU', 'ROTOR BLADE', 'SIKORSKY']","['Q106593', 'Q11436', 'Q116844', 'Q1171423', 'Q106593']"
20050429009279I,(-23) THE PILOT WAS TAXIING THE AIRCRAFT TO PARKING FOLLOWING A CARGO TRIP. UPON REACHING A POINT WHERE THE TAXIWAY,"['PILOT', 'AIRCRAFT', 'PARKING', 'TAXIWAY']","['Q3350', 'Q1', 'Q1424926', 'Q1815162']"
19890723054159I,AFTER LANDING IT WAS DETERMINED THERE WAS INSUFFICIENT NUMBER OF SEATS AND OXYGEN MASKS FOR PASSENGERS ONBOARD.,"['LANDING', 'SEATS', 'PASSENGERS']","['Q11435', 'Q11165', 'Q144776']"
19970523014439I,NARRATIVE: THE CARGO DOOR WAS LATCHED BEFORE TAKEOFF BY MR. BOWEN. RUNWAY CONDITIONS AT STEVEN'S VILLAGE WAS EXTREM,['TAKEOFF'],['Q854248']
19970908038069A,TIRED TAXI WITH TIEDOWN CHAINS ATTACHE. ROLLED OVER. PILOT FAILED NOTE RAMP PERSON TIED SKIDS DUE HIGH WIND.,"['TAXI', 'CHAINS', 'PILOT', 'WIND']","['Q17452', 'Q1304199', 'Q846447', 'Q1312']"
19781108022239I,BAGGAGE CART WAS BLOWN INTO PARKED AIRCRAFT BY JET BLAST. BRAKES WERE INOPERATIVE ON CART.,"['GROUND EQUIPMENT', 'AIRCRAFT', 'ENGINE']","['Q10814519', 'Q11436', 'Q1']"
19760606015529A,SUFFICIENT OPPORTUNITY EXISTED TO RELEASE WHEN GLIDER ASSUMED NOSE HIGH ATTITUDE.,['GLIDER'],['Q10911']
20051009024969I,(-23) ^PRIVACY DATA OMITTED^ HELICOPTER ENGINE POWER CHECKS WERE BEING CONDUCTED BY PILOT AND ONE CREWMEMBER. DURIN,"['HELICOPTER', 'ENGINE', 'PILOT']","['Q15588', 'Q1', 'Q5']"
19930530020029I,PILOT LOST CONTROL OF AIRCRAFT ON TAKEOFF ROLL. PILOTS SEAT WAS NOT LOCKED IN POSITION AND SLID AFT ON ACCELARATION,"['PILOT', 'AIRCRAFT', 'SEAT']","['Q5', 'Q284026', 'Q14497']"
19801230089799I,"FLAT NOSE STRUT FAILED TO EXTEND BEFORE RETRACTION. IT CAUGHT ON AIRPLANE STRUCTURE, BROKE THE BELLCRANK. COLLAPSED","['NOSE STRUT', 'BELLCRANK']","['Q1096953', 'Q1085555']"
19980508008619A,LOST POWER ENROUTE. NOSED OVER LANDING ON A SLOPE. NO EVIDENCE OF FUEL AT SCENE. FAILED TO VISUALLY CHECK FUEL.. (.,"['POWER', 'ENROUTE', 'SLOPE', 'FUEL', 'SCENE']","['Q123', 'Q1754860', 'Q184779', 'Q83', 'Q1566954']"
19940818022409A,LOST LEFT ENGINE NEAR H71. FEATHERED. HIGH . BEGAN GO AROUND BELOW VMC. CRASHED. BAD OIL LEAK. CRACKED ENGINE CASE.,"['LEFT ENGINE', 'VMC', 'OIL']","['Q1', 'Q1128769', 'Q10149']"
19920405008919A,"ATTEMPTED TAKEOFF FROM 2500 FT SOD STRIP.GUSTY NORTH WIND,HIT TREES OFF END OF STRIP CRASHED.","['TREES', 'STRIP']","['Q1', 'Q1']"
19840821046409A,CRASH OCCURRED DURING FORCED LANDING AFTER ENGINE FAILURE DURING TAKEOFF. AIRCRAFT HAD NOT HAD ANNUAL INSPECTION.,"['CRASH', 'FORCED LANDING', 'ENGINE', 'TAKEOFF', 'AIRCRAFT']","['Q11769', 'Q11577', 'Q1', 'Q854248', 'Q11436']"
19950216008379I,"NARRATIVE: THE PILOT OF CESSNA 207, N1549U STATED THAT AFTER TAKEOFF FROM THE BETHEL AIRPORT, THE ENGINE STOPPED RU","['CESSNA 207', 'N1549U', 'TAKEOFF', 'ENGINE', 'BETHEL AIRPORT']","['Q156955', 'Q10844743', 'Q854248', 'Q1', 'Q2684342']"
19850525020799A,TOUCHED DOWN LONG AND BOUNCED. ATTEMPTED DOWNWIND GO AROUND WITH FULL FLAPS. STRUCK TREE 3 MILES FROM AIRPORT.,"['TREE', 'AIRPORT']","['Q5', 'Q39884']"
19861114075329I,ENTERED TCA WITHOUT ATC COMMUNICATION. PILOT WAS AWARE OF MALFUNCTIONING ENCODING ALTIMETER.,"['TCA', 'ATC', 'ALTIMETER']","['Q835441', 'Q850281', 'Q778744']"
20010421009329I,"(-23)AIRCRAFT WAS IN CRUISE FLIGHT, THERE WAS A RPM LOSS AND PILOT COULD NOT MAINTAIN ALTITUDE. PILOT MADE AN EMERG","['AIRCRAFT', 'PILOT']","['Q11436', 'Q5']"
19960524045629A,NOSE BAGGAGE DOOR OPENED ON TAKEOFF. BAGGAGE HIT LEFT PROP. GOT BELWO UMC. LANDED ON SEA ICE. WILL FLY DOOR OPEN.,"['NOSE', 'BAGGAGE', 'PROP', 'TAKEOFF', 'SEA ICE']","['Q10804', 'Q12111', 'Q2', 'Q854248', 'Q10805']"
19871211075169A,ROUGH ENGINE ON CLIMBOUT. LANDED ON CITY STREET. SPARK PLUGS OUT OF TOLERENCE. FOUND PRIMER UNLOCKED.,"['ENGINE', 'CITY STREET', 'SPARK PLUGS']","['Q1', 'Q27596', 'Q1']"
20010910029739I,"(-23) DURING TAXI OUT, CFI NOTICED NOSE LANDING GEAR GREEN LIGHT WAS OUT. SHE ATTEMPTED TO SWAP LIGHTS TO VERIFY TH",['CFI'],['Q5']
19871027060859A,"ELECTRIC POWER LOST ON IFR DUAL FLIGHT. STRUCK POWER POLE ON FORCED LANDING, FOUND CIRCUIT BREAKER OFF. PILOT ERROR","['CIRCUIT BREAKER', 'IFR (IFR stands for Instrument Flight Rules)']","['Q1151347', 'Q1172943']"
19980616023109I,LOUD BANG AND SHUDDER ENROUTE. SAW SPARKS AT ROTOR. RETURNED. ENGINE COWLING SEPERATED. COWL NOT FASTENED.,"['ROTOR', 'ENROUTE', 'ENGINE']","['Q168072', 'Q1185097', 'Q1']"
19910710026989A,REPORTED PROBLEM ON CLIMBOUT. STALLED AND CRASHED. NO LOCKING PINS IN SEAT TRACK. SEAT PIN BENT. BELT NOT FASTENED,"['PROBLEM', 'LOCKING PINS', 'BELT']","['Q101', 'Q1061341', 'Q1138']"
19780509032859I,FORCED LANDING AFTER POWER LOSS. FOUND WATER IN FUEL.,"['FORCED LANDING', 'POWER', 'WATER', 'FUEL']","['Q1035237', 'Q83', 'Q3', 'Q1229']"
19800506012169A,LOST CONTROL OF AIRPLANE ON TAKEOFF ROLL. FAILED TO REMOVE AILERON-ELEVATOR LOCK PIN.,"['AIRPLANE', 'TAKEOFF ROLL', 'AIRPLANE', 'TAKEOFF ROLL']","['Q1133', 'Q854248', 'Q1133', 'Q854248']"
19791128035159A,"PILOT LANDED TO WAIT OUT RAIN SHOWER. ON CLIMBOUT, ENGINE RAN ROUGH. PILOT LANDED IN FIELD. CLAIMS WATER IN FUEL.","['PILOT', 'ENGINE', 'WATER']","['Q1', 'Q1', 'Q5']"
20060621012279A,"(-23) THE PILOT ^PRIVACY DA^ STATED THAT DURING TAKEOFF (AT ROTATION) HIS SEAT SLID BACK, CAUSING HIM TO OVERROTATE","['PILOT', 'TAKEOFF']","['Q1137', 'Q854248']"
19950314029269I,"NARRATIVE: ON MARCH 14, 1995, N7016M, AN AMATEUR BUILT AIRCRAFT, MADE AN EMERGENCY OFF AIRPORT LANDING NEAR THE BLO","['MARCH', '14', 'Aircraft', 'Airplane', 'Aircraft,', 'Emergency landing', 'Forced landing']","['Q10162', 'Q10556', 'Q11436', 'Q15391', 'Q11436', 'Q1082345', 'Q1554544']"
19800804037399A,EARLY FUEL EXHAUSTION FROM FUEL SIPHONING FROM IMPROPERLY SECURED VENT CAP. OVERSHOT EMERGENCY LANDING AREA.,"['FUEL EXHAUSTION', 'EMERGENCY LANDING AREA']","['Q1091348', 'Q168646']"
19780402008409I,TAXIING AIRCRAFT STRUCK PARKED AIRCRAFT. FOUND WORN OUT & INEFFECTIVE BRAKES AS CAUSE.,"['TAXIING', 'AIRCRAFT', 'BRAKES']","['Q854248', 'Q11436', 'Q835']"
19890725041869I,ON ENGINE START PILOTS SEAT WENT TO FULL AFT POSITION. PUSH THROTTLE IN FULL. AIRCRAFT COLLIDED WITH PARKED PLANE.,"['ENGINE', 'PILOTS SEAT', 'SEAT', 'AIRCRAFT', 'AIRPLANE', 'ENGINE', 'SEAT', 'AIRCRAFT']","['Q1', 'Q15928151', 'Q124', 'Q11436', 'Q11436', 'Q1', 'Q124', 'Q11436']"
19911222062669I,AFTER LIFTOFF PILOT NOTICED RIGHT FUEL CAP MISSING. ABORTED. LANDED ON SAME RUNWAY. RAN OFF SIDE OF RUNWAY.,"['LIFTOFF', 'PILOT', 'RUNWAY', 'LIFTOFF', 'PILOT', 'FUEL CAP', 'RUNWAY']","['Q17478', 'Q5', 'Q155', 'Q17478', 'Q5', 'Q1013214', 'Q155']"
20030607012509A,"(-23) THE AIRCRAFT DEPARTED BARTLESVILLE MUNICIPAL AIRPORT (BVO) BARTLESVILLE, OK AT 1147 AM LOCAL TIME FOR A LOCAL","['BARTLESVILLE MUNICIPAL AIRPORT', 'BARTLESVILLE']","['Q2874475', 'Q184419']"
19801005072789I,PILOT RAN OFF END OF RUNWAY WHEN REMAINING BRAKE FAILED.,"['PILOT', 'RUNWAY', 'BRAKE']","['Q5', 'Q1750262', 'Q83837']"
19781210024199I,WHEELS LOCKED UP AFTER SEVERAL TOUCH AND GO LANDINGS DUE TO SNOW PACKED IN THE WHEEL PANTS.,"['LANDINGS', 'SNOW']","['Q12357', 'Q12121']"
19950804028629A,LOST POWER LANDED HARD IN ROUGH WATER. DAMAGED FLOATS AND LONGERON. WATER IN FUEL. MISREAD WATER IN SUMP TO BE FUEL,"['FLOATS', 'LONGERON', 'WATER', 'FUEL']","['Q1092658', 'Q1748662', 'Q5', 'Q25343']"
20040304003309I,"(-23) AFTER NORMAL TOUCHDOWN THE AIRCRAFT STARTED SLIDING OR HYDROPLANING TOWARD LEFT SIDE OF RUNWAY, AIRCRAFT STRU",['AIRCRAFT'],['Q11436']
19780427013859I,ENGINE COWLING SEPARATED FROM ENGINE IN FLIGHT.,"['ENGINE', 'COWLING']","['Q1', 'Q11687632']"
20070202001609A,"(-23) ON A FLIGHT FROM NOTH PLATTE, NE, TO IOWA CITY, IA, (487 STATUTE MILES) THE AIRCRAFT LOST POWER NEAR GRINNELL","['NOTH PLATTE, NE', 'IOWA CITY, IA', 'GRINNELL']","['Q3081421', 'Q1786733', 'Q1761116']"
19780916024019A,TIE DOWN STRAP ACROSS LEFT SKID CAUGHT ON TRAILER AND TETHERED HEPER.,"['STRAP', 'SKID', 'TRAILER']","['Q1171151', 'Q1165146', 'Q1183985']"
20060718018299I,(-23) THE PILOT IN COMMAND (PIC) FAILED TO ENSURE ALL FUEL TANK CAPS WERE SECURELY FASTENED PRIOR TO DEPARTURE. SUB,"['PILOT', 'COMMAND (note: this is a general term, not specific to aviation)', 'FUEL TANK CAPS', 'DEPARTURE']","['Q5', 'Q12194', 'Q12355', 'Q784']"
20040925025079A,(-23) FUEL CONTAMINATION IN AIRFRAME FUEL FILTER AS WELL AS IN FUEL FILTER AND ENGINE DRIVEN FUEL PUMP FILTER. THE,"['FUEL', 'FILTER', 'AIRFRAME', 'ENGINE']","['Q11434', 'Q1786850', 'Q1768767', 'Q1']"
19961027033759A,PRIOR DEMO FLIGHT. CONNECTING ROD BENT BY HYDRO LOCK IN NR5 CYL ON STARTUP. BROKE. HIT COUNTER WT. BROKE PORP SHAFT,"['PRIOR', 'CONNECTING ROD']","['Q11192', 'Q11192']"
19870309039779I,"WHILE TAXIING, THE AIRCRAFT STRUCK N106DA WHICH WAS PARKED. PILOT WAS UNAWARE OF BRAKE PROBLEMS ON THE AIRCRAFT.","['AIRCRAFT', 'PILOT']","['Q11436', 'Q5']"
20020619014309A,"(-23) N759TY, CE-182 WAS EN ROUTE FROM HOT SPRINGS, ARKANSAS TO FAYETTEVILLE, TENNESSEE, WHEN THE AIRCRAFT ENGINE Q","['HOT SPRINGS', 'FAYETTEVILLE']","['Q17364', 'Q17078']"
19951031041599A,ON CLIMBOUT NOSE BAGGAGE DOOR OPENED. REDUCED POWER. STALLED. ROLLED. DIVED INTO OCEAN. TEST FLIGHT FROM STORAGE.,"['NOSE', 'TEST FLIGHT', 'OCEAN']","['Q12467', 'Q1061428', 'Q4844']"
19850729066139I,ELEVATOR CONTROL JAMMED SHEN HARNESS CAUGHT ON ELEVATOR CABLE. STICK BOOT NOT FASTENED TO FLOOR. LANDED IN A FIELD.,"['ELEVATOR', 'FIELD']","['Q1294946', 'Q42359']"
19940226003029A,LOST POWER EN ROUTE. LANDED ON PRIVATE STRIP. NOSED OVER. LEFT FUEL CAP LEAKED. PREVENTED GRAVITY FUEL FLOW.,"['POWER', 'ROUTE', 'STRIP', 'GRAVITY']","['Q37976', 'Q335', 'Q215380', 'Q11403']"
19780111000459A,ACFT DISPATCHER HARRASSMENT OF PILOT. PILOT FORGOT TO REMOVE TIEDROPE.,"['ACFT', 'DISPATCHER', 'PILOT', 'TIEDROPE (I\'m assuming this is a typo for ""tied rope"")']","['Q11436', 'Q5236213', 'Q849419', 'Q107229158']"
20010411006739I,"(-23) THE HELICOPTER WAS IDLING ON THE HELIPAD, AND THE RPM CONTROL WAS BROUGHT UP TO FLY POSITION FOR THE TAKEOFF.","['HELICOPTER', 'HELIPAD', 'RPM', 'TAKEOFF']","['Q1', 'Q118774', 'Q1139265', 'Q854248']"
19870816062719I,"A COPPER TUBE, USED TO HOLD AERIAL BANNERS, FELL THROUGH THE ROOF OF A HOUSE. LOCAL OPERATOR IS BEING MONITORED.","['COPPER', 'TUBE', 'HOUSE']","['Q213785', 'Q13438', 'Q7834']"
19980620030289I,"MR. KADERA THEN ATTEMPTED TO LAND IN A FIELD BUT WAS FORCED TO LAND ON HIGHWAY 93. THREE MILES EAST OF SUNMER, IOWA",['HIGHWAY 93'],['Q560444']
19990923027739A,"(.19) ON SEPTEMBER 23, 1999, AT 1900 HOURS PACIFIC DAYLIGHT TIME, A HOMEBUILT CIERNIA GLASAIR III, N153JC, EXPERIEN","['September', '23', '1999', 'N153JC']","['Q192571', 'Q11530', 'Q1237', 'Q1206954']"
19980415037339I,(-5)NOSE BAGGAGE CARGO CONSISTING OF A WOODEN WHEEL CHOCK SHIFTED DURING FLIGHT AND JAMMED THE NOSE LANDING GEAR ME,"['FLIGHT', 'NOSE LANDING GEAR', 'FLIGHT', 'NOSE LANDING GEAR']","['Q1', 'Q11568', 'Q1', 'Q11568']"
19950826026019A,"EXPLOSION LIFTING LOGS. PITCHED UP, ROLLED. COMPRESSOR STALL NR1 ENGINE. FAILED RELEASE LOGS AND USE SE PROCEDURES.","['COMPRESSOR STALL', 'NR1 ENGINE']","['Q1061333', 'Q11436']"
20000215041409A,"(.19) ON FEBRUARY 19, 2000, AT 1825 EASTERN STANDARD TIME, A BEECH 1900D, N81SK, OPERATED AS SKYWAY AIRLINE FLIGHT","['BEECH 1900D', 'FEBRUARY 19', 'EASTERN STANDARD TIME', 'SKYWAY AIRLINE']","['Q7791444', 'Q14200', 'Q1316', 'Q2341235']"
19860514036219I,GROUND LOOPED ON LANDING. TAILWHEEL WAS FOUND JAMMED FAR RIGHT.,"['LANDING', 'TAILWHEEL']","['Q106528', 'Q108142']"
19880527016939A,ENGINE QUIT ON INITIAL CLIMBOUT. CRASH LANDED AVOIDING TREES. FOUND SELECTED FUEL TANK EMPTY. TRIP WAS TO GET FUEL.,"['ENGINE', 'CRASH']","['Q1', 'Q1436952']"
19960418007829A,CRASHED AND BURNED. (.4)WITNESSES REPORTED THAT AFTER DEPARTURE FROM A GRASS RUNWAY. THE AIRPLANE REACHED AN ALTITU,"['DEPARTURE', 'GRASS RUNWAY']","['Q168123', 'Q113695']"
19970828026989A,LOUD POP ON TAKEOFF ROLL. LOST RUDDER CONTROL. EXITED RWY INTO CORNFIELD. HAD FAILED TO LOCK THE TAILWHEEL. (-23) M,"['TAKEOFF', 'RWY (short for Runway)', 'TAILWHEEL']","['Q854248', 'Q1055635', 'Q1791439']"
19870523018729A,"CANOPY CAME OPEN ON CLIMBOUT CAUSING AN UNCONTROLLED GROUND COLLISION, NO DEFECTS REPORTED. APPEARS PILOT ERROR.","['CLIMBOUT', 'COLLISION', 'PILOT']","['Q11436', 'Q10938', 'Q333516']"
20030620012809I,(-23) PILOT FAILED TO ASSURE THE OIL FILLER CAP WAS SECURE AND TOOK OFF. OIL WAS OBSERVED COMING OUT OF THE ENGINE,"['PILOT', 'ENGINE', 'TAKEOFF']","['Q163111', 'Q1', 'Q854248']"
