existing_node,match,new_row,final_node,similarity
UP POSITION,DOWN POSITION,192,DOWN POSITION,1.0000001
WATER IN THE FUEL SYSTEM,WATER IN ALL OF THE FUEL SYSTEM,199,WATER IN ALL OF THE FUEL SYSTEM,1.0
BECAME AIRBORNE,AIRBORNE,207,AIRBORNE,1.0000001
WATER IN THE FUEL SYSTEM,WATER IN ALL OF THE FUEL SYSTEM,216,WATER IN ALL OF THE FUEL SYSTEM,1.0
TAKEOFF,AFTER TAKEOFF,220,AFTER TAKEOFF,1.0
TAKEOFF,AFTER TAKEOFF,225,AFTER TAKEOFF,1.0
WATER IN THE FUEL,WATER IN FUEL,226,WATER IN FUEL,1.0
TAKEOFF,AFTER TAKEOFF,226,AFTER TAKEOFF,1.0
TAKEOFF,AFTER TAKEOFF,227,AFTER TAKEOFF,1.0
TAKEOFF,AFTER TAKEOFF,230,AFTER TAKEOFF,1.0
RAN OFF SIDE OF RUNWAY,RAN OFF RUNWAY,230,RAN OFF RUNWAY,1.0000001
ROLL OUT,ROLL,231,ROLL,0.99999994
ENGINE QUIT,AFTER ENGINE QUIT,232,AFTER ENGINE QUIT,1.0000001
AFTER,,232,,1.0000001
WHEEL WELL,WHEEL,240,WHEEL,1.0
WHEEL WELL,WHEEL,240,WHEEL,1.0
DUE TO,,242,,1.0000001
LANDING,AFTER LANDING,253,AFTER LANDING,1.0
SIDE,,253,,1.0000001
ENGINE QUIT,AFTER ENGINE QUIT,254,AFTER ENGINE QUIT,1.0000001
LANDING,AFTER LANDING,256,AFTER LANDING,1.0
LANDING,AFTER LANDING,256,AFTER LANDING,1.0
TAKEOFF,AFTER TAKEOFF,257,AFTER TAKEOFF,1.0
ENGINE QUIT,AFTER ENGINE QUIT,257,AFTER ENGINE QUIT,1.0000001
LIFTOFF,AFTER LIFTOFF,261,AFTER LIFTOFF,1.0
LANDED ON THE AIRPORT,LANDED ON AIRPORT,262,LANDED ON AIRPORT,1.0
UP POSITION,DOWN POSITION,270,DOWN POSITION,1.0000001
TAKEOFF,AFTER TAKEOFF,270,AFTER TAKEOFF,1.0
WATER IN THE FUEL,WATER IN FUEL,272,WATER IN FUEL,1.0
WATER IN THE FUEL,WATER IN FUEL,272,WATER IN FUEL,1.0
TAKEOFF,AFTER TAKEOFF,277,AFTER TAKEOFF,1.0
GENERATOR CIRCUIT BREAKERS,BOTH GENERATOR CIRCUIT BREAKERS OUT,279,BOTH GENERATOR CIRCUIT BREAKERS OUT,1.0
ENGINE QUIT,AFTER ENGINE QUIT,282,AFTER ENGINE QUIT,1.0000001
ENGINE QUIT,AFTER ENGINE QUIT,283,AFTER ENGINE QUIT,1.0000001
BURNED OUT,BURNED,287,BURNED,1.0
 ,,289,,
TAKEOFF,AFTER TAKEOFF,302,AFTER TAKEOFF,1.0
FROST ON WINGS,FROST ON THE WINGS,303,FROST ON THE WINGS,1.0000001
TAKEOFF,AFTER TAKEOFF,307,AFTER TAKEOFF,1.0
WOULD NOT START,START,312,START,1.0
ENGINE QUIT,AFTER ENGINE QUIT,314,AFTER ENGINE QUIT,1.0000001
EMPTY,,317,,1.0000001
ENGINE QUIT,AFTER ENGINE QUIT,328,AFTER ENGINE QUIT,1.0000001
Nosed Over,NOSED OVER,333,NOSED OVER,1.0000001
TAKEOFF,AFTER TAKEOFF,339,AFTER TAKEOFF,1.0
TAKEOFF,AFTER TAKEOFF,340,AFTER TAKEOFF,1.0
TAKEOFF,AFTER TAKEOFF,343,AFTER TAKEOFF,1.0
TAKEOFF,AFTER TAKEOFF,344,AFTER TAKEOFF,1.0
LANDING,AFTER LANDING,344,AFTER LANDING,1.0
WATER IN THE FUEL,WATER IN FUEL,345,WATER IN FUEL,1.0
ENGINE QUIT,AFTER ENGINE QUIT,345,AFTER ENGINE QUIT,1.0000001
 ,,349,,
TOPPED TANKS,TOPPED HIS TANKS,354,TOPPED HIS TANKS,1.0000001
TOPPED TANKS,TOPPED HIS TANKS,354,TOPPED HIS TANKS,1.0000001
DURING CLIMB,CLIMB,354,CLIMB,1.0
COULD NOT SEE OUT,,355,,1.0000001
LANDING,AFTER LANDING,361,AFTER LANDING,1.0
TAKE OFF,,363,,1.0000001
TAKE OFF,,364,,1.0000001
Lost Control,LOST CONTROL,364,LOST CONTROL,1.0000001
TAKE OFF,,364,,1.0000001
Veered Off Runway,VEERED OFF RUNWAY,364,VEERED OFF RUNWAY,1.0
TAKE OFF,,364,,1.0000001
LIFTOFF,AFTER LIFTOFF,365,AFTER LIFTOFF,1.0
LANDING,AFTER LANDING,369,AFTER LANDING,1.0
ENGINE QUIT,AFTER ENGINE QUIT,374,AFTER ENGINE QUIT,1.0000001
ENGINE QUIT,AFTER ENGINE QUIT,374,AFTER ENGINE QUIT,1.0000001
TAKEOFF,AFTER TAKEOFF,374,AFTER TAKEOFF,1.0
LANDING,AFTER LANDING,377,AFTER LANDING,1.0
FLIPPED OVER,FLIPPED,378,FLIPPED,1.0000001
TAKEOFF,AFTER TAKEOFF,380,AFTER TAKEOFF,1.0
TAKE OFF ROLL,ROLL,381,ROLL,0.99999994
TAKE OFF ROLL,ROLL,381,ROLL,0.99999994
TAKE OFF ROLL,ROLL,381,ROLL,0.99999994
UP POSITION,DOWN POSITION,381,DOWN POSITION,1.0000001
TAKEOFF,AFTER TAKEOFF,382,AFTER TAKEOFF,1.0
TAKEOFF,AFTER TAKEOFF,382,AFTER TAKEOFF,1.0
TAKEOFF,AFTER TAKEOFF,382,AFTER TAKEOFF,1.0
LANDING,AFTER LANDING,383,AFTER LANDING,1.0
TAKEOFF,AFTER TAKEOFF,384,AFTER TAKEOFF,1.0
NOT IN THE FULL DOWN POSITION,DOWN POSITION,389,DOWN POSITION,1.0000001
LIFTOFF,AFTER LIFTOFF,393,AFTER LIFTOFF,1.0
FOUND WATER IN,FOUND WATER,393,FOUND WATER,1.0
TAKEOFF,AFTER TAKEOFF,395,AFTER TAKEOFF,1.0
TAKEOFF,AFTER TAKEOFF,396,AFTER TAKEOFF,1.0
OFF END RUNWAY,END OF RUNWAY,396,END OF RUNWAY,1.0000001
TAKEOFF,AFTER TAKEOFF,397,AFTER TAKEOFF,1.0
TOO RICH A MIXTURE,OVER RICH MIXTURE,399,OVER RICH MIXTURE,1.0000001
