c5_sources,node,count
19800217031649I;19820725041999I;19840121015319I;19840821046409A;19870606018859A;19960524045629A;19970523014439I;19991230042089A;20010411006739I;20060621012279A,TAKEOFF,12
19800217031649I,AFTER,1
19800217031649I;19801116083749I,ENGINE QUIT,2
19800217031649I,WING FUEL TANK SUMPS,2
19800217031649I,PREFLIGHT,1
19800217031649I,FROZEN,1
19800506012169A,LOST CONTROL OF AIRPLANE,1
19800506012169A,FAILED TO REMOVE AILERON-ELEVATOR LOCK PIN,1
19800804037399A,FUEL EXHAUSTION,3
19800804037399A,FUEL SIPHONING,1
19800804037399A,IMPROPERLY SECURED VENT CAP,1
19800804037399A,OVERSHOT EMERGENCY LANDING AREA,1
19801005072789I,END OF RUNWAY,1
19801005072789I,REMAINING BRAKE,1
19801005072789I,PILOT RAN OFF END OF RUNWAY,1
19801116083749I,ICE IN AUXILIARY FUEL SYSTEM,1
19801230089799I,FLAT NOSE STRUT,3
19801230089799I,BROKE THE BELLCRANK,1
19801230089799I,COLLAPSED,1
19801230089799I,AIRPLANE STRUCTURE,1
19810303007119A,VEERED OFF RUNWAY,1
19810303007119A,HITTED PARKED AIRPLANE,1
19820725041999I,LOOSE COWLING,4
19820725041999I,RETURNING TO LAND,1
19820725041999I,CRACKED WINDSHIELD,1
19820725041999I,DENTED STABILIZER,1
19821117066379I,UNABLE TO PRESSURIZE,1
19821117066379I,FOUND ACCESS DOOR SLIGHTLY OPEN,1
19821117066379I,DEPRESSURIZED,1
19821117066379I,DOOR OPENED FULLY,1
19821117066379I,STOPPED BY FUSELAGE,1
19840121015319I,DRIFTED OFF THE EDGE,2
19840121015319I,CARBURETOR BOWL,1
19840121015319I,SOLID ICE,1
19840821046409A,ENGINE FAILURE,1
19840821046409A,NOT HAD ANNUAL INSPECTION,1
19841214074599I;19870309039779I;19901101064289I;20050429009279I,TAXIING,9
19841214074599I,NOSEWHEEL,1
19841214074599I,BRAKES,1
19841214074599I;19940412011509I;19950602032329I;20050429009279I;20070630826079I,AIRCRAFT,5
19841214074599I,FENCE,1
19841214074599I,OPEN,1
19850315007389A,LOWER ALTITUDE,1
19850315007389A;19960504009509A,LOST CONTROL,2
19850315007389A,ALTIMETER,2
19850315007389A,IFR CERTIFIED,1
19850315007389A,ICING FORECAST,1
19850418016709I,ENGINE POWER FAILURE,2
19850418016709I,AEROBATICS,1
19850418016709I,LANDED IN FIELD,1
19850418016709I,VISUALLY INSPECT FUEL TANKS,1
19850525020799A,TOWNSHIP,1
19850525020799A,3 MILES FROM AIRPORT,1
19850729066139I,SHEN HARNESS,1
19850729066139I,ELEVATOR CABLE,1
19850729066139I,STICK BOOT,1
19850729066139I,FLOOR,1
19850729066139I;19911222062669I,LANDED,2
19860228038269I;19870319012959I,NOSE GEAR,2
19860228038269I,RETURNED,1
19860228038269I;19870319012959I,PIN,2
19860228038269I,AFTER PREVIOUS MAINTENANCE,1
19860128014289I,FORWARD CARGO DOOR,1
19860128014289I,AIRCRAFT TOOK OFF,1
19860128014289I,OBJECTS DROPPED OUT,1
19860128014289I,FORWARD CARGO DOOR OPENED,1
19860128014289I,WARNING LIGHT,1
19860128014289I,FAILED TO SEE WARNING LIGHT,1
19860706034879A,LOST POWER ON TAKEOFF,1
19860706034879A,FLIPPED ON LANDING,1
19860706034879A,TANKS,1
19860706034879A;19980508008619A,FUEL,2
19860530030499A,ENGINE OVERHEAT,3
19860530030499A,HOT OIL SMELL,1
19860530030499A,NOSED OVER IN FURROWS PLOWED,2
19861114075329I,ENTERED TCA,1
19861114075329I,WITHOUT ATC COMMUNICATION,1
19861114075329I,MALFUNCTIONING ENCODING ALTIMETER,1
19870309039779I,STRUCK N106DA,1
19870309039779I,BRAKE PROBLEMS,1
19870309039779I,PILOT WAS UNAWARE OF,1
19870523018729A,CANOPY,2
19870523018729A,UNCONTROLLED GROUND COLLISION,2
19870523018729A;19871027060859A,PILOT ERROR,2
19870523018729A,REPORTED,1
19870606018859A,UNABLE TO STAY AIRBORNE,4
19870606018859A;19911222062669I,ABORTED,3
19870606018859A,GROUND LOOPED INTO A TREE,2
19870606018859A,MAG SWITCH,3
19871027060859A,ELECTRIC POWER,1
19871027060859A,STRUCK POWER POLE,3
19870816062719I,COPPER TUBE,2
19870816062719I,AERIAL BANNERS,1
19870816062719I,ROOF OF A HOUSE,1
19871211075169A,ROUGH ENGINE,2
19871211075169A;19950527014439A,CLIMBOUT,2
19871211075169A,LANDED ON CITY STREET,1
19880527016939A,INITIAL CLIMBOUT,1
19880527016939A,FUEL TANK,1
19880527016939A,EMPTY,1
19880527016939A,TRIP,1
19880527016939A,GET FUEL,1
19890723054159I,LANDING,1
19890723054159I,INSUFFICIENT NUMBER OF SEATS AND OXYGEN MASKS FOR PASSENGERS ONBOARD,1
19890725041869I,ENGINE START,1
19890725041869I,FULL AFT POSITION,1
19890725041869I,PUSH THROTTLE IN,1
19890725041869I,COLLIDED WITH PARKED PLANE,1
19900425011659A,FERRY FLIGHT,4
19900425011659A,RAN OUT OF FUEL,1
19900425011659A,LEFT PONTOON SEPARATED LANDING IN A POND,1
19900425011659A,FUEL CAP NOT SECURED,1
19900425011659A,FUEL SIPHONED,1
19901101064289I,FUEL CAP,4
19901101064289I,RIGHT TANK,1
19901101064289I,GAS ESCAPING,1
19901101064289I;19980415037339I;20070202001609A,FLIGHT,5
19901101064289I,CLEANING WING,1
19910710026989A,REPORTED PROBLEM,4
19910710026989A,STALLED AND CRASHED,1
19910710026989A,NO LOCKING PINS IN SEAT TRACK,1
19910710026989A,SEAT PIN BENT,1
19910710026989A,BELT NOT FASTENED,1
19911222062669I,FIRST FUEL CAP,1
19911222062669I,AFTER LIFTOFF,2
19911222062669I,SAME RUNWAY,1
19911222062669I,RAN,1
19911222062669I,OFF SIDE OF RUNWAY,1
19920405008919A,ATTEMPTED TAKEOFF,5
19920405008919A,2500 FT SOD STRIP,1
19920405008919A,GUSTY NORTH WIND,1
19920405008919A,END OF STRIP,1
19920405008919A,CRASHED,1
19930530020029I,LOST CONTROL OF AIRCRAFT ON TAKEOFF ROLL,1
19930530020029I,PILOTS SEAT,2
19930530020029I,SLID AFT ON ACCELERATION,1
19940226003029A;19950527014439A,LAST FLIGHT,8
19940226003029A,EN ROUTE,1
19940226003029A,PRIVATE STRIP,1
19940226003029A,FUEL CAP LEAK,2
19940412011509I,FLIGHT MANUAL,3
19940412011509I,STRUCK TRUCK WINDSHIELD ON GROUND,1
19940412011509I,LANDED SAFELY,1
19940818022409A,LEFT ENGINE,4
19940818022409A,H71,1
19940818022409A,BEGAN GO AROUND BELOW VMC,1
19940818022409A,BAD OIL LEAK,1
19940818022409A,CRACKED ENGINE CASE,1
19940815046149I,BATTERY COMPARTMENT DOOR,1
19940815046149I,ANTENNA CRACKED WINDSHIELD,1
19950314029269I,N7016M,1
19950314029269I,AMATEUR BUILT AIRCRAFT,1
19950619021589I,HEADING,3
19950619021589I,OFF AIRPORT,1
19950619021589I,MAIN GEAR,1
19950619021589I,OIL,1
19950527014439A,AFTER TOW RELEASE,1
19950527014439A,IMPACT,1
19950527014439A,RIGHT AILERON,1
19950804028629A,LONGERON,3
19950804028629A;19980508008619A,LOST POWER,2
19950804028629A,MISREAD WATER IN SUMP TO BE FUEL,1
19950216008379I,CESSNA 207,2
19950216008379I,BETHEL AIRPORT,1
19950826026019A,EXPLOSION,4
19950826026019A,PITCHED UP,1
19950826026019A,COMPRESSOR STALL NR1 ENGINE,1
19950826026019A,FAILED RELEASE LOGS,1
19950826026019A,USE SE PROCEDURES,1
19951031041599A,CLIMBOUT NOSE BAGGAGE DOOR,1
19951031041599A,ON CLIMBOUT NOSE BAGGAGE DOOR,2
19951031041599A,REDUCED POWER,1
19951031041599A,STALLED,3
19951031041599A,ROLLED,1
19951031041599A,DIVED INTO OCEAN,1
19951031041599A,TEST FLIGHT,2
19951031041599A,STORAGE,1
19960504009509A,FAILED TO DETACH TRAILER TIE DOWN,2
19960504009509A,ROLLED ON LIFT OFF,1
19960504009509A,(-23),2
19960524045629A,NOSE BAGGAGE DOOR,1
19960524045629A,BAGGAGE,1
19960524045629A,HIT LEFT PROP,1
19960524045629A,BELWO UMC,1
19960524045629A,LANDED ON SEA ICE,1
19960524045629A,WILL FLY DOOR,1
19970523014439I,CARGO DOOR,1
19970523014439I,RUNWAY CONDITIONS,1
19970523014439I,STEVEN'S VILLAGE,1
19970828026989A,LONG POP ON TAKEOFF ROLL,3
19970828026989A,LOST RUDDER CONTROL,3
19970828026989A,EXITED RWY INTO CORNFIELD,3
19970828026989A,HAD FAILED TO LOCK THE TAILWHEEL,3
19970908038069A,TIEDOWN CHAINS,6
19970908038069A,TIRED TAXI,1
19970908038069A,ROLLED OVER,1
19970908038069A,PILOT FAILED,1
19970908038069A,SKIDS DUE HIGH WIND,2
19970908038069A,RAMP PERSON,1
19971226042729I,NR2 ENGINE FIRE,3
19971226042729I,LOADING PASSENGERS AT GATE,1
19971226042729I,SMOKE CLEARED,1
19971226042729I,FUEL LEVER,1
19980620030289I,Mr. Kadera,2
19980620030289I,HIGHWAY 93,1
19980616023109I,SEPERATED,1
19980616023109I,COWL,1
19980616023109I,ENGINE COWLING SEPERATED,1
19990714022959I;20060718018299I,DEPARTURE,3
19990714022959I,FRONT RANGE AIRPORT,1
19990714022959I,HOURS OF DARKNESS,1
19950602032329I,TAXIWAY LIGHT,2
19950602032329I,CONTINUED TO LIT,1
19990923027739A,CIERNIA GLASAIR III,1
19990923027739A,1900 HOURS PACIFIC DAYLIGHT TIME,1
19960322013629I,THE AIRCRAFT,3
19960322013629I,MAINTENANCE,1
19960322013629I,GEAR BLOCKED DOWN,1
19960322013629I,NOSE BLOCK FELL OUT,1
19960418007829A,CRASHED AND BURNED,2
19960418007829A,AFTER DEPARTURE FROM A GRASS RUNWAY,1
19960418007829A,GRASS RUNWAY,1
19961027033759A,CONNECTING ROD,3
19961027033759A,HYDRO LOCK IN NR5 CYL ON STARTUP,1
19961027033759A,HIT COUNTER WT,1
19961027033759A,PORP SHAFT,1
19980415037339I;20010910029739I,NOSE LANDING GEAR,3
19980415037339I,JAMMED,1
19980508008619A,ENROUTE,1
19980508008619A,NOSED OVER LANDING,1
19980508008619A,SLOPE,1
19980508008619A,NO EVIDENCE AT SCENE,1
19980508008619A,FAILED TO VISUALLY CHECK FUEL,1
19980508008619A,NO EVIDENCE OF FUEL AT SCENE,1
19990213001379A,ACFT,3
19990213001379A,TAKE OFF,1
19990213001379A,RAN INTO A DITCH,1
19990213001379A,STRUCK A TREE,1
19991230042089A,SHORTLY AFTER,1
20000215041409A,1825,1
20000215041409A,Eastern Standard Time,1
20000215041409A,Beech 1900D,1
20000215041409A,Skyway Airline Flight,1
20000215010329A,MR. TIMOTHY ALLEN WELLS,3
20000215010329A,BELL HELICOPTER MODEL BHT-47-G5,3
20010411006739I,HELIPAD,1
20010411006739I,RPM CONTROL,1
20010421009329I,CRUISE FLIGHT,1
20010421009329I,-23,1
20010421009329I,RPM LOSS,1
20010421009329I,COULD NOT MAINTAIN ALTITUDE,1
20010421009329I,MADE AN EMERG,1
20010910029739I,CFI,2
20010910029739I,TAXI OUT,1
20010910029739I,GREEN LIGHT OUT,1
20010910029739I,ATTEMPTED TO SWAP LIGHTS,1
20030620012809I,OIL FILLER CAP NOT SECURE,1
20030620012809I,OIL COMING OUT OF ENGINE,1
20030607012509A,LOCAL FLIGHT,1
20030607012509A,1147 AM LOCAL TIME,1
20040304003309I,SLIDING OR HYDROPLANING,2
20040304003309I,AFTER NORMAL TOUCHDOWN,1
20040304003309I,LEFT SIDE OF RUNWAY,1
20040925025079A,FUEL CONTAMINATION,3
20040925025079A,AIRFRAME FUEL FILTER,1
20040925025079A,FUEL FILTER,1
20040925025079A,ENGINE DRIVEN FUEL PUMP FILTER,1
20050504010229A,VIBRATION,2
20050504010229A,APU DOOR STRUCK MAIN ROTOR BLADE,1
20050504010229A,INFLIGHT,1
20050504010229A,APU DOOR,1
20050504010229A,MAIN ROTOR BLADE,1
20050429009279I,PARKING,1
20050429009279I,CARGO TRIP,1
20050429009279I,TAXIWAY,1
20050713014239I,AN RAYTHEON AIRCRAFT CO. B36TC (BONANZA),2
20050713014239I,2005,1
20050713014239I,HAVENS LEASING,1
20051009024969I,HELICOPTER ENGINE POWER CHECKS,1
20051009024969I,PILOT AND ONE CREWMEMBER,1
20060718018299I,FAILURE TO SECURE FUEL TANK CAPS,2
20060718018299I,PILOT IN COMMAND (PIC),1
20060621012279A,SEAT,3
20060621012279A,OVERROTATE,1
20060621012279A,ROTATION,1
20070202001609A,NOTH PLATTE,1
20070202001609A,487 STATUTE MILES,1
20070202001609A,NEAR GRINNELL,1
20070630826079I,CLIMB AIRCRAFT ENGINE,3
20070630826079I,AFTER TAKEOFF,1
20070630826079I,RAY AIRPORT,1
