c5_sources,entity1,entity2,weight,relations,rows
19780221000179I;19780307014069I;19790813030889I,PILOT,PILOT,3,INSTANCE OF;USED BY,"60,61,278"
19780221000179I;19790207002469A,PILOT,EMERGENCY LANDING,2,MADE,"61,202"
19780221000179I,PILOT,OIL PRESSURE,1,DID NOT CHECK,61
19780221000179I,PILOT,BEFORE TAKEOFF,1,TIME PERIOD,61
19780311016379I;19790203005099I,PILOT,DIRECTIONAL CONTROL,2,USED BY,"64,191"
19780327010619I,PILOT,FUEL CAPS,1,USED BY,65
19780330011569I,PILOT,ELECTRICAL POWER,1,USED BY,71
19780330011569I,PILOT,GEAR COLLAPSED,1,HAS EFFECT,71
19780402009009I,PILOT,ELECTRICAL FAILURE,1,HAD,72
19780210005719I,PILOT,CARB,1,USED BY,78
19780309015599I,PILOT,NON-VENTED CAP,1,USING,80
19780528040689I,PILOT,HOME-BUILT,1,USED BY,97
19780528040689I,PILOT,CONNECTING AILERON CONTROLS,1,FOLLOWED BY,97
19780623036259I,PILOT,BEACH,1,LANDED ON,116
19780623036419I,PILOT,OIL CAP,1,USED BY,117
19780624034629I;19790421024889I;19790605014429I;19790610014749I;19800322006789A,PILOT,ENGINE,5,USED BY,"118,220,251,254,372"
19780704042039I,PILOT,INOPERATIVE RADIO,1,DEPARTED WITH,127
19780704042039I,PILOT,UNABLE TO FIND DESTINATION,1,FOLLOWED BY,127
19780704042039I,PILOT,NEARLY OUT OF FUEL,1,HAS EFFECT,127
19780704042039I,PILOT,AIRPORT,1,FOUND,127
19780725039589I,PILOT,55 GAL DRUM,1,USED BY,131
19780808049579I,PILOT,OIL STICK,1,USED BY,134
19780808049579I,PILOT,FAILED TO SECURE OIL STICK,1,HAS CAUSE,134
19780920018899I,PILOT,BACKFIRE,1,MISTOOK FOR,145
19780920018899I,PILOT,FOLLOWED BY,1,BEGAN FLIGHT,145
19781018032569I,PILOT,GET THE NOSE WHEEL DOWN,1,UNABLE TO,146
19780921019829I,PILOT,TAXIING,1,USED BY,149
19780921019829I,PILOT,MAINTENANCE HANGAR,1,EVENT DISTANCE,149
19780903028619A,PILOT,EXCESSIVE WATER,1,AWARE OF,151
19781119026389I,PILOT,TAXIWAY,1,USED BY,179
19781223039539A,PILOT,BREAKERS,1,USED BY,189
19790203005099I,PILOT,VEERED OFF RUNWAY,1,FOLLOWED BY,191
19790316004819A,PILOT,RESTRICTED STEERING,1,HAS CAUSE,203
19790316004819A,PILOT,FROST,1,HAS CAUSE,203
19790224005689A,PILOT,WINGS,1,DID NOT REMOVE SNOW FROM,204
19790214002969A;19800225005279A;19800523016979A,PILOT,CONTROLS,3,UNABLE TO REACH;USED BY,"205,368,396"
19790410008789A;19790703018439I,PILOT,WATER,2,DRAINED;SAID,"209,279"
19790321010439A,PILOT,MULTIENGINE AIRPLANE,1,INSTANCE OF,211
19790321010439A,PILOT,INSTRUCTOR,1,USED BY,211
19790513010459A;19790807024709A,PILOT,ACFT,2,USED BY,"244,277"
19790623014019A,PILOT,LEFT SIDE OF RUNWAY,1,RAN OFF,250
19790515027029I,PILOT,GEAR UP LANDING,1,FOLLOWED BY,261
19790425024979I,PILOT,POWER,1,USED BY,263
19790425024979I,PILOT,ALTITUDE,1,MAINTAINED BY,263
19790519010229A,PILOT,INSTRUMENT PANEL LIGHT SWITCH,1,USED BY,266
19790807029619I,PILOT,PREFLIGHT,1,USED BY,276
19790705018829I,PILOT,GEAR,1,USED BY,286
19790705018829I;19800624056339I,PILOT,LANDED,2,HAS EFFECT;USED BY,"286,406"
19790808027309A,PILOT,RETURN TO RUNWAY,1,ATTEMPTED,295
19790710018689I,PILOT,CLUTCH,1,USED BY,298
19791030053329I,PILOT,BATTERY,1,USED BY,307
19791108054919I,PILOT,COCKPIT DOOR,1,ABORTED,308
19791108054919I,PILOT,RUNWAY,1,RAN OFF,308
19791102034159A,PILOT,180 DEGREE TURN,1,PERFORMED,311
19791014052729I,PILOT,CARB ICE,1,CHECKED FOR,320
19791222048669I,PILOT,LAND GEAR,1,USED BY,322
19791221039859A,PILOT,FUEL TANKS,1,USED BY,327
19791208047929I,PILOT,CHECK POSITION OF GEAR KNOB,1,PERFORMED,330
19791208047929I,PILOT,RETRACTED,1,ACTION,330
19800105013639I,PILOT,RIGHT GENERATOR,1,USED BY,335
19800105013639I,PILOT,LANDED GEAR UP,1,HAS EFFECT,335
19800128019789I,PILOT,OIL,2,OBSERVED;SMELL,349
19800128019789I,PILOT,PRECAUTIONARY LANDING,1,MADE,349
19800208002479A,PILOT,THROTTLE FROZE WIDE OPEN,1,REPORTED,357
19800208002479A,PILOT,HARD LANDING,1,MADE,357
19800328007979A,PILOT,RAN OUT OF FUEL,1,HAS CAUSE,370
19800328007979A,PILOT,TRIED LANDING ON ROAD,1,HAS CAUSE,370
19800328007979A,PILOT,HAD BEEN DRINKING,1,INFLUENCED BY,370
19800501044549I,PILOT,EMERGENCY SYSTEM,1,DID NOT KNOW HOW TO USE,377
19800611054319I,PILOT,PORTABLE FUEL CANS,1,USED BY,383
19800611054319I,PILOT,WATER TAKEOFF,1,EVENT DISTANCE,383
19800418044679I,PILOT,LIGHT,1,USED BY,386
19800508011869A,PILOT,FUEL TIME,1,USED BY,391
19800421009329A,PILOT,DISTRACTEDPILOT,1,USED BY,394
19800823080969I,PILOT,EMERGENCY PROCEDURE,1,USED BY,408
19800707059709I,PILOT,NOSEGEAR,1,USED BY,411
19800707059709I,PILOT,LANDING,1,MADE,411
19780402008409I,TAXIING AIRCRAFT,PARKED AIRCRAFT,1,STUCK,74
19780402008409I,INEFFECTIVE BRAKES,WORN OUT,1,HAS CAUSE,74
19780427013859I,ENGINE COWLING,ENGINE,1,SEPARATED FROM,85
19980616023109I,ENGINE COWLING,COWLING,1,PART OF,2160
19780206006039I,ENGINE COWLING,FLIGHT,1,HAS EFFECT,49
19780206006039I,ENGINE COWLING,NOT BEEN LATCHED PROPERLY,1,HAS CAUSE,49
19791210043359A,ENGINE COWLING,TAKEOFF ROLL,1,CAME OPEN,332
19791210036229A,ENGINE COWLING,UNLATCHED,1,RAISED UP,333
19791210036229A,ENGINE COWLING,RAN OFF END OF RUNWAY,1,HAS EFFECT,333
19791128035159A,ENGINE,CLAIMS WATER IN FUEL,1,HAS EFFECT,334
19780225001789I;19780725039589I;19790207002459A;19790421024749I;19790421024889I;19790623022919A;19790705018829I;19800119000759A;19800217031649I;19800219031689I;19840121015319I;19991230042089A,ENGINE,TAKEOFF,12,EVENT DISTANCE;HAS CAUSE,"58,131,212,220,224,245,286,345,353,354,750,2331"
19780108002219I;19780403009389I;19781114026859I;19790210006409I;19801116083749I,ENGINE,FORCED LANDING,5,HAS CAUSE,"35,76,162,193,467"
19840121015319I,ENGINE,DRIFTED OFF THE EDGE,1,HAS EFFECT,750
19860706034879A,ENGINE,LOST POWER ON TAKEOFF,1,HAS CAUSE,1037
19880527016939A,ENGINE,INITIAL CLIMBOUT,1,HAS CAUSE,1311
19991230042089A,ENGINE,NOT DEVELOPING ENOUGH POWER,1,HAS EFFECT,2331
20030620012809I,ENGINE,OIL COMING OUT,1,HAS EFFECT,2488
19780203005449I;19791014052729I;19800712077549I,ENGINE,ROUGH,3,BECAME;HAS EFFECT;RAN,"38,320,414"
19780203005449I,ENGINE,SHORTLY AFTER CHANGING FUEL TANKS,1,TIME PERIOD,38
19780210006769I;19790127003859I,ENGINE,WATER IN THE FUEL,2,HAS CAUSE,"52,182"
19780210006769I,ENGINE,200 FEET,1,EVENT DISTANCE,52
19780210006769I,ENGINE,AFTER TAKEOFF,1,TIME PERIOD,52
19780213006479I,ENGINE,LOW OIL PRESSURE,1,HAS CAUSE,56
19780218007139I,ENGINE,BLIZZARD,1,HAS CAUSE,57
19780218007139I;19780518033959I;19780625035919I;19800712077549I,ENGINE,QUIT,4,HAS EFFECT,"57,93,119,414"
19780225001789I,ENGINE,SHORTLY AFTER,1,TIME PERIOD,58
19780228000419I,ENGINE,SURGING,1,STARTED,62
19780228000419I,ENGINE,FLIGHT,1,SHUT DOWN,62
19780328011399I;19780613045599I,ENGINE,WATER IN THE FUEL SYSTEM,2,HAS CAUSE,"70,103"
19780328011399I;19790610014749I,ENGINE,LIFT OFF,2,EVENT DISTANCE;HAS CAUSE,"70,254"
19780403009359I,ENGINE,LANDED SHORT OF RUNWAY,1,HAS CAUSE,75
19780518033959I,ENGINE,BACKFIRED,1,HAS CAUSE,93
19780529040959I,ENGINE,SPUTTERED AND QUIT,1,HAS CAUSE,98
19780529040959I,ENGINE,CRUISE,1,EVENT DISTANCE,98
19780625035919I,ENGINE,250 FEET,1,EVENT DISTANCE,119
19780725039589I;19780829037939I;19790705018829I;19800119000759A;19800607046889I,ENGINE,WATER IN FUEL,5,HAS CAUSE;HAS EFFECT,"131,158,286,345,382"
19781120025989I,ENGINE,OIL LOSS,1,HAS CAUSE,163
19790111000619I,ENGINE,LIFTOFF,1,HAS CAUSE,170
19790111000619I,ENGINE,LANDED GEAR UP,1,HAS EFFECT,170
19790111000619I,ENGINE,FOUND WATER IN FUEL,1,HAS EFFECT,170
19790111000619I,ENGINE,3 FOULED SPARK PLUGS,1,HAS EFFECT,170
19790127003899I,ENGINE,RAN OUT OF OIL ON INSTRUCTIONAL FLIGHT,1,HAS CAUSE,174
19790127003899I,ENGINE,ENGINE FAILURE,1,INSTANCE OF,174
19790318009229I,ENGINE,ZG FORCED LANDING,1,HAS CAUSE,199
19790214002969A,ENGINE,PILOT,1,STARTED BY,205
19790414012459I;19800217031679I,ENGINE,FUEL SYSTEM,2,HAS CAUSE,"207,355"
19790207002459A;19800217031679I,ENGINE,WATER IN FUEL TANKS,2,HAS CAUSE;HAS EFFECT,"212,355"
19790224007469I,ENGINE,LEVEL FLIGHT,1,HAS CAUSE,227
19790603029089I,ENGINE,THROTTLE CABLE HOUSING,1,HAS CAUSE,234
19790529041069A,ENGINE,OIL BLOCKED AIR INTAKE,2,HAS CAUSE;HAS EFFECT,240
19790529041069A,ENGINE,ENGINE OIL FILLER CAP,1,INSTANCE OF,240
19790529041069A,ENGINE,ALTERNATE AIR DEFECT,1,FOLLOWED BY,240
19790427100619I,ENGINE,HYDRAULIC PUMP,1,EQUIPPED WITH,247
19790427100559I,ENGINE,FUEL CONTAMINATION,1,HAS CAUSE,248
19790605014429I,ENGINE,TAKEOFF ATTEMPT,1,HAS CAUSE,251
19790610014749I,ENGINE,TANKS NEARLY EMPTY,1,HAS CAUSE,254
19790622017199I,ENGINE,FUEL,1,HAS EFFECT,256
19790622017199I,ENGINE,WATER,1,HAS CAUSE,256
19790622017199I,ENGINE,RUNWAY AT HOME,1,EVENT DISTANCE,256
19790625015009A,ENGINE,ACCIDENT,1,HAS CAUSE,257
19790513026659I,ENGINE,LOSS OF OIL PREESURE,2,INSTANCE OF;PART OF,260
19790809030499I,ENGINE,ZA,2,HAS CAUSE;INSTANCE OF,271
19790726019139A,ENGINE,TAKE OFF,1,SPUTTERED,274
19790726019139A,ENGINE,UNABLE,1,HAS EFFECT,274
19790703018439I,ENGINE,TAKE-OFF,1,HAS CAUSE,279
19791023031609A,ENGINE,,1,RAN ROUGH,319
19791023031609A,ENGINE,BASE,1,QUIT,319
19791023031609A,ENGINE,HIT TREES,1,HAS EFFECT,319
19791015052549I,ENGINE,EVENT,1,INSTANCE OF,321
19800129002139A,ENGINE,WATER AND DIRT,1,HAS CAUSE,356
19800129002139A,ENGINE,FUEL TANK,1,HAS CAUSE,356
19800322006789A,ENGINE,PLANE CRASHED,1,HAS CAUSE,372
19800608019219A,ENGINE,ENGINE FAILED TO OBTAIN FULL POWER ON TAKEOFF,1,HAS CAUSE,393
19800714060679I,ENGINE,LACK OF OIL,1,HAS CAUSE,397
19800716028479A,ENGINE,FUEL STARVATION,1,HAS CAUSE,409
19780427013859I,SEPARATION,FLIGHT,1,HAS CAUSE,85
19901101064289I,FLIGHT,RESUMED FLIGHT,1,FOLLOWED BY,1494
20070202001609A,FLIGHT,NOTH PLATTE,1,LOCATED IN,2676
20070202001609A,FLIGHT,NE,1,LOCATED IN,2676
20070202001609A,FLIGHT,IOWA CITY,1,DESTINATION,2676
20070202001609A,FLIGHT,IA,1,LOCATED IN,2676
19780617046219I,FLIGHT,MAG FAILURE,1,HAS CAUSE,84
19780617046219I,FLIGHT,REPAIRS,1,FOLLOWED BY,84
19780629034269I,FLIGHT,IFR,1,INSTANCE OF,130
19780629034269I,FLIGHT,VFR,1,FOLLOWED BY,130
19780808049579I,FLIGHT,OIL LOSS,1,HAS CAUSE,134
19790429005459A,FLIGHT,2 WKS,1,EVENT DISTANCE,252
19790429005459A,FLIGHT,WATER IN FUEL,1,HAS EFFECT,252
19790817031829I,FLIGHT,RAN OUT OF GAS,1,HAS EFFECT,285
19791222048699I,FLIGHT,ADDITIONAL FUEL,1,DIVERTED FOR,323
19800624056299I,FLIGHT,LESS THAN SCHEDULED AMOUNT OF FUEL,1,HAS EFFECT,407
19780112002729I;19780509032859I;19780904017739I;19781102023549I;19790312008529I;19790627017429I,POWER LOSS,FORCED LANDING,6,HAS CAUSE,"34,111,142,147,231,253"
19790425024979I,POWER LOSS,ALTITUDE,1,HAS CAUSE,263
19800319040039I,POWER LOSS,LOSS OF OIL,1,HAS CAUSE,364
19800319040039I,POWER LOSS,ONE HOUR AFTER DEPARTURE,1,TIME PERIOD,364
19871027060859A,FORCED LANDING,STRUCK POWER POLE,1,HAS EFFECT,1240
19780110002479I;19790210006409I;19790528028209I,FORCED LANDING,WATER IN FUEL,3,HAS EFFECT;INFLUENCED BY,"33,193,239"
19780112002729I,FORCED LANDING,WATER,1,EVENT DISTANCE,34
19781114026859I;19800504044909I,FORCED LANDING,FIELD,2,LOCATION,"162,378"
19800217031679I,FORCED LANDING,STRUCK FENCE,1,HAS EFFECT,355
19800504044909I,FORCED LANDING,FUEL CONTAMINATION,1,HAS CAUSE,378
19800714060679I,FORCED LANDING,ENGINE FAILED,1,HAS EFFECT,397
19780509032859I;19781102023549I;19790627017429I,FOUND WATER IN FUEL,FORCED LANDING,3,HAS EFFECT,"111,147,253"
19780913017419I,ABORTED TAKEOFF,FRONT BAGGAGE DOOR POPPED OPEN,1,HAS CAUSE,144
19780113002859I,ABORTED TAKEOFF,UNLOCKED DOOR,1,HAS CAUSE,36
19780113002859I,ABORTED TAKEOFF,UNABLE TO STOP,1,HAS EFFECT,36
19800507051499I,ABORTED TAKEOFF,ACCESS DOOR LIGHT CAME ON,1,HAS CAUSE,379
19800507051499I,ABORTED TAKEOFF,TAXIED BACK INTO POSITION,1,FOLLOWED BY,379
19780916024019A,TIE DOWN STRAP,TRAILER,1,PART OF,155
19780916024019A,TIE DOWN STRAP,LEFT SKID,1,LOCATION,155
19780916024019A,TETHERED,TIE DOWN STRAP,1,FOLLOWS,155
19780916024019A,HEPER,?,1,LOCATION,155
19781108022239I;19790718019229I,BAGGAGE CART,PARKED AIRCRAFT,2,BLOWN INTO;PART OF,"160,289"
19781108022239I,BAGGAGE CART,JET BLAST,1,HAS CAUSE,160
19790718019229I,BAGGAGE CART,INOPERATIVE BRAKES,1,HAS EFFECT,289
19790223006939I,BAGGAGE CART,B99,2,FOLLOWED BY;ROLL INTO,195
19790223006939I,JET BLAST,BAGGAGE CART ROLL,1,HAS CAUSE,195
19781108022239I,BRAKES,CART,1,INOPERATIVE ON,160
19780311016379I,BRAKES,BRAKE RESERVOIR,1,WORN OUT,64
19780525040389I,BRAKES,INEFFECTIVE,1,HAS EFFECT,83
19780525040389I,BRAKES,RAN THROUGH FENCE,1,EVENT DISTANCE,83
19781119026389I,BRAKES,INSUFFICIENT FLUID,1,HAS CAUSE,179
19800129020169I,BRAKES,FREEZING UP,1,HAS EFFECT,350
19800129020169I,BRAKES,TAKEOFF,1,EVENT DISTANCE,350
19800822082749I,BRAKES,INOPERATIVE,1,INSTANCE OF,399
19800822082749I,BRAKES,EMPTY,1,HAS EFFECT,399
19800822082749I,BRAKES,REPLACED,1,FOLLOWED BY,399
19781210024199I,WHEELS LOCKED UP,SNOW PACKED,1,HAS CAUSE,165
19781210024199I,WHEELS LOCKED UP,WHEEL PANTS,1,LOCATION,165
19781113027039I,TAXIED,UNMARKED DITCH,1,EVENT DISTANCE,178
19781113027039I,TAXIED,TAXIWAY,1,LOCATION,178
19790211002709A,AIRCRAFT,FAILED TO LIFTOFF RUNWAY,1,HAS CAUSE,229
19790211002709A,AIRCRAFT,RAN OFF END INTO SNOW BANK,1,HAS EFFECT,229
19790211002709A,AIRCRAFT,FROST ON AIRFRAME,1,HAS EFFECT,229
19840821046409A,AIRCRAFT,CRASH,1,PART OF,795
19840821046409A,AIRCRAFT,ANNUAL INSPECTION,1,MAINTAINED BY,795
19860128014289I,AIRCRAFT,FOLLOWED BY,1,TOOK OFF,1024
19860706034879A,AIRCRAFT,FLIPPED ON LANDING,1,HAS EFFECT,1037
19870309039779I,AIRCRAFT,N106DA,1,STUCK BY,1151
19890725041869I,AIRCRAFT,PARKED PLANE,1,COLLIDED WITH,1406
19930530020029I,AIRCRAFT,PILOT LOST CONTROL,1,HAS CAUSE,1693
19940412011509I,AIRCRAFT,DESCENT,1,POPPED OPEN,1728
19960322013629I,AIRCRAFT,MAINTENANCE,1,BEING FERRIED FOR,2243
20030607012509A,AIRCRAFT,BARTLESVILLE MUNICIPAL AIRPORT,1,DEPARTED FROM,2494
20040304003309I,AIRCRAFT,LEFT SIDE OF RUNWAY,1,STARTED SLIDING,2544
20040304003309I,AIRCRAFT,-23,1,EVENT DISTANCE,2544
20050429009279I,AIRCRAFT,CARGO TRIP,1,FOLLOWED BY,2598
19790209002599A;20050429009279I,AIRCRAFT,TAXIWAY,2,LOCATION,"230,2598"
20070202001609A,AIRCRAFT,487 STATUTE MILES,1,EVENT DISTANCE,2676
20070202001609A,AIRCRAFT,GRINNELL,1,LOST POWER,2676
20070630826079I,AIRCRAFT,RAY AIRPORT,1,DEPARTED FROM,2685
19780726036499I;20070630826079I,AIRCRAFT,TAKEOFF,2,FOLLOWED BY;INSTANCE OF,"129,2685"
20070630826079I,AIRCRAFT,INTO THE CLIMB,1,FOLLOWED BY,2685
19780726036499I,AIRCRAFT,INFLATION,1,HAS CAUSE,129
19780726036499I,AIRCRAFT,CAM ADJUSTMENT,1,HAS CAUSE,129
19780825038179I,AIRCRAFT,GOLF COURSE,1,LANDED ON,139
19780825038179I,AIRCRAFT,FUEL EXHAUSTION,1,HAS CAUSE,139
19781102023729I,AIRCRAFT,STRUCK,1,INSTANCE OF,148
19780923027059I,AIRCRAFT,ELECTRICAL FAILURE,1,HAS CAUSE,152
19790119001139A,AIRCRAFT,AIRFRAME ICE,1,HAS CAUSE,159
19790119001139A,AIRCRAFT,WENT INVERTED,1,HAS EFFECT,159
19790119001139A,AIRCRAFT,STRUCK A FENCE,1,FOLLOWED BY,159
19790224005689A;19790316004819A;19790508100289I,AIRCRAFT,PILOT,3,INSTANCE OF,"203,204,237"
19790224005689A,AIRCRAFT,4 DAYS,1,EVENT DISTANCE,204
19790316004809A,AIRCRAFT,ENGINE STOPPED,1,INSTANCE OF,219
19790316004809A,AIRCRAFT,STRUCK GROUND,1,HAS EFFECT,219
19790316004809A,AIRCRAFT,SHORT OF RUNWAY,1,EVENT DISTANCE,219
19790209002599A,AIRCRAFT,TRUCK,1,STRUCK BY,230
19790209002599A,AIRCRAFT,AIRPORT,1,PART OF,230
19790508100289I,AIRCRAFT,NOT SIGNED OFF,1,INSPECTION,237
19790510009019A,AIRCRAFT,UNABLE TO MAINTAIN FLIGHT,1,HAS EFFECT,238
19790510009019A,AIRCRAFT,WINGS,1,LOCATION,238
19790427100559I,AIRCRAFT,DAMAGED,1,HAS EFFECT,248
19790427100559I,AIRCRAFT,AUTOROTATION,1,INSTANCE OF,248
19790703018439I,AIRCRAFT,RUNWAY GEAR STRUCK,1,INSTANCE OF,279
19790823023209I,AIRCRAFT,RUNWAY,1,HAS CAUSE,281
19790823023209I,AIRCRAFT,BRAKE DISC PADS,1,HAS EFFECT,281
19790716019189I,AIRCRAFT,DOOR,1,OWNED BY,297
19791014005659A,AIRCRAFT,OUT OF LICENSE,1,INSTANCE OF,314
19791222048699I,AIRCRAFT,IMPROPERLY FUELED,1,HAS CAUSE,323
19791222048699I,AIRCRAFT,DEPARTURE,1,HAS EFFECT,323
19800113015049I,AIRCRAFT,NORMAL TIE DOWN AREA,1,EVENT DISTANCE,341
19800113015049I,AIRCRAFT,SANK INTO MUD,1,HAS EFFECT,341
19800120016369I,AIRCRAFT,LOS ANGELES,1,DIVERTED TO,343
19800120016369I,AIRCRAFT,STICKING FLAP,1,HAS EFFECT,343
19800120016369I,AIRCRAFT,SERVICE,1,RETURNED TO,343
19800217031679I,AIRCRAFT,FORCED LANDING,1,INSTANCE OF,355
19800217031679I,AIRCRAFT,FENCE,1,LOCATION,355
19800215002609A,AIRCRAFT,AIRCRAFT NOSE-DIVED,1,FOLLOWED BY,358
19800615052619I,AIRCRAFT,TAXIING,1,INSTANCE OF,387
19800615052619I,AIRCRAFT,NIGHT,1,EVENT DISTANCE,387
19790720021329A,HELICOPTER,SLING LOAD,1,STARTED WITH,284
20010411006739I,HELICOPTER,HELIPAD,1,LOCATION,2403
19780904017739I,HELICOPTER,JET FUEL,1,SERVICED WITH,142
19790525014229A,HELICOPTER,SELF DESTRUCTED,1,INSTANCE OF,262
19791129033509A,HELICOPTER,SKID TIEDOWN FELL BACK IN PLACE,2,FOLLOWED BY;HAS EFFECT,324
19791129033509A,HELICOPTER,TRAILER,1,LOCATION,324
19800208002479A,HELICOPTER,SNOW AND ICE ON SURFACE,1,HAS EFFECT,357
19800208002479A,HELICOPTER,DEPARTURE,1,LOCATION,357
19800819040989A,HELICOPTER,VERTICAL TAKEOFF,1,INSTANCE OF,415
19800819040989A,HELICOPTER,ROLLED OVER,1,HAS EFFECT,415
19790720021329A,CRASHED,IMPROPER PREFLIGHT,1,HAS CAUSE,284
19790720021329A,CRASHED,TREES,1,EVENT DISTANCE,284
19920405008919A,CRASHED,HIT TREES,1,HAS CAUSE,1612
19920405008919A,CRASHED,OFF END OF STRIP,1,EVENT DISTANCE,1612
19940818022409A,CRASHED,BAD OIL LEAK,1,HAS CAUSE,1772
19940818022409A,CRASHED,CRACKED ENGINE CASE,1,HAS CAUSE,1772
19790318010729A,CRASHED,SHORT OF RWY,1,LOCATION,222
19790807024709A,CRASHED,,1,EVENT DISTANCE,277
19791014005659A,CRASHED,TAKEOFF,1,HAS CAUSE,314
19791014005659A,CRASHED,SHORTLY AFTER,1,TIME PERIOD,314
19800129002139A,CRASHED,FIELD AIRSTRIP,1,LOCATION,356
19790718019229I,FUSELAGE,9 INCH TEAR,1,HAS EFFECT,289
19870606018859A,TAKEOFF,UNABLE TO STAY AIRBORNE,1,HAS CAUSE,1211
19950216008379I,TAKEOFF,BETHEL AIRPORT,1,EVENT DISTANCE,1887
20010411006739I,TAKEOFF,RPM CONTROL,1,HAS EFFECT,2403
20060621012279A,TAKEOFF,OVERROTATE,1,HAS EFFECT,2650
19780808049829I,TAKEOFF,RAN OFF SIDE OF RUNWAY,1,FOLLOWED BY,135
19780825038179I,TAKEOFF,LANDING,1,FOLLOWED BY,139
19780825038179I,TAKEOFF,15 MINUTES,1,EVENT DISTANCE,139
19781230019999I,TAKEOFF,TIME PERIOD,1,EVENT DISTANCE,166
19790421024889I,TAKEOFF,MUSHED,1,HAS EFFECT,220
19790807024709A,TAKEOFF,PILOT ABORTED,1,HAS CAUSE,277
19790820029909A,TAKEOFF,RAN OFF END INTO ROCKS,1,HAS EFFECT,293
19790919027319A,TAKEOFF,ATTEMPTED EMERGENCY LANDING,1,EVENT DISTANCE,310
19800530018349A,TAKEOFF,GROUND,1,EVENT DISTANCE,385
19800620022039A,TAKEOFF,SEAT NOT LATCHED,1,EVENT DISTANCE,405
19800217031649I,WING FUEL TANK SUMPS,ENGINE QUIT,1,HAS EFFECT,354
19800217031649I,WING FUEL TANK SUMPS,NOT DRAINED,1,MAINTAINED BY,354
19780106001449I,ENGINE QUIT,IMPROPER PREFLIGHT,1,HAS CAUSE,32
19780106001449I,ENGINE QUIT,OUT OF FUEL,1,HAS CAUSE,32
19780110002479I;19780811037539I;19790207005159I;19790528028209I,ENGINE QUIT,FORCED LANDING,4,HAS CAUSE,"33,137,192,239"
19780129004679I,ENGINE QUIT,ICE RESTRICTION,1,HAS CAUSE,37
19780219007659I,ENGINE QUIT,FUEL SYSTEM,1,EVENT DISTANCE,54
19780218007139I,ENGINE QUIT,AFTER TAKEOFF,1,TIME PERIOD,57
19780218007139I,ENGINE QUIT,SNOW PACKED IN ENGINE COWL,1,REASON,57
19780429014759I,ENGINE QUIT,LANDED ON FREEWAY,1,HAS EFFECT,88
19780829037939I,ENGINE QUIT,LIFTOFF,1,EVENT DISTANCE,158
19780829037939I,ENGINE QUIT,LANDED ON REMAINING RUNWAY GEAR UP,1,HAS EFFECT,158
19791103056779I,ENGINE QUIT,TOO RICH A MIXTURE,1,HAS CAUSE,312
19800217031649I,PREFLIGHT,AFTER TAKEOFF,1,TIME PERIOD,354
19790705018829I,PREFLIGHT,HAD FAILED TO DRAIN WING SUMPS,1,FOLLOWED BY,286
19800619055649I,PREFLIGHT,OVERLOOKED IN PREFLIGHT,1,FOLLOWED BY,404
19800506012169A,AIRPLANE,LOST CONTROL,1,INSTANCE OF,384
19780626034739I,AIRPLANE,NEWLY PURCHASED,1,PART OF,121
