c5_sources,entity1,entity2,weight,relations,rows
19790622017199I,STUDENT PILOT,ENGINE QUIT TWICE,1,HAS EFFECT,45
19790622017199I,TANKS,GOT WATER IN THE FUEL,1,HAS EFFECT,45
19790503025389I,DEVELOPING ELECTRICAL PROBLEM,PILOT LANDED,1,HAS EFFECT,47
19790513026659I,8 QUARTS OIL,VECTORS TO AIRPORT,1,USED BY,49
19790515027029I,ALTERNATOR BELT,ELECTRICAL SYSTEM FAILED,1,HAS CAUSE,50
19790525014229A,HELICOPTER,IMPROPERLY SERVICED STRUTS,1,HAS CAUSE,51
19790525014229A,HELICOPTER,GR RESONANCE,1,HAS CAUSE,51
19790519010229A,INSTRUMENT PANEL LIGHT SWITCH,COULD NOT SEE OUT,1,HAS EFFECT,55
19790507025919I,FUEL EXHAUSTION,UNABLE TO RESTART ENGINE,1,HAS EFFECT,56
19790507025919I,FUEL TANK,BOOST PUMP,1,USED BY,56
19790719019309I,PILOTS,FAILED TO CHECK POSITION OF GEAR HANDLE AND GEAR RETRACTION ON TAKEOFF ROLL,1,HAS EFFECT,59
19790718017739A,PILOT SEAT,SLID BACK ON TAKEOFF,1,EVENT DISTANCE,64
19790718017739A,PILOT SEAT,LOST CONTROL,1,HAS EFFECT,64
19790718017739A,PILOT SEAT,VEERED OFF RUNWAY,1,HAS EFFECT,64
19790718017739A,PILOT SEAT,FAILED TO ASCERTAIN SEAT LOCKED BEFORE TAKE OFF,1,HAS EFFECT,64
19790807024709A,SEAT,PILOT'S FEET,1,HAS EFFECT,66
19790807024709A,SEAT,CAME LOOSE,1,HAS EFFECT,66
19790817031829I,ZA ZG STUDENT PILOT,RAN OUT OF GAS,1,HAS EFFECT,73
19790817031829I,ZA ZG STUDENT PILOT,FUEL GAUGES READ INCORRECTLY,1,HAS EFFECT,73
19790705018829I,PILOT LANDED GEAR UP,FAILED TO DRAIN WING SUMPS IN PREFLIGHT,1,HAS EFFECT,74
19790816031569I,LOOSE OIL FILLER CAP,FLUCTUATION AND GRADUAL LOSS OF OIL PRESSURE,1,HAS EFFECT,75
19790816031569I,LOOSE OIL FILLER CAP,SHUTTING ENGINE DOWN,1,HAS EFFECT,75
19790820032669I,EN ROUTE OIL PRESSURE,10 PSI,1,HAS EFFECT,76
19790729018879A,NOS EWHEEL,NOSE GEAR COLLAPSED ON LANDING ROLL,1,HAS EFFECT,77
19790729018879A,NOS EWHEEL,HYDRAULIC RESERVOIR TOO LOW ON FLUID TO OPERATE LANDING GEAR,1,HAS EFFECT,77
19790820029909A,CABIN DOOR,OPENED ON TAKEOFF ROLL,1,EVENT DISTANCE,80
19790812030579I,GEAR SWITCH,GEAR COLLAPSED,1,HAS EFFECT,81
19790808027309A,ALTITUDE,INSUFFICIENT,1,HAS EFFECT,82
19790716019189I,AIRSTAIR DOOR,AFTER TAKEOFF,1,EVENT DISTANCE,84
19790716019189I,LANDING DOOR,AFTER LANDING,1,EVENT DISTANCE,84
19790716019189I,LANDING DOOR,RUNWAY, TEARING LOOSE FROM AIRCRAFT,1,LOCATION,84
19790918023659I,NOSE GEAR DOOR RETRACT RODS,PILOT OWNER,1,USED BY,86
19790928049769I,ENGINE COWL,ENGINE SHUT DOWN,1,HAS EFFECT,88
19790928049769I,ENGINE COWL,NOT BEEN PROPERLY SECURED,1,MAINTAINED BY,88
19791022054789I,NEWLY INSTALLED FUEL CAP,ENGINE STOPPED DUE TO FUEL STARVATION,1,HAS EFFECT,91
19791022054789I,NEWLY INSTALLED FUEL CAP,ENGINE,1,USED BY,91
19791108054919I,COCKPIT DOOR,PARTIALLY OPENED AT ROTATION,1,EVENT DISTANCE,95
19791103056779I,LANDED SHORT,ENGINE QUIT,1,HAS EFFECT,99
19791103056779I,PRIMER WAS UNLOCKED,MIXTURE FULL RICH,1,HAS EFFECT,99
19791103056779I,MIXTURE FULL RICH,CARB HEAT ON,1,HAS EFFECT,99
