c5,c119,phi4mini_instruct_triplets_clean
19790421024889I,PILOT TOOK OFF WITH THE ENGINE NOT OPERATING PROPERLY. MUSHED BACK TO THE GROUND BEYOND THE RUNWAY.                ,"<PILOT, EVENT DISTANCE, TOOK OFF WITH THE ENGINE NOT OPERATING PROPERLY>
<PILOT, LOCATION, BEYOND THE RUNWAY>"
19790210002629A,FCD LDG AT NIGHT. HARD LDG ON APT. FUEL STAINS FOUND FROM WING DRAINS TO FUSELAGE. LESS THAN 2 GALS FUEL ONBOARD.  ,"<FCD LDG, EVENT, FUEL STAINS, FUSELAGE>
<FCD LDG, EVENT, FUEL STAINS, WING DRAINS>
<FCD LDG, CONDITION, HARD>
<FCD LDG, TIME PERIOD, NIGHT>
<FCD LDG, FUEL, LESS THAN 2 GALS FUEL, ONBOARD>"
19790318010729A,ENGINE STOPPED ON EMPTY TANK DURING ILS APPROACH. WOULD NOT START ON FULL TANK. WATER IN FUEL.CRASHED SHORT OF RWY.,"<ENGINE, HAS EFFECT, STOPPED ON EMPTY TANK DURING ILS APPROACH>
<ENGINE, HAS EFFECT, WOULD NOT START ON FULL TANK>
<FUEL, HAS EFFECT, WATER>
<CRASH, EVENT DISTANCE, SHORT OF RWY>"
19790309032649A,"CARGO DOOR CAME OPEN IN FLIGHT. AFTER LANDING,THE DOOR WAS PROPERLY LATCHED. THE FAILURE COULD NOT BE DUPLICATED.  ","<CARGO DOOR, EVENT DISTANCE, CAME OPEN IN FLIGHT>
<CARGO DOOR, EVENT DISTANCE, AFTER LANDING>
<FAILURE COULD NOT BE DUPLICATED, HAS EFFECT, CARGO DOOR CAME OPEN IN FLIGHT>"
19790421024749I,ENGINE QUIT SOON AFTER TAKEOFF. WATER AND DEBRIS FOUND IN THE FUEL SYSTEM.                                         ,"<ENGINE, HAS EFFECT, QUIT SOON AFTER TAKEOFF>
<ENGINE, HAS EFFECT, WATER AND DEBRIS FOUND IN THE FUEL SYSTEM>"
19790224007709I,WINDSHIELD FOGGED UP DUE TO INOP HEATER. LANDED LONG AFTER APPROACH AND RAN OFF DEPARTURE END OF RUNWAY.           ,"<WINDSHIELD FOGGED UP, CAUSED BY, INOP HEATER>
<LANDED LONG AFTER APPROACH, EVENT DISTANCE, RAN OFF DEPARTURE END OF RUNWAY>"
19790210002639A,AIRCRAFT CRASHED ON FIRST TEST FLIGHT AFTER REBUILDING. AILERON CONTROLS REVERSED.                                 ,"<CRASHED AIRCRAFT, EVENT DISTANCE, FIRST TEST FLIGHT AFTER REBUILDING>
<CRASHED AIRCRAFT, HAS EFFECT, AILERON CONTROLS REVERSED>"
19790224007469I,ENGINE QUIT LEVEL FLIGHT. LEFT TANK EMPTY AND ICE IN RIGHT TANK. GAS SEDIMENT BOWL WOULD NOT DRAIN.                ,"<ENGINE QUIT LEVEL FLIGHT, HAS CAUSE, LEFT TANK EMPTY>
<ENGINE QUIT LEVEL FLIGHT, HAS CAUSE, ICE IN RIGHT TANK>
<ENGINE QUIT LEVEL FLIGHT, HAS CAUSE, GAS SEDIMENT BOWL WOULD NOT DRAIN>"
19790216014249A,PILOT TOOK OFF WITH GUST LOCK IN PLACE.                                                                            ,"<PILOT, USED BY, GUST LOCK>"
19790209002599A,"WHILE TAXIING ON TAXIWAY, THE AIRCRAFT WAS STRUCK BY A TRUCK. NO FENCE IS INSTALLED TO KEEP VEHICLES OFF AIRPORT.  ","<TAXIWAY, LOCATION, AIRPORT>
<TRUCK, EVENT DISTANCE, AIRCRAFT>"
19790312008529I,FORCED LANDING AFTER POWER LOSS. FOUND WATER IN FUEL                                                               ,"<FORCED LANDING AFTER POWER LOSS, HAS EFFECT, FOUND WATER IN FUEL>"
19790421024669I,GEAR COLLAPSED AFTER LANDING DUE TO BROKEN EXTENSION CABLE. EMERGENCY EXTENSION CRANK NOT PROPERLY STOWED.         ,"<GEAR, HAS EFFECT, COLLAPSED AFTER LANDING>
<EMERGENCY EXTENSION CRANK, MAINTAINED BY, NOT PROPERLY STOWED>"
19790520026369I,FORCED LANDING DUE TO FUEL EXHAUSTION.                                                                             ,"<AFTER LANDING, REASON, FUEL EXHAUSTION>"
19790603029089I,ENGINE WENT TO IDLE WHEN THROTTLE CABLE HOUSING SLIPPED OUT OF CLAMP. HAD NOT BEEN PROPERLY SECURED.               ,"<THROTTLE CABLE HOUSING, HAS EFFECT, WENT TO IDLE>
<THROTTLE CABLE HOUSING, HAS CAUSE, NOT BEEN PROPERLY SECURED>"
19790605014519I,CAPTAIN OBSERVED FUEL SYPHONING AND LANDED. TANK CAP HAD BEEN INSTALLED IMPROPERLY.                                ,"<CAPTAIN, OBSERVED, FUEL SYPHONING>
<FLIGHT, EVENT, LANDED>
<FLIGHT, LOCATION, TANK CAP, IMPROPERLY INSTALLED>"
19790615016499I,FUNNY NOISE DURING GEAR RETRACTION CAUSED BY PART OF THE TOWBAR LEFT ON THE NOSE WHEEL. COULD NOT BE EXTENDED.     ,
19790508100289I,PILOT FLEW AIRCRAFT NOT SIGNED OFF AFTER INSPECTION. LOST UPPER ENGINE COWLING IN FLIGHT. HAD NOT BEEN FASTENED.   ,"<PILOT, FLEW, AIRCRAFT>
<AIRCRAFT, NOT SIGNED OFF AFTER INSPECTION>
<LAST INSPECTION, LOST, UPPER ENGINE COWLING>
<UPPER ENGINE COWLING, HAD NOT BEEN FASTENED>"
19790510009019A,AIRCRAFT TOOK OFF BUT WAS UNABLE TO MAINIAIN FLIGHT. WITNESSES SAID THERE WAS MODERATE FROST ON THE WINGS.         ,"<AIRCRAFT, EVENT DISTANCE, TOOK OFF>
<AIRCRAFT, CONDITION, MODERATE FROST ON THE WINGS>"
19790528028209I,"FORCED LANDING AFTER ENGINE QUIT, FOUND WATER IN FUEL.                                                             ","<ENGINE QUIT, CAUSED, FORCED LANDING AFTER ENGINE QUIT>
<ENGINE QUIT, HAS EFFECT, FOUND WATER IN FUEL>"
19790529041069A,LEFT OFF ENGINE OIL FILLER CAP. ENGINE LOST POWER ON TAKEOFF. OIL BLOCKED AIR INTAKE. ALTERNATE AIR DEFECT.        ,"<ENGINE OIL FILLER CAP, CAUSE, ENGINE LOST POWER ON TAKEOFF>
<ENGINE LOST POWER ON TAKEOFF, HAS EFFECT, ALTERNATE AIR DEFECT>"
19790424024939I,"NOISE DURING GEAR RETRACTION, NOSE GEAR COULD NOT BE EXTENDED. DOOR PINS NOT ATTACHED AFTER MAINTENANCE.           ",
19790603012119A,"ENGINE STOPPED AFTER 25-FT AGL LIFTOFF. PLT TRIED TO BANK ACFT,STALLED, HIT GROUND. FAILED TO ASSURE FUEL VALVE ON.","<ACFT, EVENT DISTANCE, 25-FT AGL LIFTOFF>
<ACFT, HAS EFFECT, ENGINE STOPPED>
<ACFT, HAS EFFECT, HIT GROUND>
<ACFT, HAS EFFECT, FAILED TO ASSURE FUEL VALVE ON>
<PLT, USED BY, ACFT>
<PLT, EVENT DISTANCE, BANK ACFT, STALLED, HIT GROUND>"
19790515018139A,ATTEMPTED TAKEOFF WITH FLIGHT CONTROLS IN LOCKED MODE. FACTOR INADEQUATE PRE-FLIGHT CHECK.                         ,"<ATTEMPTED TAKEOFF, HAS EFFECT, LOCKED FLIGHT CONTROLS>
<ATTEMPTED TAKEOFF, HAS CAUSE, FACTOR INADEQUATE PRE-FLIGHT CHECK>"
19790513010459A,PILOT LANDED ON WHAT HE THOUGHT TO BE ONE FOOT HIGH GRASS. IT TURNED OUT TO BE THREE FEET HIGH. ACFT NOSED OVER.   ,"<PILOT, LANDED ON, THREE FEET HIGH GRASS>
<ACFT NOSED OVER, EVENT DISTANCE, ONE FOOT HIGH GRASS>"
19790623022919A,ENGINE WAS SPUTTERING ON TAKEOFF. ACFT CRASHED & BURNED. FOUND SOME WATER IN FUEL LINES.                           ,"<ENGINE, HAS EFFECT, SPUTTERING ON TAKEOFF>
<ACFT, HAS EFFECT, CRASHED & BURNED>
<FUEL LINES, CONTAINED WATER>"
19790609016529A,ROPE BROKE DURING AERO TOW TAKE OFF WHEN GLIDER WAS 140 FEET ABOVE GROUND. CRASH OCCURRED DURING FORCED LANDING.   ,"<ROPE, HAS CAUSE, CRASH>
<GLIDER, EVENT DISTANCE, 140 FEET ABOVE GROUND>"
19790427100619I,ENGINE EQUIPPED WITH HYDRAULIC PUMP WAS SHUT DOWN. EMERGENCY PROCEDURES NOT FOLLOWED. NOSE GEAR COLLAPSED.         ,"<NOSE GEAR, COLLAPSED>
<NOSE GEAR, HAS EFFECT, COLLAPSED>
<ENGINE EQUIPPED WITH HYDRAULIC PUMP, SHUT DOWN, HAS EFFECT, ENGINE EQUIPPED WITH HYDRAULIC PUMP WAS SHUT DOWN>
<EMERGENCY PROCEDURES, NOT FOLLOWED, HAS EFFECT, EMERGENCY PROCEDURES NOT FOLLOWED>"
19790427100559I,ENGINE QUIT DUE TO FUEL CONTAMINATION. AIRCRAFT DAMAGED IN AUTOROTATION.                                           ,"<ENGINE QUIT, HAS EFFECT, AIRCRAFT DAMAGED IN AUTOROTATION>
<ENGINE QUIT, HAS CAUSE, FUEL CONTAMINATION>"
19790524200519I,FUMES NOTED IN PASSENGER CABIN. EMERGENCY LANDING MADE. AFT FUEL CAP DAMAGED BY IMPROPER INSTALLATION.             ,
19790623014019A,RUDDER TRIM WAS SET FOR FULL NOSE LEFT TRIM. PILOT RAN OFF LEFT SIDE OF RUNWAY ON TAKEOFF.                         ,"<RUDDER TRIM, SET FOR, FULL NOSE LEFT TRIM>
<RUDDER TRIM, EVENT DISTANCE, RAN OFF LEFT SIDE OF RUNWAY ON TAKEOFF>"
19790605014429I,"PILOT ATTEMPTED TAKEOFF WITH FAULTY ENGINE, LANDED IN STREET, DAMAGED SPEED LIMIT SIGN DURING TAXI BACK TO FIELD   ","<PILOT, HAS EFFECT, LANDED IN STREET>
<PILOT, HAS EFFECT, DAMAGED SPEED LIMIT SIGN DURING TAXI BACK TO FIELD>"
19790429005459A,ACFT NOT FLOWN FOR 2 WKS. SEVERE RAIN. PILOT SAID THAT THERE WAS WATER IN FUEL                                     ,
19790627017429I,FORCED LANDING AFTER POWER LOSS. FOUND WATER IN FUEL.                                                              ,"<FORCED LANDING AFTER POWER LOSS, HAS EFFECT, FOUND WATER IN FUEL>
<FOUND WATER IN FUEL, HAS EFFECT, FORCED LANDING AFTER POWER LOSS>"
19790610014749I,PILOT TOOK OFF WITH TANKS NEARLY EMPTY. ENGINE QUIT AFTER LIFT OFF.                                                ,"<ACFT, HAS EFFECT, ENGINE QUIT AFTER LIFT OFF>
<ACFT, HAS EFFECT, TANKS NEARLY EMPTY>"
19790609011809A,AFTER TAKEOFF LOST ELECT. POWER. LANDED ON AIRPORT. LANDING GEAR NOT LOCKED DOWN. GENERATORS NOT TURNED ON.        ,"<LANDING GEAR, NOT LOCKED DOWN, AFTER TAKEOFF>
<LANDING GEAR, NOT LOCKED DOWN, AFTER TAKEOFF>
<LANDING GEAR, NOT LOCKED DOWN, AFTER TAKEOFF>
<GENERATORS, NOT TURNED ON, AFTER TAKEOFF>"
19790622017199I,STUDENT PILOT HAD TOPPED HIS TANKS AND GOT WATER IN THE FUEL. ENGINE QUIT TWICE BUT HE GOT IT ON THE RUNWAY AT HOME,"<STUDENT PILOT, HAS EFFECT, TOPPED TANKS>
<TANKS, HAS EFFECT, GOT WATER IN THE FUEL>
<STUDENT PILOT, HAS EFFECT, ENGINE QUIT TWICE>
<ENGINE, HAS EFFECT, QUIT TWICE>"
19790625015009A,ENGINE FAILED IN FLT. TWO & ONE HALF QUARTS OF WATER WERE DRAINED FROM THE GAS TANK AFTER THE ACCIDENT.            ,"<ENGINE, HAS EFFECT, TWO & ONE HALF QUARTERS OF WATER DRAINED FROM GAS TANK>"
19790503025389I,"AFTER DEVELOPING ELECTRICAL PROBLEM, PILOT LANDED, HAD ALTERNATOR BELT TIGHTENED, TOOK OFF AGAIN. BELT FAILED.     ","<DEVELOPING ELECTRICAL PROBLEM, HAS EFFECT, PILOT LANDED>
<BELT, FAILED, TOOK OFF>"
19790429025299I,"NOSE GEAR NOT LOCKED FOR LANDING,COLLAPSED. HAD BEEN RETRACTED WITH FLAT STRUT, CAUSING LINKAGE TO SEPERATE.       ","<NOSE GEAR, HAS EFFECT, COLLAPSED>
<NOSE GEAR, PART OF, FLAT STRUT>"
19790513026659I,"LOSS OF OIL PREESURE PRECEEDED ENGINE SHUTDOWN. VECTORS TO AIRPORT, 8 QUARTS OIL ADDED. ENGINE HAD MINOR OIL LEAK. ","<ENGINE, HAS CAUSE, OIL LEAK>
<ENGINE, HAS CAUSE, LOSS OF OIL PREESURE>
<8 QUARTS OIL, USED BY, VECTORS TO AIRPORT>"
19790515027029I,"ALTERNATOR BELT BROKE, ELECTRICAL SYSTEM FAILED. PILOT FAILED TO AVOID PREVENTABLE GEAR UP LANDING.                ","<ALTERNATOR BELT, HAS CAUSE, ELECTRICAL SYSTEM FAILED>
<PILOT, HAS EFFECT, FAILED TO AVOID PREVENTABLE GEAR UP LANDING>"
19790525014229A,HELICOPTER BEGAN TO VIBRATE DURING GROUND RUN UP. SELF DESTRUCTED. IMPROPERLY SERVICED STRUTS CAUSED GR RESONANCE. ,"<HELICOPTER, HAS CAUSE, IMPROPERLY SERVICED STRUTS>
<HELICOPTER, HAS CAUSE, GR RESONANCE>"
19790425024979I,PILOT UNABLE TO MAINTAIN ALTITUDE DUE TO POWER LOSS.FOUND WATER IN THE FUEL.                                       ,"<PILOT, HAS EFFECT, UNABLE TO MAINTAIN ALTITUDE>
<PILOT, HAS EFFECT, FOUND WATER IN FUEL>"
19790511011259A,"ATTEMPTED TAKE OFF WITH ICE ON AIRFRAME. MADE PREMATURE LIFT OFF,SETTLED TO GROUND,STRUCK DITCH.                   ",
19790622017219I,PILOT TOPPED TANKS AND LOST POWER DURING CLIMB. THE FUEL WAS CONTAMINATED WITH WATER                               ,"<PILOT, HAS EFFECT, TOPPED TANKS>
<PILOT, HAS EFFECT, LOST POWER>
<FUEL, HAS EFFECT, CONTAMINATED WITH WATER>"
19790519010229A,INSTRUMENT PANEL LIGHT SWITCH DEFECTIVE. PILOT UNABLE TO DIM LIGHTS. COULD NOT SEE OUT.ATTEMPTED FORCED LANDING.   ,"<INSTRUMENT PANEL LIGHT SWITCH, HAS EFFECT, COULD NOT SEE OUT>
<PILOT, HAS EFFECT, COULD NOT SEE OUT>"
19790507025919I,FUEL EXHAUSTION ONE TANK UNABLE TO RESTART ENGINE. USED BOOST PUMP AFTER PUSHING AND PULLING ENGINE CONTROLS.      ,"<FUEL EXHAUSTION, HAS EFFECT, UNABLE TO RESTART ENGINE>
<FUEL TANK, USED BY, BOOST PUMP>"
19790602009889A,ENGINE FAILED ENROUTE. PILOT DITCHED IN THE OCEAN. PILOT CLAIMED FUEL CONTAMINATION WAS CAUSE OF ACCIDENT.         ,"<ENGINE, HAS EFFECT, PILOT DITCHED IN THE OCEAN>
<PILOT, CLAIMED CAUSE, FUEL CONTAMINATION>"
19790609024769A,ENG. FAILED ON TAKEOFF. WATER IN FUEL. ACFT PARKED OUTSIDE FOR 11 MONTHS WITH PARTIALLY EMPTY FUEL TANKS.          ,"<ACFT, MAINTAINED BY, PARTIALLY EMPTY FUEL TANKS>
<ACFT, LOCATION, PARKED OUTSIDE FOR 11 MONTHS>"
19790719019309I,PILOTS FAILED TO CHECK POSITION OF GEAR HANDLE AND GEAR RETRACTION ON TAKEOFF ROLL.                                ,"<PILOTS, HAS EFFECT, FAILED TO CHECK POSITION OF GEAR HANDLE AND GEAR RETRACTION ON TAKEOFF ROLL>"
19790809030499I,ZA AFTER INSTRUCTIONAL MANUEVERS ENGINE FAILED. GASCOLATOR SHOWED FUEL CONTAMINATED WITH DIRT AND WATER.           ,"<ENGINE, HAS EFFECT, GASCOLATOR SHOWED FUEL CONTAMINATED WITH DIRT AND WATER>"
19790729022479I,PILOT FAILED TO EXTEND GEAR BEFORE LANDING.                                                                        ,"<PILOT, HAS EFFECT, FAILED TO EXTEND GEAR BEFORE LANDING>"
19790725018519A,LANDED WITH AIRPLANES NOSE NOT ALIGNED WITH RUNWAY. FOUND RUDDER PEDAL JAMMED WITH SMALL BOTTLE.                   ,"<LANDED WITH AIRPLANES, CONDITION, NOSE NOT ALIGNED WITH RUNWAY>
<FOUND, CONDITION, RUDDER PEDAL JAMMED WITH SMALL BOTTLE>"
19790726019139A,ENGINE ACCESS DOOR CAME LOSE AND ENGINE SPUTTERED AFTER TAKE OFF. INSTRUCTOR ATTEMPED 180 BACK TO RUNWAY. UNABLE.  ,"<INSTRUCTOR, ATTEMPTED, 180 BACK TO RUNWAY>
<INSTRUCTOR, UNABLE, 180 BACK TO RUNWAY>
<ENGINE ACCESS DOOR, CAME LOSE, ENGINE SPUTTERED, AFTER TAKE OFF>"
19790718017739A,PILOT SEAT SLID BACK ON TAKEOFF.LOST CONTROL.VEERED OFF RUNWAY.FAILED TO ASCERTAIN SEAT LOCKED BEFORE TAKE OFF.    ,"<PILOT SEAT, EVENT DISTANCE, SLID BACK ON TAKEOFF>
<PILOT SEAT, HAS EFFECT, LOST CONTROL>
<PILOT SEAT, HAS EFFECT, VEERED OFF RUNWAY>
<PILOT SEAT, HAS EFFECT, FAILED TO ASCERTAIN SEAT LOCKED BEFORE TAKE OFF>"
19790807029619I,PILOT FAILED TO SECURE OIL CAP ON PREFLIGHT. OIL WAS STREAMING OVER COWL AT LIFTOFF.                               ,"<PILOT, HAS EFFECT, FAILED TO SECURE OIL CAP ON PREFLIGHT>
<PILOT, HAS EFFECT, OIL STREAMING OVER COWL AT LIFTOFF>"
19790807024709A,PILOT ABORTED TAKEOFF & WHILE APPLYING BRAKES SEAT CAME LOOSE CAUSING PILOT'S FEET TO RELEASE BRAKES. ACFT CRASHED ,"<PILOT, HAS EFFECT, SEAT CAME LOOSE>
<SEAT, HAS EFFECT, PILOT'S FEET>
<PILOT, HAS EFFECT, RELEASED BRAKES>
<SEAT, HAS EFFECT, CAME LOOSE>
<ACFT, HAS EFFECT, CRASHED>"
19790813030889I,PILOT FAILED TO SECURE OIL CAP PROPERLY AT PREVIOUS STOP. LANDED WITH LOW OIL PRESSURE.                            ,"<PILOT, FAILED TO SECURE OIL CAP PROPERLY, OIL CAP>
<PILOT, LANDED WITH, LOW OIL PRESSURE, OIL>"
19790703018439I,ENGINE STOPPED SHORTLY AFTER TAKE-OFF. AIRCRAFT STRUCK RUNWAY GEAR UP. PILOT DRAINED 3 QUARTS OF WATER FROM TANKS. ,"<ENGINE, HAS EFFECT, STOPPED SHORTLY AFTER TAKE-OFF>
<AIRCRAFT, STRUCK, RUNWAY GEAR UP>
<PILOT, USED, DRAINED 3 QUARTS OF WATER FROM TANKS>"
19790807029669I,AIRSPEED INDICATOR INOP DUE TO PLUG ON END OF PITOT TUBE. LOST DIRECTIONAL CONTROL ON LANDING. ILLEGAL SOLO.       ,
19790823023209I,AIRCRAFT RAN OFF RUNWAY DURING LANDING ROLL. BRAKE DISC PADS TOTALLY WORN.                                         ,"<AIRCRAFT, HAS EFFECT, BRAKE DISC PADS TOTALLY WORN>"
19790813023739A,ENGINE FAILED DUE TO WATER AND TRASH IN FUEL. AIRCRAFT REFUELED FROM A BARREL. NO FILTER USED.                     ,"<ENGINE, HAS CAUSE, WATER AND TRASH IN FUEL>
<ENGINE, HAS CAUSE, NO FILTER USED>"
19790728024469A,"OIL FILLER CAP WAS LOOSE. NO OIL FOUND AT WRECK SIGHT, ALTHOUGH A HOLE WAS KNOCKED IN OIL PAN BY IMPACT FORCES.    ",
19790817031829I,ZA ZG STUDENT PILOT RAN OUT OF GAS AFTER 1 HOUR FLIGHT. FUEL GAUGES ALSO READ INCORRECTLY.                         ,"<ZA ZG STUDENT PILOT, HAS EFFECT, RAN OUT OF GAS>
<ZA ZG STUDENT PILOT, HAS EFFECT, FUEL GAUGES READ INCORRECTLY>"
19790705018829I,"ENGINE QUIT ON TAKEOFF DUE TO WATER IN FUEL. PILOT LANDED GEAR UP, HAD FAILED TO DRAIN WING SUMPS IN PREFLIGHT.    ","<ENGINE QUIT ON TAKEOFF DUE TO WATER IN FUEL, CAUSED, PILOT LANDED GEAR UP>
<PILOT LANDED GEAR UP, HAS EFFECT, FAILED TO DRAIN WING SUMPS IN PREFLIGHT>"
19790816031569I,FLUCTUATION AND GRADUAL LOSS OF OIL PRESSURE BEFORE SHUTTING ENGINE DOWN. LOOSE OIL FILLER CAP.                    ,"<LOOSE OIL FILLER CAP, HAS EFFECT, FLUCTUATION AND GRADUAL LOSS OF OIL PRESSURE>
<LOOSE OIL FILLER CAP, HAS EFFECT, SHUTTING ENGINE DOWN>"
19790820032669I,WHILE EN ROUTE OIL PRESSURE DROPPED TO 10 PSI. LANDED ON HIGHWAY AND FOUND OIL CAP HAD NOT BEEN PROPERLY SEATED.   ,"<EN ROUTE OIL PRESSURE, HAS EFFECT, 10 PSI>
<AFTER LANDING, LOCATION, HIGHWAY>
<AFTER LANDING, HAS EFFECT, OIL CAP NOT PROPERLY SEATED>"
19790729018879A,NOSE GEAR COLLAPSED ON LANDING ROLL. FOUND HYDRAULIC RESERVOIR TOO LOW ON FLUID TO OPERATE LANDING GEAR.           ,"<NOS EWHEEL, HAS EFFECT, NOSE GEAR COLLAPSED ON LANDING ROLL>
<NOS EWHEEL, HAS EFFECT, HYDRAULIC RESERVOIR TOO LOW ON FLUID TO OPERATE LANDING GEAR>"
19790829023019A,ENGINE STOPPED DURING SPRAY RUN. LANDED IN SOYBEAN FIELD. FLIPPED OVER. WATER IN FUEL.                             ,"<ENGINE, HAS EFFECT, LANDED IN SOYBEAN FIELD>
<ENGINE, HAS EFFECT, FLIPPED OVER>
<ENGINE, HAS EFFECT, WATER IN FUEL>"
19790801021959A,ENGINE FAILURE DUE TO WATER IN FUEL.                                                                               ,"<ENGINE FAILURE, HAS EFFECT, WATER IN FUEL>"
19790820029909A,"CABIN DOOR OPENED ON TAKEOFF ROLL. PILOT ABORTED TAKEOFF. UNABLE TO STOP ON RUNWAY, RAN OFF END INTO ROCKS.        ","<CABIN DOOR, EVENT DISTANCE, OPENED ON TAKEOFF ROLL>
<ABORTED TAKEOFF, CAUSE, CABIN DOOR OPENED ON TAKEOFF ROLL>
<ABORTED TAKEOFF, EFFECT, RAN OFF END INTO ROCKS>"
19790812030579I,"DURING TAKEOFF ROLL, GEAR COLLAPSED. GEAR SWITCH IN UP POSITION.                                                   ","<GEAR SWITCH, HAS EFFECT, GEAR COLLAPSED>
<GEAR, HAS EFFECT, GEAR SWITCH IN UP POSITION>"
19790808027309A,ENGINE FAILED DURING TAKEOFF. PILOT ATTEMPTED RETURN TO RUNWAY. INSUFFICIENT ALTITUDE. WATER IN FUEL.              ,"<ENGINE, HAS EFFECT, FAILED DURING TAKEOFF>
<PILOT, FOLLOWS, ATTEMPTED RETURN TO RUNWAY>
<ALTITUDE, HAS EFFECT, INSUFFICIENT>
<FUEL, HAS EFFECT, WATER IN FUEL>"
19790712020439I,STOPPED ON RUNWAY AFTER LANDING. NOSE GEAR TORQUE LINK APEX PIN WAS NOT INSTALLED.                                 ,"<NOSE GEAR TORQUE LINK APEX PIN, NOT INSTALLED, STOPPED ON RUNWAY AFTER LANDING>"
19790716019189I,AIRSTAIR DOOR CAME OPEN AFTER TAKEOFF. DURING LANDING DOOR DRUG ON RUNWAY TEARING LOOSE FROM AIRCRAFT.             ,"<AIRSTAIR DOOR, EVENT DISTANCE, AFTER TAKEOFF>
<LANDING DOOR, EVENT DISTANCE, AFTER LANDING>
<LANDING DOOR, LOCATION, RUNWAY, TEARING LOOSE FROM AIRCRAFT>"
19790710018689I,ELECTRICAL FAILURE RESULTED IN MANUAL GEAR EXTENSION. PILOT FAILED TO REENGAGE CLUTCH TO LOCK GEAR IN PLACE.       ,
19790918023659I,PILOT OWNER FORGOT TO RECONNECT NOSE GEAR DOOR RETRACT RODS WHICH RESULTED IN JAMMING THE NOSE GEAR.               ,"<NOSE GEAR DOOR RETRACT RODS, RESULT IN, JAMMED>
<NOSE GEAR DOOR RETRACT RODS, USED BY, PILOT OWNER>"
19790927050049I,PILOT REPORTED UNSAFE GEAR INDICATION. LANDED WITHOUT INCIDENT. GEAR LIGHT WAS SELECTED TO THE DIM POSITION.       ,"<PILOT, REPORTED, UNSAFE GEAR INDICATION>
<PILOT, LANDED, WITHOUT INCIDENT>
<GEAR LIGHT, SELECTED TO, DIM POSITION>"
