existing_node,match,new_row,final_node,similarity
WATER IN THE FUEL SYSTEM,WATER IN FUEL SYSTEM,262,WATER IN FUEL SYSTEM,1.0
NO BRAKES,BRAKES,269,BRAKES,1.0
TAKEOFF,AFTER TAKEOFF,270,AFTER TAKEOFF,1.0
ENGINE QUIT,AFTER ENGINE QUIT,272,AFTER ENGINE QUIT,1.0
WATER IN THE FUEL,WATER IN FUEL,272,WATER IN FUEL,1.0000001
WATER IN THE FUEL,WATER IN FUEL,272,WATER IN FUEL,1.0000001
ON LANDING,AFTER LANDING,281,AFTER LANDING,1.0
FORCED LANDING,DURING FORCED LANDING,282,DURING FORCED LANDING,1.0
ENGINE QUIT,AFTER ENGINE QUIT,282,AFTER ENGINE QUIT,1.0
FORCED LANDING,DURING FORCED LANDING,283,DURING FORCED LANDING,1.0
ENGINE QUIT,AFTER ENGINE QUIT,283,AFTER ENGINE QUIT,1.0
ENGINE QUIT,AFTER ENGINE QUIT,283,AFTER ENGINE QUIT,1.0
OUT,AGAIN,287,AGAIN,1.0000001
ON LANDING,AFTER LANDING,291,AFTER LANDING,1.0
DURING TAKEOFF,AFTER TAKEOFF,293,AFTER TAKEOFF,1.0
TAKEOFF,AFTER TAKEOFF,294,AFTER TAKEOFF,1.0
BACK,AGAIN,295,AGAIN,1.0000001
TAKEOFF,AFTER TAKEOFF,296,AFTER TAKEOFF,1.0
FORCED LANDING,DURING FORCED LANDING,299,DURING FORCED LANDING,1.0
TAKEOFF,AFTER TAKEOFF,302,AFTER TAKEOFF,1.0
FORCED LANDING,DURING FORCED LANDING,306,DURING FORCED LANDING,1.0
TAKEOFF,AFTER TAKEOFF,307,AFTER TAKEOFF,1.0
ENGINE QUIT,AFTER ENGINE QUIT,314,AFTER ENGINE QUIT,1.0
TAKEOFF,AFTER TAKEOFF,314,AFTER TAKEOFF,1.0
ENGINE QUIT,AFTER ENGINE QUIT,317,AFTER ENGINE QUIT,1.0
FORCED LANDING,DURING FORCED LANDING,320,DURING FORCED LANDING,1.0
FORCED LANDING,DURING FORCED LANDING,322,DURING FORCED LANDING,1.0
IN FLIGHT,FLIGHT,326,FLIGHT,1.0
FORCED LANDING,DURING FORCED LANDING,328,DURING FORCED LANDING,1.0
ENGINE QUIT,AFTER ENGINE QUIT,328,AFTER ENGINE QUIT,1.0
TAKEOFF,AFTER TAKEOFF,329,AFTER TAKEOFF,1.0
TAKEOFF,AFTER TAKEOFF,334,AFTER TAKEOFF,1.0
ENGINE QUIT,AFTER ENGINE QUIT,337,AFTER ENGINE QUIT,1.0
TAKEOFF,AFTER TAKEOFF,339,AFTER TAKEOFF,1.0
FORCED LANDING,DURING FORCED LANDING,342,DURING FORCED LANDING,1.0
DOWN,AGAIN,344,AGAIN,1.0000001
IN FLT,FIRST FLT,346,FIRST FLT,1.0
LANDING,AFTER LANDING,348,AFTER LANDING,1.0
WATER IN THE FUEL,WATER IN FUEL,352,WATER IN FUEL,1.0000001
OUT,AGAIN,355,AGAIN,1.0000001
FORCED LANDING,DURING FORCED LANDING,355,DURING FORCED LANDING,1.0
TAKEOFF,AFTER TAKEOFF,358,AFTER TAKEOFF,1.0
BEFORE LANDING,AFTER LANDING,361,AFTER LANDING,1.0
TAKEOFF,AFTER TAKEOFF,364,AFTER TAKEOFF,1.0
PREFLIGHT,DURING PREFLIGHT,365,DURING PREFLIGHT,1.0
LIFTOFF,AFTER LIFTOFF,365,AFTER LIFTOFF,1.0
TAKEOFF,AFTER TAKEOFF,366,AFTER TAKEOFF,1.0
ON LANDING,AFTER LANDING,369,AFTER LANDING,1.0
ENGINE QUIT,AFTER ENGINE QUIT,374,AFTER ENGINE QUIT,1.0
GEAR UP,GEAR,374,GEAR,1.0
PREFLIGHT,DURING PREFLIGHT,374,DURING PREFLIGHT,1.0
TAKEOFF ROLL,DURING TAKEOFF ROLL,380,DURING TAKEOFF ROLL,1.0
TAKEOFF,AFTER TAKEOFF,380,AFTER TAKEOFF,1.0
DURING TAKEOFF,AFTER TAKEOFF,382,AFTER TAKEOFF,1.0
TAKEOFF,AFTER TAKEOFF,384,AFTER TAKEOFF,1.0
LANDING,AFTER LANDING,384,AFTER LANDING,1.0
IN FLIGHT,FLIGHT,388,FLIGHT,1.0
IN FUEL,FUEL,393,FUEL,1.0
TAKEOFF,AFTER TAKEOFF,396,AFTER TAKEOFF,1.0
END RUNWAY,END OF RUNWAY,396,END OF RUNWAY,1.0000001
DURING TAKEOFF,AFTER TAKEOFF,397,AFTER TAKEOFF,1.0
ENGINE QUIT,AFTER ENGINE QUIT,399,AFTER ENGINE QUIT,1.0
