c5_sources,node,count
19800624056259I,BAGGAGE DOOR,1
19800624056259I,STRUCK LEFT PROPELLER,1
19800624056259I,SAFETY,1
19800619055649I,COLLAPSED ON START-UP,1
19800823080969I,ELECTRICAL SYSTEM FAILURE,1
19800823080969I,PILOT DID NOT USE EMERGENCY PROCEDURE,1
19800716028479A,CRASH,1
19800716028479A,EMERGENCY LANDING,1
19800707059709I,PREVIOUS LANDING ON ROUGH PRIVATE RUNWAY,1
19800623021719A,CRASHED IN DITCH,1
19800623021719A,END OF RUNWAY,1
19800712077549I,QUIT,1
19800712077549I,LANDED,1
19800712077549I,SHORT OF RUNWAY,1
19800712077549I,FUEL TANK,1
19800712077549I,GAAS STORAGE TANK,1
19800712077549I,NAVY BASE,1
19800819040989A,FLAT BED,1
19800819040989A,VERTICAL TAKEOFF,1
19800819040989A,REAR SKID NOT INTIED,1
19800819039089A,AIRCRAFT CRASHED INTO TREES,2
