c5,c119,phi4mini_instruct_triplets_clean
19800128019779I,SMOKE IN COCKPIT SHORTLY AFTER LIFTOFF. FIREMEN DETERMINED SMOKE CAME FROM A RAG IN THE ENGINE COWL.               ,"<SMOKE, HAS EFFECT, ENGINE COWL>
<SMOKE, CAUSE, RAG IN THE ENGINE COWL>"
19800128019789I,PILOT SMELLED OIL IN FLIGHT AND OBSERVED OIL IN COWLING. MADE PRECAUTIONARY LANDING. OIL CAP CAME OFF IN FLIGHT.   ,"<PILOT, OBSERVED OIL IN COWLING, OIL CAP CAME OFF IN FLIGHT>
<PILOT, SMELLED OIL IN FLIGHT, MADE PRECAUTIONARY LANDING, OIL CAP CAME OFF IN FLIGHT>"
19800129020169I,PILOT STATED HE EXPERIENCED BOTH BRAKES FREEZING UP BEFORE TAKEOFF.                                                ,"<PILOT, EXPERIENCED, BOTH BRAKES FREEZING UP BEFORE TAKEOFF>"
19800129020179I,FUEL CAP O RINGS WORN. DID NOT SEAL. LARGE QUANTITY WATER FOUND RIGHT TANK.                                        ,"<FUEL CAP O RINGS, CONDITION, WORN>
<FUEL CAP O RINGS, CAUSE, DID NOT SEAL>
<FUEL CAP O RINGS, HAS EFFECT, LARGE QUANTITY WATER FOUND RIGHT TANK>"
19800216026099I,"PILOT INDICATED ENGINE RUNNING ROUGH AFTER TAKEOFF, SO HE MADE EMERGENCY LANDING IN A FIELD.                       ","<PILOT, HAS EFFECT, MADE EMERGENCY LANDING IN A FIELD>"
19800219031689I,ENGINE QUIT IMMEDIATELY AFTER TAKEOFF. WATER WAS FOUND IN GASCOLATOR..                                             ,"<ENGINE, HAS EFFECT, QUIT IMMEDIATELY AFTER TAKEOFF>
<ENGINE, HAS EFFECT, WATER FOUND IN GASCOLATOR>"
19800217031679I,ENGINE LOST RPM DUE TO WATER IN FUEL TANKS AND FUEL SYSTEM. AIRCRAFT STRUCK FENCE DURING FORCED LANDING.           ,"<ENGINE, HAS EFFECT, LOST RPM DUE TO WATER IN FUEL TANKS AND FUEL SYSTEM>
<AIRCRAFT, HAS EFFECT, STRUCK FENCE DURING FORCED LANDING>"
19800129002139A,ENGINE QUIT DUE TO WATER AND DIRT IN FUEL TANK. PLANE CRASHED ON FIELD AIRSTRIP.                                   ,"<ENGINE QUIT, HAS EFFECT, PLANE CRASHED ON FIELD AIRSTRIP>"
19800208002479A,PILOT REPORTED THROTTLE FROZE WIDE OPEN. MADE HARD LANDING. HELICOPTER HAD SNOW AND ICE ON SURFACE AT DEPARTURE.   ,"<PILOT, REPORTED, THROTTLE FROZE WIDE OPEN>
<PILOT, MADE, HARD LANDING>
<HELICOPTER, LOCATION, SURFACE AT DEPARTURE>
<HELICOPTER, CONDITION, SNOW AND ICE ON SURFACE>"
19800215002609A,TRIED TO TAKE OFF WITH EXTERNAL LOAD. LINE CAUGHT ON A SKID. LOST CONTROL OF AIRCRAFT. AIRCRAFT NOSE-DIVED.        ,"<TRIED TO TAKE OFF WITH EXTERNAL LOAD, EVENT DISTANCE, LOST CONTROL OF AIRCRAFT>
<LOSS OF CONTROL OF AIRPLANE, EVENT DISTANCE, AIRCRAFT NOSE-DIVED>"
19800223026959I,ENGINE STOPPED. PILOT MADE EMERGENCY LANDING. CARBURETOR ICE OR FUEL CONTAMINATION. CAUSE UNDETERMINDED.           ,"<ENGINE, HAS EFFECT, PILOT MADE EMERGENCY LANDING>
<ENGINE, HAS EFFECT, CARBURETOR ICE OR FUEL CONTAMINATION>"
19800223029599I,"RIGHT ENGINE FAILED, THEN CENTER ENGINE. WATER FOUND IN FUEL TANKS.                                                ","<RIGHT ENGINE, HAS EFFECT, CENTER ENGINE>
<WATER, CAUSE, FUEL TANKS>"
19800224029629I,ENGINE STOPPED AFTER LIFT-OFF. WATER FOUND IN FUEL.                                                                ,"<ENGINE, HAS EFFECT, ENGINE STOPPED AFTER LIFT-OFF>
<ENGINE, HAS EFFECT, WATER FOUND IN FUEL>"
19800228028039I,"PARTIAL LOSS OF UP ELEVATOR IN FLIGHT, RESULT OF PROP BLAST DURING TAXI. NOT DISCOVRED ON PRETAKEOFF CHECK.        ",
19800309042889I,CREW STARTED ENGINES AND BEGAN TAXI WHILE BEING REFUELED. RAN INTO FUEL TRUCK. DEPARTED WITH DAMAGED WING.         ,"<CREW, USED BY, ENGINES>
<CREW, USED BY, TAXI WHILE BEING REFUELED>
<CREW, EVENT DISTANCE, RAN INTO FUEL TRUCK>
<CREW, EVENT DISTANCE, DEPARTED WITH DAMAGED WING>"
19800319040039I,"POWER LOSS ONE HOUR AFTER DEPARTURE, CAUSED BY LOSS OF OIL. LOOSE B-NUT ON OIL LINE AT OIL COOLER.                 ",
19800320047429I,TAKEOFF WARNING HORN SOUNDED. ABORTED TAKEOFF. SPEED BRAKE LEVER NOT SEATED.                                       ,"<ABORTED TAKEOFF, HAS EFFECT, SPEED BRAKE LEVER NOT SEATED>"
19800331045949I,ON TAKEOFF ROLL AT 60 MPH RIGHT MAIN GEAR STRUCK A WATER FILLED POTHOLE. FLIGHT ABORTED.                           ,"<BEFORE FLIGHT, EVENT DISTANCE, ON TAKEOFF ROLL AT 60 MPH RIGHT MAIN GEAR STRUCK A WATER FILLED POTHOLE>
<BEFORE FLIGHT, HAS EFFECT, FLIGHT ABORTED>"
19800403047119I,ENGINE LOST POWER DUE TO FUEL CONTAMINATION. EXCESSIVE AMOUNT OF WATER FOUND IN TANKS.                             ,"<ENGINE, HAS EFFECT, LOST POWER DUE TO FUEL CONTAMINATION>
<ENGINE, HAS EFFECT, EXCESSIVE AMOUNT OF WATER FOUND IN TANKS>"
19800225005279A,SEAT SLID BACKWARDS DURING TAXI FOR TAKEOFF. PILOT UNABLE TO REACH CONTROLS. AIRPLANE RAN INTO A DITCH.            ,"<TAXI FOR TAKEOFF, EVENT DISTANCE, SEAT SLID BACKWARDS DURING TAXI FOR TAKEOFF>
<TAXI FOR TAKEOFF, HAS EFFECT, PILOT UNABLE TO REACH CONTROLS>
<TAXI FOR TAKEOFF, HAS EFFECT, AIRPLANE RAN INTO A DITCH>"
19800229004169A,TURNED ON NOSE WHEEL STEERING TURNING FINAL. WHEEL WAS TURNED TO LEFT ON TOUCHDOWN. VEERED INTO SNOWBANK.          ,"<NOSE WHEEL STEERING, EVENT DISTANCE, TURNED TO LEFT ON TOUCHDOWN>
<VEERING, LOCATION, SNOWBANK>"
19800328007979A,"PILOT RAN OUT OF FUEL. TRIED LANDING ON ROAD, HIT CAR. KILLED TWO PERSONS. PILOT HAD BEEN DRINKING.                ","<PILOT, HAS EFFECT, KILLED TWO PERSONS>
<PILOT, HAS CAUSE, DRANKING>
<PILOT, USED BY, DRANKING>
<PILOT, LOCATION, ROAD>"
19800321006629A,FAILED TO CLIMB AFTER TAKEOFF. HIT TREE ON DEPARTURE END OF RUNWAY. INDICATES FLAP HANDLE NOT SECURED IN SLOT.     ,
19800322006789A,PILOT DIDN'T DRAIN FUEL LINES THAT HAD WATER IN TANK. ENGINE QUIT ON TAKEOFF. PLANE CRASHED.                       ,"<PILOT, HAS EFFECT, DID NOT DRAIN FUEL LINES>
<ENGINE, QUIT, ON TAKEOFF>
<PLANE, HAS EFFECT, CRASHED>"
19800408048109I,"FLIGHT ENGINEER FAILED TO REMOVE NOSE DOWNLOCK PIN, RESULTING IN UNSCHEDULED LANDING.                              ","<FLIGHT ENGINEER, HAS EFFECT, UNSCHEDULED LANDING>"
19800410050199I,WHEEL CAME OFF ON LANDING. OWNER HAD REMOVED BRAKE ASSEMBLY DAY PREVIOUS.                                          ,"<OWNER, MAINTAINED BY, WHEEL CAME OFF ON LANDING>
<OWNER, MAINTAINED BY, REMOVED BRAKE ASSEMBLY DAY PREVIOUS>"
19800415047829I,WATER IN FUEL CAUSED ENGINE STOPPAGE ON TAKEOFF.                                                                   ,"<ENGINE STOPPAGE ON TAKEOFF, HAS EFFECT, WATER IN FUEL>"
19800427044589I,"ALTERNATOR NOT OPERATING AT TAKEOFF, ELECTRICAL FAILURE SOON AFTER. LANDED WITH GEAR PARTIALLY DOWN, COLLAPSED.    ","<ALTERNATOR, HAS CAUSE, ELECTRICAL FAILURE>
<ALTERNATOR, HAS CAUSE, COLLAPSED>
<ALTERNATOR, HAS CAUSE, LANDED WITH GEAR PARTIALLY DOWN>"
19800501044549I,GEAR WOULD NOT EXTEND NORMALLY. PILOT DID NOT KNOW HOW TO USE THE EMERGENCY SYSTEM.                                ,
19800504044909I,ENGINE FAILED DUE TO FUEL CONTAMINATION. FORCED LANDING MADE IN FIELD.                                             ,"<ENGINE, HAS EFFECT, FORCED LANDING MADE IN FIELD>
<ENGINE, HAS CAUSE, FUEL CONTAMINATION>"
19800507051499I,ABORTED TAKEOFF WHEN ACCESS DOOR LIGHT CAME ON. TAXIED BACK INTO POSITION AND DEPARTED.                            ,
19800519054059I,FORCED LANDING MADE AFTER PILOT HEARD LOUD NOISES. SUSPECT WATER IN FUEL.                                          ,"<FORCE LANDING, CAUSED BY, PILOT HEARING LOUD NOISES>
<FORCE LANDING, SUSPECTED CAUSE, WATER IN FUEL>"
19800604051679I,"STUDENT PREFLIGHTED PLANE. STATED GAS TANKS FULL. AFTER 1.2 HOURS, RAN OUT OF GAS. LANDED IN FIELD.                ","<STUDENT PREFLIGHTED PLANE, HAS EFFECT, LANDED IN FIELD>
<STUDENT PREFLIGHTED PLANE, USED BY, STUDENT>
<STUDENT PREFLIGHTED PLANE, HAS CAUSE, RAN OUT OF GAS>
<STUDENT PREFLIGHTED PLANE, LOCATION, FIELD>"
19800607046889I,ENGINE QUIT DUE TO WATER IN FUEL. NO DAMAGE IN EMERGENCY LANDING.                                                  ,"<ENGINE QUIT, HAS EFFECT, NO DAMAGE IN EMERGENCY LANDING>"
19800611054319I,PILOT ACCUSTOMED TO USING PORTABLE FUEL CANS. USED CANS TO REFUEL HIS AIRPLANE FROM CANS. QUIT ON WATER TAKEOFF    ,"<PILOT, USED BY, PORTABLE FUEL CANS>
<PILOT, USED BY, CANS>
<PILOT, QUIT ON, WATER TAKEOFF>"
19800530018349A,FERTILIZE BUCKET SUPPORT CABLE CAUGHT ON LOADING SYSTEM ON TAKEOFF. PULLED COPTER TO THE GROUND.                   ,"<FERTILIZE BUCKET SUPPORT CABLE, USED BY, LOADING SYSTEM>
<FERTILIZE BUCKET SUPPORT CABLE, EVENT DISTANCE, ON TAKEOFF>
<COPTER, USED BY, PULLED BY AN UNKNOWN ENTITY>"
19800418044679I,NOSE GEAR COLLAPSED ON LANDING. PILOT WAS UNABLE TO VERIFY GEAR POSITION WITH DEFECTIVE LIGHT.                     ,"<NOSE GEAR, HAS EFFECT, COLLAPSED ON LANDING>
<PILOT, UNABLE TO VERIFY GEAR POSITION, DEFECTIVE LIGHT>"
19800615052619I,AIRCRAFT RAN OFF EDGE OF TAXIWAY AT NIGHT. AIRCRAFT TAXI LIGHT INOPERATIVE.                                        ,"<AIRCRAFT, EVENT DISTANCE, TAXIWAY>
<AIRCRAFT, HAS EFFECT, TAXI LIGHT INOPERATIVE>"
19800518014229A,"WHILE TAXIING FOR TAKEOFF, GEAR COLLAPSED CAUSING DAMAGE TO LEFT WING.                                             ",
19800429039119A,"ON TAXIWAY, RUNWAY FELL APART, LEAVING A BIG HOLE. PLANE NOSE WHEEL FELL INTO THE HOLE.                            ","<RUNWAY, EVENT DISTANCE, LEAVING A BIG HOLE>
<PLANE NOSE WHEEL, EVENT DISTANCE, FELL INTO THE HOLE>"
19800413049409I,NOSE GEAR COLLAPSED ON ROLLOUT.PLANE WAS OUT OF SERVICE FOR MAINTENANCE. LINEBOY POSITIONED IN NORMAN SPOT         ,"<NOS EWHEEL, MAINTENANCE, NORMAN SPOT>"
19800508011869A,PILOT DID NOT CHECK FUEL TIME USED & DID NOT PREFLIGHT BEFORE A RETURN FLIGHT. RAN OUT OF FUEL.                    ,"<PILOT, HAS EFFECT, RAN OUT OF FUEL>"
19800423010499A,HAD GEAR UNSAFE LIGHT. STARTED GO-AROUND WITHOUT ADVANCING PROPS. CO-PILOT DELAYED CLEAN-UP. SETTLED INTO TREES.   ,"<HAD GEAR UNSAFE LIGHT, CONDITION, STARTED GO-AROUND WITHOUT ADVANCING PROPS>
<HAD GEAR UNSAFE LIGHT, CONDITION, CO-PILOT DELAYED CLEAN-UP>
<HAD GEAR UNSAFE LIGHT, CONDITION, SETTLED INTO TREES>"
19800608019219A,"ENGINE FAILED TO OBTAIN FULL POWER ON TAKEOFF. STALLED, AVOIDING TREES. STUCK RINGS AND VALVES FROM SLUDGE IN OIL. ","<ENGINE, HAS CAUSE, FAILED TO OBTAIN FULL POWER ON TAKEOFF>
<ENGINE, HAS CAUSE, SLUDGE IN OIL>
<ENGINE, HAS EFFECT, AVOIDING TREES>
<ENGINE, HAS EFFECT, AVOIDING TREES>
<ENGINE, HAS EFFECT, AVOIDING TREES>"
19800421009329A,BEGAN GEAR RETRACTION ON CLIMBOUT WITH EMERGENCY GEAR HANDLE ENGAGED. DISTRACTEDPILOT. PROPS & STEP HIT RUNWAY.    ,
19800424010429A,"MADE TAKEOFF WITH TRAILING LAND LINE WHICH CAUGHT ON A HORIZONTAL CABLE. MAIN ROTOR SEVERED TAIL ROTOR, CRASHLANDED","<MAJOR EVENT, HAS EFFECT, MAIN ROTOR SEVERED TAIL ROTOR>
<MAJOR EVENT, HAS EFFECT, CRASHLANDED>
<MAJOR EVENT, USED BY, TRAILING LAND LINE>"
19800523016979A,AILERONS HOOKED UP BACKWARD BY MAINTENANCE. WING-TIP HIT RUNWAY AFTER LIFT-OFF. PILOT FAILED TO CHECK CONTROLS.    ,"<AILERONS, USED BY, MAINTENANCE>
<WING-TIP, HAS EFFECT, HIT RUNWAY>
<PILOT, HAS EFFECT, FAILED TO CHECK CONTROLS>"
19800714060679I,FORCED LANDING WHEN ENGINE FAILED DUE TO LACK OF OIL.                                                              ,"<ENGINE, HAS EFFECT, LACK OF OIL>
<ENGINE, CAUSE, FORCED LANDING>"
19800805067769I,TAKEOFF REJECTED DUE TO TAKEOFF WARNING HORN. ELEVATOR TRIM WAS IMPROPERLY SET.                                    ,"<ON TAKEOFF, REJECTED DUE TO, TAKEOFF WARNING HORN>
<ELEVATOR TRIM, IMPROPERLY SET>"
19800822082749I,"BRAKES INOPERATIVE AFTER LANDING. HYDRAULIC RESERVOIR WAS EMPTY, BRAKES HAD JUST BEEN REPLACED.                    ","<BRAKES, HAS EFFECT, INOPERATIVE AFTER LANDING>
<BRAKES, MAINTAINED BY, HYDRAULIC RESERVOIR>"
19800815066579I,OIL LEAK CAUSED BY DIPSTICK NOT BEING SECURED.                                                                     ,
19800721061969I,FLIGHT RETURNED WHEN GEAR WOULD NOT RETRACT. FOUND GEAR PIN WAS LEFT INSTALLED.                                    ,
19800807063609I,DUST COVER PLATE NOT REMOVED BEFORE FLIGHT. ENGINE OVERHEATED. STRUCK LOG IN TALL GRASS DURING LANDING.            ,"<DUST COVER PLATE, NOT REMOVED, BEFORE FLIGHT>
<ENGINE, OVERHEATED>
<ENGINE, STRUCK LOG IN TALL GRASS, DURING LANDING>"
19800624056259I,BAGGAGE DOOR NOT SECURED PROPERLY BY PILOT. SUITCASE FELL OUT AND STRUCK LEFT PROPELLER.                           ,"<BAGGAGE DOOR, HAS EFFECT, STRUCK LEFT PROPELLER>
<SAFETY, INFLUENCED BY, PILOT>"
19800619055649I,LANDING GEAR SWITCH IMPROPERLY PLACED. OVERLOOKED IN PREFLIGHT. NOSE GEAR COLLAPSED ON START-UP.                   ,"<NOSE GEAR, HAS EFFECT, COLLAPSED ON START-UP>
<LANDING GEAR SWITCH, IMPROPERLY PLACED, OVERLOOKED IN PREFLIGHT>"
19800620022039A,"SEAT NOT LATCHED, SLID BACKWARD ON TAKEOFF. LOST DIRECTIONAL CONTROL. VEERED OFF RUNWAY INTO TREES.                ","<SEAT, NOT LATCHED, SLID BACKWARD ON TAKEOFF>
<VEERING OFF RUNWAY, LOST DIRECTIONAL CONTROL, INTO TREES>"
19800624056339I,"PILOT LANDED NO FLAP, OVERRAN END OF RUNWAY. LANDING LIGHT INOPERATIVE.                                            ","<PILOT, LANDING LIGHT, INOPERATIVE>"
19800624056299I,FLIGHT TOOK OFF WITH LESS THAN SCHEDULED AMOUNT OF FUEL.                                                           ,
19800823080969I,ELECTRICAL SYSTEM FAILURE DUE TO CORRODED BATTERY LEAD. PILOT DID NOT USE EMERGENCY PROCEDURE TO EXTEND GEAR.      ,"<ELECTRICAL SYSTEM FAILURE, HAS EFFECT, PILOT DID NOT USE EMERGENCY PROCEDURE>
<PILOT, DID NOT USE EMERGENCY PROCEDURE, EMERGENCY PROCEDURE, EXTEND GEAR>"
