c5_sources,entity1,entity2,weight,relations,rows
19791221039859A,LANDED IN FIELD,LANDED AFTER ENGINE TO STOP,1,EVENT DISTANCE,14
19791228036809A,ACFT,RAN OFF END RWY INTO A BARN,1,EVENT DISTANCE,16
19800623021719A,ACFT,ABORTED TAKEOFF,1,HAS EFFECT,96
19800623021719A,ACFT,CRASHED IN DITCH,1,HAS EFFECT,96
19800623021719A,ACFT,END OF RUNWAY,1,LOCATION,96
19791216046619I,CREW,LOST POWER,1,HAS EFFECT,18
19791216046619I,CREW,POWER AND CONTROL WERE SOON RESTORED,1,HAS EFFECT,18
19800309042889I,CREW,ENGINES,1,USED BY,48
19800309042889I,CREW,TAXI WHILE BEING REFUELED,1,USED BY,48
19800309042889I,CREW,RAN INTO FUEL TRUCK,1,EVENT DISTANCE,48
19800309042889I,CREW,DEPARTED WITH DAMAGED WING,1,EVENT DISTANCE,48
19791210043359A,ABORTED TAKEOFF,ENGINE COWLING CAME OPEN ON THE TAKEOFF ROLL,1,EVENT DISTANCE,19
19791210043359A,ABORTED TAKEOFF,DROPPED OVER A CLIFF,1,EVENT DISTANCE,19
19791210043359A,ABORTED TAKEOFF,UNABLE TO STOP ON RUNWAY,1,EVENT DISTANCE,19
19791210036229A,ABORTED TAKEOFF,RAN OFF END OF RUNWAY,1,EVENT DISTANCE,20
19800320047429I,ABORTED TAKEOFF,SPEED BRAKE LEVER NOT SEATED,1,HAS EFFECT,50
19800109001489A,ELECTRIC POWER LOSS,GEAR COLLAPSED ON LANDING ROLL,1,HAS EFFECT,22
19800106011019I,RUNWAY,NOT LIGHTED,1,LOCATION,23
19800429039119A,RUNWAY,LEAVING A BIG HOLE,1,EVENT DISTANCE,73
19800113000039A,LOST CONTROL OF AIRPLANE,DESCENDING IFR IN HOLDING PATTERN,1,EVENT DISTANCE,25
19800120016369I,FLAP JACKSCREW,LUBRICATED FLAP JACKSCREW,1,HAS EFFECT,29
19800120016369I,FLAP JACKSCREW,AIRCRAFT,3,INFLUENCED BY;MAINTAINED BY;USED BY,29
19800128019739I,FUEL,CONTAINS ICE CRYSTALS,1,HAS EFFECT,30
19800128019739I,SHOOTING TOUCH & GO LANDINGS,NOT SPECIFIED,1,LOCATION,30
19800119018919I,ICE,LOWEST POINT IN FUEL SYSTEM UNDER FUEL ON-OFF SELECTOR,2,HAS EFFECT,32
19800119018919I,ICE,STRAINER,1,HAS EFFECT,32
19800128019779I,SMOKE,ENGINE COWL,1,HAS EFFECT,34
19800129020179I,FUEL CAP O RINGS,LARGE QUANTITY WATER FOUND RIGHT TANK,1,HAS EFFECT,37
19800208002479A,HELICOPTER,SURFACE AT DEPARTURE,1,LOCATION,42
19800819040989A,HELICOPTER,FLAT BED,1,EVENT DISTANCE,98
19800819040989A,HELICOPTER,VERTICAL TAKEOFF,1,EVENT DISTANCE,98
19800819040989A,HELICOPTER,REAR SKID NOT INTIED,1,EVENT DISTANCE,98
19800215002609A,TRIED TO TAKE OFF WITH EXTERNAL LOAD,LOST CONTROL OF AIRCRAFT,1,EVENT DISTANCE,43
19800215002609A,LOSS OF CONTROL OF AIRPLANE,AIRCRAFT NOSE-DIVED,1,EVENT DISTANCE,43
19800223029599I,RIGHT ENGINE,CENTER ENGINE,1,HAS EFFECT,45
19800225005279A,TAXI FOR TAKEOFF,SEAT SLID BACKWARDS DURING TAXI FOR TAKEOFF,1,EVENT DISTANCE,53
19800225005279A,TAXI FOR TAKEOFF,PILOT UNABLE TO REACH CONTROLS,1,HAS EFFECT,53
19800225005279A,TAXI FOR TAKEOFF,AIRPLANE RAN INTO A DITCH,1,HAS EFFECT,53
19800229004169A,NOSE WHEEL STEERING,TURNED TO LEFT ON TOUCHDOWN,1,EVENT DISTANCE,54
19800229004169A,VEERING,SNOWBANK,1,LOCATION,54
19800322006789A,PLANE,CRASHED,1,HAS EFFECT,57
19800408048109I,FLIGHT ENGINEER,UNSCHEDULED LANDING,1,HAS EFFECT,58
19800410050199I,OWNER,WHEEL CAME OFF ON LANDING,1,MAINTAINED BY,59
19800410050199I,OWNER,REMOVED BRAKE ASSEMBLY DAY PREVIOUS,1,MAINTAINED BY,59
19800415047829I,ENGINE STOPPAGE ON TAKEOFF,WATER IN FUEL,1,HAS EFFECT,60
19800427044589I,ALTERNATOR,ELECTRICAL FAILURE,1,HAS CAUSE,61
19800427044589I,ALTERNATOR,COLLAPSED,1,HAS CAUSE,61
19800427044589I,ALTERNATOR,LANDED WITH GEAR PARTIALLY DOWN,1,HAS CAUSE,61
19800604051679I,STUDENT PREFLIGHTED PLANE,LANDED IN FIELD,1,HAS EFFECT,66
19800604051679I,STUDENT PREFLIGHTED PLANE,STUDENT,1,USED BY,66
19800604051679I,STUDENT PREFLIGHTED PLANE,RAN OUT OF GAS,1,HAS CAUSE,66
19800604051679I,STUDENT PREFLIGHTED PLANE,FIELD,1,LOCATION,66
19800530018349A,FERTILIZE BUCKET SUPPORT CABLE,LOADING SYSTEM,1,USED BY,69
19800530018349A,FERTILIZE BUCKET SUPPORT CABLE,ON TAKEOFF,1,EVENT DISTANCE,69
19800530018349A,COPTER,PULLED BY AN UNKNOWN ENTITY,1,USED BY,69
19800418044679I,NOSE GEAR,COLLAPSED ON LANDING,1,HAS EFFECT,70
19800619055649I,NOSE GEAR,COLLAPSED ON START-UP,1,HAS EFFECT,88
19800429039119A,PLANE NOSE WHEEL,FELL INTO THE HOLE,1,EVENT DISTANCE,73
19800424010429A,MAJOR EVENT,MAIN ROTOR SEVERED TAIL ROTOR,1,HAS EFFECT,79
19800424010429A,MAJOR EVENT,CRASHLANDED,1,HAS EFFECT,79
19800424010429A,MAJOR EVENT,TRAILING LAND LINE,1,USED BY,79
19800523016979A,AILERONS,MAINTENANCE,1,USED BY,80
19800523016979A,WING-TIP,HIT RUNWAY,1,HAS EFFECT,80
19800822082749I,BRAKES,INOPERATIVE AFTER LANDING,1,HAS EFFECT,83
19800822082749I,BRAKES,HYDRAULIC RESERVOIR,1,MAINTAINED BY,83
19800624056259I,BAGGAGE DOOR,STRUCK LEFT PROPELLER,1,HAS EFFECT,87
19800624056259I,SAFETY,PILOT,1,INFLUENCED BY,87
19800823080969I,ELECTRICAL SYSTEM FAILURE,PILOT DID NOT USE EMERGENCY PROCEDURE,1,HAS EFFECT,92
19800716028479A,CRASH,EMERGENCY LANDING,1,EVENT DISTANCE,93
19800712077549I,LANDED,SHORT OF RUNWAY,1,HAS EFFECT,97
19800712077549I,FUEL TANK,WATER IN FUEL,1,HAS EFFECT,97
19800712077549I,GAAS STORAGE TANK,NAVY BASE,1,LOCATION,97
