c5_sources,entity1,entity2,weight,relations,rows
19780811037539I,ENGINE QUIT,DRAINED WATER FROM FUEL TANK,1,HAS EFFECT,32
19780829037939I,ENGINE QUIT,LANDED ON REMAINING RUNWAY GEAR UP,1,HAS EFFECT,51
19780829037939I;19790127003859I,ENGINE QUIT,WATER IN FUEL,2,HAS CAUSE,51
19790210006409I,ENGINE QUIT,FOUND WATER IN FUEL,1,HAS EFFECT,83
19780825038179I,15 MINUTES AFTER TAKEOFF,LANDED ON GOLF COURSE DUE TO FUEL EXHAUSTION,1,EVENT DISTANCE,34
19780831038519I,COWLING,BROKE INTO PIECES,1,HAS EFFECT,35
19780901016759I,NOSE GEAR,JAMMED,1,HAS EFFECT,36
19780901016759I,NOSE GEAR STRUT,DEFLATED,1,HAS CAUSE,36
19780904017739I,HELICOPTER,FORCED LANDING AFTER POWER LOSS,1,HAS EFFECT,37
19780904017739I,HELICOPTER,JET FUEL,1,USED BY,37
19781102023549I,FORCED LANDING AFTER POWER LOSS,FOUND WATER IN FUEL,1,HAS EFFECT,41
19780907018599I,WING FLOATS,NOSE GAR DOOR LINKAGE BROKEN,1,HAS EFFECT,38
19780907018599I,NOSE GAR DOOR,SHARP TURN,1,HAS EFFECT,38
19780920018899I,EXPLOSION,PILOT MISTOOK FOR BACKFIRE,1,HAS EFFECT,39
19780920018899I,BEGAN FLIGHT,EXPLOSION HEARD DURING ENGINE START,1,FOLLOWED BY,39
19780920018899I,BEGAN FLIGHT,LATER, EXPLOSION HEARD DURING ENGINE START,1,EVENT DISTANCE
19780920018899I,BEGAN FLIGHT,EXHAUST TUNNELS,1,LOCATION,39
19781018032569I,TOW BAR,WHEEL WELL,1,LOCATION,40
19781102023549I,FOUND WATER IN FUEL,FORCED LANDING AFTER POWER LOSS,1,HAS EFFECT,41
19790210006409I,FOUND WATER IN FUEL,FORCED LANDING AFTER ENGINE QUIT,1,HAS EFFECT,83
19780921019829I,TAXIING AIRCRAFT,LOST NOSE WHEEL STEERING,1,EVENT DISTANCE,43
19780921019829I,TAXIING AIRCRAFT,MAINTENANCE HANGAR,1,LOCATION,43
19790306009619I,TAXIING AIRCRAFT,TAXIED INTO DRAINAGE DITCH AT NIGHT,1,EVENT DISTANCE,86
19790306009619I,TAXIING AIRCRAFT,LANDING LIGHT INOPERABLE,1,HAS EFFECT,86
19780921019829I,WINGTIP,HIT HANGAR,1,HAS EFFECT,43
19780921019829I,WINGTIP,CAUGHT ON FIRE,1,HAS EFFECT,43
19780923027059I,AIRCRAFT,GEAR PARTIALLY EXTENDED,1,HAS EFFECT,46
19780923027059I,AIRCRAFT,COLLAPSED ON TOUCHDOWN,1,HAS EFFECT,46
19780908034669A,GENERATOR SHORTING,GENERATOR CIRCUIT BREAKER SWITCH,1,HAS CAUSE,47
19781020041019A,ACFT,STRUCK COM POLES & CONCRETE WALL & BURNED,1,HAS EFFECT,48
19781020041019A,ACFT,NO 4 ROD ASY (PN 41A2) FAILED,1,HAS EFFECT,48
19781021036569A,DMGD WING,AILERON DRG PREVIOUS LDG,1,HAS EFFECT,49
19790119001139A,AIRFRAME ICE,FAILED TO CLIMB AFTER LIFTOFF,1,HAS EFFECT,52
19790119001139A,FAIL TO CLIMB AFTER LIFTOFF DUE TO AIRFRAME ICE,STRUCK A FENCE,1,EVENT DISTANCE,52
19790119001139A,FAIL TO CLIMB AFTER LIFTOFF DUE TO AIRFRAME ICE,WENT INVERTED,1,EVENT DISTANCE,52
19781114026859I,FUEL LINES,QUIT,1,HAS EFFECT,54
19781114026859I,FUEL LINES,ENGINE QUIT,1,HAS CAUSE,54
19781114026859I,ICE IN FUEL LINES,ENGINE QUIT,1,HAS EFFECT,54
19781230020029I,ENGINE FALURE,TOTAL ELECTRICAL FAILURE,1,HAS EFFECT,58
19781230020029I,ENGINE FALURE,BATTERY KNOWN TO BE BAD,1,HAS EFFECT,58
19781230020029I,ENGINE FALURE,FUEL CONTROL UNIT POOR CONDITION,1,HAS EFFECT,58
19790111000619I,LANDING,LANDED GEAR UP,1,FOLLOWED BY,61
19790111000619I,Fuel,FOUND WATER IN FUEL,1,HAS EFFECT,61
19790111000619I,Fuel,3 FOULED SPARK PLUGS,1,HAS EFFECT,61
19790113001939I,Landed Aircraft,AIRPORT,1,LOCATION,62
19781215040349A,LOAD,HOOK RELEASE ELECTRICAL PLUG,1,HAS EFFECT,76
19781215040349A,LOAD,FROZEN TO THOUND,1,HAS EFFECT,76
19781129037719A,PLT RQSTD & CNTLR APPVD SPCL VFR CLRNCE AT NITE,N/A,1,INFLUENCED BY,78
19790223006939I,BAGGAGE CART,ROLLED INTO B99,1,HAS EFFECT,85
19790223006939I,B99,WHILE DEPARTING GATE JET BLAST,1,FOLLOWED BY,85
19790313008789I,TAXI,RAMP,1,LOCATION,87
19790316009739I,NOS EWHEEL,RAMP,1,EVENT DISTANCE,88
19790316009739I,PROP,NOSE WHEEL SANK DOWN IN HOLE ON RAMP,1,HAS EFFECT,88
19790318009229I,ZG,FORCED LANDING AFTER ENGINE QUIT,1,HAS EFFECT,89
19790318009229I,ZG,FUEL SELECTOR NOT POSITIONED PROPERLY,1,HAS EFFECT,89
19790404013469I,NOISE DURING RETRACTION,NOSE GEAR COLLAPSED ON LANDING,1,HAS EFFECT,91
19790404013469I,LOOSE NOSE GEAR DOOR,BROKE MECHANISM,1,HAS EFFECT,91
19790207002469A,EMERGENCY LANDING,AFTER FALLING FROM GLOVE BOX,1,EVENT DISTANCE,92
19790214002969A,STARTED ENGINE,SEAT SLID BACK,1,HAS EFFECT,95
19790214002969A,UNABLE TO REACH CONTROLS,HIT PARKED ACFT,1,HAS EFFECT,95
19790207005339I,FORWARD CARGO DOOR,AFTER TAKEOFF,1,EVENT DISTANCE,96
19790414012459I,FUEL SYSTEM,CONTAMINATED WITH A COLORLESS, ODERLESS SUBSTANCE,1,HAS EFFECT
19790211007509A,MADEN AIRCRAFT,WATER IN FUEL,1,HAS EFFECT,98
