c5,c119,phi4mini_instruct_triplets,phi4mini_instruct_triplets_clean
19780607016509A,"TKOF FROM TRAILER,NO LOAD. R SKID TIEDOWN NOT REMOVED.                                                             ","<TKOF, CONDITION, FROM TRAILER, NO LOAD>
<TKOF, SKID TIEDOWN, NOT REMOVED, R SKID>","<TKOF, CONDITION, FROM TRAILER, NO LOAD>
<TKOF, SKID TIEDOWN, NOT REMOVED, R SKID>"
19780623036259I,PILOT LANDED ON BEACH AFTER NOTING SMOKE AND FUMES IN COCKPIT CAUSED BY GRASS AND DIRT IN ENGINE COMPARTMENT       ,"<PILOT, EVENT DISTANCE, LANDED ON BEACH>","<PILOT, EVENT DISTANCE, LANDED ON BEACH>"
19780623036419I,PILOT LANDED AFTER NOTING OIL ON WINDSHIELD. OIL CAP WAS LOOSE.                                                    ,"<PILOT, HAS EFFECT, LANDED AFTER NOTING OIL ON WINDSHIELD>
<PILOT, HAS EFFECT, OIL CAP WAS LOOSE>","<PILOT, HAS EFFECT, LANDED AFTER NOTING OIL ON WINDSHIELD>
<PILOT, HAS EFFECT, OIL CAP WAS LOOSE>"
19780624034629I,PILOT STRUCK WIRES AFTER ENGINE STOPPED AND STARTED AGAIN AFTER SWITCHING TANK. VENT STOPPED UP BY MUD DAUBERS.    ,"<PILOT, HAS EFFECT, STRUCK WIRES>
<ENGINE, STOPPED, VENT STOPPED UP BY MUD DAUBERS>","<PILOT, HAS EFFECT, STRUCK WIRES>
<ENGINE, STOPPED, VENT STOPPED UP BY MUD DAUBERS>"
19780625035919I,ENGINE QUIT AT 250 FEET ON CLIMBOUT. WATER AND OTHER FOREIGN MATERIAL FOUND IN THE GASCOLATOR BOWL.                ,"<ENGINE, QUIT, AT 250 FEET ON CLIMBOUT>
<ENGINE, HAS EFFECT, WATER AND OTHER FOREIGN MATERIAL IN GASCOLATOR BOWL>","<ENGINE, QUIT, AT 250 FEET ON CLIMBOUT>
<ENGINE, HAS EFFECT, WATER AND OTHER FOREIGN MATERIAL IN GASCOLATOR BOWL>"
19780625035779I,ENGINE STOPPED SOON AFTER TAKEOFF DUE TO FUEL SELECTOR MOVED BY A PASSENGER DURING LOADING.                        ,"<ENGINE, HAS EFFECT, FUEL SELECTOR MOVED BY A PASSENGER DURING LOADING>
<ENGINE, EVENT DISTANCE, SOON AFTER TAKEOFF>","<ENGINE, HAS EFFECT, FUEL SELECTOR MOVED BY A PASSENGER DURING LOADING>
<ENGINE, EVENT DISTANCE, SOON AFTER TAKEOFF>"
19780626034739I,ENGINE STOPPED ON NEWLY PURCHASED AIRPLANE DUE TO WATER IN THE FUEL SYSTEM. HAD BEEN STORED OUTSIDE.               ,"<ENGINE, HAS CAUSE, WATER IN THE FUEL SYSTEM>
<NEWLY PURCHASED AIRPLANE, LOCATION, STORED OUTSIDE>","<ENGINE, HAS CAUSE, WATER IN THE FUEL SYSTEM>
<NEWLY PURCHASED AIRPLANE, LOCATION, STORED OUTSIDE>"
19780812020899A,MUD DOBBER(WASP)NEST IN FUEL VENT LINE.                                                                            ,"<MUD DOBBER(WASP)NEST, LOCATED IN, FUEL VENT LINE>","<MUD DOBBER(WASP)NEST, LOCATED IN, FUEL VENT LINE>"
19780712023399A,NO NARRATIVE.                                                                                                      ,,
19780810035619A,LOW OIL STATE.LNDD IN FLOODED ALFALFA FIELD.                                                                       ,,
19780820049069I,LOSS OF ENGINE POWER AFTER TAKEOFF. LANDED STRAIGHT AHEAD IN OAT FIELD. WATER IN FUEL.                             ,"<LOSS OF ENGINE POWER AFTER TAKEOFF, CAUSED, LANDING STRAIGHT AHEAD IN OAT FIELD>
<LANDING STRAIGHT AHEAD IN OAT FIELD, HAS EFFECT, WATER IN FUEL>","<LOSS OF ENGINE POWER AFTER TAKEOFF, CAUSED, LANDING STRAIGHT AHEAD IN OAT FIELD>
<LANDING STRAIGHT AHEAD IN OAT FIELD, HAS EFFECT, WATER IN FUEL>"
19780805024609A,PLT INADVERTENTLY MOVED MIXTURE CONTROL TO CUT OFF POSITION WHILEEMPTING TO LEAN MIXTURE.                          ,"<PLT, HAS EFFECT, MOVED MIXTURE CONTROL TO CUT OFF POSITION>","<PLT, HAS EFFECT, MOVED MIXTURE CONTROL TO CUT OFF POSITION>"
19780704042039I,"PILOT DEPARTED WITH INOPERATIVE RADIO, THEN UNABLE TO FIND DESTINATION. WHEN NEARLY OUT OF FUEL FOUND AN AIRPORT.  ","<PILOT, INOPERATIVE RADIO, DEPARTED WITH>
<PILOT, UNABLE TO FIND DESTINATION, THEN FOUND AN AIRPORT>
<PILOT, NEARLY OUT OF FUEL, FOUND AN AIRPORT>","<PILOT, INOPERATIVE RADIO, DEPARTED WITH>
<PILOT, UNABLE TO FIND DESTINATION, THEN FOUND AN AIRPORT>
<PILOT, NEARLY OUT OF FUEL, FOUND AN AIRPORT>"
19780822026439A,ACFT BEING FERRIED FOR MAINT. SEAT RETAINERS MISSING.                                                              ,"<ACFT, MAINTENED BY, MAINT. SEAT RETAINERS MISSING>","<ACFT, MAINTENED BY, MAINT. SEAT RETAINERS MISSING>"
19780726036499I,"AIRCRAFT VEERED LEFT DURING TAKEOFF, GOT AIRBORNE. NOSE GEAR DID NOT CENTER DUE TO INFLATION AND CAM ADJUSTMENT    ","<NOSE GEAR, DID NOT CENTER DUE TO, INFLATION AND CAM ADJUSTMENT>
<NOSE GEAR, DID NOT CENTER DUE TO, AIRCRAFT VEERED LEFT DURING TAKEOFF>","<NOSE GEAR, DID NOT CENTER DUE TO, INFLATION AND CAM ADJUSTMENT>
<NOSE GEAR, DID NOT CENTER DUE TO, AIRCRAFT VEERED LEFT DURING TAKEOFF>"
19780629034269I,FLIGHT HAD FILED IFR BUT TOOK OFF VFR. WAS CONSIDERED A RADIO FAILURE BY ATC. ALSO CARGO DOOR WAS OPENED ON TAKEOFF,,
19780725039589I,PILOT REFUELED FROM A 55 GAL DRUM AND DID NOT CHECK FOR WATER. ENGINE QUIT ON TAKEOFF DUE TO WATER IN THE FUEL.    ,"<PILOT, USED BY, 55 GAL DRUM>
<PILOT, CAUSE, ENGINE QUIT>
<ENGINE, HAS EFFECT, QUIT ON TAKEOFF>
<ENGINE, HAS CAUSE, WATER IN THE FUEL>","<PILOT, USED BY, 55 GAL DRUM>
<PILOT, CAUSE, ENGINE QUIT>
<ENGINE, HAS EFFECT, QUIT ON TAKEOFF>
<ENGINE, HAS CAUSE, WATER IN THE FUEL>"
19780708043109I,STUDENT PILOT LOST POWER ON TAKEOFF DUE TO MAIN FUEL SUMP LEFT OPEN DURING PREFLIGHT.OVERSHOT ON AIRPORT LANDING   ,"<STUDENT PILOT, LOST POWER, MAIN FUEL SUMP LEFT OPEN DURING PREFLIGHT>
<STUDENT PILOT, LOST POWER, OVERSHOT ON AIRPORT LANDING>","<STUDENT PILOT, LOST POWER, MAIN FUEL SUMP LEFT OPEN DURING PREFLIGHT>
<STUDENT PILOT, LOST POWER, OVERSHOT ON AIRPORT LANDING>"
19780723038809I,STUDENT PILOT RAN OUT OF FUEL. IT IS LIKELY THAT THE FUEL DRAIN WAS RUNNING AND NOT DETECTED.                      ,"<STUDENT PILOT, HAS EFFECT, RAN OUT OF FUEL>
<STUDENT PILOT, LIKELY CAUSED BY, FUEL DRAIN RUNNING AND NOT DETECTED>","<STUDENT PILOT, HAS EFFECT, RAN OUT OF FUEL>
<STUDENT PILOT, LIKELY CAUSED BY, FUEL DRAIN RUNNING AND NOT DETECTED>"
19780808049579I,FLIGHT RETURNED AFTER OIL LOSS. PILOT FAILED TO SECURE OIL STICK.                                                  ,"<FLIGHT, HAS EFFECT, PILOT FAILED TO SECURE OIL STICK>","<FLIGHT, HAS EFFECT, PILOT FAILED TO SECURE OIL STICK>"
19780808049829I,RAN OFF SIDE OF RUNWAY AFTER LOOSE WHEEL FAIRING JAMMED TIRE ON TAKEOFF.                                           ,,
19780809049919I,"LEFT GEAR COLLAPSED ON ROLL OUT, HYDRAULIC SYSTEM LOW ON FLUID.                                                    ","<LEFT GEAR, HAS EFFECT, COLLAPSED ON ROLL OUT>
<LEFT GEAR, MAINTAINED BY, HYDRAULIC SYSTEM>
<HYDRAULIC SYSTEM, HAS CAUSE, LOW ON FLUID>","<LEFT GEAR, HAS EFFECT, COLLAPSED ON ROLL OUT>
<LEFT GEAR, MAINTAINED BY, HYDRAULIC SYSTEM>
<HYDRAULIC SYSTEM, HAS CAUSE, LOW ON FLUID>"
19780811037539I,FORCED LANDING AFTER ENGINE QUIT. DRAINED WATER FROM FUEL TANK.                                                    ,"<ENGINE QUIT, CAUSED, FORCED LANDING>
<ENGINE QUIT, HAS EFFECT, DRAINED WATER FROM FUEL TANK>","<ENGINE QUIT, CAUSED, FORCED LANDING>
<ENGINE QUIT, HAS EFFECT, DRAINED WATER FROM FUEL TANK>"
19780814037299I,GEAR RETRACTED ON TAKEOFF. FOUND FAULTY GEAR ACTUATOR SWITCH.                                                      ,"<GEAR ACTUATOR SWITCH, FOUND FAULTY, GEAR RETRACTOR>","<GEAR ACTUATOR SWITCH, FOUND FAULTY, GEAR RETRACTOR>"
19780825038179I,15 MINUTES AFTER TAKEOFF AIRCRAFT WAS LANDED ON GOLF COURSE DUE TO FUEL EXHAUSTION.                                ,"<15 MINUTES AFTER TAKEOFF, EVENT DISTANCE, LANDED ON GOLF COURSE DUE TO FUEL EXHAUSTION>","<15 MINUTES AFTER TAKEOFF, EVENT DISTANCE, LANDED ON GOLF COURSE DUE TO FUEL EXHAUSTION>"
19780831038519I,"FLIGHT DIVERTED AFTER CREW NOTICED COWLING LOOSE. AFTER LANDING, COWLING STRUCK PROP AND BROKE INTO PIECES.        ","<FLIGHT, EVENT DISTANCE, AFTER LANDING, COWLING STRUCK PROP>
<COWLING, HAS EFFECT, BROKE INTO PIECES>","<FLIGHT, EVENT DISTANCE, AFTER LANDING, COWLING STRUCK PROP>
<COWLING, HAS EFFECT, BROKE INTO PIECES>"
19780901016759I,UNABLE TO EXTEND NOSE GEAR BEFORE LANDING. GEAR WAS JAMMED DUE TO DEFLATED NOSE GEAR STRUT.                        ,"<NOSE GEAR, HAS EFFECT, JAMMED>
<NOSE GEAR STRUT, HAS CAUSE, DEFLATED>","<NOSE GEAR, HAS EFFECT, JAMMED>
<NOSE GEAR STRUT, HAS CAUSE, DEFLATED>"
19780904017739I,FORCED LANDING AFTER POWER LOSS. HELICOPTER HAD BEEN SERVICED WITH JET FUEL.                                       ,"<HELICOPTER, HAS EFFECT, FORCED LANDING AFTER POWER LOSS>
<HELICOPTER, USED BY, JET FUEL>","<HELICOPTER, HAS EFFECT, FORCED LANDING AFTER POWER LOSS>
<HELICOPTER, USED BY, JET FUEL>"
19780907018599I,WING FLOATS DAMAGED ON LANDING. NOSE GAR DOOR LINKAGE HAD BROKEN CAUSING SHARP TURN.                               ,"<WING FLOATS, HAS EFFECT, NOSE GAR DOOR LINKAGE BROKEN>
<NOSE GAR DOOR, HAS EFFECT, SHARP TURN>","<WING FLOATS, HAS EFFECT, NOSE GAR DOOR LINKAGE BROKEN>
<NOSE GAR DOOR, HAS EFFECT, SHARP TURN>"
19780920018899I,"EXPLOSION HEARD DURING ENGINE START, PILOT MISTOOK FOR BACKFIRE, BEGAN FLIGHT. LATER FOUND EXHAUST TUNNELS DAMAGED.","<EXPLOSION, HAS EFFECT, PILOT MISTOOK FOR BACKFIRE>
<BEGAN FLIGHT, FOLLOWED BY, EXPLOSION HEARD DURING ENGINE START>
<BEGAN FLIGHT, EVENT DISTANCE, LATER, EXPLOSION HEARD DURING ENGINE START>
<BEGAN FLIGHT, LOCATION, EXHAUST TUNNELS>","<EXPLOSION, HAS EFFECT, PILOT MISTOOK FOR BACKFIRE>
<BEGAN FLIGHT, FOLLOWED BY, EXPLOSION HEARD DURING ENGINE START>
<BEGAN FLIGHT, EVENT DISTANCE, LATER, EXPLOSION HEARD DURING ENGINE START>
<BEGAN FLIGHT, LOCATION, EXHAUST TUNNELS>"
19781018032569I,PILOT UNABLE TO GET THE NOSE WHEEL DOWN. A TOW BAR WAS WEDGED INTO THE WHEEL WELL.                                 ,"<PILOT, EVENT DISTANCE, UNABLE TO GET THE NOSE WHEEL DOWN>
<PILOT, LOCATION, WHEEL WELL>
<TOW BAR, LOCATION, WHEEL WELL>","<PILOT, EVENT DISTANCE, UNABLE TO GET THE NOSE WHEEL DOWN>
<PILOT, LOCATION, WHEEL WELL>
<TOW BAR, LOCATION, WHEEL WELL>"
19781102023549I,FORCED LANDING AFTER POWER LOSS. FOUND WATER IN FUEL.                                                              ,"<FORCED LANDING AFTER POWER LOSS, HAS EFFECT, FOUND WATER IN FUEL>
<FOUND WATER IN FUEL, HAS EFFECT, FORCED LANDING AFTER POWER LOSS>","<FORCED LANDING AFTER POWER LOSS, HAS EFFECT, FOUND WATER IN FUEL>
<FOUND WATER IN FUEL, HAS EFFECT, FORCED LANDING AFTER POWER LOSS>"
19781102023729I,AIRCRAFT STRUCK DITCH WHILE TAXIING AT NIGHT WITHOUT TAXI LIGHT. BATTERY WAS TOO WEAK DUE TO GENERATOR FAILURE.    ,"<AT NIGHT, AIRCRAFT, STRUCK DITCH>
<TAXIING, AIRCRAFT, STRUCK DITCH>
<WEAK BATTERY, CAUSE, GENERATOR FAILURE>","<AT NIGHT, AIRCRAFT, STRUCK DITCH>
<TAXIING, AIRCRAFT, STRUCK DITCH>
<WEAK BATTERY, CAUSE, GENERATOR FAILURE>"
19780921019829I,"WHILE TAXIING TO MAINTENANCE HANGAR, PILOT LOST NOSE WHEEL STEERING. WINGTIP HIT HANGAR, CAUGHT ON FIRE.           ","<TAXIING AIRCRAFT, EVENT DISTANCE, LOST NOSE WHEEL STEERING>
<TAXIING AIRCRAFT, LOCATION, MAINTENANCE HANGAR>
<WINGTIP, HAS EFFECT, HIT HANGAR>
<WINGTIP, HAS EFFECT, CAUGHT ON FIRE>","<TAXIING AIRCRAFT, EVENT DISTANCE, LOST NOSE WHEEL STEERING>
<TAXIING AIRCRAFT, LOCATION, MAINTENANCE HANGAR>
<WINGTIP, HAS EFFECT, HIT HANGAR>
<WINGTIP, HAS EFFECT, CAUGHT ON FIRE>"
19780925018069I,ENGINE SHUTDOWN DUE TO SMOKE FROM NACELLE. GEAR RETRACTED ON LANDING ROLLOUT.                                      ,"<ENGINE, HAS EFFECT, GEAR RETRACTED ON LANDING ROLLOUT>","<ENGINE, HAS EFFECT, GEAR RETRACTED ON LANDING ROLLOUT>"
19780903028619A,PILOT WAS AWARE OF EXCESSIVE WATER IN FUEL.                                                                        ,"<PILOT, HAS EFFECT, EXCESSIVE WATER IN FUEL>","<PILOT, HAS EFFECT, EXCESSIVE WATER IN FUEL>"
19780923027059I,AIRCRAFT HAD TOTAL ELECTRICAL FAILURE ON FINAL. GEAR PARTIALLY EXTENDED AND COLLAPSED ON TOUCHDOWN.                ,"<THE AIRCRAFT, HAS EFFECT, GEAR PARTIALLY EXTENDED>
<THE AIRCRAFT, HAS EFFECT, COLLAPSED ON TOUCHDOWN>","<THE AIRCRAFT, HAS EFFECT, GEAR PARTIALLY EXTENDED>
<THE AIRCRAFT, HAS EFFECT, COLLAPSED ON TOUCHDOWN>"
19780908034669A,GENERATOR SHORTING.                                                                                                ,"<GENERATOR SHORTING, HAS CAUSE, GENERATOR CIRCUIT BREAKER SWITCH>","<GENERATOR SHORTING, HAS CAUSE, GENERATOR CIRCUIT BREAKER SWITCH>"
19781020041019A,ACFT STRUCK COM POLES & CONCRETE WALL & BURNED. NO 4 ROD ASY (PN 41A2) FAILED FOR UNKN RSN.                        ,"<ACFT, HAS EFFECT, STRUCK COM POLES & CONCRETE WALL & BURNED>
<ACFT, HAS EFFECT, NO 4 ROD ASY (PN 41A2) FAILED>","<ACFT, HAS EFFECT, STRUCK COM POLES & CONCRETE WALL & BURNED>
<ACFT, HAS EFFECT, NO 4 ROD ASY (PN 41A2) FAILED>"
19781021036569A,DMGD WING & AILERON DRG PREVIOUS LDG.                                                                              ,"<DMGD WING, HAS EFFECT, AILERON DRG PREVIOUS LDG>","<DMGD WING, HAS EFFECT, AILERON DRG PREVIOUS LDG>"
19781009029939I,"ENGINE LOST POWER AFTER LIFTOFF, LANDED GEAR UP ON THE TAKEOFF RUNWAY. HAD BEEN TOPPED OFF WITH JET FUEL.          ","<ENGINE, HAS EFFECT, LOST POWER AFTER LIFTOFF>
<ENGINE, HAS EFFECT, LANDED GEAR UP ON THE TAKEOFF RUNWAY>
<ENGINE, HAS EFFECT, TOPPED OFF WITH JET FUEL>","<ENGINE, HAS EFFECT, LOST POWER AFTER LIFTOFF>
<ENGINE, HAS EFFECT, LANDED GEAR UP ON THE TAKEOFF RUNWAY>
<ENGINE, HAS EFFECT, TOPPED OFF WITH JET FUEL>"
19780829037939I,ENGINE QUIT AFTER LIFTOFF DUE TO WATER IN FUEL. LANDED ON REMAINING RUNWAY GEAR UP.                                ,"<ENGINE QUIT, HAS EFFECT, LANDED ON REMAINING RUNWAY GEAR UP>
<ENGINE QUIT, HAS CAUSE, WATER IN FUEL>","<ENGINE QUIT, HAS EFFECT, LANDED ON REMAINING RUNWAY GEAR UP>
<ENGINE QUIT, HAS CAUSE, WATER IN FUEL>"
19790119001139A,AIRCRAFT FAILED TO CLIMB AFTER LIFTOFF DUE TO AIRFRAME ICE. STRUCK A FENCE AND WENT INVERTED.                      ,"<AIRFRAME ICE, HAS EFFECT, FAILED TO CLIMB AFTER LIFTOFF>
<FAIL TO CLIMB AFTER LIFTOFF DUE TO AIRFRAME ICE, EVENT DISTANCE, STRUCK A FENCE>
<FAIL TO CLIMB AFTER LIFTOFF DUE TO AIRFRAME ICE, EVENT DISTANCE, WENT INVERTED>","<AIRFRAME ICE, HAS EFFECT, FAILED TO CLIMB AFTER LIFTOFF>
<FAIL TO CLIMB AFTER LIFTOFF DUE TO AIRFRAME ICE, EVENT DISTANCE, STRUCK A FENCE>
<FAIL TO CLIMB AFTER LIFTOFF DUE TO AIRFRAME ICE, EVENT DISTANCE, WENT INVERTED>"
19781108022269I,RAN OFF SIDE OF TAXIWAY AT NIGHT. LANDING LIGHT INOPERATIVE.                                                       ,,
19781114026859I,FORCED LANDING IN FIELD AFTER ENGINE QUIT. FOUND ICE IN FUEL LINES.                                                ,"<ENGINE, HAS EFFECT, QUIT>
<ENGINE, HAS CAUSE, FORCED LANDING IN FIELD>
<FUEL LINES, HAS EFFECT, QUIT>
<FUEL LINES, HAS CAUSE, ENGINE QUIT>
<ICE IN FUEL LINES, HAS EFFECT, ENGINE QUIT>","<ENGINE, HAS EFFECT, QUIT>
<ENGINE, HAS CAUSE, FORCED LANDING IN FIELD>
<FUEL LINES, HAS EFFECT, QUIT>
<FUEL LINES, HAS CAUSE, ENGINE QUIT>
<ICE IN FUEL LINES, HAS EFFECT, ENGINE QUIT>"
19781120025989I,DIP STICK NOT PROPERLY SECURED. ENGINE SHUT DOWN DUE TO OIL LOSS. SINGLE GENERATOR FAILED DUE TO OVERLOAD.         ,"<DIP STICK, NOT SECURED, PROPERLY>
<ENGINE, SHUT DOWN DUE TO, OIL LOSS>
<ENGINE, SINGLE GENERATOR, FAILED DUE TO, OVERLOAD>","<DIP STICK, NOT SECURED, PROPERLY>
<ENGINE, SHUT DOWN DUE TO, OIL LOSS>
<ENGINE, SINGLE GENERATOR, FAILED DUE TO, OVERLOAD>"
19781128024449I,"LANDING IN FIELD DUE TO POWER LOSS, WATER IN FUEL SYSTEM. WATER CAME FROM A FUEL STORAGE TANK.                     ",,
19781230019999I,PILOT ASSUMED TANKS TO BE FULL. DID NOT CHECK. ONE ENGINE QUIT ON TAKEOFF DUE TO FUEL STARVATION.                  ,"<PILOT, HAS EFFECT, ONE ENGINE QUIT ON TAKEOFF DUE TO FUEL STARVATION>","<PILOT, HAS EFFECT, ONE ENGINE QUIT ON TAKEOFF DUE TO FUEL STARVATION>"
19781230020029I,ENGINE FALURE FOLLOWED BY TOTAL ELECTRICAL FAILURE. BATTERY KNOWN TO BE BAD. FUEL CONTROL UNIT POOR CONDITION.     ,"<ENGINE FALURE, HAS EFFECT, TOTAL ELECTRICAL FAILURE>
<ENGINE FALURE, HAS EFFECT, BATTERY KNOWN TO BE BAD>
<ENGINE FALURE, HAS EFFECT, FUEL CONTROL UNIT POOR CONDITION>","<ENGINE FALURE, HAS EFFECT, TOTAL ELECTRICAL FAILURE>
<ENGINE FALURE, HAS EFFECT, BATTERY KNOWN TO BE BAD>
<ENGINE FALURE, HAS EFFECT, FUEL CONTROL UNIT POOR CONDITION>"
19790106001239I,"ICY RAMP AND RUNWAY, PILOT FAILED TO RELEASE BRAKES. TIRES BLOWN ON LANDING.                                       ","<PILOT, FAILED TO RELEASE BRAKES, ICY RAMP AND RUNWAY>
<PILOT, CAUSED, TIRES BLOWN ON LANDING>
<TIRES, CAUSED, BLOWN ON LANDING>","<PILOT, FAILED TO RELEASE BRAKES, ICY RAMP AND RUNWAY>
<PILOT, CAUSED, TIRES BLOWN ON LANDING>
<TIRES, CAUSED, BLOWN ON LANDING>"
19790107000829I,"ENGINE FLAMED OUT DURING TAXI, APPROXIMATELY 6 QTS. OF WATER DRAINED FROM LEFT NACELLE AND BOOST PUMP.             ","<ENGINE, HAS EFFECT, FLAMED OUT>
<ENGINE, HAS EFFECT, DRAINED 6 QTS OF WATER FROM LEFT NACELLE AND BOOST PUMP>","<ENGINE, HAS EFFECT, FLAMED OUT>
<ENGINE, HAS EFFECT, DRAINED 6 QTS OF WATER FROM LEFT NACELLE AND BOOST PUMP>"
19790111000619I,ENGINE QUIT AFTER LIFTOFF. LANDED GEAR UP. FOUND WATER IN FUEL AND 3 FOULED SPARK PLUGS.                           ,"<ENGINE, HAS EFFECT, QUIT AFTER LIFTOFF>
<LANDING, FOLLOWED BY, LANDED GEAR UP>
<Fuel, HAS EFFECT, FOUND WATER IN FUEL>
<Fuel, HAS EFFECT, 3 FOULED SPARK PLUGS>","<ENGINE, HAS EFFECT, QUIT AFTER LIFTOFF>
<LANDING, FOLLOWED BY, LANDED GEAR UP>
<Fuel, HAS EFFECT, FOUND WATER IN FUEL>
<Fuel, HAS EFFECT, 3 FOULED SPARK PLUGS>"
19790113001939I,ENGINE STOPPED DUE TO WATER IN ALL OF THE FUEL SYSTEM. LANDED ON THE AIRPORT.                                      ,"<ENGINE, HAS EFFECT, STOPPED DUE TO WATER IN ALL OF THE FUEL SYSTEM>
<Landed Aircraft, LOCATION, AIRPORT>","<ENGINE, HAS EFFECT, STOPPED DUE TO WATER IN ALL OF THE FUEL SYSTEM>
<Landed Aircraft, LOCATION, AIRPORT>"
19790116002119I,EMERGENCY LIFT-OFF AND GO AROUND DUE TO MAINTENANCE EQUIPMENT ON THE RUNWAY                                        ,,
19790123003659I,PILOT DISCOVERED HE HAD NO LEFT BRAKE DURING TAXI.                                                                 ,"<PILOT, DISCOVERED, NO LEFT BRAKE DURING TAXI>","<PILOT, DISCOVERED, NO LEFT BRAKE DURING TAXI>"
19790127003899I,RAN OUT OF OIL ON INSTRUCTIONAL FLIGHT. ENGINE FAILED INTERNALLY.                                                  ,"<RAN OUT OF OIL, CAUSE, ENGINE FAILED INTERNALLY>","<RAN OUT OF OIL, CAUSE, ENGINE FAILED INTERNALLY>"
19781110039789A,WITNESS STATED 1/4IN ICE ON AIRCRAFT.                                                                              ,,
19781104034149A,R SKID HUNG UP ON R TIE DOWN STRAPS OF TRAILER.                                                                    ,,
19781205041369A,PLT SEL CERTIFICATED.ELEVATOR GUST LOCK FOUND IN EARLY PART OF CRPATH BFR BREAK UP.                                ,,
